stable_id,display_name,problem,solution_family,portfolio_role,player_commitment,delayed_alternative,weakness_and_pressure,activation_receipt,transition_or_recovery,first_milestone_skip,balance_and_implementation_status
research:cuisine:crops,농산 조리,곡물·뿌리·버섯을 안전한 기본식으로 전환,작물 기반 기본식,입문,"수확물·조리대·연료·기본 위생을 연결해 예측 가능한 식사 흐름을 만든다","수렵·축산·외부 식량·날것 비상 배급","수확 실패·연료 부족·조리 인력 공백·재료 편중","작물 재료가 실제 조리 주문을 거쳐 주민 또는 손님 식사로 제공된 기록","비상 배급·보관 식량·수렵·교역으로 조리 중단을 넘긴다",가능,"설계 확정; 재료·연료·조리 노동·안전은 밸런스 기준 배정; 실제 식사·재고 검증 OPEN"
research:cuisine:milling,제분·제빵,곡물을 운송·보관·배급하기 쉬운 중간재로 바꿈,제분과 기본 빵 공정,저장 식량 전환,"곡물 적치·제분·가루 보관·반죽 작업을 하나의 생산 흐름으로 운영한다","통곡물 조리·뿌리 작물·외부 빵 구매","제분 병목·가루 오염·수확기 집중 노동·저장 공간 점유","곡물이 가루와 빵으로 바뀌어 실제 배급·원정·환대에 소비된 기록","통곡물 조리·다른 주식·소량 구매로 제분 정지를 버틴다",가능,"설계 확정; 변환·보관·위생·수요 공유는 밸런스 기준 배정; 실제 중간재 흐름 검증 OPEN"
research:cuisine:baking,제빵,한정된 재료를 높은 완성도와 환대 가치의 식사로 전환,오븐 기반 고급식,환대 식사 특화,"반죽·오븐·연료·제빵 노동·청결한 배식 공간을 손님 또는 주민의 특정 식사에 집중한다","기본 빵·조림·외부 고급식 구매","오븐 점유·연료 경쟁·재료 손실·배식 지연","구운 식사가 실제 환대·축제·주민 배급에서 제공된 기록","기본식 전환·메뉴 축소·외부 조달로 오븐 정지를 넘긴다",가능,"설계 확정; 연료·오븐·재료·환대 효과는 밸런스 기준 배정; 실제 서비스 소비 검증 OPEN"
research:cuisine:livestock,축산 조리,고기·우유·알의 가치를 조리 기술과 사육 부담에 연결,축산 식재료 가공,동물 사육 연계,"도축·유제품·조리·보관·위생을 사료와 축사 운영 결과에 맞춰 가동한다","식물성 기본식·수렵 고기·외부 육류 구매","질병·냉장 또는 보관 실패·도축 일정·사료와 식량의 경쟁","축산 재료가 실제 고급 식사·계약 물자·비상 배급에 소비된 기록","식물성 메뉴·수렵·개체 보호·외부 구매로 축산 공백을 보완한다",가능,"설계 확정; 사육·위생·보관·식단 다양성은 밸런스 기준 배정; 실제 생산-조리 연결 검증 OPEN"
research:cuisine:vegan,채식 조리,동물성 재료를 쓰지 않는 식단을 실제 물류·손님 요구와 연결,식물성 특수식,포용 환대 특화,"곡물·뿌리·버섯의 분리 보관·조리·배식 절차를 만들고 동물성 오염을 관리한다","축산 고급식·보편 메뉴·개별 외부 조달","재료 분리 실패·메뉴 복잡도·주방 동선 경합·작물 수급 편중","채식 식사가 지정된 주민 또는 손님의 실제 요구와 함께 제공된 기록","기본 작물식·별도 조리대·메뉴 제한으로 요구 충돌을 완화한다",가능,"설계 확정; 재료 분리·주방 동선·요구 조건·환대 효과는 밸런스 기준 배정; 실제 식단 판정 검증 OPEN"
research:cuisine:fermentation,발효,수확 잉여를 보존식·조미료·주류로 바꿔 계절성과 환대에 사용,저장 발효 공정,계절 완충 특화,"발효 용기·청결·시간·보관 공간을 확보해 잉여 작물과 버섯의 사용 시점을 뒤로 옮긴다","즉시 소비·건조 보관·외부 술 구매","오염·시간 점유·용기 부족·주방 위생 사고","발효 산출물이 실제 비축·식사·계약·환대에서 소비된 기록","신선 식사·건조 보관·용기 회수·오염 격리로 손실을 줄인다",가능,"설계 확정; 시간·위생·보관·보존 효과는 밸런스 기준 배정; 실제 숙성·오염 검증 OPEN"
research:cuisine:kitchen-hygiene,주방 위생,고급 조리와 손님 서비스의 실패를 급배수·전처리·청소로 관리,급배수 연계 주방,안전 기반 정착,"상수·배수·전처리 싱크·세척 노동·오염 동선을 조리와 배식 구역에 설치한다","단순 조리·저위험 메뉴·외부 식사·소규모 접대","급수 단절·배수 역류·세척 누락·서비스 사고","세척과 전처리가 실제 조리 주문·손님 서비스·오염 기록에 반영된 증거","메뉴 축소·물 비축·별도 조리 구역·서비스 중지로 오염 확산을 막는다",가능,"설계 확정; 급배수·세척·공간·오염 위험은 밸런스 기준 배정; 실제 위생·사건 검증 OPEN"
research:cuisine:controlled-fermentation,제어 발효,발효 품질과 병입을 전력·배관·세척 기반망에 결속,제어 발효 설비,산업 환대 특화,"전력·배관·온도 제어·병입·세척·정비를 발효 공정에 상시 투입한다","수동 발효·즉시 소비·외부 주류 구매","정전·배관 고장·세척 실패·고정 설비 점유","제어 발효 산출물이 일관된 품질로 실제 계약·환대·비축에 사용된 기록","수동 발효·배치 중단·전력 우선 배정·용기 회수로 설비 고장을 넘긴다",가능,"설계 확정; 전력·배관·온도·병입·정비는 밸런스 기준 배정; 실제 기반망 연동 검증 OPEN"
research:cuisine:distilling-aging,주류 증류·숙성,시간과 저장을 고가치 주류·계약 물자로 전환,증류와 장기 숙성,장기 외부 경제 특화,"증류 장치·오크 보관·화재 관리·재고 잠금·계약 일정을 장기 계획에 포함한다","단기 발효·즉시 판매·기본 환대·원료의 다른 사용","화재·장기 재고 점유·수요 예측 실패·장비 정비","증류주가 숙성 이력과 함께 실제 계약·환대·교역에 인도된 기록","미숙성 발효품·원료 판매·보관 축소·계약 연기로 현금 흐름을 회복한다",가능,"설계 확정; 숙성·화재·보관·교역 가치·시간은 밸런스 기준 배정; 실제 이력·인도 검증 OPEN"
research:cuisine:lavish,호화·보존식,복수 식품 기반망을 묶어 고급 환대와 장기 비축을 동시에 운영,복합 주방 포트폴리오,문명 목표 특화,"세척·제분·제빵·발효·보존·배식 인력을 한 주방권에 결속하고 메뉴 우선순위를 관리한다","한두 개의 전문 메뉴·기본식 대량 배급·외부 고급식 구매","기반망 동시 고장·인력 과점유·재료 다변화 실패·서비스 과부하","호화식 또는 보존식이 실제 고위 손님·장기 원정·주민 안정 중 하나에 쓰인 기록","기본식으로 후퇴·핵심 메뉴만 유지·비축 해제·시설 구역화로 과부하를 복구한다",가능,"설계 확정; 복합 의존·메뉴·보관·서비스 노동은 밸런스 기준 배정; 실제 다중 경로 검증 OPEN"
