stable_id,display_name,problem,solution_family,portfolio_role,player_commitment,delayed_alternative,weakness_and_pressure,activation_receipt,transition_or_recovery,first_milestone_skip,balance_and_implementation_status
research:arcane:records,기록 체계,반복되는 관찰과 실험을 개인 기억이 아닌 재현 가능한 운영 지식으로 축적,관찰·실험 기록,기반 지식 정착,"기록 공간·문서 재료·행정 노동·검토 절차를 연구와 사고 조사에 상시 배정한다","숙련자 기억·즉석 실험·외부 전문가 의존","기록 누락·행정 병목·오래된 지식·자료 분실","관찰·실험·사건의 입력과 결과가 같은 식별자로 보존되어 후속 작업이 읽은 기록","현장 기록·복제본·단순 절차로 기록 구역의 손실과 병목을 넘긴다",가능,"설계 확정; 기록 노동·보관·검증 범위·정보 효과는 밸런스 기준 배정; 실제 저장·재현 검증 OPEN"
research:climate:weather-observation,기상 관측,환경 압력을 닥친 뒤가 아니라 준비 가능한 신호로 다룸,경계 관측과 경보,환경 선제 대응,"관측 담당·시야 지점·기록·전달 경로를 경계와 생활 시설에 연결한다","재고 버퍼·견고한 구조·사건 후 복구 인력","오보·관측자 부재·경보 지연·날씨 자체의 피해","관측값이 실제 기상 전선 경보와 작업·보관·방어 준비 변경으로 이어진 기록","기본 비축·현장 판단·손상 후 수리로 관측 실패를 회복한다",가능,"설계 확정; 관측 정확도·경보·시야·준비 시간은 밸런스 기준 배정; 실제 사건 선행성 검증 OPEN"
research:life:seasonal-calendar,계절 역법,농업·축산·보관·의식을 같은 계절 전환에 맞춰 조정,계절 일정과 생업 계획,계획형 운영 특화,"계절 기록·작업 예약·비축 목표·인력 이동을 다음 전환 전에 정하고 실행한다","즉시 대응·다품종 비축·외부 조달","달력 오판·기후 변동·계획 고착·준비 재료 조기 소모","계절 경계가 실제 파종·번식·보수·계약 일정의 변경 이력으로 남긴 기록","계획 취소·비상 비축·대체 식량·작업 재배치로 급변을 흡수한다",가능,"설계 확정; 예측 범위·준비 비용·기후 변동·일정 효과는 밸런스 기준 배정; 실제 계절 연동 검증 OPEN"
research:climate:regional-climatology,지역 기후학과 시각 항법,외부 지형과 계절을 원정·교역 경로의 선택으로 전환,기후 지도와 항법,외부 경로 특화,"관측 기록·지도·정찰·보급 계획을 연결해 계절별 목적지와 귀환선을 선택한다","근거리 자급·정찰 없는 원정·상단 의존","경로 오판·시야 상실·보급 단절·원정 지연","기후 정보가 실제 원정·교역·탐사 경로와 출발·귀환 판단에 쓰인 기록","안전 경로·원정 연기·현지 비축·호위 강화로 항법 실패를 회복한다",가능,"설계 확정; 시야·경로·보급·계절 위험은 밸런스 기준 배정; 실제 원정·귀환 검증 OPEN"
research:arcane:alchemy,연금 가공,희귀 시약과 생체 물질을 필요한 순간의 치료·공정 재료로 전환,시약 정제와 연금 공방,소모품 특화,"시약 저장·격리·정제 설비·연금 노동을 의료와 비전 제작 수요에 배정한다","약초 직접 사용·표준 약제·외부 시약 구매","오염·시약 부족·공방 사고·의료와 비전 수요 경합","연금 산출물이 실제 치료·정밀 제작·계약 중 하나에서 소비된 기록","기본 약제·외부 조달·공정 중단·격리로 사고와 부족을 통제한다",가능,"설계 확정; 시약·오염·설비·다중 소비처는 밸런스 기준 배정; 실제 주문·사고 검증 OPEN"
research:arcane:advanced,비전 연구,마력과 의식 설비를 범용 보너스가 아닌 고유한 운영 계통으로 확장,고급 비전 이론과 의식 설비,비전 주력,"연구자·의식실·마나 재료·격리·유지보수를 고급 비전 목표에 장기 배정한다","물리 산업·표준 의료·요새 방어·현물 외교","공명 실패·연구자 병목·마나 고갈·특수 설비 정지","고급 비전 설비가 실제 전력·의료·방어·계약 목표 중 하나의 부하를 처리한 기록","저기술 대체·부하 절단·기본 설비·전문가 격리로 고장을 제한한다",가능,"설계 확정; 마나·연구 노동·격리·부하·회복은 밸런스 기준 배정; 실제 가동·고장 검증 OPEN"
research:arcane:resonance,비전 공명,대형 비전 사업을 재료·전력·안전 규율과 함께 운용,공명 기반망,고밀도 문명 특화,"마나·흑강·룬 도체·전력·감시·비상 차단을 하나의 공명 구역에 선투자한다","분산 증기·수차·일반 강철 장비·소규모 의식","공통 정전·공명 확산·정비 전문화·결정 공급 단절","공명 설비의 입력·부하·차단·정비 이력이 실제 고급 사업 결과와 연결된 기록","구역 격리·비전 부하 절단·물리 대체·예비 재료로 확산을 멈춘다",가능,"설계 확정; 공명·전력·결정·차단·정비는 밸런스 기준 배정; 실제 연쇄 고장·복구 검증 OPEN"
research:equipment:lineage-binding,장비 계보 결속,장비의 사용 이력과 상징을 장기 관계·계승 자산으로 전환,계보 기반 룬 조율,이력 장비 특화,"지정 장비·사용자 기록·룬 재료·계승 절차를 유지해 특정 장비를 장기적으로 돌본다","표준 장비 순환·즉시 교체·재료 재활용","사용자 이탈·장비 파손·기록 단절·특정 장비 의존","장비의 소유·사용·수리·계승 이력이 다음 사용자 또는 관계 결과에 읽힌 기록","표준 장비 지급·기록 복구·부품 회수로 계보 단절을 완화한다",가능,"설계 확정; 이력·수리·소유권·관계 효과는 밸런스 기준 배정; 실제 계승·저장 검증 OPEN"
research:equipment:relic-appraisal,유물 부품 감정과 복원,알 수 없는 유물을 위험한 재료가 아니라 선택 가능한 복원·분해 대상으로 만듦,감정과 유물 복원,탐사 보상 특화,"감정 작업대·전문가·격리·부품 재고를 두고 유물을 복원할지 분해할지 매번 결정한다","즉시 분해·원재료 판매·표준 장비 제작","오판·복원 실패·희소 부품 잠김·격리 사고","유물의 출처·감정·선택·복원 또는 분해 결과가 연속 기록으로 남긴 증거","분해 전환·격리 보관·표준 장비·전문가 의뢰로 실패 비용을 제한한다",가능,"설계 확정; 감정·부품·위험·복원 가치·대체는 밸런스 기준 배정; 실제 선택 이력 검증 OPEN"
research:genetics:hereditary-records,유전 기록과 형질 분석,세대·종족·가축의 특성을 장기적 선택과 돌봄 책임에 연결,형질 기록과 분석,계통 운영 특화,"가구·가축·의료 기록과 분석 노동을 유지해 번식·보호·특화 배정을 장기적으로 관리한다","즉시 능력 기준 배치·무작위 번식·외부 영입","기록 오용·분석 오류·개체 다양성 감소·돌봄 비용 증가","형질 기록이 실제 번식·보호·의료 또는 직책 계획에서 읽힌 증거","일반 배정·개체군 분리·외부 영입·기록 정정으로 경로를 되돌린다",가능,"설계 확정; 기록 정확도·돌봄·계통·관계 영향은 밸런스 기준 배정; 실제 세대 추적 검증 OPEN"
