stable_id,display_name,operational_strengths,real_operating_cost,preferred_portfolios,viable_counter_build,pressure_and_recovery,anti_dominance_contract,balance_and_implementation_status
characterspecies:1,슬라임,"낮은 소비와 빠른 순환; 청소·채집·경비와 수분·정화 작업의 적합성","청결·수분·오염 관리 실패가 불만과 오염 사고로 돌아온다","재이용 정수·지하 수경·청소 중심 생활 구역","분산 농업·요새·수공업도 가능하지만 수질·청결 부담을 시설과 노동으로 지불","오염 사고는 실제 불만·수질·청소 이력에서 발생하고 격리·정화·수동 급수로 회복","식량·산업·전투·서비스 전체를 동시에 우월하게 만들지 않으며 건조·화염 구역 비용을 유지","설계 확정; 종족 효과·문화·사건 생산자와 실제 소비자 전수 연결 OPEN; 수치 기준 배정"
characterspecies:2,오크,"경비·운반·수리·물리 전선의 강점; 공동 공간과 대량 조리의 운영 친화","높은 식량·소비·장비 부담과 불만 누적 시 시설 파손 위험","축산·대량 조리·복도 요새 또는 기동 민병대","연구·마나 중심 빌드도 가능하지만 조용한 연구 공간·회복·보급을 더 많이 유지","난동은 실제 불만·혼잡·서비스 실패와 손상 시설을 근거로 하며 중재·보상·경비·수리로 회복","경비 강점이 연구·의료·외교 비용을 지우지 않으며 고소비와 공간 부담을 항상 남김","설계 확정; 종족 효과·문화·사건 생산자와 실제 소비자 전수 연결 OPEN; 수치 기준 배정"
characterspecies:3,뱀파이어,"낮은 식사 부담; 연구·마나 시설·장기 숙련과 어두운 개인 공간의 활용","혈액 공급·개인 공간·밝은 공용 서비스와의 충돌, 불만 누적 시 공포 사고","통제 실내·비전 연구·고급 의료·외교 환대","요새·제조도 가능하지만 혈액·빛·개인실 요구를 무시한 밀집 운영은 비용이 커진다","공포 사고는 실제 불만·공간·공급 이력에서 출발하며 공급 재편·중재·안전 구역으로 회복","낮은 식사 부담이 무료 인구·서비스·전투 우위로 바뀌지 않게 혈액과 공간 운영 비용을 유지","설계 확정; 종족 효과·문화·사건 생산자와 실제 소비자 전수 연결 OPEN; 수치 기준 배정"
characterspecies:4,수인,"운반·사냥·접객과 공동 생활의 강점; 육류·기동 방어·환대의 결합","따뜻한 공동 공간·고기 공급·냄새와 위생 관리·개인 공간 문화와의 갈등","축산·공동 식당·기동 민병대·역참형 환대","지하 생태·연구도 가능하지만 식사·공간·위생을 다른 방식으로 보완해야 한다","서비스·위생·혼잡 실패는 실제 식사·공간·관계 기록을 근거로 하며 조리·청소·구역 분리로 회복","기동과 접객이 농업·산업·의료·세대 운영을 동시에 지배하지 않게 식량과 위생 부담을 유지","설계 확정; 종족 효과·문화·사건 생산자와 실제 소비자 전수 연결 OPEN; 수치 기준 배정"
characterspecies:5,데몬,"계약·비전·고온 산업과 경비·연구의 결합; 건조한 개인 공간 활용","냉각·습윤 생태와의 충돌, 계약 의무와 마나 기반망 의존","마나 산업·계약 경제·고온 정밀 생산","농업·환대도 가능하지만 물·냉각·공간의 상충을 실제 기반망으로 해결해야 한다","계약 실패·마나 정전·환경 불만은 실제 의무·부하·공간 이력에서 발생하고 재협상·부하 차단·구역 전환으로 회복","비전 친화가 희귀 자원·정비·사회 의무를 대체하지 않게 공명과 계약 비용을 유지","설계 확정; 종족 효과·문화·사건 생산자와 실제 소비자 전수 연결 OPEN; 수치 기준 배정"
characterspecies:6,코볼트,"굴착·수리·연료·밀집 제작의 강점; 작은 공동 작업장과 광물 산업 친화","환기·도구 정비·과밀·화재와 산업 사고의 부담","채굴·제조·분산 작업장 또는 자동화 공장","외부 농업·환대도 가능하지만 밀집 생산 장점 대신 서비스 동선과 공간을 실제로 투자한다","과밀·환기·도구 사고는 실제 작업장 점유·정비·경로 기록에서 발생하고 구역 분리·수동 작업·수리로 회복","제작 강점이 식량·외교·의료·전투를 자동 해결하지 않게 안전과 생활 기반의 부담을 유지","설계 확정; 종족 효과·문화·사건 생산자와 실제 소비자 전수 연결 OPEN; 수치 기준 배정"
characterspecies:7,균사인,"지하 재배·파종·치료와 습윤 공동 정원의 강점; 재생 의학과 내부 생태 결합","화염·강한 살균·밝은 서비스 공간·환기 실패와의 충돌","지하 생태·재이용 순환·재생 의료","요새·산업도 가능하지만 건조·고열·조명 비용과 배양 환경 충돌을 감당해야 한다","포자 오염·배양 실패는 실제 습도·환기·청결·재배 이력에서 발생하고 격리·외부 비축·수동 재배로 회복","재생·재배 강점이 방어·상업·산업의 비용을 지우지 않게 환경과 화재 취약성을 유지","설계 확정; 종족 효과·문화·사건 생산자와 실제 소비자 전수 연결 OPEN; 수치 기준 배정"
characterspecies:8,하피,"수직 건설·관측·사냥·외부 접근의 강점; 고저차 물류와 원정 정보 활용","저천장·밀폐 공장·습윤 지하 구역의 공간 비용과 장거리 보급 부담","수직 물류·외부 농업·정찰·기동 방어","지하 생태·제조도 가능하지만 고도 접근·환기·주거 구조를 실제로 확보해야 한다","폭풍·고도 경로 단절은 실제 이동 경로·시설 접근·보급 이력에서 발생하고 지상 버퍼·계단 동선·경비 전환으로 회복","기동성이 물류·전투·서비스·농업 전체의 거리 비용을 없애지 않게 적재·공간·날씨 부담을 유지","설계 확정; 종족 효과·문화·사건 생산자와 실제 소비자 전수 연결 OPEN; 수치 기준 배정"
characterspecies:9,골렘,"즉시 성인 노동·운반·건설·수리와 산업·마나 기반의 결합","전력·충전·정비 키트·마모·핵 공학의 지속 의존","산업 자동화·마나 전력·중앙 물류·요새 보급","농업·환대도 가능하지만 생물 주민과 다른 충전·정비·공간 부담을 운영해야 한다","전력 부족·마모·부품 부족은 실제 충전·정비·작업 이력에서 발생하고 수동 전환·정비 우선순위·인력 교대로 회복","즉시 노동력이 세대·문화·의료·외교의 비용을 삭제하지 않게 제작·전력·정비와 사회 조합의 부담을 유지","설계 확정; 종족 효과·문화·사건 생산자와 실제 소비자 전수 연결 OPEN; 수치 기준 배정"
characterspecies:10,원정자,"던전 외부의 침입·전투·정찰 압력을 제공; 플레이어 방어·외교·원정 선택을 시험","플레이어의 시작·영입·번식 종족이 아니며 운영 주력 후보가 아니다","해당 없음: 외부 침입자 정의","플레이어가 원정자와 협력하거나 포로·계약을 다룰 수 있어도 시작 종족 선택으로 바꾸지 않는다","침입은 실제 경로·세력 상태·위협 기록을 근거로 하고 요새·기동군·동맹·선제 원정으로 대응","외부 위협 정의가 보상·노동·영입의 무료 공급원이 되지 않게 전투·포로·외교 비용을 유지","설계 확정; 침입 생산자·전투·세력 반응 전수 연결 OPEN; 수치 기준 배정"
