"stable_id","display_name","source_declared_function","population_operating_evidence","portfolio_commitment","same_era_alternative_candidates","activation_receipt","failure_pressure_and_reassignment","status"
"characterspecies:1","슬라임","작성 목적은 '낮은 소비와 빠른 회전으로 초반 던전을 채우지만, 불만이 쌓이면 오염 사고를 만든다'이다. 다른 콘텐츠 3개가 이 정의를 참조한다.","신체 anatomy:slime; 필요 {""chargeRateMultiplier"":1,""diet"":2,""hungerRateMultiplier"":1,""hygieneRateMultiplier"":1,""integrityWearMultiplier"":1,""metabolism"":0,""sleepRateMultiplier"":1,""socialNeedMultiplier"":1,""thirstRateMultiplier"":1,""treatment"":0}; 환경 {""airborneExposureMultiplier"":1,""comfortMaximum"":24,""comfortMinimum"":16,""comfortableAirMinimum"":55,""comfortableLightMaximum"":100,""comfortableLightMinimum"":40,""drynessSensitivity"":1,""lethalMaximum"":40,""lethalMinimum"":0,""preferredHumidity"":0.5,""safeMaximum"":34,""safeMinimum"":5,""visualStrainMultiplier"":1}; 선호 시설 [""저가 음식점"",""휴식방"",""청소 시설""]; 강점 작업 [""work:clean"",""work:gather""]; 약점 작업 [""work:guard"",""work:logging"",""work:quarry""]; 방어 성향 [""냉기"",""부식""]; 고향 세력 ; 관계 [""습기"",""오염"",""저가""]; 사건 슬라임 오염: ; 완화 역할 4; 체류 1; 재생산 {""fileID"":11400000,""guid"":""ed219103b8a7e6f40a34b9954d29e2be"",""type"":2}","이 종족의 환경·필요·선호 시설과 강점 작업에 맞춘 생산·방어·서비스 배치를 만든다. 약점 작업과 불리한 환경은 다른 종족·자동화·시설 투자로 메우며, 한 인구 구성이 모든 역할을 독점하지 못하게 한다.","비교 후보(대체 가능성 미검증): CharacterSpeciesSO:characterspecies:10, CharacterSpeciesSO:characterspecies:4, CharacterSpeciesSO:characterspecies:5, CharacterSpeciesSO:characterspecies:9, CharacterSpeciesSO:characterspecies:8, CharacterSpeciesSO:characterspecies:6, CharacterSpeciesSO:characterspecies:7, CharacterSpeciesSO:characterspecies:2, CharacterSpeciesSO:characterspecies:3","입주·고용·방문 또는 출생으로 인구에 합류 → 필요와 환경을 충족 → 선호 시설과 강점 작업에 배치 → 실제 작업·관계·사건 완화 기록을 남긴다.","필요·환경·시설·관계가 맞지 않으면 체류·작업·사건 압력이 누적된다. 인력을 다른 역할·환경·시설로 재배치하고, 대체 종족·교역·자동화·공간 재구성으로 회복한다.","전수 설계; needs·환경·작업·사건·관계·저장·수치 실행 검증 OPEN"
"characterspecies:10","원정자","작성 목적은 '던전 인구의 번식 대상이 아닌 적대적 외부 원정자 종족 정의다'이다. 다른 콘텐츠 1개가 이 정의를 참조한다.","신체 anatomy:humanoid; 필요 {""chargeRateMultiplier"":1,""diet"":2,""hungerRateMultiplier"":1,""hygieneRateMultiplier"":1,""integrityWearMultiplier"":1,""metabolism"":0,""sleepRateMultiplier"":1,""socialNeedMultiplier"":1,""thirstRateMultiplier"":1,""treatment"":0}; 환경 {""airborneExposureMultiplier"":1,""comfortMaximum"":27,""comfortMinimum"":15,""comfortableAirMinimum"":70,""comfortableLightMaximum"":100,""comfortableLightMinimum"":40,""drynessSensitivity"":1,""lethalMaximum"":48,""lethalMinimum"":-10,""preferredHumidity"":0.5,""safeMaximum"":40,""safeMinimum"":0,""visualStrainMultiplier"":1}; 선호 시설 []; 강점 작업 []; 약점 작업 []; 방어 성향 [""물리""]; 고향 세력 faction:adventurer; 관계 [""외부인"",""침입자""]; 사건 : ; 완화 역할 0; 체류 1; 재생산 {""fileID"":11400000,""guid"":""1a3f44e299fa12d498999ed7f07414b2"",""type"":2}","이 종족의 환경·필요·선호 시설과 강점 작업에 맞춘 생산·방어·서비스 배치를 만든다. 약점 작업과 불리한 환경은 다른 종족·자동화·시설 투자로 메우며, 한 인구 구성이 모든 역할을 독점하지 못하게 한다.","비교 후보(대체 가능성 미검증): CharacterSpeciesSO:characterspecies:4, CharacterSpeciesSO:characterspecies:5, CharacterSpeciesSO:characterspecies:9, CharacterSpeciesSO:characterspecies:8, CharacterSpeciesSO:characterspecies:6, CharacterSpeciesSO:characterspecies:7, CharacterSpeciesSO:characterspecies:2, CharacterSpeciesSO:characterspecies:1, CharacterSpeciesSO:characterspecies:3","입주·고용·방문 또는 출생으로 인구에 합류 → 필요와 환경을 충족 → 선호 시설과 강점 작업에 배치 → 실제 작업·관계·사건 완화 기록을 남긴다.","필요·환경·시설·관계가 맞지 않으면 체류·작업·사건 압력이 누적된다. 인력을 다른 역할·환경·시설로 재배치하고, 대체 종족·교역·자동화·공간 재구성으로 회복한다.","전수 설계; needs·환경·작업·사건·관계·저장·수치 실행 검증 OPEN"
"characterspecies:2","오크","작성 목적은 '돈을 많이 쓰고 경비 인력으로 강하지만, 불만이 쌓이면 시설 파손 사고를 일으킨다'이다. 다른 콘텐츠 3개가 이 정의를 참조한다.","신체 anatomy:orc; 필요 {""chargeRateMultiplier"":1,""diet"":2,""hungerRateMultiplier"":1.2,""hygieneRateMultiplier"":1,""integrityWearMultiplier"":1,""metabolism"":0,""sleepRateMultiplier"":1,""socialNeedMultiplier"":1,""thirstRateMultiplier"":1.05,""treatment"":0}; 환경 {""airborneExposureMultiplier"":1,""comfortMaximum"":30,""comfortMinimum"":12,""comfortableAirMinimum"":65,""comfortableLightMaximum"":100,""comfortableLightMinimum"":40,""drynessSensitivity"":1,""lethalMaximum"":50,""lethalMinimum"":-15,""preferredHumidity"":0.5,""safeMaximum"":42,""safeMinimum"":-5,""visualStrainMultiplier"":1}; 선호 시설 [""고기 식당"",""무기점"",""훈련장""]; 강점 작업 [""work:repair"",""work:guard"",""work:haul""]; 약점 작업 [""work:research""]; 방어 성향 [""물리"",""화염"",""전선-저지""]; 고향 세력 ; 관계 [""소음"",""혼잡"",""야외""]; 사건 오크 난동: ; 완화 역할 1032; 체류 1; 재생산 {""fileID"":11400000,""guid"":""cd8af9c854e5b814383231682ca93624"",""type"":2}","이 종족의 환경·필요·선호 시설과 강점 작업에 맞춘 생산·방어·서비스 배치를 만든다. 약점 작업과 불리한 환경은 다른 종족·자동화·시설 투자로 메우며, 한 인구 구성이 모든 역할을 독점하지 못하게 한다.","비교 후보(대체 가능성 미검증): CharacterSpeciesSO:characterspecies:10, CharacterSpeciesSO:characterspecies:4, CharacterSpeciesSO:characterspecies:5, CharacterSpeciesSO:characterspecies:9, CharacterSpeciesSO:characterspecies:8, CharacterSpeciesSO:characterspecies:6, CharacterSpeciesSO:characterspecies:7, CharacterSpeciesSO:characterspecies:1, CharacterSpeciesSO:characterspecies:3","입주·고용·방문 또는 출생으로 인구에 합류 → 필요와 환경을 충족 → 선호 시설과 강점 작업에 배치 → 실제 작업·관계·사건 완화 기록을 남긴다.","필요·환경·시설·관계가 맞지 않으면 체류·작업·사건 압력이 누적된다. 인력을 다른 역할·환경·시설로 재배치하고, 대체 종족·교역·자동화·공간 재구성으로 회복한다.","전수 설계; needs·환경·작업·사건·관계·저장·수치 실행 검증 OPEN"
"characterspecies:3","뱀파이어","작성 목적은 '식사 부담은 낮고 연구와 마력 시설을 오래 이용하지만, 불만이 쌓이면 공포 사고를 만든다'이다. 다른 콘텐츠 2개가 이 정의를 참조한다.","신체 anatomy:vampire; 필요 {""chargeRateMultiplier"":1,""diet"":2,""hungerRateMultiplier"":1,""hygieneRateMultiplier"":1,""integrityWearMultiplier"":1,""metabolism"":0,""sleepRateMultiplier"":1,""socialNeedMultiplier"":1,""thirstRateMultiplier"":1,""treatment"":0}; 환경 {""airborneExposureMultiplier"":1,""comfortMaximum"":22,""comfortMinimum"":8,""comfortableAirMinimum"":70,""comfortableLightMaximum"":100,""comfortableLightMinimum"":40,""drynessSensitivity"":1,""lethalMaximum"":42,""lethalMinimum"":-10,""preferredHumidity"":0.5,""safeMaximum"":34,""safeMinimum"":0,""visualStrainMultiplier"":1}; 선호 시설 [""연구실"",""마력 저장소"",""어둠 휴식 환경""]; 강점 작업 [""work:research"",""work:threat-mitigation""]; 약점 작업 [""work:clean"",""work:haul""]; 방어 성향 [""독"",""냉기"",""공포""]; 고향 세력 ; 관계 [""고급"",""마력"",""암흑""]; 사건 흡혈 공포: ; 완화 역할 2052; 체류 1; 재생산 {""fileID"":11400000,""guid"":""d0e10731ca756b94a802b757d03fac90"",""type"":2}","이 종족의 환경·필요·선호 시설과 강점 작업에 맞춘 생산·방어·서비스 배치를 만든다. 약점 작업과 불리한 환경은 다른 종족·자동화·시설 투자로 메우며, 한 인구 구성이 모든 역할을 독점하지 못하게 한다.","비교 후보(대체 가능성 미검증): CharacterSpeciesSO:characterspecies:10, CharacterSpeciesSO:characterspecies:4, CharacterSpeciesSO:characterspecies:5, CharacterSpeciesSO:characterspecies:9, CharacterSpeciesSO:characterspecies:8, CharacterSpeciesSO:characterspecies:6, CharacterSpeciesSO:characterspecies:7, CharacterSpeciesSO:characterspecies:2, CharacterSpeciesSO:characterspecies:1","입주·고용·방문 또는 출생으로 인구에 합류 → 필요와 환경을 충족 → 선호 시설과 강점 작업에 배치 → 실제 작업·관계·사건 완화 기록을 남긴다.","필요·환경·시설·관계가 맞지 않으면 체류·작업·사건 압력이 누적된다. 인력을 다른 역할·환경·시설로 재배치하고, 대체 종족·교역·자동화·공간 재구성으로 회복한다.","전수 설계; needs·환경·작업·사건·관계·저장·수치 실행 검증 OPEN"
"characterspecies:4","수인","작성 목적은 '수인은(는) 붉은발 역참을 대표하는 종족이다. 손님·모집 직원·상인·포로·동맹 지원군으로 등장한다'이다. 다른 콘텐츠 1개가 이 정의를 참조한다. 게임 규칙은 module CharacterCombatAbilityDefinition, OffenseDamageEffect로 구성된다.","신체 anatomy:beastkin; 필요 {""chargeRateMultiplier"":1,""diet"":3,""hungerRateMultiplier"":1.35,""hygieneRateMultiplier"":1,""integrityWearMultiplier"":1,""metabolism"":0,""sleepRateMultiplier"":1,""socialNeedMultiplier"":1.4,""thirstRateMultiplier"":1.15,""treatment"":0}; 환경 {""airborneExposureMultiplier"":1,""comfortMaximum"":29,""comfortMinimum"":10,""comfortableAirMinimum"":70,""comfortableLightMaximum"":100,""comfortableLightMinimum"":40,""drynessSensitivity"":1,""lethalMaximum"":48,""lethalMinimum"":-12,""preferredHumidity"":0.5,""safeMaximum"":40,""safeMinimum"":-4,""visualStrainMultiplier"":1}; 선호 시설 [""고기 식당"",""상점"",""야외 휴식처""]; 강점 작업 [""work:restock"",""work:haul"",""work:reception"",""work:hunt""]; 약점 작업 [""work:research"",""work:surgery""]; 방어 성향 [""감지"",""재장전"",""번개""]; 고향 세력 faction:dungeon:beastkin; 관계 [""야외"",""무리"",""소음""]; 사건 수인 소동: 혼잡과 무리 욕구가 누적되면 주변 대기열을 흐트러뜨리고 실제 물품 운반을 중단한다.; 완화 역할 2052; 체류 1; 재생산 {""fileID"":11400000,""guid"":""8062c884b43000e4d95689ccad5c4aab"",""type"":2}","이 종족의 환경·필요·선호 시설과 강점 작업에 맞춘 생산·방어·서비스 배치를 만든다. 약점 작업과 불리한 환경은 다른 종족·자동화·시설 투자로 메우며, 한 인구 구성이 모든 역할을 독점하지 못하게 한다.","비교 후보(대체 가능성 미검증): CharacterSpeciesSO:characterspecies:10, CharacterSpeciesSO:characterspecies:5, CharacterSpeciesSO:characterspecies:9, CharacterSpeciesSO:characterspecies:8, CharacterSpeciesSO:characterspecies:6, CharacterSpeciesSO:characterspecies:7, CharacterSpeciesSO:characterspecies:2, CharacterSpeciesSO:characterspecies:1, CharacterSpeciesSO:characterspecies:3","입주·고용·방문 또는 출생으로 인구에 합류 → 필요와 환경을 충족 → 선호 시설과 강점 작업에 배치 → 실제 작업·관계·사건 완화 기록을 남긴다.","필요·환경·시설·관계가 맞지 않으면 체류·작업·사건 압력이 누적된다. 인력을 다른 역할·환경·시설로 재배치하고, 대체 종족·교역·자동화·공간 재구성으로 회복한다.","전수 설계; needs·환경·작업·사건·관계·저장·수치 실행 검증 OPEN"
"characterspecies:5","데몬","작성 목적은 '데몬은(는) 잿불 계약정을 대표하는 종족이다. 손님·모집 직원·상인·포로·동맹 지원군으로 등장한다'이다. 다른 콘텐츠 1개가 이 정의를 참조한다. 게임 규칙은 module CharacterCombatAbilityDefinition, OffenseDamageEffect로 구성된다.","신체 anatomy:demon; 필요 {""chargeRateMultiplier"":1,""diet"":2,""hungerRateMultiplier"":1,""hygieneRateMultiplier"":1,""integrityWearMultiplier"":1,""metabolism"":0,""sleepRateMultiplier"":1,""socialNeedMultiplier"":0.8,""thirstRateMultiplier"":0.9,""treatment"":0}; 환경 {""airborneExposureMultiplier"":1,""comfortMaximum"":34,""comfortMinimum"":20,""comfortableAirMinimum"":60,""comfortableLightMaximum"":100,""comfortableLightMinimum"":40,""drynessSensitivity"":1,""lethalMaximum"":56,""lethalMinimum"":-2,""preferredHumidity"":0.5,""safeMaximum"":46,""safeMinimum"":10,""visualStrainMultiplier"":1}; 선호 시설 [""마나실"",""고급 객실"",""연구실""]; 강점 작업 [""work:research"",""work:guard""]; 약점 작업 [""work:clean"",""work:animal-care""]; 방어 성향 [""화염"",""번개"",""공포""]; 고향 세력 faction:dungeon:demon; 관계 [""화염"",""마력"",""고급""]; 사건 계약 저주: 대우가 계약 기대에 못 미치면 지정 서비스실에 저주 부담과 유지비를 남긴다.; 완화 역할 544; 체류 1; 재생산 {""fileID"":11400000,""guid"":""6fa47dcd9b9878842bf3d57635c67e03"",""type"":2}","이 종족의 환경·필요·선호 시설과 강점 작업에 맞춘 생산·방어·서비스 배치를 만든다. 약점 작업과 불리한 환경은 다른 종족·자동화·시설 투자로 메우며, 한 인구 구성이 모든 역할을 독점하지 못하게 한다.","비교 후보(대체 가능성 미검증): CharacterSpeciesSO:characterspecies:10, CharacterSpeciesSO:characterspecies:4, CharacterSpeciesSO:characterspecies:9, CharacterSpeciesSO:characterspecies:8, CharacterSpeciesSO:characterspecies:6, CharacterSpeciesSO:characterspecies:7, CharacterSpeciesSO:characterspecies:2, CharacterSpeciesSO:characterspecies:1, CharacterSpeciesSO:characterspecies:3","입주·고용·방문 또는 출생으로 인구에 합류 → 필요와 환경을 충족 → 선호 시설과 강점 작업에 배치 → 실제 작업·관계·사건 완화 기록을 남긴다.","필요·환경·시설·관계가 맞지 않으면 체류·작업·사건 압력이 누적된다. 인력을 다른 역할·환경·시설로 재배치하고, 대체 종족·교역·자동화·공간 재구성으로 회복한다.","전수 설계; needs·환경·작업·사건·관계·저장·수치 실행 검증 OPEN"
"characterspecies:6","코볼트","작성 목적은 '코볼트은(는) 심층 톱니굴을 대표하는 종족이다. 손님·모집 직원·상인·포로·동맹 지원군으로 등장한다'이다. 다른 콘텐츠 1개가 이 정의를 참조한다. 게임 규칙은 module CharacterCombatAbilityDefinition, OffenseDelayEffect로 구성된다.","신체 anatomy:kobold; 필요 {""chargeRateMultiplier"":1,""diet"":2,""hungerRateMultiplier"":0.85,""hygieneRateMultiplier"":1,""integrityWearMultiplier"":1,""metabolism"":0,""sleepRateMultiplier"":1,""socialNeedMultiplier"":0.9,""thirstRateMultiplier"":0.9,""treatment"":0}; 환경 {""airborneExposureMultiplier"":1,""comfortMaximum"":28,""comfortMinimum"":11,""comfortableAirMinimum"":60,""comfortableLightMaximum"":100,""comfortableLightMinimum"":40,""drynessSensitivity"":1,""lethalMaximum"":48,""lethalMinimum"":-10,""preferredHumidity"":0.5,""safeMaximum"":40,""safeMinimum"":-2,""visualStrainMultiplier"":1}; 선호 시설 [""정비실"",""채굴 작업장"",""좁은 숙소""]; 강점 작업 [""work:repair"",""work:refuel"",""work:quarry""]; 약점 작업 [""work:reception"",""work:perform""]; 방어 성향 [""기계"",""수리"",""탄약""]; 고향 세력 faction:dungeon:kobold; 관계 [""질서"",""협소"",""기계""]; 사건 부품 사재기: 불만이 커지면 실제 금속 부품과 탄약을 은닉 스택으로 옮긴다.; 완화 역할 1088; 체류 1; 재생산 {""fileID"":11400000,""guid"":""e1b6a6a491b5aeb499e1599c87b456d1"",""type"":2}","이 종족의 환경·필요·선호 시설과 강점 작업에 맞춘 생산·방어·서비스 배치를 만든다. 약점 작업과 불리한 환경은 다른 종족·자동화·시설 투자로 메우며, 한 인구 구성이 모든 역할을 독점하지 못하게 한다.","비교 후보(대체 가능성 미검증): CharacterSpeciesSO:characterspecies:10, CharacterSpeciesSO:characterspecies:4, CharacterSpeciesSO:characterspecies:5, CharacterSpeciesSO:characterspecies:9, CharacterSpeciesSO:characterspecies:8, CharacterSpeciesSO:characterspecies:7, CharacterSpeciesSO:characterspecies:2, CharacterSpeciesSO:characterspecies:1, CharacterSpeciesSO:characterspecies:3","입주·고용·방문 또는 출생으로 인구에 합류 → 필요와 환경을 충족 → 선호 시설과 강점 작업에 배치 → 실제 작업·관계·사건 완화 기록을 남긴다.","필요·환경·시설·관계가 맞지 않으면 체류·작업·사건 압력이 누적된다. 인력을 다른 역할·환경·시설로 재배치하고, 대체 종족·교역·자동화·공간 재구성으로 회복한다.","전수 설계; needs·환경·작업·사건·관계·저장·수치 실행 검증 OPEN"
"characterspecies:7","균사인","작성 목적은 '균사인은(는) 균사 심림을 대표하는 종족이다. 손님·모집 직원·상인·포로·동맹 지원군으로 등장한다'이다. 다른 콘텐츠 1개가 이 정의를 참조한다. 게임 규칙은 module CharacterCombatAbilityDefinition, OffenseHealEffect로 구성된다.","신체 anatomy:fungal; 필요 {""chargeRateMultiplier"":1,""diet"":0,""hungerRateMultiplier"":0.75,""hygieneRateMultiplier"":1,""integrityWearMultiplier"":1,""metabolism"":0,""sleepRateMultiplier"":1,""socialNeedMultiplier"":0.7,""thirstRateMultiplier"":1.2,""treatment"":0}; 환경 {""airborneExposureMultiplier"":1,""comfortMaximum"":22,""comfortMinimum"":8,""comfortableAirMinimum"":35,""comfortableLightMaximum"":100,""comfortableLightMinimum"":40,""drynessSensitivity"":1,""lethalMaximum"":40,""lethalMinimum"":-8,""preferredHumidity"":0.5,""safeMaximum"":32,""safeMinimum"":0,""visualStrainMultiplier"":1}; 선호 시설 [""재배실"",""퇴비실"",""약제실""]; 강점 작업 [""work:clean"",""work:treat"",""work:sow"",""work:harvest""]; 약점 작업 [""work:guard"",""work:perform""]; 방어 성향 [""독"",""포자"",""제독""]; 고향 세력 faction:dungeon:myconid; 관계 [""습기"",""오염"",""저온""]; 사건 포자 개화: 건조 노출과 불만이 겹치면 실제 포자 오염을 주변 셀에 생성한다.; 완화 역할 4352; 체류 1; 재생산 {""fileID"":11400000,""guid"":""248ae056a411d794eb831b8dd46ba2ae"",""type"":2}","이 종족의 환경·필요·선호 시설과 강점 작업에 맞춘 생산·방어·서비스 배치를 만든다. 약점 작업과 불리한 환경은 다른 종족·자동화·시설 투자로 메우며, 한 인구 구성이 모든 역할을 독점하지 못하게 한다.","비교 후보(대체 가능성 미검증): CharacterSpeciesSO:characterspecies:10, CharacterSpeciesSO:characterspecies:4, CharacterSpeciesSO:characterspecies:5, CharacterSpeciesSO:characterspecies:9, CharacterSpeciesSO:characterspecies:8, CharacterSpeciesSO:characterspecies:6, CharacterSpeciesSO:characterspecies:2, CharacterSpeciesSO:characterspecies:1, CharacterSpeciesSO:characterspecies:3","입주·고용·방문 또는 출생으로 인구에 합류 → 필요와 환경을 충족 → 선호 시설과 강점 작업에 배치 → 실제 작업·관계·사건 완화 기록을 남긴다.","필요·환경·시설·관계가 맞지 않으면 체류·작업·사건 압력이 누적된다. 인력을 다른 역할·환경·시설로 재배치하고, 대체 종족·교역·자동화·공간 재구성으로 회복한다.","전수 설계; needs·환경·작업·사건·관계·저장·수치 실행 검증 OPEN"
"characterspecies:8","하피","작성 목적은 '하피은(는) 폭풍 둥지을 대표하는 종족이다. 손님·모집 직원·상인·포로·동맹 지원군으로 등장한다'이다. 다른 콘텐츠 1개가 이 정의를 참조한다. 게임 규칙은 module CharacterCombatAbilityDefinition, OffenseDamageEffect로 구성된다.","신체 anatomy:avian; 필요 {""chargeRateMultiplier"":1,""diet"":2,""hungerRateMultiplier"":1.1,""hygieneRateMultiplier"":1,""integrityWearMultiplier"":1,""metabolism"":0,""sleepRateMultiplier"":1,""socialNeedMultiplier"":1.15,""thirstRateMultiplier"":1,""treatment"":0}; 환경 {""airborneExposureMultiplier"":1,""comfortMaximum"":25,""comfortMinimum"":7,""comfortableAirMinimum"":80,""comfortableLightMaximum"":100,""comfortableLightMinimum"":40,""drynessSensitivity"":1,""lethalMaximum"":44,""lethalMinimum"":-15,""preferredHumidity"":0.5,""safeMaximum"":36,""safeMinimum"":-5,""visualStrainMultiplier"":1}; 선호 시설 [""전망대"",""접수실"",""야외 휴식처""]; 강점 작업 [""work:guard"",""work:reception"",""work:hunt""]; 약점 작업 [""work:construct"",""work:quarry""]; 방어 성향 [""경보"",""원거리"",""외부-엄호""]; 고향 세력 faction:dungeon:harpy; 관계 [""야외"",""청정"",""개방""]; 사건 돌풍 소동: 불만이 폭발하면 loose stack을 삭제하지 않고 인접 통행 셀로 흩트린다.; 완화 역할 68; 체류 1; 재생산 {""fileID"":11400000,""guid"":""d9ac4fe8b62514040af4eb699ea293a6"",""type"":2}","이 종족의 환경·필요·선호 시설과 강점 작업에 맞춘 생산·방어·서비스 배치를 만든다. 약점 작업과 불리한 환경은 다른 종족·자동화·시설 투자로 메우며, 한 인구 구성이 모든 역할을 독점하지 못하게 한다.","비교 후보(대체 가능성 미검증): CharacterSpeciesSO:characterspecies:10, CharacterSpeciesSO:characterspecies:4, CharacterSpeciesSO:characterspecies:5, CharacterSpeciesSO:characterspecies:9, CharacterSpeciesSO:characterspecies:6, CharacterSpeciesSO:characterspecies:7, CharacterSpeciesSO:characterspecies:2, CharacterSpeciesSO:characterspecies:1, CharacterSpeciesSO:characterspecies:3","입주·고용·방문 또는 출생으로 인구에 합류 → 필요와 환경을 충족 → 선호 시설과 강점 작업에 배치 → 실제 작업·관계·사건 완화 기록을 남긴다.","필요·환경·시설·관계가 맞지 않으면 체류·작업·사건 압력이 누적된다. 인력을 다른 역할·환경·시설로 재배치하고, 대체 종족·교역·자동화·공간 재구성으로 회복한다.","전수 설계; needs·환경·작업·사건·관계·저장·수치 실행 검증 OPEN"
"characterspecies:9","골렘","작성 목적은 '골렘은(는) 석맥 주조소을 대표하는 종족이다. 손님·모집 직원·상인·포로·동맹 지원군으로 등장한다'이다. 다른 콘텐츠 1개가 이 정의를 참조한다. 게임 규칙은 module CharacterCombatAbilityDefinition, OffenseGuardEffect로 구성된다.","신체 anatomy:construct; 필요 {""chargeRateMultiplier"":1,""diet"":0,""hungerRateMultiplier"":0,""hygieneRateMultiplier"":0.6,""integrityWearMultiplier"":1,""metabolism"":1,""sleepRateMultiplier"":0.35,""socialNeedMultiplier"":0.3,""thirstRateMultiplier"":0,""treatment"":1}; 환경 {""airborneExposureMultiplier"":1,""comfortMaximum"":35,""comfortMinimum"":-5,""comfortableAirMinimum"":20,""comfortableLightMaximum"":100,""comfortableLightMinimum"":40,""drynessSensitivity"":1,""lethalMaximum"":65,""lethalMinimum"":-35,""preferredHumidity"":0.5,""safeMaximum"":50,""safeMinimum"":-20,""visualStrainMultiplier"":1}; 선호 시설 [""충전소"",""정비실"",""중량 하역장""]; 강점 작업 [""work:repair"",""work:haul"",""work:construct"",""work:plumbing""]; 약점 작업 [""work:research"",""work:reception""]; 방어 성향 [""방벽"",""중화기"",""시설-복구""]; 고향 세력 faction:dungeon:golem; 관계 [""질서"",""마력"",""기계""]; 사건 핵 과부하: 충전 부족과 손상이 겹치면 핵이 과열되어 시설을 파손할 수 있다.; 완화 역할 96; 체류 1; 재생산 {""fileID"":11400000,""guid"":""85daa7f4a37bfcd49b81de8cde7da45c"",""type"":2}","이 종족의 환경·필요·선호 시설과 강점 작업에 맞춘 생산·방어·서비스 배치를 만든다. 약점 작업과 불리한 환경은 다른 종족·자동화·시설 투자로 메우며, 한 인구 구성이 모든 역할을 독점하지 못하게 한다.","비교 후보(대체 가능성 미검증): CharacterSpeciesSO:characterspecies:10, CharacterSpeciesSO:characterspecies:4, CharacterSpeciesSO:characterspecies:5, CharacterSpeciesSO:characterspecies:8, CharacterSpeciesSO:characterspecies:6, CharacterSpeciesSO:characterspecies:7, CharacterSpeciesSO:characterspecies:2, CharacterSpeciesSO:characterspecies:1, CharacterSpeciesSO:characterspecies:3","입주·고용·방문 또는 출생으로 인구에 합류 → 필요와 환경을 충족 → 선호 시설과 강점 작업에 배치 → 실제 작업·관계·사건 완화 기록을 남긴다.","필요·환경·시설·관계가 맞지 않으면 체류·작업·사건 압력이 누적된다. 인력을 다른 역할·환경·시설로 재배치하고, 대체 종족·교역·자동화·공간 재구성으로 회복한다.","전수 설계; needs·환경·작업·사건·관계·저장·수치 실행 검증 OPEN"
