"event_id","event_family","planned_min_response_wu","planned_standard_response_wu","planned_max_response_wu","allocation_bps","reference_effective_wu_per_day","formula_key","formula_inputs","material_craft_wu_included","runtime_work_binding","numeric_status"
"guest-request:allergen-banquet","guest-request","54","54","54","0","0","guest-service-response@1","deadline=4;kg=7.2;market=200;facilities=1","false","guest request reservation, service and handoff work order","document-final-runtime-unbound"
"guest-request:bodyguard-kit","guest-request","81","81","81","0","0","guest-service-response@1","deadline=5;kg=15;market=648;facilities=1","false","guest request reservation, service and handoff work order","document-final-runtime-unbound"
"guest-request:coronation-feast","guest-request","43","43","43","0","0","guest-service-response@1","deadline=5;kg=4;market=108;facilities=1","false","guest request reservation, service and handoff work order","document-final-runtime-unbound"
"guest-request:disease-sample","guest-request","38","38","38","0","0","guest-service-response@1","deadline=6;kg=2.7;market=60;facilities=1","false","guest request reservation, service and handoff work order","document-final-runtime-unbound"
"guest-request:emergency-surgery","guest-request","58","58","58","0","0","guest-service-response@1","deadline=2;kg=4.5;market=705;facilities=1","false","guest request reservation, service and handoff work order","document-final-runtime-unbound"
"guest-request:flood-refuge","guest-request","63","63","63","0","0","guest-service-response@1","deadline=4;kg=10;market=300;facilities=1","false","guest request reservation, service and handoff work order","document-final-runtime-unbound"
"guest-request:memorial-performance","guest-request","37","37","37","0","0","guest-service-response@1","deadline=5;kg=2;market=160;facilities=1","false","guest request reservation, service and handoff work order","document-final-runtime-unbound"
"guest-request:militia-arms","guest-request","61","61","61","0","0","guest-service-response@1","deadline=4;kg=9;market=330;facilities=1","false","guest request reservation, service and handoff work order","document-final-runtime-unbound"
"guest-request:monster-circus","guest-request","28","28","28","0","0","guest-service-response@1","deadline=6;kg=0;market=0;facilities=1","false","guest request reservation, service and handoff work order","document-final-runtime-unbound"
"guest-request:persecuted-family","guest-request","51","51","51","0","0","guest-service-response@1","deadline=3;kg=6;market=12;facilities=1","false","guest request reservation, service and handoff work order","document-final-runtime-unbound"
"guest-request:plague-screening","guest-request","39","39","39","0","0","guest-service-response@1","deadline=3;kg=1.68;market=90;facilities=1","false","guest request reservation, service and handoff work order","document-final-runtime-unbound"
"guest-request:precision-barter","guest-request","66","66","66","0","0","guest-service-response@1","deadline=7;kg=8.6;market=1160;facilities=1","false","guest request reservation, service and handoff work order","document-final-runtime-unbound"
"guest-request:sealed-archive","guest-request","34","34","34","0","0","guest-service-response@1","deadline=8;kg=1.8;market=44;facilities=1","false","guest request reservation, service and handoff work order","document-final-runtime-unbound"
"guest-request:winter-fuel-auction","guest-request","47","47","47","0","0","guest-service-response@1","deadline=5;kg=5.4;market=84;facilities=1","false","guest request reservation, service and handoff work order","document-final-runtime-unbound"
