"event_id","event_family","planned_min_response_wu","planned_standard_response_wu","planned_max_response_wu","allocation_bps","reference_effective_wu_per_day","formula_key","formula_inputs","material_craft_wu_included","runtime_work_binding","numeric_status"
"faction-contract:beastkin:crisis","faction-contract","37","37","37","0","0","contract-dispatch-response@1","kind=1;deadline=7;kg=0.9;market=105;facilities=0","false","contract cargo dispatch and delivery work order","document-final-runtime-unbound"
"faction-contract:beastkin:strategic","faction-contract","181","181","181","0","0","contract-dispatch-response@1","kind=2;deadline=45;kg=40;market=1968;facilities=0","false","contract cargo dispatch and delivery work order","document-final-runtime-unbound"
"faction-contract:beastkin:supply","faction-contract","40","40","40","0","0","contract-dispatch-response@1","kind=0;deadline=20;kg=6.4;market=104;facilities=0","false","contract cargo dispatch and delivery work order","document-final-runtime-unbound"
"faction-contract:demon:crisis","faction-contract","44","44","44","0","0","contract-dispatch-response@1","kind=1;deadline=7;kg=2.4;market=345;facilities=0","false","contract cargo dispatch and delivery work order","document-final-runtime-unbound"
"faction-contract:demon:strategic","faction-contract","180","180","180","0","0","contract-dispatch-response@1","kind=2;deadline=45;kg=42.3;market=1152;facilities=0","false","contract cargo dispatch and delivery work order","document-final-runtime-unbound"
"faction-contract:demon:supply","faction-contract","41","41","41","0","0","contract-dispatch-response@1","kind=0;deadline=20;kg=7.2;market=72;facilities=0","false","contract cargo dispatch and delivery work order","document-final-runtime-unbound"
"faction-contract:golem:crisis","faction-contract","42","42","42","0","0","contract-dispatch-response@1","kind=1;deadline=7;kg=2.35;market=108;facilities=0","false","contract cargo dispatch and delivery work order","document-final-runtime-unbound"
"faction-contract:golem:strategic","faction-contract","127","127","127","0","0","contract-dispatch-response@1","kind=2;deadline=45;kg=19.2;market=2760;facilities=0","false","contract cargo dispatch and delivery work order","document-final-runtime-unbound"
"faction-contract:golem:supply","faction-contract","33","33","33","0","0","contract-dispatch-response@1","kind=0;deadline=20;kg=4.2;market=182;facilities=0","false","contract cargo dispatch and delivery work order","document-final-runtime-unbound"
"faction-contract:harpy:crisis","faction-contract","39","39","39","0","0","contract-dispatch-response@1","kind=1;deadline=7;kg=1.68;market=90;facilities=0","false","contract cargo dispatch and delivery work order","document-final-runtime-unbound"
"faction-contract:harpy:strategic","faction-contract","106","106","106","0","0","contract-dispatch-response@1","kind=2;deadline=45;kg=14.1;market=2172;facilities=0","false","contract cargo dispatch and delivery work order","document-final-runtime-unbound"
"faction-contract:harpy:supply","faction-contract","41","41","41","0","0","contract-dispatch-response@1","kind=0;deadline=20;kg=7.2;market=56;facilities=0","false","contract cargo dispatch and delivery work order","document-final-runtime-unbound"
"faction-contract:kobold:crisis","faction-contract","42","42","42","0","0","contract-dispatch-response@1","kind=1;deadline=7;kg=2.5;market=108;facilities=0","false","contract cargo dispatch and delivery work order","document-final-runtime-unbound"
"faction-contract:kobold:strategic","faction-contract","94","94","94","0","0","contract-dispatch-response@1","kind=2;deadline=45;kg=16.2;market=396;facilities=0","false","contract cargo dispatch and delivery work order","document-final-runtime-unbound"
"faction-contract:kobold:supply","faction-contract","33","33","33","0","0","contract-dispatch-response@1","kind=0;deadline=20;kg=4.2;market=182;facilities=0","false","contract cargo dispatch and delivery work order","document-final-runtime-unbound"
"faction-contract:myconid:crisis","faction-contract","47","47","47","0","0","contract-dispatch-response@1","kind=1;deadline=7;kg=4.6;market=84;facilities=0","false","contract cargo dispatch and delivery work order","document-final-runtime-unbound"
"faction-contract:myconid:strategic","faction-contract","106","106","106","0","0","contract-dispatch-response@1","kind=2;deadline=45;kg=14.1;market=2172;facilities=0","false","contract cargo dispatch and delivery work order","document-final-runtime-unbound"
"faction-contract:myconid:supply","faction-contract","31","31","31","0","0","contract-dispatch-response@1","kind=0;deadline=20;kg=4;market=32;facilities=0","false","contract cargo dispatch and delivery work order","document-final-runtime-unbound"
