"encounter_id","source_path","site_strength","elite","boss","enemy_composition","enemy_count_min","enemy_count_max","enemy_health_multiplier","enemy_damage_multiplier","enemy_accuracy_multiplier","objective","objective_round_limit","objective_health_multiplier","objective_control_resistance","objective_target","battlefield_modifiers","counter_tags","reward_items","reward_item_unit_value","final_value_source","static_status"
"encounter:01","Assets/Resources/SO/Offense/Encounters/encounter_01.asset","1-4","0","0","enemy:crown-levy×1-2|enemy:crown-tower-guard×1-2","2","4","—","—","—","0","0","—","—","battlefieldModifierIds:","battlefield:narrow-bridge","counter:reach|counter:break-formation","offense:unappraised-loot","19","serialized OffenseEncounterSO asset + item-numeric-ledger.csv","locked"
"encounter:02","Assets/Resources/SO/Offense/Encounters/encounter_02.asset","1-4","0","0","enemy:crown-tower-guard×1-2|enemy:crown-longbow×1-2","2","4","—","—","—","1","8","—","—","battlefieldModifierIds:","battlefield:broken-pillars","counter:flank|counter:armor-break","offense:unappraised-loot","19","serialized OffenseEncounterSO asset + item-numeric-ledger.csv","locked"
"encounter:03","Assets/Resources/SO/Offense/Encounters/encounter_03.asset","1-4","0","0","enemy:legion-arquebus×1-2|enemy:legion-pavise×1-2|enemy:legion-surgeon×1-2","3","6","1","1","1","2","6","2.6","1","target:field-medic","battlefield:elevated-gallery","counter:anti-air|counter:smoke|counter:guard-backline","offense:unappraised-loot","19","serialized OffenseEncounterSO asset + item-numeric-ledger.csv","locked"
"encounter:04","Assets/Resources/SO/Offense/Encounters/encounter_04.asset","1-4","0","0","enemy:inquisition-censor×1-2|enemy:inquisition-ward-knight×1-2|enemy:inquisition-purifier×1-2","3","6","0.122","1","1","3","9","0.8","1","target:war-device","battlefield:flooded-floor","counter:insulated|counter:mana-disrupt|counter:focus-support","offense:unappraised-loot","19","serialized OffenseEncounterSO asset + item-numeric-ledger.csv","locked"
"encounter:05","Assets/Resources/SO/Offense/Encounters/encounter_05.asset","2-5","1","0","enemy:rival-stormcaller×1-2|enemy:rival-packbreaker×1-2","2","4","—","—","—","4","8","—","—","battlefieldModifierIds:","battlefield:civilian-corridor","counter:precision|counter:anti-air|counter:guard-backline","offense:unappraised-loot","19","serialized OffenseEncounterSO asset + item-numeric-ledger.csv","locked"
"encounter:06","Assets/Resources/SO/Offense/Encounters/encounter_06.asset","2-5","0","1","enemy:truth-sealkeeper×1-1|enemy:truth-null-warden×1-2","2","3","2.53","1","1","5","6","1","1.5","enemy:truth-sealkeeper","battlefield:unstable-device","counter:sabotage|counter:mundane|counter:nonlethal","offense:unappraised-loot","19","serialized OffenseEncounterSO asset + item-numeric-ledger.csv","locked"
"encounter:07","Assets/Resources/SO/V20/Combat/Encounters/encounter_07.asset","2-5","0","0","enemy:legion-pavise×1-2|enemy:legion-pikeman×1-2","2","4","—","—","—","0","0","—","—","battlefieldModifierIds:","battlefield:sealed-exit","counter:engineering|counter:flank","offense:unappraised-loot","19","serialized OffenseEncounterSO asset + item-numeric-ledger.csv","locked"
"encounter:08","Assets/Resources/SO/V20/Combat/Encounters/encounter_08.asset","2-5","0","0","enemy:legion-arquebus×1-2|enemy:legion-pavise×1-2","2","4","—","—","—","1","8","—","—","battlefieldModifierIds:","battlefield:hostage-chain","counter:nonlethal|counter:smoke-hood|counter:rush","offense:unappraised-loot","19","serialized OffenseEncounterSO asset + item-numeric-ledger.csv","locked"
"encounter:09","Assets/Resources/SO/V20/Combat/Encounters/encounter_09.asset","3-6","0","0","enemy:legion-surgeon×1-2|enemy:legion-pikeman×1-2|enemy:legion-arquebus×1-2","3","6","—","—","—","2","7","—","—","target:field-medic","battlefield:mana-storm","counter:mana-grounding|counter:interrupt-heal","offense:unappraised-loot","19","serialized OffenseEncounterSO asset + item-numeric-ledger.csv","locked"
"encounter:10","Assets/Resources/SO/V20/Combat/Encounters/encounter_10.asset","3-6","1","0","enemy:legion-captain×1-2|enemy:legion-pavise×1-2","2","4","0.503","1","1","3","7","0.25","1","target:war-device","battlefield:powder-smoke","counter:smoke-hood|counter:isolate-leader|counter:sabotage","offense:unappraised-loot","19","serialized OffenseEncounterSO asset + item-numeric-ledger.csv","locked"
