document,title,authority_kind,local_link_count,broken_local_link_count,heading_count
docs_final/architecture/01-modules-composition-and-ports.md,01. 모듈 경계와 런타임 조립,implementation-architecture,1,0,24
docs_final/architecture/02-domain-model-state-and-commands.md,02. 도메인 상태와 명령 경계,implementation-architecture,1,0,16
docs_final/architecture/03-content-capabilities-and-dispatch.md,03. 콘텐츠 조립과 런타임 디스패치,implementation-architecture,1,0,22
docs_final/architecture/04-workflows-events-and-presentation.md,"04. 응용 워크플로, 사건과 프레젠테이션",implementation-architecture,1,0,17
docs_final/architecture/05-persistence-transactions-and-idempotency.md,"05. 저장, 복원과 중복 실행 방지",implementation-architecture,1,0,21
docs_final/architecture/06-extension-playbook-and-assessment.md,06. 확장 실무와 엄격 평가,implementation-architecture,1,0,40
docs_final/architecture/07-history-driven-evolution-architecture.md,07. 사용 이력 기반 진화 아키텍처,implementation-architecture,2,0,16
docs_final/architecture/08-whole-runtime-topology.md,08. 전체 런타임 구조,implementation-architecture,24,0,10
docs_final/architecture/09-state-authority-ledger.md,09. 상태 권위 원장,implementation-architecture,3,0,10
docs_final/architecture/10-cross-domain-transactions.md,10. 도메인 간 거래와 실패 경계,implementation-architecture,4,0,23
docs_final/architecture/11-runtime-scheduling-and-projections.md,11. 런타임 스케줄링과 읽기 투영,implementation-architecture,3,0,14
docs_final/architecture/code-architecture-guide.md,DungeonStory 코드 아키텍처,implementation-architecture,17,0,5
docs_final/architecture/systems/01-character-ai-and-behavior.md,캐릭터 AI와 행동 실행,implementation-architecture,0,0,9
docs_final/architecture/systems/02-grid-spatial-and-pathfinding.md,"그리드, 공간 질의와 경로 탐색",implementation-architecture,0,0,9
docs_final/architecture/systems/03-buildings-construction-and-rooms.md,"건물 배치, 건설과 방 판정",implementation-architecture,1,0,8
docs_final/architecture/systems/04-work-orders-and-labor.md,"작업 주문, 노동 배정과 실행",implementation-architecture,0,0,9
docs_final/architecture/systems/05-items-inventory-and-hauling.md,"아이템, 재고, 예약과 운반",implementation-architecture,0,0,10
docs_final/architecture/systems/06-production-and-output-routing.md,"생산, 제작식과 출력 인계",implementation-architecture,0,0,9
docs_final/architecture/systems/07-industrial-networks-and-automation.md,"전력, 유체, 컨베이어와 자동화",implementation-architecture,0,0,10
docs_final/architecture/systems/08-character-life-needs-and-society.md,"캐릭터 생애, 욕구와 사회 상태",implementation-architecture,0,0,8
docs_final/architecture/systems/09-medical-disease-and-body-health.md,"의료, 질병과 신체 상태",implementation-architecture,0,0,7
docs_final/architecture/systems/10-environment-survival-and-sanitation.md,"환경장, 생존과 공간 위생",implementation-architecture,0,0,8
docs_final/architecture/systems/11-wildlife-agriculture-and-husbandry.md,"야생동물, 농업과 축산",implementation-architecture,0,0,9
docs_final/architecture/systems/12-combat-equipment-and-damage.md,"전투, 장비와 피해 처리",implementation-architecture,2,0,10
docs_final/architecture/systems/13-defense-invasion-and-threat.md,"방어, 침입과 위협 대응",implementation-architecture,0,0,8
docs_final/architecture/systems/14-offense-expeditions-and-world-map.md,"원정, 월드맵과 전략 전투",implementation-architecture,1,0,9
docs_final/architecture/systems/15-research-progression-and-meta.md,"연구, 해금과 런 진행",implementation-architecture,0,0,8
