stable_id,target_integration,actual_cause,locked_context,meaningful_choices,domain_execution,completion_receipt,persistent_trace,future_reaction,current_status
faction-contract:beastkin:supply,C4,"붉은발톱 교역소의 식량 부족과 던전의 실제 염장 고기찌개 비축·조리 이력이 동시에 계약 후보를 만든다","붉은발톱 세력·염장 고기찌개 묶음·조리와 저장 시설·카라반 경로·기한","정기 화물을 조리·보관·호위해 납품; 부족분을 사냥·교역으로 실제 조달해 지연 납품; 계약을 축소하거나 중단하고 내부 비축을 지킨다","물품 예약·조리·운반·카라반 적재·경로 호위 또는 계약 변경","정확한 물량 인계·도착·기한·소비 또는 반송 기록","식량 공급 의무·붉은발톱 신뢰·교역소 식량 안정성·내부 비축 압력","육류 교역·사냥 지원·성인 영입·기근 위기와 다음 계약 후보",정의는 선택지 0으로 기록됨; C4 화물·경로·세력 반응 runtime 필요
faction-contract:beastkin:crisis,C4,"교역소의 부상 또는 전염 위기와 던전의 실제 표준 의약품·병상·의료진 가용성이 확인될 때 후보가 생긴다","붉은발톱 환자·의약품 묶음·의료진·수송 경로·격리 또는 치료 시설","의약품과 의료진을 보내 현장 치료; 환자를 던전 병상으로 이송해 치료; 물자 대신 경비·호위로 의료 카라반 통로를 확보","의약품 예약·수송·환자 이동·병상 예약·치료·호위 작업","치료 또는 사망·의약품 소비·안전한 이동·기한 결과","의료 지원 의무·환자 관계 기억·세력 생존 감사·의약품 비축 손실","의료 계약·지원군 요청·세력 장·교역소 보급과 보복 반응",정의는 선택지 0으로 기록됨; C4 의료·수송·세력 반응 runtime 필요
faction-contract:beastkin:strategic,C4,"교역소의 장기 방어 수요와 던전의 실제 탑방패 생산·정비·예비 장비 상태가 확인될 때 후보가 생긴다","붉은발톱 방어대·탑방패 인스턴스·대장 작업대·호위 경로·공동 방어 의무","완성 방패를 납품하고 정비 교육을 제공; 방패를 빌려 공동 경비를 편성; 납품을 거절하고 자체 요새 비축을 보존","장비 인스턴스 지정·정비·운반·교육 또는 경비 배치·계약 종결","장착 가능한 장비 인계·훈련 완료·공동 경비 결과·반환 또는 손실","공동 방어 의무·장비 역사·세력 군사 신뢰·자체 방어 공백","동맹 방위·지원군·경쟁 세력 경계·공성 계약과 침입 구성",정의는 선택지 0으로 기록됨; C4 장비·훈련·세력 반응 runtime 필요
faction-contract:demon:supply,C4,"잿빛 계약정의 기록·계약 서류 수요와 던전의 실제 종이 생산·보관·행정 작업이 후보를 만든다","데몬 세력·종이 묶음·문서 보관소·행정 담당자·카라반 경로·기한","규격 종이를 생산·봉인해 납품; 다른 세력과 교역해 종이를 조달한 뒤 납품; 계약 물량을 줄이고 내부 연구 기록을 보존","제작·보관·봉인·화물 이전·교역·계약 변경","물량·봉인·도착·수령 확인 또는 변경 합의","문서 공급 의무·계약정 신뢰·행정 기록·내부 연구 재료 압력","추가 계약·법적 통행권·정보 교환·계약 위반 분기",정의는 선택지 0으로 기록됨; C4 화물·문서·세력 반응 runtime 필요
faction-contract:demon:crisis,C4,"계약정의 룬 기반시설 고장과 던전의 실제 룬 도체·정비 인력·마나 부하 여유가 함께 확인될 때 후보가 생긴다","데몬 시설·룬 도체·정비자·마나 저장·수송 경로·공명 상태","도체와 정비자를 보내 현장 복구; 고장 부하를 던전 마나망으로 임시 우회; 위험을 거절하고 대신 격리·정보 지원을 제공","부품 예약·운반·현장 수리·마나 부하 전환·격리 또는 정보 전달","도체 소비·시설 복구 또는 격리·마나 부하 결과·기한 판정","공명 지원 의무·계약정 기반시설 상태·마나망 피로·세력 신뢰","비전 계약·마나 교역·공명 사고·세력 장과 후속 요구",정의는 선택지 0으로 기록됨; C4 수리·마나·세력 반응 runtime 필요
faction-contract:demon:strategic,C4,"계약정의 장기 행정 통합 제안과 던전의 실제 행정 인장·권위 시설·담당자 이력이 후보를 만든다","데몬 세력·행정 인장·문서실 또는 청문 공간·담당자·경쟁 세력 관계","인장을 납품해 통행·계약 권한을 얻음; 공동 행정관을 파견해 의무를 공유; 인장을 보존하고 개별 계약만 유지","고유 도구 보관·인계·담당자 이동·회의·새 계약 권한 또는 거절 기록","인장 인계 또는 보존·회의 결론·새 통행권·의무 등록","행정 의무·계약정 신뢰·경쟁 세력의 경계·고유 인장 이력","장기 계약·세력 장·동맹/원한·문명 목표의 외교 조건",정의는 선택지 0으로 기록됨; C4 고유 자산·회의·세력 반응 runtime 필요
faction-contract:golem:supply,C4,"돌맥 주조소의 기계 부품 부족과 던전의 실제 부품 생산·보관·물류 여유가 확인될 때 후보가 생긴다","골렘 세력·기계 부품 묶음·공장 또는 창고·수송 경로·정비 우선순위","부품을 정기 생산·납품; 외부 조달 부품을 운반해 납품; 계약을 중단하고 던전 자동화의 예비 부품을 보존","제작·재고 예약·운반·카라반 적재·계약 조정","부품 인계·도착·수령·내부 공장 부하 변화","부품 공급 의무·주조소 생산 안정성·자체 자동화 예비품 감소","정비 계약·산업 교역·골렘 영입·공장 사고와 후속 주문",정의는 선택지 0으로 기록됨; C4 생산·물류·세력 반응 runtime 필요
faction-contract:golem:crisis,C4,"주조소의 조립선 고장과 던전의 실제 정비 키트·수리자·경로 가용성이 후보를 만든다","고장 조립선·정비 키트·수리자·전력 또는 마나 연결·수송 경로","정비 키트를 보내 현장 수리; 수리자를 파견해 조립선을 복구; 던전 공장에 대체 주문을 받아 생산 공백을 흡수","키트 예약·운반·수리 주문·작업자 이동·대체 생산 주문","키트 소비·수리 완료 또는 대체 생산 납품·기한 결과","정비 지원 의무·주조소 가동 상태·수리자 공백·세력 신뢰","산업 지원·골렘 부품 교역·공장 공동 정비·후속 위기",정의는 선택지 0으로 기록됨; C4 수리·생산·세력 반응 runtime 필요
faction-contract:golem:strategic,C4,"주조소의 룬 동력 확장 제안과 던전의 실제 룬 도체 비축·마나망·장기 산업 목표가 확인될 때 후보가 생긴다","골렘 세력·룬 도체 묶음·마나 시설·공장 계획·세력 의무","도체를 납품해 공동 자동화 연구를 연다; 도체를 빌려 전력 부하를 공동 운영; 거절하고 자체 룬망 확장을 우선한다","부품 인계·마나 부하 계약·공동 연구 또는 거절·시설 계획 갱신","도체 인계 또는 반환·공동 부하 결과·산업 해금 또는 독자 투자 기록","공동 산업 의무·마나 부하·주조소 신뢰·자체 비전 자산의 매몰비용","룬 자동화·골렘 영입·세력 장·경쟁 세력의 산업 대응",정의는 선택지 0으로 기록됨; C4 부품·마나·연구·세력 반응 runtime 필요
faction-contract:harpy:supply,C4,"폭풍둥지의 로프 수요와 던전의 실제 섬유·로프 생산·고지 물류 경로가 확인될 때 후보가 생긴다","하피 세력·로프 묶음·섬유 작업대·적재 지점·수송 경로·날씨","규격 로프를 생산·호위 납품; 고지 운반을 하피에게 맡기고 대가를 지불; 폭풍을 피해 납품을 연기하고 내부 비축을 유지","제작·적재·경로 선택·호위 또는 운송 계약·기한 변경","로프 인계·경로 통과·날씨·수령 또는 지연 합의","운송 의무·폭풍둥지 신뢰·고지 경로 접근·섬유 비축 압력","수직 물류·정찰 지원·기후 경보·다음 카라반 조건",정의는 선택지 0으로 기록됨; C4 물류·날씨·세력 반응 runtime 필요
