stable_id,display_name,problem,solution_family,portfolio_role,player_commitment,delayed_alternative,weakness_and_pressure,activation_receipt,transition_or_recovery,first_milestone_skip,balance_and_implementation_status
research:defense:watch,경계 근무,방어와 외부 위협,기초 경계·분산 경비,입문,"당직·순찰·경보 절차와 최소 경비 노동을 일상 운영에 배정한다",생산·연구·환대 인력과 시설 투자,"경비 공백·경보 피로·긴 순찰 경로·잘못된 경보",실제 순찰·발견·경보·대응 작업이 이어진 기록,"지역 경비·수동 경보·비핵심 작업 중지로 초기 침입을 견딘다",가능,"설계 확정; 경비 노동·경보·순찰 범위·주의력은 밸런스 기준 배정; 실제 가동·사건 연결 검증 OPEN"
research:defense:fortification,요새화,방어와 외부 위협,복도 요새,입문,"통로·벽·방어 설비·수리 접근을 특정 침입 방향에 결속한다",기동 민병대·동맹 방위·원정 준비,"우회 경로·내부 사고·공간 점유·수리와 보급 병목",실제 침입이 강화 통로·방어 설비·수리·보급을 거쳐 저지된 기록,"경비 이동·구역 차단·피난·수동 방어로 요새 손상을 수습한다",가능,"설계 확정; 건설 BOM·공간·방어 효과·수리·보급은 밸런스 기준 배정; 실제 가동·사건 연결 검증 OPEN"
research:defense:ranged-positions,사격 방책,방어와 외부 위협,복도 요새·원거리 방어,확장,"엄폐·사선·탄약·궁수 배치를 통로와 방어 구역에 결속한다",근접 경비·기동군·함정 자동화,"사선 상실·탄약 부족·궁수 부상·우회 침투",실제 위치·장착 장비·탄약이 침입 대응에 사용된 기록,"근접 경비·낙하문·철수 동선으로 사격선 붕괴를 보완한다",가능,"설계 확정; 사선·엄폐·탄약·장비·공간은 밸런스 기준 배정; 실제 가동·사건 연결 검증 OPEN"
research:defense:corridor-mechanisms,복도 기구학,방어와 외부 위협,복도 요새,확장,"감지기·문 연동·발동 순서·정비를 좁은 통로의 실제 방어 과정에 배정한다",기동 인력·동맹·원정·다른 기반 투자,"감지 오판·기구 고장·아군 동선 차단·정비 부품 부족",실제 감지·문 작동·침입 지연·수리 결과가 남은 기록,"수동 문 조작·우회 통로·경비 배치로 기구 장애를 수습한다",가능,"설계 확정; 발동 규칙·정비·공간·안전·주의력은 밸런스 기준 배정; 실제 가동·사건 연결 검증 OPEN"
research:defense:supply,방어 보급학,방어와 외부 위협,요새·군수 보급,확장,"탄약·촉매·수리 부품·보급고·운반 우선순위를 방어 시설과 묶는다",생활재·산업 부품·원정 보급 투자,"보급 지연·탄약 과잉·재고 고갈·방어선 접근 차단",실제 탄약·부품이 방어 설비와 장비에 도착하고 소비된 기록,"수동 운반·보급 분산·장비 교체·구역 방어로 공급 차단을 넘긴다",가능,"설계 확정; 보급량·운반·버퍼·소모·공간은 밸런스 기준 배정; 실제 가동·사건 연결 검증 OPEN"
research:defense:tactical-command,전술 지휘,방어와 외부 위협,복도 요새·기동군 전환,전환 연결,"다중 경비·교대·전선·훈련·보급을 지휘 시설과 실제 인력 배치에 결속한다",새 요새·원정·동맹 계약·생산 확장,"지휘 인력 부상·교대 공백·정보 지연·전선 과집중",실제 경비 교대·우선순위·방어 또는 원정 준비가 지휘 기록을 소비한 기록,"지역 자율 경비·보급 우선순위·피난 계획으로 지휘 공백을 수습한다",가능,"설계 확정; 교대·지휘 범위·인력·경보·주의력은 밸런스 기준 배정; 실제 가동·사건 연결 검증 OPEN"
research:defense:remote-control,원격 통제,방어와 외부 위협,자동화 요새,확장,"방어 통제대·전력·발동 구역·정비를 멀리 있는 방어 설비에 배정한다",기동 경비·새 군수 장비·서비스 자동화,"정전·통신 장애·잘못된 구역 전환·정비 복잡성",실제 통제 정책이 방어 설비의 발동·정지·보급 우선순위를 바꾼 기록,"현장 수동 조작·구역 차단·경비 이동으로 원격 통제 장애를 수습한다",가능,"설계 확정; 전력·통제 지연·정비·오작동·주의력은 밸런스 기준 배정; 실제 가동·사건 연결 검증 OPEN"
research:defense:rune-identification,룬 식별,방어와 외부 위협,룬 감지·선별 방어,전환 연결,"룬 감지·허용 목록·정비·마나 부하를 출입과 자동 방어의 판정에 결속한다",물리 경비·기계 감지·동맹 방위,"식별 오류·공명 교란·마나 고갈·문화·세력 오판",실제 대상 식별이 접근 정책 또는 방어 발동 결과를 바꾼 기록,"수동 신원 확인·경비 호위·기계식 방어로 룬 식별 실패를 보완한다",가능,"설계 확정; 식별 정확도·마나·오판·보안 비용은 밸런스 기준 배정; 실제 가동·사건 연결 검증 OPEN"
research:defense:siege-fortification,공성 요새화,방어와 외부 위협,공성 복도 요새,주력 정착,"강화 낙하문·벽면 사격·중장갑 대응·수리와 군수 비축을 공성 방향에 집중한다",기동군·동맹 지원·선제 원정·민간 확장,"공간 잠김·중량 탄약·수리 부품·우회·내부 공작",실제 공성 침입에서 강화 구조·사격·보급·수리가 함께 작동한 기록,"피난 구역·동맹 지원·기동 차단·수동 수리로 대형 손상을 복구한다",가능,"설계 확정; 구조 BOM·공성 상성·보급·수리·공간은 밸런스 기준 배정; 실제 가동·사건 연결 검증 OPEN"
research:defense:alliance-signals,동맹 신호학,방어와 외부 위협,동맹 방위,주력 정착,"신호 시설·통행 경로·세력 의무·지원군 보급을 외부 방어망에 결속한다",자체 요새·기동군·선제 원정·내부 산업,"지원 지연·의무 충돌·배신·경로 차단·타 세력 원한",실제 지원 요청·경로 생성·보급·도착과 의무 소비가 이어진 기록,"자체 경비·요새·재협상·피난으로 지원 실패를 넘긴다",가능,"설계 확정; 지원 규모·쿨다운·의무·경로·보급은 밸런스 기준 배정; 실제 가동·사건 연결 검증 OPEN"
