path,line,owner_type,owner_symbol,receiver,event_type,type_resolution,game_event_bus,evidence
Assets/Scripts/Models/Captivity/Core/CaptivityPerformerRuntime.cs,200,CaptivityPerformerRuntime,CaptivityPerformerRuntime,port,CaptivePerformerMilestoneEvent,new-expression,no:known-non-event-publisher,port.Publish(new CaptivePerformerMilestoneEvent(
Assets/Scripts/Models/Operation/Core/EventAlertService.cs,21,GameEventBusAlertExtensions,<unknown>,gameEventBus,EventAlertRequestedEvent,new-expression,yes:declared-IGameEventBus,gameEventBus.Publish(
Assets/Scripts/Models/Survival/Core/CharacterConsumablesRuntime.cs,2521,MealOperationFailureState,ItemStackId,events,CharacterConsumablesMealConsumedEvent,new-expression,likely:name-convention,events.Publish(new CharacterConsumablesMealConsumedEvent(
Assets/Scripts/Services/Buildings/BuildableObject.cs,982,BuildableObject,<unknown>,GameEventBus,<generic:TEvent>,generic-wrapper-type-parameter,yes:declared-IGameEventBus,GameEventBus.Publish(gameEvent);
Assets/Scripts/Services/Captivity/CaptivityEscapeRuntime.cs,303,PendingInvasionEscape,PendingInvasionEscape,gameEventBus,CaptiveEscapedEvent,new-expression,yes:declared-IGameEventBus,gameEventBus.Publish(new CaptiveEscapedEvent(
Assets/Scripts/Services/Captivity/CaptivityInterrogationInformationRuntime.cs,184,CaptivityInterrogationInformationRuntime,CharacterId,gameEventBus,EventAlertRequestedEvent,new-expression,yes:declared-IGameEventBus,gameEventBus.Publish(new EventAlertRequestedEvent(
Assets/Scripts/Services/Captivity/CaptivityRuntime.cs,1380,CaptivityRuntime,<unknown>,gameEventBus,CaptiveEscapedEvent,new-expression,yes:declared-IGameEventBus,gameEventBus.Publish(new CaptiveEscapedEvent(
Assets/Scripts/Services/Captivity/CaptivityRuntime.cs,1457,CaptivityRuntime,EconomyTransactionContext,gameEventBus,CaptiveRansomedEvent,new-expression,yes:declared-IGameEventBus,gameEventBus.Publish(new CaptiveRansomedEvent(
Assets/Scripts/Services/Captivity/CaptivityRuntime.cs,1496,CaptivityRuntime,EconomyTransactionContext,gameEventBus,PrisonerDecisionEvent,new-expression,yes:declared-IGameEventBus,gameEventBus.Publish(new PrisonerDecisionEvent(
Assets/Scripts/Services/Captivity/CaptivityRuntime.cs,1721,CaptivityRuntime,CharacterId,gameEventBus,CaptiveEscapedEvent,new-expression,yes:declared-IGameEventBus,gameEventBus.Publish(new CaptiveEscapedEvent(
Assets/Scripts/Services/Captivity/CaptivityUnityEffectsAdapter.cs,41,CaptivityUnityEffectsAdapter,CaptivityUnityEffectsAdapter,events,CaptivePerformerMilestoneEvent,lexical-variable-declaration,yes:declared-IGameEventBus,events.Publish(gameEvent);
Assets/Scripts/Services/Character/Ability/AbilityWork.cs,282,AbilityWork,AbilityWorkNoopFloatingIconFeedbackService,identityEvents,WorkCompletedIdentityEvent,new-expression,likely:name-convention,identityEvents?.Publish(new WorkCompletedIdentityEvent(
Assets/Scripts/Services/Character/AI/CharacterAiMacroDecisionRunner.cs,155,CharacterAiMacroDecisionRunner,CharacterAiMacroDecisionRunner,identityEvents,SocialConflictEvent,new-expression,likely:name-convention,identityEvents.Publish(new SocialConflictEvent(
Assets/Scripts/Services/Character/CharacterLifeApplicationAdapter.cs,81,CharacterLifeApplicationAdapter,CharacterLifeApplicationAdapter,events,CharacterAgeConditionChangedEvent,new-expression,yes:declared-IGameEventBus,events.Publish(new CharacterAgeConditionChangedEvent(changes[index]));
Assets/Scripts/Services/Character/CharacterLifeApplicationAdapter.cs,90,in,CharacterLifeApplicationAdapter,events,CharacterLifeStageChangedEvent,new-expression,yes:declared-IGameEventBus,events.Publish(new CharacterLifeStageChangedEvent(
Assets/Scripts/Services/Character/CharacterLifePublicationService.cs,152,CharacterLifePublicationService,CharacterSpeciesId,events,CharacterAgeConditionChangedEvent,new-expression,yes:declared-IGameEventBus,events.Publish(new CharacterAgeConditionChangedEvent(change));
Assets/Scripts/Services/Character/CharacterNarrativeRuntime.cs,235,CharacterNarrativeRuntime,CharacterNarrativeRuntime,gameEvents,CharacterProficiencyAwardCommitReceipt,new-expression,yes:declared-IGameEventBus,gameEvents.Publish(new CharacterProficiencyAwardCommitReceipt(
Assets/Scripts/Services/Character/CharacterSpawner.cs,347,CharacterSpawner,<unknown>,<complex-or-unresolved>,<non-game-event-method>,resolved-non-event-complex-publisher,no:known-non-event-complex-publisher,RequireCharacterObjectFactory().Publish(spawnedCharacterGameobject);
Assets/Scripts/Services/Character/Core/CharacterAcquiredTraitManifestationRuntime.cs,1592,Observation,CharacterAcquiredTraitCompletionCommand,events,CharacterAcquiredTraitManifestationDiagnosticEvent,new-expression,yes:declared-IGameEventBus,events.Publish(new CharacterAcquiredTraitManifestationDiagnosticEvent(
Assets/Scripts/Services/Character/Core/CharacterAcquiredTraitSpecialReaction.cs,486,CharacterAcquiredTraitSpecialReactionRuntime,CharacterAcquiredTraitSpecialReactionRuntime,events,CharacterAcquiredTraitReactionExecutedEvent,new-expression,yes:declared-IGameEventBus,events.Publish(new CharacterAcquiredTraitReactionExecutedEvent(
Assets/Scripts/Services/Character/Core/CharacterProgressionNotificationApplicationAdapter.cs,62,CharacterProgressionNotificationApplicationAdapter,EventAlertChoice,gameEventBus,CharacterGrowthTabRequestedEvent,new-expression,yes:declared-IGameEventBus,gameEventBus.Publish(new CharacterGrowthTabRequestedEvent(actor));
Assets/Scripts/Services/Character/Core/CharacterStats.cs,326,CharacterStats,DelegatingControlledDictionaryStore,gameEventBus,RestOutcomeIdentityEvent,new-expression,yes:declared-IGameEventBus,gameEventBus.Publish(new RestOutcomeIdentityEvent(
Assets/Scripts/Services/Character/Core/MemoryErasureSealCommandService.cs,953,ActiveOrder,<unknown>,events,MemoryErasureSealUseCompletedEvent,new-expression,yes:declared-IGameEventBus,events.Publish(new MemoryErasureSealUseCompletedEvent(result));
Assets/Scripts/Services/Character/Core/OwnerCharacterFactory.cs,107,OwnerCharacterFactory,OwnerCharacterFactory,characterObjectFactory,<non-game-event-method>,resolved-non-event-publisher,no:known-non-event-publisher,characterObjectFactory.Publish(ownerObject);
Assets/Scripts/Services/Character/Core/OwnerRunManager.cs,288,OwnerRunManager,<unknown>,<complex-or-unresolved>,OwnerRunEndedEvent,new-expression,no:known-non-event-complex-publisher,".Publish(new OwnerRunEndedEvent(currentOwnerActor, resolvedReason, outcome));"
Assets/Scripts/Services/Character/Core/PreparedStartPartyGameplayApplier.cs,295,PreparedStartPartyGameplayApplier,PreparedStartPartyGameplayApplier,characterObjectFactory,<non-game-event-method>,resolved-non-event-publisher,no:known-non-event-publisher,characterObjectFactory.Publish(staff.gameObject);
Assets/Scripts/Services/Character/FestivalExecutionRuntime.cs,1369,ParticipantRuntime,Vector2Int,events,FestivalCelebratedEvent,new-expression,yes:declared-IGameEventBus,events.Publish(new FestivalCelebratedEvent(
Assets/Scripts/Services/Character/FestivalExecutionRuntime.cs,1675,ParticipantRuntime,<unknown>,events,EventAlertRequestedEvent,new-expression,yes:declared-IGameEventBus,events.Publish(new EventAlertRequestedEvent(new EventAlertRequest(
Assets/Scripts/Services/Character/Identity/Runtime/CharacterApologyCommandRuntime.cs,85,CharacterApologyCommandRuntime,CharacterApologyCommandRuntime,events,ApologyEvent,new-expression,yes:declared-IGameEventBus,events.Publish(new ApologyEvent(
Assets/Scripts/Services/Character/Identity/Runtime/CharacterIdentityDomainAdapters.cs,1027,SocialIdentityEventAdapter,SocialIdentityEventAdapter,Events,SocialConflictCommittedReceiptEvent,new-expression,yes:declared-IGameEventBus,Events.Publish(new SocialConflictCommittedReceiptEvent(
Assets/Scripts/Services/Character/Identity/Runtime/CharacterIdentityRuntime.cs,561,CharacterIdentityEventPublisher,CharacterIdentityEventPublisher,events,CharacterKilledEvent,lexical-variable-declaration,yes:declared-IGameEventBus,events.Publish(gameEvent);
Assets/Scripts/Services/Character/PhysicalAgeTreatmentRuntime.cs,451,in,TemporalStasisMaintenanceAdapter,events,EventAlertRequestedEvent,new-expression,yes:declared-IGameEventBus,events.Publish(new EventAlertRequestedEvent(new EventAlertRequest(
Assets/Scripts/Services/Character/ReproductionApplicationAdapter.cs,189,ReproductionApplicationAdapter,ReproductionDailyContext,characterObjects,<non-game-event-method>,resolved-non-event-publisher,no:known-non-event-publisher,characterObjects.Publish(characterObject);
Assets/Scripts/Services/Character/SpeciesRuntime.cs,896,CharacterSpeciesRuntime,SpeciesIncidentContext,events,SpeciesIncidentTriggeredEvent,new-expression,yes:declared-IGameEventBus,events.Publish(new SpeciesIncidentTriggeredEvent(
Assets/Scripts/Services/Character/Work/SettlementAlertRuntime.cs,523,SettlementAlertRuntime,SettlementSuspendedWorkSnapshot,events,SettlementCommittedAlertChangedEvent,new-expression,yes:declared-IGameEventBus,events.Publish(new SettlementCommittedAlertChangedEvent(
Assets/Scripts/Services/Character/Work/SettlementAlertRuntime.cs,561,SettlementAlertRuntime,SettlementSuspendedWorkSnapshot,events,SettlementCommittedAlertChangedEvent,new-expression,yes:declared-IGameEventBus,events.Publish(new SettlementCommittedAlertChangedEvent(
Assets/Scripts/Services/Character/Work/SettlementAlertRuntime.cs,637,SettlementAlertRuntime,SettlementSuspendedWorkSnapshot,events,SettlementActiveIncidentsChangedEvent,new-expression,yes:declared-IGameEventBus,events.Publish(new SettlementActiveIncidentsChangedEvent(
Assets/Scripts/Services/Character/Work/WorkTaskExecutor.cs,3645,WorkTaskExecutor,SettlementLaborContribution,identityEvents,WorkStartedIdentityEvent,new-expression,likely:name-convention,identityEvents.Publish(new WorkStartedIdentityEvent(
