"portfolio_id","horizon_day","building_id","quantity","unlocking_research_id","facility_role","cells_per_unit","total_cells","construction_wu_per_unit","total_construction_wu","construction_bom_per_unit","total_bom_kg","total_bom_market_value","maintenance_per_unit","total_maintenance","source_path","static_status"
"hospitality","960","building:8806","1","research:commerce:logistics","cargo-staging","1x1","1","360","360","material:stone-block×8|material:treated-lumber×6|material:iron-ingot×4|component:machine-parts×2|component:engineering-drawing×1","26","496","2","2","Assets/Resources/SO/Building/ResearchOverhaul/RF06_운반_멜빵_걸이.asset","bom-resolved"
"hospitality","960","building:8807","1","research:commerce:retail","price-signalling","1x1","1","240","240","material:lumber×6|material:treated-lumber×2|material:iron-ingot×2|material:paper×6|component:price-board×2","20.3","246","1","1","Assets/Resources/SO/Building/ResearchOverhaul/RF07_가격표_게시판.asset","bom-resolved"
"hospitality","960","building:1029","1","research:authority:quarters","room-separation","1x1","1","54","54","material:lumber×6","7.2","30","2","2","Assets/Resources/SO/Building/Modular/R10_침실용책장.asset","bom-resolved"
"hospitality","960","building:1700","1","research:hospitality-operations","guest-reception","2x1","2","89","89","material:lumber×6|material:iron-ingot×1","8.1","70","1","1","Assets/Resources/SO/Building/ServiceRooms/SR01_숙박 접수대.asset","bom-resolved"
"hospitality","960","building:8898","1","research:commerce:secure-trade","secure-contract","1x1","1","432","432","material:stone-block×12|material:steel-ingot×8|component:machine-parts×4|component:precision-parts×4|component:engineering-drawing×2","41.2","2560","4","4","Assets/Resources/SO/Building/ResearchOverhaul/RF98_보안_거래_금고.asset","bom-resolved"
"hospitality","960","building:1712","1","research:service-flow","order-intake","2x1","2","89","89","material:lumber×6|material:iron-ingot×1","8.1","70","1","1","Assets/Resources/SO/Building/ServiceRooms/SR13_주문 접수대.asset","bom-resolved"
"hospitality","960","building:1714","1","research:service-automation","service-automation","1x1","1","522","522","material:treated-lumber×4|material:steel-ingot×3|component:machine-parts×2|component:precision-parts×1","13.5","873","2","2","Assets/Resources/SO/Building/ServiceRooms/SR15_자동 객실 배정판.asset","bom-resolved"
"hospitality","960","building:8804","1","research:authority:prestige","reputation-production","1x1","1","360","360","material:stone-block×8|material:treated-lumber×6|material:iron-ingot×4|component:machine-parts×2|component:engineering-drawing×1","26","496","2","2","Assets/Resources/SO/Building/ResearchOverhaul/RF04_문장_깃발_제작대.asset","bom-resolved"
"hospitality","960","building:8811","1","research:control:show","event-economy","1x1","1","234","234","material:treated-lumber×9|material:iron-ingot×2|material:cloth×2|material:paper×3","15.25","245","1","1","Assets/Resources/SO/Building/ResearchOverhaul/RF11_공연_소품_보관대.asset","bom-resolved"
"hospitality","960","building:8808","1","research:control:blood-show","high-risk-spectacle","1x1","1","276","276","material:stone-block×10|material:treated-lumber×4|material:iron-ingot×6|resource:clean-water×4","25","360","2","2","Assets/Resources/SO/Building/ResearchOverhaul/RF08_피의_무대_배수구.asset","bom-resolved"
"hospitality","960","building:8848","1","research:service:dining-operations","dining-operations","1x1","1","234","234","material:treated-lumber×9|material:iron-ingot×2|material:cloth×2|material:paper×3","15.25","245","1","1","Assets/Resources/SO/Building/ResearchOverhaul/RF48_배식_운영판.asset","bom-resolved"
