"portfolio_id","horizon_day","building_id","quantity","unlocking_research_id","facility_role","cells_per_unit","total_cells","construction_wu_per_unit","total_construction_wu","construction_bom_per_unit","total_bom_kg","total_bom_market_value","maintenance_per_unit","total_maintenance","source_path","static_status"
"underground","960","building:1096","1","research:agriculture:indoor","indoor-production","3x1","3","384","384","material:treated-lumber×10|material:iron-ingot×6|material:stone-block×2|component:machine-parts×2|supply:mushroom-substrate×1|supply:nitrate-fertilizer×1","25.9","600","4","4","Assets/Resources/SO/Building/Modular/P24_실내재배조.asset","bom-resolved"
"underground","960","building:1627","1","research:agriculture:indoor","growth-control","1x1","1","90","90","component:machine-parts×3","6.3","273","2","2","Assets/Resources/SO/Building/ProductionSupport/WS28_실내_생장_제어기.asset","bom-resolved"
"underground","960","building:1087","1","research:cuisine:crops","food-processing","2x1","2","312","312","material:treated-lumber×6|material:iron-ingot×4|material:stone-block×2|component:machine-parts×2","17.3","438","3","3","Assets/Resources/SO/Building/Modular/P15_조리대.asset","bom-resolved"
"underground","960","building:8803","1","research:agriculture:subterranean","cavern-production","1x1","1","351","351","material:treated-lumber×12|material:stone-block×8|material:iron-ingot×6|resource:clean-water×12|component:machine-parts×2|material:cloth×4","40.6","674","2","2","Assets/Resources/SO/Building/ResearchOverhaul/RF03_동굴_재배_선반.asset","bom-resolved"
"underground","960","building:8813","1","research:forestry:fungal","substrate-production","1x1","1","351","351","supply:inoculated-log×1|material:treated-lumber×12|material:stone-block×8|material:iron-ingot×6|resource:clean-water×12|component:machine-parts×2|material:cloth×4","41.3","687","2","2","Assets/Resources/SO/Building/ResearchOverhaul/RF13_균사_재배_선반.asset","bom-resolved"
"underground","960","building:9821","1","research:plumbing:reuse","water-reuse","3x1","3","591","591","material:stone-block×5|material:iron-ingot×6|material:cloth×1|component:machine-parts×2|component:reclaimed-water-filter×1","17.45","478","0","0","Assets/Resources/SO/Building/Industrial/I12_소독_정수기.asset","bom-resolved"
"underground","960","building:8874","1","research:health:isolation-medicine","containment","1x1","1","351","351","material:stone-block×10|material:treated-lumber×6|material:steel-ingot×4|textile:sterile-cloth×4|component:machine-parts×2|resource:clean-water×8","35.5","858","3","3","Assets/Resources/SO/Building/ResearchOverhaul/RF74_격리_병동.asset","bom-resolved"
"underground","960","building:8856","1","research:climate:environment-control","environment-control","1x1","1","531","531","material:stone-block×12|material:steel-ingot×8|component:machine-parts×4|component:precision-parts×4|component:engineering-drawing×2|component:climate-control-manifold×1","43.55","2690","4","4","Assets/Resources/SO/Building/ResearchOverhaul/RF56_기후_제어실.asset","bom-resolved"
"underground","960","building:9822","1","research:plumbing:rune-purification","rune-purification","3x1","3","582","582","material:stone-block×5|material:iron-ingot×4|material:cloth×1|component:machine-parts×1|component:rune-conductor×2|material:mana-alloy×1|component:rune-purification-crystal×2","22","2065","0","0","Assets/Resources/SO/Building/Industrial/I13_룬_정화_시설.asset","bom-resolved"
"underground","960","building:8889","1","research:climate:regional-climatology","regional-observation","1x1","1","540","540","material:stone-block×16|material:steel-ingot×10|component:precision-parts×6|component:rune-conductor×4|component:mana-shield-plate×2|resource:mana-crystal×4|component:engineering-drawing×2","59.7","5202","6","6","Assets/Resources/SO/Building/ResearchOverhaul/RF89_원정_천문시계실.asset","bom-resolved"
"underground","960","building:1502","1","research:environment:rune-insulation","air-conditioning","2x1","2","456","456","material:treated-lumber×6|material:iron-ingot×7|material:stone-block×4|component:machine-parts×3","24.7","661","5","5","Assets/Resources/SO/Building/Modular/E11_공조기.asset","bom-resolved"
