"portfolio_id","horizon_day","building_id","quantity","unlocking_research_id","facility_role","cells_per_unit","total_cells","construction_wu_per_unit","total_construction_wu","construction_bom_per_unit","total_bom_kg","total_bom_market_value","maintenance_per_unit","total_maintenance","source_path","static_status"
"industrial","960","building:1093","1","research:metallurgy:primitive","basic-forging","3x1","3","576","576","material:treated-lumber×7|material:iron-ingot×5|material:stone-block×2|component:machine-parts×1|tool:powered-tool-head×1","19.6","632","3","3","Assets/Resources/SO/Building/Modular/P21_대장간.asset","bom-resolved"
"industrial","960","building:8815","1","research:forestry:tools","raw-material-tools","1x1","1","612","612","material:stone-block×12|material:treated-lumber×6|material:iron-ingot×6|component:machine-parts×3|component:engineering-drawing×1","35.1","691","2","2","Assets/Resources/SO/Building/ResearchOverhaul/RF15_쐐기_도끼_작업대.asset","bom-resolved"
"industrial","960","building:1094","1","research:mining:quarry","quarrying","3x1","3","585","585","material:treated-lumber×7|material:iron-ingot×4|material:stone-block×2|component:machine-parts×2|tool:deep-shaft-hoist×1|tool:prospecting-kit×1","23.2","664","4","4","Assets/Resources/SO/Building/Modular/P22_심부채석장.asset","bom-resolved"
"industrial","960","building:1079","1","research:metallurgy:iron","iron-processing","2x1","2","318","318","material:stone-block×6|material:iron-ingot×4|component:machine-parts×3","17.7","469","4","4","Assets/Resources/SO/Building/Modular/P07_용광로.asset","bom-resolved"
"industrial","960","building:9810","1","research:industry:steam-power","central-power","3x1","3","792","792","material:stone-block×10|material:steel-ingot×7|component:machine-parts×3|component:precision-parts×1","27.4","1428","0","0","Assets/Resources/SO/Building/Industrial/I01_증기_발전기.asset","bom-resolved"
"industrial","960","building:1609","1","research:industry:assisted-processing","assisted-processing","1x1","1","90","90","component:machine-parts×3","6.3","273","2","2","Assets/Resources/SO/Building/ProductionSupport/WS10_전기_오븐.asset","bom-resolved"
"industrial","960","building:9813","1","research:industry:storage","power-buffer","2x1","2","648","648","material:stone-block×8|material:steel-ingot×6|component:machine-parts×3|component:precision-parts×1","23.95","1301","0","0","Assets/Resources/SO/Building/Industrial/I04_축전지.asset","bom-resolved"
"industrial","960","building:9840","4","research:industry:conveyor","conveyor-line","1x1","4","618","2472","material:steel-ingot×4|material:iron-ingot×3|component:machine-parts×1","32.8","2684","0","0","Assets/Resources/SO/Building/Industrial/C01R_컨베이어_우향.asset","bom-resolved"
"industrial","960","building:9825","1","research:industry:electric-smelting","electric-smelting","2x1","2","355","355","material:stone-block×4|material:iron-ingot×5|material:cloth×1","9.9","230","0","0","Assets/Resources/SO/Building/Industrial/I16_전기_제련_도가니.asset","bom-resolved"
"industrial","960","building:9860","1","research:industry:automatic-bills","automation-control","2x1","2","648","648","material:stone-block×8|material:steel-ingot×6|component:machine-parts×3","21.8","1011","0","0","Assets/Resources/SO/Building/Industrial/A01_자동화_제어반.asset","bom-resolved"
"industrial","960","building:8829","1","research:industry:line-balancing","flow-metering","1x1","1","531","531","material:stone-block×6|material:treated-lumber×4|material:steel-ingot×4|component:precision-parts×3|component:engineering-drawing×1","23.15","1444","4","4","Assets/Resources/SO/Building/ResearchOverhaul/RF29_유량계.asset","bom-resolved"
"industrial","960","building:9850","2","research:industry:lifts","vertical-lifts","1x1","2","618","1236","material:steel-ingot×4|material:iron-ingot×3|component:machine-parts×1","16.4","1342","0","0","Assets/Resources/SO/Building/Industrial/C08_층간_물류_리프트.asset","bom-resolved"
