"stable_id","display_name","research_project_id","unlock_role","source_design_intent","singleton_reason","reward_category_presentation","target_side_requirement_bindings","portfolio_commitment","activation_receipt_and_authority","binding_gap_and_status"
"research:genetics:controlled-heredity","genetics_controlled_heredity","research:genetics:controlled-heredity","System Facility","형질 분석과 생식 의학, 선별 사육을 유전 상담에 적용한다.","독립된 작업 규칙과 입력·출력을 가진 시스템 시설을 연다.","핵심 시설 · 신규 재료 · 작물과 종자 · 생산 조합식 · 제작 아이템 · 설치 부품 · 무기·방어구·방패 · 환경 작업복 · 탄약과 전투 소모품 · 의료 시술","명시적 target-side definition 없음","독립된 공간·작업 규칙·입출력을 가진 체계를 짓고 인력·공간·기반망을 배정한다. 같은 투자로 다른 생산·서비스 체계를 먼저 세울 수는 없다.","연구 완료 영수증 → target-side requiredResearchId가 research:genetics:controlled-heredity인 정의의 해금 판정 → 시설 설치·제작 주문·장착·파종·시술 등 실제 소비 행동의 영수증. 이 CSV의 reward category는 보상 화면 분류 권위다.","명시적 target-side 참조 0개. BuildingSO의 구체 해금 조건은 추출된 building authority에 없으므로 건물 결속 OPEN; 보상 표시·실행·저장·수치 검증 OPEN"
"research:genetics:cross-lineage-stabilization","genetics_cross_lineage_stabilization","research:genetics:cross-lineage-stabilization","System Facility","통제 유전, 재생 배양, 이종 이식과 비전 공명으로 다른 생식 계통을 안정화한다.","독립된 작업 규칙과 입력·출력을 가진 시스템 시설을 연다.","핵심 시설 · 신규 재료 · 작물과 종자 · 생산 조합식 · 제작 아이템 · 설치 부품 · 무기·방어구·방패 · 환경 작업복 · 탄약과 전투 소모품 · 의료 시술","ProductionRecipeSO:recipe:medical:cross-lineage-medium","독립된 공간·작업 규칙·입출력을 가진 체계를 짓고 인력·공간·기반망을 배정한다. 같은 투자로 다른 생산·서비스 체계를 먼저 세울 수는 없다.","연구 완료 영수증 → target-side requiredResearchId가 research:genetics:cross-lineage-stabilization인 정의의 해금 판정 → 시설 설치·제작 주문·장착·파종·시술 등 실제 소비 행동의 영수증. 이 CSV의 reward category는 보상 화면 분류 권위다.","명시적 target-side 참조 1개. BuildingSO의 구체 해금 조건은 추출된 building authority에 없으므로 건물 결속 OPEN; 보상 표시·실행·저장·수치 검증 OPEN"
"research:genetics:hereditary-records","genetics_hereditary_records","research:genetics:hereditary-records","System Facility","유전 기록과 형질 분석에 필요한 이론, 제작 절차, 안전 기준과 운용 보상을 하나의 완결된 연구 패키지로 통합한다.","독립된 작업 규칙과 입력·출력을 가진 시스템 시설을 연다.","핵심 시설 · 신규 재료 · 작물과 종자 · 생산 조합식 · 제작 아이템 · 설치 부품 · 무기·방어구·방패 · 환경 작업복 · 탄약과 전투 소모품 · 의료 시술","ProductionRecipeSO:recipe:medical:trait-analysis-kit","독립된 공간·작업 규칙·입출력을 가진 체계를 짓고 인력·공간·기반망을 배정한다. 같은 투자로 다른 생산·서비스 체계를 먼저 세울 수는 없다.","연구 완료 영수증 → target-side requiredResearchId가 research:genetics:hereditary-records인 정의의 해금 판정 → 시설 설치·제작 주문·장착·파종·시술 등 실제 소비 행동의 영수증. 이 CSV의 reward category는 보상 화면 분류 권위다.","명시적 target-side 참조 1개. BuildingSO의 구체 해금 조건은 추출된 building authority에 없으므로 건물 결속 OPEN; 보상 표시·실행·저장·수치 검증 OPEN"
"research:medical:aberrant-augmentation","medical_aberrant_augmentation","research:medical:aberrant-augmentation","Service Package","비전 기관과 룬 봉합으로 생명의 원형을 의도적으로 다시 쓴다.","","핵심 시설 · 신규 재료 · 작물과 종자 · 생산 조합식 · 제작 아이템 · 설치 부품 · 무기·방어구·방패 · 환경 작업복 · 탄약과 전투 소모품 · 의료 시술","SurgicalProcedureSO:procedure:arcane-modification","서비스 품질·방문객·생활 조건을 위해 운영 인력·방·재고를 배정한다. 즉시 생산량·방어·확장보다 관계와 안정성을 택한다.","연구 완료 영수증 → target-side requiredResearchId가 research:medical:aberrant-augmentation인 정의의 해금 판정 → 시설 설치·제작 주문·장착·파종·시술 등 실제 소비 행동의 영수증. 이 CSV의 reward category는 보상 화면 분류 권위다.","명시적 target-side 참조 1개. BuildingSO의 구체 해금 조건은 추출된 building authority에 없으므로 건물 결속 OPEN; 보상 표시·실행·저장·수치 검증 OPEN"
"research:medical:anatomy","medical_anatomy","research:medical:anatomy","Service Package","인간형과 동물의 기관 구조를 기록해 치료와 적출의 기준을 세운다.","","핵심 시설 · 신규 재료 · 작물과 종자 · 생산 조합식 · 제작 아이템 · 설치 부품 · 무기·방어구·방패 · 환경 작업복 · 탄약과 전투 소모품 · 의료 시술","SurgicalProcedureSO:procedure:corpse-organ-extraction","서비스 품질·방문객·생활 조건을 위해 운영 인력·방·재고를 배정한다. 즉시 생산량·방어·확장보다 관계와 안정성을 택한다.","연구 완료 영수증 → target-side requiredResearchId가 research:medical:anatomy인 정의의 해금 판정 → 시설 설치·제작 주문·장착·파종·시술 등 실제 소비 행동의 영수증. 이 CSV의 reward category는 보상 화면 분류 권위다.","명시적 target-side 참조 1개. BuildingSO의 구체 해금 조건은 추출된 building authority에 없으므로 건물 결속 OPEN; 보상 표시·실행·저장·수치 검증 OPEN"
"research:medical:avian-prosthetics","medical_avian_prosthetics","research:medical:avian-prosthetics","Service Package","기낭과 날개의 하중을 보존하는 경량 고정술을 개발한다.","","핵심 시설 · 신규 재료 · 작물과 종자 · 생산 조합식 · 제작 아이템 · 설치 부품 · 무기·방어구·방패 · 환경 작업복 · 탄약과 전투 소모품 · 의료 시술","SurgicalProcedureSO:procedure:harpy-air-sac-suture | SurgicalProcedureSO:procedure:harpy-feather-regrowth | SurgicalProcedureSO:procedure:harpy-tail-graft | SurgicalProcedureSO:procedure:harpy-wing-fixation","서비스 품질·방문객·생활 조건을 위해 운영 인력·방·재고를 배정한다. 즉시 생산량·방어·확장보다 관계와 안정성을 택한다.","연구 완료 영수증 → target-side requiredResearchId가 research:medical:avian-prosthetics인 정의의 해금 판정 → 시설 설치·제작 주문·장착·파종·시술 등 실제 소비 행동의 영수증. 이 CSV의 reward category는 보상 화면 분류 권위다.","명시적 target-side 참조 4개. BuildingSO의 구체 해금 조건은 추출된 building authority에 없으므로 건물 결속 OPEN; 보상 표시·실행·저장·수치 검증 OPEN"
"research:medical:blood-rejuvenation","medical_blood_rejuvenation","research:medical:blood-rejuvenation","Service Package","장기 재생과 혈술, 고급 약학을 회춘 수혈에 적용한다.","","핵심 시설 · 신규 재료 · 작물과 종자 · 생산 조합식 · 제작 아이템 · 설치 부품 · 무기·방어구·방패 · 환경 작업복 · 탄약과 전투 소모품 · 의료 시술","ProductionRecipeSO:recipe:medical:rejuvenation-serum | SurgicalProcedureSO:procedure:blood-rejuvenation","서비스 품질·방문객·생활 조건을 위해 운영 인력·방·재고를 배정한다. 즉시 생산량·방어·확장보다 관계와 안정성을 택한다.","연구 완료 영수증 → target-side requiredResearchId가 research:medical:blood-rejuvenation인 정의의 해금 판정 → 시설 설치·제작 주문·장착·파종·시술 등 실제 소비 행동의 영수증. 이 CSV의 reward category는 보상 화면 분류 권위다.","명시적 target-side 참조 2개. BuildingSO의 구체 해금 조건은 추출된 building authority에 없으므로 건물 결속 OPEN; 보상 표시·실행·저장·수치 검증 OPEN"
"research:medical:bloodcraft-augmentation","medical_bloodcraft_augmentation","research:medical:bloodcraft-augmentation","Service Package","혈액낭과 야간안을 혈술로 강화하고 거부 부담을 통제한다.","","핵심 시설 · 신규 재료 · 작물과 종자 · 생산 조합식 · 제작 아이템 · 설치 부품 · 무기·방어구·방패 · 환경 작업복 · 탄약과 전투 소모품 · 의료 시술","SurgicalProcedureSO:procedure:vampire-blood-sac | SurgicalProcedureSO:procedure:vampire-night-eye","서비스 품질·방문객·생활 조건을 위해 운영 인력·방·재고를 배정한다. 즉시 생산량·방어·확장보다 관계와 안정성을 택한다.","연구 완료 영수증 → target-side requiredResearchId가 research:medical:bloodcraft-augmentation인 정의의 해금 판정 → 시설 설치·제작 주문·장착·파종·시술 등 실제 소비 행동의 영수증. 이 CSV의 reward category는 보상 화면 분류 권위다.","명시적 target-side 참조 2개. BuildingSO의 구체 해금 조건은 추출된 building authority에 없으므로 건물 결속 OPEN; 보상 표시·실행·저장·수치 검증 OPEN"
"research:medical:construct-core-engineering","medical_construct_core_engineering","research:medical:construct-core-engineering","Service Package","구성체 핵의 냉각과 동력 접속을 수술 가능한 공학 규격으로 정리한다.","","핵심 시설 · 신규 재료 · 작물과 종자 · 생산 조합식 · 제작 아이템 · 설치 부품 · 무기·방어구·방패 · 환경 작업복 · 탄약과 전투 소모품 · 의료 시술","ProductionRecipeSO:recipe:component:golem-core-case","서비스 품질·방문객·생활 조건을 위해 운영 인력·방·재고를 배정한다. 즉시 생산량·방어·확장보다 관계와 안정성을 택한다.","연구 완료 영수증 → target-side requiredResearchId가 research:medical:construct-core-engineering인 정의의 해금 판정 → 시설 설치·제작 주문·장착·파종·시술 등 실제 소비 행동의 영수증. 이 CSV의 reward category는 보상 화면 분류 권위다.","명시적 target-side 참조 1개. BuildingSO의 구체 해금 조건은 추출된 building authority에 없으므로 건물 결속 OPEN; 보상 표시·실행·저장·수치 검증 OPEN"
"research:medical:construct-core-maintenance","medical_construct_core_maintenance","research:medical:construct-core-maintenance","Service Package","냉각관·서보·감지핵과 동력핵을 시술 주문으로 정비한다.","","핵심 시설 · 신규 재료 · 작물과 종자 · 생산 조합식 · 제작 아이템 · 설치 부품 · 무기·방어구·방패 · 환경 작업복 · 탄약과 전투 소모품 · 의료 시술","SurgicalProcedureSO:procedure:golem-body-recast | SurgicalProcedureSO:procedure:golem-coolant-refill | SurgicalProcedureSO:procedure:golem-power-core | SurgicalProcedureSO:procedure:golem-sensor-core | SurgicalProcedureSO:procedure:golem-servo-alignment","서비스 품질·방문객·생활 조건을 위해 운영 인력·방·재고를 배정한다. 즉시 생산량·방어·확장보다 관계와 안정성을 택한다.","연구 완료 영수증 → target-side requiredResearchId가 research:medical:construct-core-maintenance인 정의의 해금 판정 → 시설 설치·제작 주문·장착·파종·시술 등 실제 소비 행동의 영수증. 이 CSV의 reward category는 보상 화면 분류 권위다.","명시적 target-side 참조 5개. BuildingSO의 구체 해금 조건은 추출된 building authority에 없으므로 건물 결속 OPEN; 보상 표시·실행·저장·수치 검증 OPEN"
