research_id,relation_direction,binding_kind,content_type,content_id,resolution_status,field_path,source_path,relation_source
research:agriculture:compost,research-to-content,unlocks-building,BuildingSO,building:1085,resolved-content,references.RefIds.0.data.buildingId,Assets/Resources/SO/Research/Projects/agriculture_compost.asset,docs_final/content-db/relations/research-effects/research-project.csv
research:agriculture:compost,content-requires-research,requires,ProductionRecipeSO,recipe:compost-animal,resolved-content,requiredResearchId,Assets/Resources/SO/Economy/Recipes/recipe_compost_animal.asset,docs_final/content-db/incoming/research-effects/research-project.csv
research:agriculture:compost,content-requires-research,requires,ProductionRecipeSO,recipe:compost-manure,resolved-content,requiredResearchId,Assets/Resources/SO/Economy/Recipes/recipe_compost_manure.asset,docs_final/content-db/incoming/research-effects/research-project.csv
research:agriculture:compost,content-requires-research,requires,ProductionRecipeSO,recipe:compost-mixed,resolved-content,requiredResearchId,Assets/Resources/SO/Economy/Recipes/recipe_compost_mixed.asset,docs_final/content-db/incoming/research-effects/research-project.csv
research:agriculture:compost,content-requires-research,requires,ProductionRecipeSO,recipe:compost-plant,resolved-content,requiredResearchId,Assets/Resources/SO/Economy/Recipes/recipe_compost_plant.asset,docs_final/content-db/incoming/research-effects/research-project.csv
research:agriculture:compost,content-requires-research,requires,ProductionRecipeSO,recipe:low-fuel-animal,resolved-content,requiredResearchId,Assets/Resources/SO/Economy/Recipes/recipe_low_fuel_animal.asset,docs_final/content-db/incoming/research-effects/research-project.csv
research:agriculture:compost,content-requires-research,requires,ProductionRecipeSO,recipe:low-fuel-plant,resolved-content,requiredResearchId,Assets/Resources/SO/Economy/Recipes/recipe_low_fuel_plant.asset,docs_final/content-db/incoming/research-effects/research-project.csv
research:agriculture:compost,content-requires-research,requires,ProductionRecipeSO,recipe:low-fuel-rot,resolved-content,requiredResearchId,Assets/Resources/SO/Economy/Recipes/recipe_low_fuel_rot.asset,docs_final/content-db/incoming/research-effects/research-project.csv
research:agriculture:compost,content-requires-research,requires,ProductionRecipeSO,recipe:supply:nitrate-fertilizer,resolved-content,requiredResearchId,Assets/Resources/SO/Economy/Recipes/ResearchOverhaul/V3R16_질산_비료.asset,docs_final/content-db/incoming/research-effects/research-project.csv
research:agriculture:compost,content-requires-research,requires,ProductionRecipeSO,source:spoilage-animal,resolved-content,requiredResearchId,Assets/Resources/SO/Economy/Recipes/source_spoilage_animal.asset,docs_final/content-db/incoming/research-effects/research-project.csv
