"portfolio_id","horizon_day","research_closure_wu","research_budget_wu","research_budget_utilization_pct","facility_construction_wu","primary_budget_wu","primary_budget_utilization_pct","facility_bom_kg","facility_bom_market_value","total_cells","research_prerequisite_gap_count","facility_bom_gap_count","static_status"
"arcane","30","209","1690","12.37","971","1370","70.88","55.1","1881","4","0","0","static-assembly-viable"
"arcane","120","5387","10690","50.39","3356","13370","25.1","214.75","15456","9","0","0","static-assembly-viable"
"arcane","400","11860","66690","17.78","4769","89370","5.34","312.1","21989","13","0","0","static-assembly-viable"
"arcane","960","43423","196290","22.12","6794","262170","2.59","491.2","37595","16","0","0","static-assembly-viable"
"expeditionary","30","121","1440","8.4","1126","1210","93.06","37.15","722","3","0","0","static-assembly-viable"
"expeditionary","120","671","9840","6.82","2396","11410","21","86.85","1546","7","0","0","static-assembly-viable"
"expeditionary","400","3007","71840","4.19","4661","73410","6.35","195.15","6030","12","0","0","static-assembly-viable"
"expeditionary","960","4421","211040","2.09","5030","212610","2.37","236.35","8590","13","0","0","static-assembly-viable"
"hospitality","30","62","1290","4.81","654","1660","39.4","53.5","772","3","0","0","static-assembly-viable"
"hospitality","120","279","9690","2.88","1264","13660","9.25","110.9","3472","8","0","0","static-assembly-viable"
"hospitality","400","1604","71690","2.24","2380","89660","2.65","165.65","5086","11","0","0","static-assembly-viable"
"hospitality","960","2111","210890","1","2890","262460","1.1","205.9","5691","13","0","0","static-assembly-viable"
"industrial","30","51","530","9.62","1188","1320","90","54.7","1323","4","0","0","static-assembly-viable"
"industrial","120","651","4730","13.76","2883","12120","23.79","123","3884","12","0","0","static-assembly-viable"
"industrial","400","5752","26730","21.52","6448","84120","7.67","195.95","8372","21","0","0","static-assembly-viable"
"industrial","960","8882","74730","11.89","8863","247320","3.58","257.3","12169","26","0","0","static-assembly-viable"
"sanctuary","30","79","680","11.62","737","1550","47.55","25.6","751","5","0","0","static-assembly-viable"
"sanctuary","120","588","6080","9.67","2548","12950","19.68","108.7","2365","11","0","0","static-assembly-viable"
"sanctuary","400","5014","44080","11.37","3655","86950","4.2","177.1","3334","14","0","0","static-assembly-viable"
"sanctuary","960","11618","135280","8.59","4927","259750","1.9","290.8","6805","17","0","0","static-assembly-viable"
"underground","30","237","740","32.03","786","1730","45.43","49.5","1311","6","0","0","static-assembly-viable"
"underground","120","1693","6140","27.57","2079","14330","14.51","148.85","3150","11","0","0","static-assembly-viable"
"underground","400","10605","44140","24.03","3543","96330","3.68","249.9","8763","16","0","0","static-assembly-viable"
"underground","960","15710","130540","12.03","4539","293130","1.55","334.3","14626","19","0","0","static-assembly-viable"
