domain,band_id,covered_content,pressure_or_reward_shape,required_preparation,success_target,loss_limit,recovery_target,anti_dominance_rule
combat,encounter-tier-1,encounter:01|encounter:02|encounter:03|encounter:04,site strength 1–4 routine encounter,one maintained weapon or basic defensive position,win 85–95%; severe injury below 5%,no permanent loss from ordinary failure,return to normal work within 1 day,no specialized loadout gains more than 5%p over a general loadout across all four encounters
combat,encounter-tier-2,encounter:05|encounter:06|encounter:07|encounter:08,site strength 2–5 with first elite and first boss,role-matched weapon or position plus first aid and reserve supplies,standard win 65–80%; elite 45–65%; boss first contact 25–45% and prepared 55–70%,severe injury 10–20% at standard threat,return to normal readiness within 3 days after a prepared win,one answer cannot remove both elite and boss preparation costs
combat,encounter-tier-3,encounter:09|encounter:10|encounter:11|encounter:12,site strength 3–6 with elite/boss escalation,trained combatant pair plus ammunition or shield reserve,standard win 65–80%; elite 45–65%; boss prepared 55–70%,severe injury 10–20% at standard threat; boss 30–50%,recover equipment and personnel within 5 days,damage specialization must lose at least 10%p or equivalent cost outside its target encounter
combat,encounter-tier-4,encounter:13|encounter:14|encounter:15|encounter:16,site strength 4–7 with multi-role objective pressure,formation equipment medical stock and either fixed defense or mobility,standard win 65–80%; elite 45–65%; boss prepared 55–70%,severe injury 20–35% for risk branch,restore the depleted strategic reserve within 7 days,one formation cannot cover control damage and mobility without an extra hand or logistics cost
combat,encounter-tier-5,encounter:17|encounter:18|encounter:19|encounter:20,site strength 5–8 with sustained supply pressure,maintained armour shield or ranged supply chain plus treatment capacity,standard win 65–80%; elite 45–65%; boss prepared 55–70%,severe injury 20–35%; failed boss can force retreat,restore combat stock within 10 days,high durability equipment consumes repair material and worker time at the same tier
combat,encounter-tier-6,encounter:21|encounter:22|encounter:23|encounter:24,site strength 6–9 with campaign-scale attrition,three-role squad and reserve ammunition medicine and replacement kit,standard win 65–80%; boss prepared 55–70%,severe injury 20–35%; one major supply class may exhaust,restore expedition readiness within 10 days,no weapon family remains within 5%p of the best result in more than half of all tier-6-or-higher encounters
combat,encounter-tier-7,encounter:25|encounter:26|encounter:27|encounter:28,site strength 7–10 with elite and multi-front risk,combined internal defense and field response with medical queue capacity,standard win 65–80%; elite 45–65%,severe injury 20–35%; failure creates a defense or relationship cost,restore the chosen defense posture within 15 days,field force and corridor fortification each leave one exposed approach or response delay
combat,encounter-tier-8,encounter:29|encounter:30|encounter:31|encounter:32,site strength 8–11 with late boss commitment,late-game loadout supply network and fallback defense sector,standard win 65–80%; boss first contact 25–45%; prepared 55–70%,boss severe injury 30–50%; failed attempt preserves a recoverable campaign state,restore critical stock within 15 days,boss preparation cannot be supplied solely by market purchase or one universal weapon set
combat,encounter-tier-9,encounter:33|encounter:34|encounter:35|encounter:36,site strength 9–12 final elite/boss campaign,portfolio-specific economy plus military and medical reserve,elite 45–65%; boss first contact 25–45%; prepared 55–70%,boss severe injury 30–50%; defeat may change campaign state without deleting the run,restore one composite crisis reserve before the next boss cycle,no build leads economy defense recovery and first-clear speed in every climate profile
events,life-event,life-event:* 32,individual history choice or automatic record,0.5–3 adult-days of labor or an equivalent supply relationship or opportunity cost,choice gives a distinct legacy relationship or operating result,automatic record grants no free economic output; failed choice leaves a recoverable trace,1–5 days for routine outcome; 5–15 days for legacy consequence,one response cannot be cheapest fastest and best for relationship legacy and material retention
events,service-incident,service-incident:* 8,service continuity safety and reputation collide,containment team facility access and 1–3 days of substitute stock,one response preserves service; one preserves safety; one preserves relationship or evidence,uncontained incident loses 3–8% of the current service portfolio capacity or creates a relationship debt,3–10 days depending on containment and repair,all three responses must consume different scarce resources or create different later obligations
events,seasonal-opportunity,seasonal:* opportunity rows,seasonal window converts staffing and stock into a limited gain,redirect 5–15% of current effective WU plus transport or storage capacity,benefit equals 1–3% of period output or a strategic item/route,ignored opportunity never removes essential survival capacity,0–3 days; opportunity closes rather than punishes,opportunities cannot replace a portfolio's core source chain without its ordinary cost
events,seasonal-pressure,seasonal:* pressure rows,weather ecology or supply shock tests a named weak axis,5–15% of current effective WU plus stock or local facility preparation,prepared response preserves the primary network at reduced output,unprepared loss consumes 3–8% of period output or 1–3 critical stock days,2–10 days before day 120; 10–30 days afterwards,one portfolio cannot nullify every seasonal pressure through a single facility or item
