portfolio_id,horizon_day,active_adults,pressure_duration_days,effective_wu_per_day,redeployable_wu_per_day,redeployable_wu_for_pressure,food_water_reference,food_water_response_wu,network_reference,network_response_wu,security_reference,security_response_wu,medical_reference,medical_response_wu,expected_encounter_band,contract_reference,contract_dispatch_wu,contract_deadline_days,contract_cargo_kg,contract_cargo_market_value,periodic_pressure_status,contract_dispatch_status
arcane,10,3,2,135,24,48,seasonal:summer-dry-well,38,seasonal:summer-heat-grid,32,seasonal:winter-hungry-pack,38,seasonal:winter-cave-flu-wave,38,encounter-tier-1,faction-contract:demon:supply,41,20,42.3,1152,within-safe-redeployment,within-deadline-redeployment
arcane,30,6,3,270,49,147,seasonal:summer-dry-well,111,seasonal:summer-heat-grid,96,seasonal:winter-hungry-pack,111,seasonal:winter-cave-flu-wave,111,encounter-tier-2,faction-contract:demon:supply,41,20,42.3,1152,within-safe-redeployment,within-deadline-redeployment
arcane,120,12,4,540,89,356,seasonal:summer-dry-well,292,seasonal:summer-heat-grid,252,seasonal:winter-hungry-pack,292,seasonal:winter-cave-flu-wave,292,encounter-tier-3,faction-contract:demon:crisis,44,7,42.3,1152,within-safe-redeployment,within-deadline-redeployment
arcane,400,24,5,1080,165,825,seasonal:summer-dry-well,730,seasonal:summer-heat-grid,625,seasonal:winter-hungry-pack,730,seasonal:winter-cave-flu-wave,730,encounter-tier-5,faction-contract:demon:strategic,180,45,42.3,1152,within-safe-redeployment,within-deadline-redeployment
arcane,960,24,5,1080,164,820,seasonal:summer-dry-well,730,seasonal:summer-heat-grid,625,seasonal:winter-hungry-pack,730,seasonal:winter-cave-flu-wave,730,encounter-tier-7,faction-contract:demon:strategic,180,45,42.3,1152,within-safe-redeployment,within-deadline-redeployment
expeditionary,10,3,2,135,23,46,seasonal:summer-dry-well,38,seasonal:summer-heat-grid,32,seasonal:winter-hungry-pack,38,seasonal:winter-cave-flu-wave,38,encounter-tier-1,faction-contract:beastkin:supply,40,20,40,1968,within-safe-redeployment,within-deadline-redeployment
expeditionary,30,6,3,270,45,135,seasonal:summer-dry-well,111,seasonal:summer-heat-grid,96,seasonal:winter-hungry-pack,111,seasonal:winter-cave-flu-wave,111,encounter-tier-2,faction-contract:beastkin:supply,40,20,40,1968,within-safe-redeployment,within-deadline-redeployment
expeditionary,120,12,4,540,86,344,seasonal:summer-dry-well,292,seasonal:summer-heat-grid,252,seasonal:winter-hungry-pack,292,seasonal:winter-cave-flu-wave,292,encounter-tier-3,faction-contract:beastkin:crisis,37,7,40,1968,within-safe-redeployment,within-deadline-redeployment
expeditionary,400,24,5,1080,162,810,seasonal:summer-dry-well,730,seasonal:summer-heat-grid,625,seasonal:winter-hungry-pack,730,seasonal:winter-cave-flu-wave,730,encounter-tier-5,faction-contract:beastkin:strategic,181,45,40,1968,within-safe-redeployment,within-deadline-redeployment
expeditionary,960,24,5,1080,150,750,seasonal:summer-dry-well,730,seasonal:summer-heat-grid,625,seasonal:winter-hungry-pack,730,seasonal:winter-cave-flu-wave,730,encounter-tier-7,faction-contract:beastkin:strategic,181,45,40,1968,within-safe-redeployment,within-deadline-redeployment
