"portfolio_a","portfolio_b","static_relation","portfolio_a_advantage_example","portfolio_b_advantage_example","score_cells_compared","dominance_status"
"arcane","expeditionary","mutual-contextual-advantages","climate:frost-rift/food_and_economy_score_0_to_3|climate:mycelial-depths/recovery_score_0_to_3","climate:ember-wastes/security_score_0_to_3|climate:mana-stormlands/security_score_0_to_3","20","no-static-universal-winner"
"arcane","hospitality","mutual-contextual-advantages","climate:ember-wastes/security_score_0_to_3|climate:frost-rift/food_and_economy_score_0_to_3","climate:mana-stormlands/expansion_score_0_to_3|climate:temperate-cave/food_and_economy_score_0_to_3","20","no-static-universal-winner"
"arcane","industrial","mutual-contextual-advantages","climate:ember-wastes/food_and_economy_score_0_to_3|climate:mana-stormlands/food_and_economy_score_0_to_3","climate:frost-rift/food_and_economy_score_0_to_3|climate:frost-rift/security_score_0_to_3","20","no-static-universal-winner"
"arcane","sanctuary","mutual-contextual-advantages","climate:ember-wastes/food_and_economy_score_0_to_3|climate:ember-wastes/security_score_0_to_3","climate:ember-wastes/recovery_score_0_to_3|climate:ember-wastes/expansion_score_0_to_3","20","no-static-universal-winner"
"arcane","underground","mutual-contextual-advantages","climate:ember-wastes/food_and_economy_score_0_to_3|climate:mana-stormlands/food_and_economy_score_0_to_3","climate:ember-wastes/expansion_score_0_to_3|climate:frost-rift/recovery_score_0_to_3","20","no-static-universal-winner"
"expeditionary","hospitality","mutual-contextual-advantages","climate:ember-wastes/security_score_0_to_3|climate:frost-rift/security_score_0_to_3","climate:temperate-cave/food_and_economy_score_0_to_3","20","no-static-universal-winner"
"expeditionary","industrial","mutual-contextual-advantages","climate:ember-wastes/food_and_economy_score_0_to_3|climate:ember-wastes/security_score_0_to_3","climate:frost-rift/food_and_economy_score_0_to_3|climate:frost-rift/security_score_0_to_3","20","no-static-universal-winner"
"expeditionary","sanctuary","mutual-contextual-advantages","climate:ember-wastes/food_and_economy_score_0_to_3|climate:ember-wastes/security_score_0_to_3","climate:ember-wastes/recovery_score_0_to_3|climate:ember-wastes/expansion_score_0_to_3","20","no-static-universal-winner"
"expeditionary","underground","mutual-contextual-advantages","climate:ember-wastes/food_and_economy_score_0_to_3|climate:ember-wastes/security_score_0_to_3","climate:ember-wastes/expansion_score_0_to_3|climate:frost-rift/food_and_economy_score_0_to_3","20","no-static-universal-winner"
"hospitality","industrial","mutual-contextual-advantages","climate:ember-wastes/food_and_economy_score_0_to_3|climate:temperate-cave/food_and_economy_score_0_to_3","climate:ember-wastes/security_score_0_to_3|climate:frost-rift/food_and_economy_score_0_to_3","20","no-static-universal-winner"
"hospitality","sanctuary","mutual-contextual-advantages","climate:ember-wastes/food_and_economy_score_0_to_3","climate:ember-wastes/recovery_score_0_to_3|climate:ember-wastes/expansion_score_0_to_3","20","no-static-universal-winner"
"hospitality","underground","mutual-contextual-advantages","climate:ember-wastes/food_and_economy_score_0_to_3|climate:mana-stormlands/recovery_score_0_to_3","climate:ember-wastes/security_score_0_to_3|climate:ember-wastes/expansion_score_0_to_3","20","no-static-universal-winner"
"industrial","sanctuary","mutual-contextual-advantages","climate:ember-wastes/security_score_0_to_3|climate:frost-rift/food_and_economy_score_0_to_3","climate:ember-wastes/recovery_score_0_to_3|climate:ember-wastes/expansion_score_0_to_3","20","no-static-universal-winner"
"industrial","underground","mutual-contextual-advantages","climate:frost-rift/food_and_economy_score_0_to_3|climate:frost-rift/security_score_0_to_3","climate:ember-wastes/expansion_score_0_to_3|climate:mycelial-depths/food_and_economy_score_0_to_3","20","no-static-universal-winner"
"sanctuary","underground","mutual-contextual-advantages","climate:ember-wastes/recovery_score_0_to_3|climate:mana-stormlands/recovery_score_0_to_3","climate:ember-wastes/security_score_0_to_3|climate:frost-rift/food_and_economy_score_0_to_3","20","no-static-universal-winner"
