"stable_id","display_name","source_declared_function","composition_evidence","portfolio_commitment","same_era_alternative_candidates","activation_and_fit_receipt","build_conflict","reconfiguration","status"
"apparel:23001","하의 속옷","작성 목적은 '하의 속옷. 실제 부착점·크기·레이어·개조와 한 종류의 주원단으로 성능을 결정한다'이다.","소재 Woven; 신체형 Humanoid; 맞춤 Sized; 레이어 Underwear; 점유 Wing Left; 연구 research:textile:fiber; 용도 Underwear","Underwear 레이어의 Wing Left 점유를 이 Humanoid형 의복에 배정한다. 용도 태그 Underwear에 맞는 일상·수면·보호·부속 장비의 재료, 제작 노동, 보관 재고와 경쟁한다.","비교 후보(대체 가능성 미검증): ApparelDefinitionSO:apparel:23017, ApparelDefinitionSO:apparel:23047, ApparelDefinitionSO:apparel:23012, ApparelDefinitionSO:apparel:23049, ApparelDefinitionSO:apparel:23038, ApparelDefinitionSO:apparel:23004, ApparelDefinitionSO:apparel:23021, ApparelDefinitionSO:apparel:23025, ApparelDefinitionSO:apparel:23043, ApparelDefinitionSO:apparel:23019, ApparelDefinitionSO:apparel:23042, ApparelDefinitionSO:apparel:23035 외 43개","연구 research:textile:fiber 완료 뒤 물리 아이템 apparel:lower-underwear를 Humanoid 대상에게 Sized 조건으로 맞추고 Underwear 레이어의 Wing Left 점유에 장착한다.","같은 신체형·레이어·점유를 요구하는 정의는 동시에 채택할 수 없으므로, 해당 자리를 다른 의복·보호 장비·운반 장비에 양보하거나 재편성한다.","장착 해제 후 물리 아이템을 재고로 회수하고, 다른 신체형·레이어·점유 조합으로 다시 배정한다. 세탁·수리·개조의 실행 경로는 원본 정의와 저장 검증에서 별도 확인한다.","전수 설계; 장착·점유·효과·세탁·수리·저장 실행 검증 OPEN"
"apparel:23002","허리 두름 속옷","작성 목적은 '허리 두름 속옷. 실제 부착점·크기·레이어·개조와 한 종류의 주원단으로 성능을 결정한다'이다.","소재 Woven; 신체형 Humanoid; 맞춤 Adjustable; 레이어 Underwear; 점유 Wing Left; 연구 research:textile:fiber; 용도 Underwear","Underwear 레이어의 Wing Left 점유를 이 Humanoid형 의복에 배정한다. 용도 태그 Underwear에 맞는 일상·수면·보호·부속 장비의 재료, 제작 노동, 보관 재고와 경쟁한다.","비교 후보(대체 가능성 미검증): ApparelDefinitionSO:apparel:23017, ApparelDefinitionSO:apparel:23047, ApparelDefinitionSO:apparel:23012, ApparelDefinitionSO:apparel:23049, ApparelDefinitionSO:apparel:23038, ApparelDefinitionSO:apparel:23004, ApparelDefinitionSO:apparel:23021, ApparelDefinitionSO:apparel:23025, ApparelDefinitionSO:apparel:23043, ApparelDefinitionSO:apparel:23019, ApparelDefinitionSO:apparel:23042, ApparelDefinitionSO:apparel:23035 외 43개","연구 research:textile:fiber 완료 뒤 물리 아이템 apparel:loincloth-underwear를 Humanoid 대상에게 Adjustable 조건으로 맞추고 Underwear 레이어의 Wing Left 점유에 장착한다.","같은 신체형·레이어·점유를 요구하는 정의는 동시에 채택할 수 없으므로, 해당 자리를 다른 의복·보호 장비·운반 장비에 양보하거나 재편성한다.","장착 해제 후 물리 아이템을 재고로 회수하고, 다른 신체형·레이어·점유 조합으로 다시 배정한다. 세탁·수리·개조의 실행 경로는 원본 정의와 저장 검증에서 별도 확인한다.","전수 설계; 장착·점유·효과·세탁·수리·저장 실행 검증 OPEN"
"apparel:23003","속셔츠","작성 목적은 '속셔츠. 실제 부착점·크기·레이어·개조와 한 종류의 주원단으로 성능을 결정한다'이다.","소재 Woven; 신체형 Humanoid; 맞춤 Sized; 레이어 Underwear; 점유 Hand Left; 연구 research:textile:fiber; 용도 Underwear","Underwear 레이어의 Hand Left 점유를 이 Humanoid형 의복에 배정한다. 용도 태그 Underwear에 맞는 일상·수면·보호·부속 장비의 재료, 제작 노동, 보관 재고와 경쟁한다.","비교 후보(대체 가능성 미검증): ApparelDefinitionSO:apparel:23017, ApparelDefinitionSO:apparel:23047, ApparelDefinitionSO:apparel:23012, ApparelDefinitionSO:apparel:23049, ApparelDefinitionSO:apparel:23038, ApparelDefinitionSO:apparel:23004, ApparelDefinitionSO:apparel:23021, ApparelDefinitionSO:apparel:23025, ApparelDefinitionSO:apparel:23043, ApparelDefinitionSO:apparel:23019, ApparelDefinitionSO:apparel:23042, ApparelDefinitionSO:apparel:23035 외 43개","연구 research:textile:fiber 완료 뒤 물리 아이템 apparel:undershirt를 Humanoid 대상에게 Sized 조건으로 맞추고 Underwear 레이어의 Hand Left 점유에 장착한다.","같은 신체형·레이어·점유를 요구하는 정의는 동시에 채택할 수 없으므로, 해당 자리를 다른 의복·보호 장비·운반 장비에 양보하거나 재편성한다.","장착 해제 후 물리 아이템을 재고로 회수하고, 다른 신체형·레이어·점유 조합으로 다시 배정한다. 세탁·수리·개조의 실행 경로는 원본 정의와 저장 검증에서 별도 확인한다.","전수 설계; 장착·점유·효과·세탁·수리·저장 실행 검증 OPEN"
"apparel:23004","가슴 감개","작성 목적은 '가슴 감개. 실제 부착점·크기·레이어·개조와 한 종류의 주원단으로 성능을 결정한다'이다.","소재 Woven; 신체형 Humanoid; 맞춤 Adjustable; 레이어 Underwear; 점유 Hand Left; 연구 research:textile:fiber; 용도 Underwear","Underwear 레이어의 Hand Left 점유를 이 Humanoid형 의복에 배정한다. 용도 태그 Underwear에 맞는 일상·수면·보호·부속 장비의 재료, 제작 노동, 보관 재고와 경쟁한다.","비교 후보(대체 가능성 미검증): ApparelDefinitionSO:apparel:23017, ApparelDefinitionSO:apparel:23047, ApparelDefinitionSO:apparel:23012, ApparelDefinitionSO:apparel:23049, ApparelDefinitionSO:apparel:23038, ApparelDefinitionSO:apparel:23021, ApparelDefinitionSO:apparel:23025, ApparelDefinitionSO:apparel:23043, ApparelDefinitionSO:apparel:23019, ApparelDefinitionSO:apparel:23042, ApparelDefinitionSO:apparel:23035, ApparelDefinitionSO:apparel:23041 외 43개","연구 research:textile:fiber 완료 뒤 물리 아이템 apparel:chest-wrap를 Humanoid 대상에게 Adjustable 조건으로 맞추고 Underwear 레이어의 Hand Left 점유에 장착한다.","같은 신체형·레이어·점유를 요구하는 정의는 동시에 채택할 수 없으므로, 해당 자리를 다른 의복·보호 장비·운반 장비에 양보하거나 재편성한다.","장착 해제 후 물리 아이템을 재고로 회수하고, 다른 신체형·레이어·점유 조합으로 다시 배정한다. 세탁·수리·개조의 실행 경로는 원본 정의와 저장 검증에서 별도 확인한다.","전수 설계; 장착·점유·효과·세탁·수리·저장 실행 검증 OPEN"
"apparel:23005","내의 바지","작성 목적은 '내의 바지. 실제 부착점·크기·레이어·개조와 한 종류의 주원단으로 성능을 결정한다'이다.","소재 Woven; 신체형 Humanoid; 맞춤 Sized; 레이어 Inner; 점유 알 수 없음 (1552); 연구 research:textile:fiber; 용도 알 수 없음 (17)","Inner 레이어의 알 수 없음 (1552) 점유를 이 Humanoid형 의복에 배정한다. 용도 태그 알 수 없음 (17)에 맞는 일상·수면·보호·부속 장비의 재료, 제작 노동, 보관 재고와 경쟁한다.","비교 후보(대체 가능성 미검증): ApparelDefinitionSO:apparel:23017, ApparelDefinitionSO:apparel:23047, ApparelDefinitionSO:apparel:23012, ApparelDefinitionSO:apparel:23049, ApparelDefinitionSO:apparel:23038, ApparelDefinitionSO:apparel:23004, ApparelDefinitionSO:apparel:23021, ApparelDefinitionSO:apparel:23025, ApparelDefinitionSO:apparel:23043, ApparelDefinitionSO:apparel:23019, ApparelDefinitionSO:apparel:23042, ApparelDefinitionSO:apparel:23035 외 43개","연구 research:textile:fiber 완료 뒤 물리 아이템 apparel:long-underpants를 Humanoid 대상에게 Sized 조건으로 맞추고 Inner 레이어의 알 수 없음 (1552) 점유에 장착한다.","같은 신체형·레이어·점유를 요구하는 정의는 동시에 채택할 수 없으므로, 해당 자리를 다른 의복·보호 장비·운반 장비에 양보하거나 재편성한다. 내보내기가 알 수 없음으로 보인 열거값은 런타임 장착 규칙 확정 전 원본 enum 매핑을 확인한다.","장착 해제 후 물리 아이템을 재고로 회수하고, 다른 신체형·레이어·점유 조합으로 다시 배정한다. 세탁·수리·개조의 실행 경로는 원본 정의와 저장 검증에서 별도 확인한다.","전수 설계; 장착·점유·효과·세탁·수리·저장 실행 검증 OPEN; enum label 해석 OPEN"
"apparel:23006","양말","작성 목적은 '양말. 실제 부착점·크기·레이어·개조와 한 종류의 주원단으로 성능을 결정한다'이다.","소재 Woven; 신체형 Humanoid; 맞춤 Sized; 레이어 Underwear; 점유 알 수 없음 (6144); 연구 research:textile:fiber; 용도 Underwear","Underwear 레이어의 알 수 없음 (6144) 점유를 이 Humanoid형 의복에 배정한다. 용도 태그 Underwear에 맞는 일상·수면·보호·부속 장비의 재료, 제작 노동, 보관 재고와 경쟁한다.","비교 후보(대체 가능성 미검증): ApparelDefinitionSO:apparel:23017, ApparelDefinitionSO:apparel:23047, ApparelDefinitionSO:apparel:23012, ApparelDefinitionSO:apparel:23049, ApparelDefinitionSO:apparel:23038, ApparelDefinitionSO:apparel:23004, ApparelDefinitionSO:apparel:23021, ApparelDefinitionSO:apparel:23025, ApparelDefinitionSO:apparel:23043, ApparelDefinitionSO:apparel:23019, ApparelDefinitionSO:apparel:23042, ApparelDefinitionSO:apparel:23035 외 43개","연구 research:textile:fiber 완료 뒤 물리 아이템 apparel:socks를 Humanoid 대상에게 Sized 조건으로 맞추고 Underwear 레이어의 알 수 없음 (6144) 점유에 장착한다.","같은 신체형·레이어·점유를 요구하는 정의는 동시에 채택할 수 없으므로, 해당 자리를 다른 의복·보호 장비·운반 장비에 양보하거나 재편성한다. 내보내기가 알 수 없음으로 보인 열거값은 런타임 장착 규칙 확정 전 원본 enum 매핑을 확인한다.","장착 해제 후 물리 아이템을 재고로 회수하고, 다른 신체형·레이어·점유 조합으로 다시 배정한다. 세탁·수리·개조의 실행 경로는 원본 정의와 저장 검증에서 별도 확인한다.","전수 설계; 장착·점유·효과·세탁·수리·저장 실행 검증 OPEN; enum label 해석 OPEN"
"apparel:23007","발싸개","작성 목적은 '발싸개. 실제 부착점·크기·레이어·개조와 한 종류의 주원단으로 성능을 결정한다'이다.","소재 Woven; 신체형 Humanoid; 맞춤 Adjustable; 레이어 Underwear; 점유 알 수 없음 (6144); 연구 research:textile:fiber; 용도 Underwear","Underwear 레이어의 알 수 없음 (6144) 점유를 이 Humanoid형 의복에 배정한다. 용도 태그 Underwear에 맞는 일상·수면·보호·부속 장비의 재료, 제작 노동, 보관 재고와 경쟁한다.","비교 후보(대체 가능성 미검증): ApparelDefinitionSO:apparel:23017, ApparelDefinitionSO:apparel:23047, ApparelDefinitionSO:apparel:23012, ApparelDefinitionSO:apparel:23049, ApparelDefinitionSO:apparel:23038, ApparelDefinitionSO:apparel:23004, ApparelDefinitionSO:apparel:23021, ApparelDefinitionSO:apparel:23025, ApparelDefinitionSO:apparel:23043, ApparelDefinitionSO:apparel:23019, ApparelDefinitionSO:apparel:23042, ApparelDefinitionSO:apparel:23035 외 43개","연구 research:textile:fiber 완료 뒤 물리 아이템 apparel:footwraps를 Humanoid 대상에게 Adjustable 조건으로 맞추고 Underwear 레이어의 알 수 없음 (6144) 점유에 장착한다.","같은 신체형·레이어·점유를 요구하는 정의는 동시에 채택할 수 없으므로, 해당 자리를 다른 의복·보호 장비·운반 장비에 양보하거나 재편성한다. 내보내기가 알 수 없음으로 보인 열거값은 런타임 장착 규칙 확정 전 원본 enum 매핑을 확인한다.","장착 해제 후 물리 아이템을 재고로 회수하고, 다른 신체형·레이어·점유 조합으로 다시 배정한다. 세탁·수리·개조의 실행 경로는 원본 정의와 저장 검증에서 별도 확인한다.","전수 설계; 장착·점유·효과·세탁·수리·저장 실행 검증 OPEN; enum label 해석 OPEN"
"apparel:23008","잠옷 상의","작성 목적은 '잠옷 상의. 실제 부착점·크기·레이어·개조와 한 종류의 주원단으로 성능을 결정한다'이다.","소재 Woven; 신체형 Humanoid; 맞춤 Sized; 레이어 Inner; 점유 알 수 없음 (104); 연구 research:textile:tailoring; 용도 Sleep","Inner 레이어의 알 수 없음 (104) 점유를 이 Humanoid형 의복에 배정한다. 용도 태그 Sleep에 맞는 일상·수면·보호·부속 장비의 재료, 제작 노동, 보관 재고와 경쟁한다.","비교 후보(대체 가능성 미검증): ApparelDefinitionSO:apparel:23017, ApparelDefinitionSO:apparel:23047, ApparelDefinitionSO:apparel:23012, ApparelDefinitionSO:apparel:23049, ApparelDefinitionSO:apparel:23038, ApparelDefinitionSO:apparel:23004, ApparelDefinitionSO:apparel:23021, ApparelDefinitionSO:apparel:23025, ApparelDefinitionSO:apparel:23043, ApparelDefinitionSO:apparel:23019, ApparelDefinitionSO:apparel:23042, ApparelDefinitionSO:apparel:23035 외 43개","연구 research:textile:tailoring 완료 뒤 물리 아이템 apparel:sleep-top를 Humanoid 대상에게 Sized 조건으로 맞추고 Inner 레이어의 알 수 없음 (104) 점유에 장착한다.","같은 신체형·레이어·점유를 요구하는 정의는 동시에 채택할 수 없으므로, 해당 자리를 다른 의복·보호 장비·운반 장비에 양보하거나 재편성한다. 내보내기가 알 수 없음으로 보인 열거값은 런타임 장착 규칙 확정 전 원본 enum 매핑을 확인한다.","장착 해제 후 물리 아이템을 재고로 회수하고, 다른 신체형·레이어·점유 조합으로 다시 배정한다. 세탁·수리·개조의 실행 경로는 원본 정의와 저장 검증에서 별도 확인한다.","전수 설계; 장착·점유·효과·세탁·수리·저장 실행 검증 OPEN; enum label 해석 OPEN"
"apparel:23009","잠옷 하의","작성 목적은 '잠옷 하의. 실제 부착점·크기·레이어·개조와 한 종류의 주원단으로 성능을 결정한다'이다.","소재 Woven; 신체형 Humanoid; 맞춤 Sized; 레이어 Inner; 점유 알 수 없음 (1552); 연구 research:textile:tailoring; 용도 Sleep","Inner 레이어의 알 수 없음 (1552) 점유를 이 Humanoid형 의복에 배정한다. 용도 태그 Sleep에 맞는 일상·수면·보호·부속 장비의 재료, 제작 노동, 보관 재고와 경쟁한다.","비교 후보(대체 가능성 미검증): ApparelDefinitionSO:apparel:23017, ApparelDefinitionSO:apparel:23047, ApparelDefinitionSO:apparel:23012, ApparelDefinitionSO:apparel:23049, ApparelDefinitionSO:apparel:23038, ApparelDefinitionSO:apparel:23004, ApparelDefinitionSO:apparel:23021, ApparelDefinitionSO:apparel:23025, ApparelDefinitionSO:apparel:23043, ApparelDefinitionSO:apparel:23019, ApparelDefinitionSO:apparel:23042, ApparelDefinitionSO:apparel:23035 외 43개","연구 research:textile:tailoring 완료 뒤 물리 아이템 apparel:sleep-bottom를 Humanoid 대상에게 Sized 조건으로 맞추고 Inner 레이어의 알 수 없음 (1552) 점유에 장착한다.","같은 신체형·레이어·점유를 요구하는 정의는 동시에 채택할 수 없으므로, 해당 자리를 다른 의복·보호 장비·운반 장비에 양보하거나 재편성한다. 내보내기가 알 수 없음으로 보인 열거값은 런타임 장착 규칙 확정 전 원본 enum 매핑을 확인한다.","장착 해제 후 물리 아이템을 재고로 회수하고, 다른 신체형·레이어·점유 조합으로 다시 배정한다. 세탁·수리·개조의 실행 경로는 원본 정의와 저장 검증에서 별도 확인한다.","전수 설계; 장착·점유·효과·세탁·수리·저장 실행 검증 OPEN; enum label 해석 OPEN"
"apparel:23010","골렘 기능성 내피","작성 목적은 '골렘 기능성 내피. 실제 부착점·크기·레이어·개조와 한 종류의 주원단으로 성능을 결정한다'이다.","소재 알 수 없음 (3); 신체형 Construct; 맞춤 Sized; 레이어 Inner; 점유 알 수 없음 (9848); 연구 research:textile:layered; 용도 Protective","Inner 레이어의 알 수 없음 (9848) 점유를 이 Construct형 의복에 배정한다. 용도 태그 Protective에 맞는 일상·수면·보호·부속 장비의 재료, 제작 노동, 보관 재고와 경쟁한다.","비교 후보(대체 가능성 미검증): ApparelDefinitionSO:apparel:23017, ApparelDefinitionSO:apparel:23047, ApparelDefinitionSO:apparel:23012, ApparelDefinitionSO:apparel:23049, ApparelDefinitionSO:apparel:23038, ApparelDefinitionSO:apparel:23004, ApparelDefinitionSO:apparel:23021, ApparelDefinitionSO:apparel:23025, ApparelDefinitionSO:apparel:23043, ApparelDefinitionSO:apparel:23019, ApparelDefinitionSO:apparel:23042, ApparelDefinitionSO:apparel:23035 외 43개","연구 research:textile:layered 완료 뒤 물리 아이템 apparel:golem-functional-lining를 Construct 대상에게 Sized 조건으로 맞추고 Inner 레이어의 알 수 없음 (9848) 점유에 장착한다.","같은 신체형·레이어·점유를 요구하는 정의는 동시에 채택할 수 없으므로, 해당 자리를 다른 의복·보호 장비·운반 장비에 양보하거나 재편성한다. 내보내기가 알 수 없음으로 보인 열거값은 런타임 장착 규칙 확정 전 원본 enum 매핑을 확인한다.","장착 해제 후 물리 아이템을 재고로 회수하고, 다른 신체형·레이어·점유 조합으로 다시 배정한다. 세탁·수리·개조의 실행 경로는 원본 정의와 저장 검증에서 별도 확인한다.","전수 설계; 장착·점유·효과·세탁·수리·저장 실행 검증 OPEN; enum label 해석 OPEN"
