schemaVersion,stableId,definitionKind,unitSemantic,authoringFamily,beforeUnitGrams,proposedUnitGrams,massFormula,producerIds,consumerIds,recipeInputAndOutputGrams,packageTareDisposition,maxStackMass,warehouseAndBufferImpact,ordinaryHaulBatch,ewuAndPriceImpact,sourceDigest,proposalReason,reviewDisposition
v27.mass.family-proposal.3,ammo:armor-piercing-cartridge,ItemDefinitionSO,AmmunitionUnitOrPack:1 ammunition unit,AmmunitionUnitOrPack/RecipeMassBalance,275,275,recipe-mass-balance(mass:semantic-authority:ammo:armor-piercing-cartridge:v1),recipe:ammo:armor-piercing-cartridge,,recipe:ammo:armor-piercing-cartridge:output:output:main:role=Main:qty=6:probability=1:before=1650g:proposed=1650g,None:0g:none,units=40;before=11000g;proposed=11000g,OPEN:not-captured;derivedUnitDelta=0g;maxStackDelta=0g;requiredAdmission=mass-grams,class=Ordinary;units=22-40;grams=6050-11000g,OPEN:not-captured;authoredUnitPrice=16;massRatioDiagnostic=1;requiredEwuPriceAction=unchanged-by-mass,a0a68e901fd7ed8430375aa2e1cdea88011e48fab2c55ed4c5a0581ac8c323dc,authority=mass:semantic-authority:ammo:armor-piercing-cartridge:v1; unit=1 ammunition unit; haul=Ordinary; tareGrams=0; tareDisposition=None,no-change
v27.mass.family-proposal.3,ammo:arrow-bone,ItemDefinitionSO,AmmunitionUnitOrPack:1 ammunition unit,AmmunitionUnitOrPack/RecipeMassBalance,80,80,recipe-mass-balance(mass:semantic-authority:ammo:arrow-bone:v1),recipe:arrow-bone,,recipe:arrow-bone:output:output:recipe:arrow-bone/000/main/ammo:arrow-bone:role=Main:qty=10:probability=1:before=800g:proposed=800g,None:0g:none,units=100;before=8000g;proposed=8000g,OPEN:not-captured;derivedUnitDelta=0g;maxStackDelta=0g;requiredAdmission=mass-grams,class=Ordinary;units=75-100;grams=6000-8000g,OPEN:not-captured;authoredUnitPrice=5;massRatioDiagnostic=1;requiredEwuPriceAction=unchanged-by-mass,a0a68e901fd7ed8430375aa2e1cdea88011e48fab2c55ed4c5a0581ac8c323dc,authority=mass:semantic-authority:ammo:arrow-bone:v1; unit=1 ammunition unit; haul=Ordinary; tareGrams=0; tareDisposition=None,no-change
v27.mass.family-proposal.3,ammo:arrow-iron,ItemDefinitionSO,AmmunitionUnitOrPack:1 ammunition unit,AmmunitionUnitOrPack/RecipeMassBalance,90,90,recipe-mass-balance(mass:semantic-authority:ammo:arrow-iron:v1),recipe:arrow-iron,,recipe:arrow-iron:output:output:recipe:arrow-iron/000/main/ammo:arrow-iron:role=Main:qty=10:probability=1:before=900g:proposed=900g,None:0g:none,units=100;before=9000g;proposed=9000g,OPEN:not-captured;derivedUnitDelta=0g;maxStackDelta=0g;requiredAdmission=mass-grams,class=Ordinary;units=67-100;grams=6030-9000g,OPEN:not-captured;authoredUnitPrice=9;massRatioDiagnostic=1;requiredEwuPriceAction=unchanged-by-mass,a0a68e901fd7ed8430375aa2e1cdea88011e48fab2c55ed4c5a0581ac8c323dc,authority=mass:semantic-authority:ammo:arrow-iron:v1; unit=1 ammunition unit; haul=Ordinary; tareGrams=0; tareDisposition=None,no-change
v27.mass.family-proposal.3,ammo:arrow-rune,ItemDefinitionSO,AmmunitionUnitOrPack:1 ammunition unit,AmmunitionUnitOrPack/RecipeMassBalance,80,80,recipe-mass-balance(mass:semantic-authority:ammo:arrow-rune:v1),recipe:arrow-rune,,recipe:arrow-rune:output:output:recipe:arrow-rune/000/main/ammo:arrow-rune:role=Main:qty=8:probability=1:before=640g:proposed=640g,None:0g:none,units=75;before=6000g;proposed=6000g,OPEN:not-captured;derivedUnitDelta=0g;maxStackDelta=0g;requiredAdmission=mass-grams,class=Ordinary;units=75-75;grams=6000-6000g,OPEN:not-captured;authoredUnitPrice=33;massRatioDiagnostic=1;requiredEwuPriceAction=unchanged-by-mass,a0a68e901fd7ed8430375aa2e1cdea88011e48fab2c55ed4c5a0581ac8c323dc,authority=mass:semantic-authority:ammo:arrow-rune:v1; unit=1 ammunition unit; haul=Ordinary; tareGrams=0; tareDisposition=None,no-change
v27.mass.family-proposal.3,ammo:arrow-steel,ItemDefinitionSO,AmmunitionUnitOrPack:1 ammunition unit,AmmunitionUnitOrPack/RecipeMassBalance,85,85,recipe-mass-balance(mass:semantic-authority:ammo:arrow-steel:v1),recipe:arrow-steel,recipe:ammo:incendiary-arrow,recipe:ammo:incendiary-arrow:input:0:qty=6:before=510g:proposed=510g|recipe:arrow-steel:output:output:recipe:arrow-steel/000/main/ammo:arrow-steel:role=Main:qty=10:probability=1:before=850g:proposed=850g,None:0g:none,units=100;before=8500g;proposed=8500g,OPEN:not-captured;derivedUnitDelta=0g;maxStackDelta=0g;requiredAdmission=mass-grams,class=Ordinary;units=71-100;grams=6035-8500g,OPEN:not-captured;authoredUnitPrice=17;massRatioDiagnostic=1;requiredEwuPriceAction=unchanged-by-mass,a0a68e901fd7ed8430375aa2e1cdea88011e48fab2c55ed4c5a0581ac8c323dc,authority=mass:semantic-authority:ammo:arrow-steel:v1; unit=1 ammunition unit; haul=Ordinary; tareGrams=0; tareDisposition=None,no-change
v27.mass.family-proposal.3,ammo:blacksteel-bolt,ItemDefinitionSO,AmmunitionUnitOrPack:1 ammunition unit,AmmunitionUnitOrPack/RecipeMassBalance,150,150,recipe-mass-balance(mass:semantic-authority:ammo:blacksteel-bolt:v1),recipe:ammo:blacksteel-bolt,,recipe:ammo:blacksteel-bolt:output:output:main:role=Main:qty=6:probability=1:before=900g:proposed=900g,None:0g:none,units=120;before=18000g;proposed=18000g,OPEN:not-captured;derivedUnitDelta=0g;maxStackDelta=0g;requiredAdmission=mass-grams,class=Ordinary;units=40-73;grams=6000-10950g,OPEN:not-captured;authoredUnitPrice=119;massRatioDiagnostic=1;requiredEwuPriceAction=unchanged-by-mass,a0a68e901fd7ed8430375aa2e1cdea88011e48fab2c55ed4c5a0581ac8c323dc,authority=mass:semantic-authority:ammo:blacksteel-bolt:v1; unit=1 ammunition unit; haul=Ordinary; tareGrams=0; tareDisposition=None,no-change
v27.mass.family-proposal.3,ammo:blasting-charge,ItemDefinitionSO,AmmunitionUnitOrPack:1 ammunition unit,AmmunitionUnitOrPack/RecipeMassBalance,2900,2900,recipe-mass-balance(mass:semantic-authority:ammo:blasting-charge:v1),recipe:ammo:blasting-charge,,recipe:ammo:blasting-charge:output:output:main:role=Main:qty=2:probability=1:before=5800g:proposed=5800g,None:0g:none,units=4;before=11600g;proposed=11600g,OPEN:not-captured;derivedUnitDelta=0g;maxStackDelta=0g;requiredAdmission=mass-grams,class=Ordinary;units=3-3;grams=8700-8700g,OPEN:not-captured;authoredUnitPrice=32;massRatioDiagnostic=1;requiredEwuPriceAction=unchanged-by-mass,a0a68e901fd7ed8430375aa2e1cdea88011e48fab2c55ed4c5a0581ac8c323dc,authority=mass:semantic-authority:ammo:blasting-charge:v1; unit=1 ammunition unit; haul=Ordinary; tareGrams=0; tareDisposition=None,no-change
v27.mass.family-proposal.3,ammo:bolt-bone,ItemDefinitionSO,AmmunitionUnitOrPack:1 ammunition unit,AmmunitionUnitOrPack/RecipeMassBalance,100,100,recipe-mass-balance(mass:semantic-authority:ammo:bolt-bone:v1),recipe:bolt-bone,,recipe:bolt-bone:output:output:recipe:bolt-bone/000/main/ammo:bolt-bone:role=Main:qty=10:probability=1:before=1000g:proposed=1000g,None:0g:none,units=100;before=10000g;proposed=10000g,OPEN:not-captured;derivedUnitDelta=0g;maxStackDelta=0g;requiredAdmission=mass-grams,class=Ordinary;units=60-100;grams=6000-10000g,OPEN:not-captured;authoredUnitPrice=6;massRatioDiagnostic=1;requiredEwuPriceAction=unchanged-by-mass,a0a68e901fd7ed8430375aa2e1cdea88011e48fab2c55ed4c5a0581ac8c323dc,authority=mass:semantic-authority:ammo:bolt-bone:v1; unit=1 ammunition unit; haul=Ordinary; tareGrams=0; tareDisposition=None,no-change
v27.mass.family-proposal.3,ammo:bolt-iron,ItemDefinitionSO,AmmunitionUnitOrPack:1 ammunition unit,AmmunitionUnitOrPack/RecipeMassBalance,110,110,recipe-mass-balance(mass:semantic-authority:ammo:bolt-iron:v1),recipe:bolt-iron,,recipe:bolt-iron:output:output:recipe:bolt-iron/000/main/ammo:bolt-iron:role=Main:qty=10:probability=1:before=1100g:proposed=1100g,None:0g:none,units=100;before=11000g;proposed=11000g,OPEN:not-captured;derivedUnitDelta=0g;maxStackDelta=0g;requiredAdmission=mass-grams,class=Ordinary;units=55-100;grams=6050-11000g,OPEN:not-captured;authoredUnitPrice=10;massRatioDiagnostic=1;requiredEwuPriceAction=unchanged-by-mass,a0a68e901fd7ed8430375aa2e1cdea88011e48fab2c55ed4c5a0581ac8c323dc,authority=mass:semantic-authority:ammo:bolt-iron:v1; unit=1 ammunition unit; haul=Ordinary; tareGrams=0; tareDisposition=None,no-change
v27.mass.family-proposal.3,ammo:bolt-rune,ItemDefinitionSO,AmmunitionUnitOrPack:1 ammunition unit,AmmunitionUnitOrPack/RecipeMassBalance,100,100,recipe-mass-balance(mass:semantic-authority:ammo:bolt-rune:v1),recipe:bolt-rune,,recipe:bolt-rune:output:output:recipe:bolt-rune/000/main/ammo:bolt-rune:role=Main:qty=8:probability=1:before=800g:proposed=800g,None:0g:none,units=75;before=7500g;proposed=7500g,OPEN:not-captured;derivedUnitDelta=0g;maxStackDelta=0g;requiredAdmission=mass-grams,class=Ordinary;units=60-75;grams=6000-7500g,OPEN:not-captured;authoredUnitPrice=33;massRatioDiagnostic=1;requiredEwuPriceAction=unchanged-by-mass,a0a68e901fd7ed8430375aa2e1cdea88011e48fab2c55ed4c5a0581ac8c323dc,authority=mass:semantic-authority:ammo:bolt-rune:v1; unit=1 ammunition unit; haul=Ordinary; tareGrams=0; tareDisposition=None,no-change
