schemaVersion,recipeId,facilityDefinitionId,workstationTag,factorNumerator,factorDenominator,baseMaximumMassGrams,scaledMaximumMassGrams,cycleCapacity,portfolioCapacityGrams,outputProofs,sourceDigest
v27-grand-project-affected-recipe-envelope@1,recipe:advanced-medicine,building:1091,workstation:alchemy,23,20,140,280,4,1120,output:recipe:advanced-medicine/000/main/medicine:advanced|medicine:advanced|1|2|140,d2a9c4ebc96552d0baf92a395e4a50a97e34d3f1f75ad1182d20912589524698
v27-grand-project-affected-recipe-envelope@1,recipe:alcohol,building:1086,workstation:distillery,23,20,1000,1500,4,6000,output:recipe:alcohol/000/main/material:alcohol|material:alcohol|2|3|500,1feccdbabea9a09119146ef796ec226019844a04af4a9c0528b19e1de0d91098
v27-grand-project-affected-recipe-envelope@1,recipe:anesthetic,building:1090,workstation:apothecary,23,20,120,240,4,960,output:recipe:anesthetic/000/main/medicine:anesthetic|medicine:anesthetic|1|2|120,de0f7c7659d7fe07d39f5d30a4b06756ff60a35668333fbe173aebaa94be5a48
v27-grand-project-affected-recipe-envelope@1,recipe:antidote,building:1091,workstation:alchemy,23,20,120,240,4,960,output:recipe:antidote/000/main/medicine:antidote|medicine:antidote|1|2|120,42360941aec4f70a3603e9d1de69b6bcd21b434e240654dbeab6768fbd091d10
v27-grand-project-affected-recipe-envelope@1,recipe:antiseptic,building:1090,workstation:apothecary,23,20,360,540,4,2160,output:recipe:antiseptic/000/main/medicine:antiseptic|medicine:antiseptic|2|3|180,a58242254e8e20a5f2affed582fbbe3cad8afb37a0766daed2e3a049840782f6
v27-grand-project-affected-recipe-envelope@1,recipe:blood-stimulant,building:1091,workstation:alchemy,23,20,100,200,4,800,output:recipe:blood-stimulant/000/main/drug:blood-stimulant|drug:blood-stimulant|1|2|100,fa30b32c53f95e20ce2e80c8bf581f8d7359e73edd83ac5b67bbbf9680f987d7
v27-grand-project-affected-recipe-envelope@1,recipe:candle,building:1090,workstation:apothecary,23,20,400,600,4,2400,output:recipe:candle/000/main/craft:candle|craft:candle|2|3|200,612641b3aad6e50e0c85407c4bcaee782f2403586b6bf634dec07f28d0239365
v27-grand-project-affected-recipe-envelope@1,recipe:dreamleaf-analgesic,building:1090,workstation:apothecary,23,20,120,240,4,960,output:recipe:dreamleaf-analgesic/000/main/drug:dreamleaf-analgesic|drug:dreamleaf-analgesic|1|2|120,4f6bd394ca10e7d60fd4e787cc64607a1de9d41c202bbf3af659339d49928a56
v27-grand-project-affected-recipe-envelope@1,recipe:fang-poison,building:1091,workstation:alchemy,23,20,120,240,4,960,output:recipe:fang-poison/000/main/craft:fang-poison|craft:fang-poison|1|2|120,840c902846e32da619910e41b811bab78613fe93ff5bfba7c90617c9ac37e7f5
v27-grand-project-affected-recipe-envelope@1,recipe:hallucinogenic-distillate,building:1086,workstation:distillery,23,20,150,300,4,1200,output:recipe:hallucinogenic-distillate/000/main/drug:hallucinogenic-distillate|drug:hallucinogenic-distillate|1|2|150,b6d4350f43b31b8d63df5a031f8fc3145eaf10170b452206ab64f0c9dfe58ca0
