schemaVersion,definitionId,workstationTag,peakOutputMassGramsPerHour,envelopeSourceDigest,catalogSourceDigest
v27-production-throughput-envelope-playmode@1,building:1019,workstation:forge-basic,18000,ef603046953b39596f80ed8e14e46ba96ef85827e34e23bd70a4bd2af9f6694e,791fa293090db4e11a0780d378e0471af7effa5bd828d6cbe376ea47a49be7ec
v27-production-throughput-envelope-playmode@1,building:1073,workstation:mill,3600,a8e728e9ff73f604be6a4dcfcd7c175fdb484c9fc5ecc034f5ea0992e836e160,791fa293090db4e11a0780d378e0471af7effa5bd828d6cbe376ea47a49be7ec
v27-production-throughput-envelope-playmode@1,building:1074,workstation:brewery,3000,285e4210a8f9de1cca6e9ba2e9dfffda22cd8ba8c9a786c260fea4460b78168c,791fa293090db4e11a0780d378e0471af7effa5bd828d6cbe376ea47a49be7ec
v27-production-throughput-envelope-playmode@1,building:1075,workstation:sawmill,9819,7c9f4ddfaa0134e2bb75ab238f082e0ade13ad795a9cb9c5896f244e19d6b70d,791fa293090db4e11a0780d378e0471af7effa5bd828d6cbe376ea47a49be7ec
v27-production-throughput-envelope-playmode@1,building:1076,workstation:charcoal-kiln,3375,2b098be785a28c7ba82561399a961564f7a96dc0065678307e0cfbbd439bf945,791fa293090db4e11a0780d378e0471af7effa5bd828d6cbe376ea47a49be7ec
v27-production-throughput-envelope-playmode@1,building:1077,workstation:stonecutter,15600,a8ef8a755e886c8e20be189f8d9875e737fb1144b9965017ad249484a86e001b,791fa293090db4e11a0780d378e0471af7effa5bd828d6cbe376ea47a49be7ec
v27-production-throughput-envelope-playmode@1,building:1079,workstation:furnace,4875,d4fea7892873c72c5f3323c298cba40d3947bb1bcd45c8519054366d828f0c40,791fa293090db4e11a0780d378e0471af7effa5bd828d6cbe376ea47a49be7ec
v27-production-throughput-envelope-playmode@1,building:1080,workstation:steelworks,1109,c1ae5bede2764725ae97ba494f60774758ac19f32a640f0155f3098755045f0d,791fa293090db4e11a0780d378e0471af7effa5bd828d6cbe376ea47a49be7ec
v27-production-throughput-envelope-playmode@1,building:1081,workstation:jeweler,858,cf5ee3586e9e3d8624f225bcd412452694bfda43881fa2dad46882c4d35b9fcb,791fa293090db4e11a0780d378e0471af7effa5bd828d6cbe376ea47a49be7ec
v27-production-throughput-envelope-playmode@1,building:1082,workstation:arcane-forge,1500,0c265c41fb83d4c338d853ccd3b8049377783f897e5c191aad03b45fc01b4272,791fa293090db4e11a0780d378e0471af7effa5bd828d6cbe376ea47a49be7ec
v27-production-throughput-envelope-playmode@1,building:1083,workstation:loom,3858,36f7e14389f2774121bd970b78d7a6fa0a0ea05ce58bc7e7b3a561cbf045ad46,791fa293090db4e11a0780d378e0471af7effa5bd828d6cbe376ea47a49be7ec
v27-production-throughput-envelope-playmode@1,building:1084,workstation:tannery,2455,44c487e3197f258ba89d5f77b9bfc4f308e47fb970c1c89dd63cc629a6591b2e,791fa293090db4e11a0780d378e0471af7effa5bd828d6cbe376ea47a49be7ec
v27-production-throughput-envelope-playmode@1,building:1085,workstation:composter,5250,97290aa8c85b278fc560d267724a125a387ea23a3f068b59b8949cc46d62e918,791fa293090db4e11a0780d378e0471af7effa5bd828d6cbe376ea47a49be7ec
v27-production-throughput-envelope-playmode@1,building:1086,workstation:distillery,4910,7192e3faba009de0998907642326d46a7c4e8105757931cb2b9d4941b6fae589,791fa293090db4e11a0780d378e0471af7effa5bd828d6cbe376ea47a49be7ec
v27-production-throughput-envelope-playmode@1,building:1087,workstation:cookbench,7715,29afc049280de7a5a9bbda92015d24fffaaee8bdbb93423039babe07113d85f5,791fa293090db4e11a0780d378e0471af7effa5bd828d6cbe376ea47a49be7ec
v27-production-throughput-envelope-playmode@1,building:1088,workstation:smoker,3750,30a2b0f544b8d445a56e9ef409a030118900ae15805e55a0f9ede2c915117ef1,791fa293090db4e11a0780d378e0471af7effa5bd828d6cbe376ea47a49be7ec
v27-production-throughput-envelope-playmode@1,building:1089,workstation:feedbench,3938,35bec4073a00a2e27d76d90b044961d87552c541954f1cdfc2c0979440231eb6,791fa293090db4e11a0780d378e0471af7effa5bd828d6cbe376ea47a49be7ec
v27-production-throughput-envelope-playmode@1,building:1090,workstation:apothecary,2250,8ed39896e1b58f88607f3aa9a9aed97772f9de72cdf6f001809e09863655093f,791fa293090db4e11a0780d378e0471af7effa5bd828d6cbe376ea47a49be7ec
v27-production-throughput-envelope-playmode@1,building:1091,workstation:alchemy,6001,f72b243a1305637b8557ab7c838db7ac6f9f2f8c2cb2bf83a2fd5f4ae8d90fef,791fa293090db4e11a0780d378e0471af7effa5bd828d6cbe376ea47a49be7ec
v27-production-throughput-envelope-playmode@1,building:1092,workstation:arcane-loom,190,627a49122534209ea0f38a06d3345d7656312c9bc3bf7a84135020983a4534a5,791fa293090db4e11a0780d378e0471af7effa5bd828d6cbe376ea47a49be7ec
v27-production-throughput-envelope-playmode@1,building:1093,workstation:forge,648,2e73674f50de5c8cecd042dbca4fe16e1270d000dfb32e2ac2bc7da47021f4e4,791fa293090db4e11a0780d378e0471af7effa5bd828d6cbe376ea47a49be7ec
v27-production-throughput-envelope-playmode@1,building:1094,workstation:quarry,28688,4cdf52a5f66ae87ba73956b87b90d18db6974bc1d8fd446caf60967d5abc1cea,791fa293090db4e11a0780d378e0471af7effa5bd828d6cbe376ea47a49be7ec
v27-production-throughput-envelope-playmode@1,building:1095,workstation:crop-plot,319,5c954f90b27f747a9cda2330b039ff442d4ad5305376b311e049056d4268bbb3,791fa293090db4e11a0780d378e0471af7effa5bd828d6cbe376ea47a49be7ec
