CHARACTER_ALARM_RESPONSE_PLAYMODE
checks=54; failures=0; consoleIssues=0
case	result	detail
SETUP	INFO	committed=True; message=준비한 사장과 직원으로 새 런을 시작했습니다.; liveStaff=2; inactiveStaffObjects=0; customerPoolInactive=0; actors=Arin:-9255912:character:staff:1:02:active=True,Roma:-9255844:character:staff:1:01:active=True; diagnostics=prepared-1:name=Roma;go=-9255816;id=character:staff:1:01;active=False || prepared-2:name=Arin;go=-9255884;id=character:staff:1:02;active=False || scan:name=Roma;go=-9255816;id=character:staff:1:01;active=True;retained=True || scan:name=Arin;go=-9255884;id=character:staff:1:02;active=True;retained=True || retained:name=Roma;go=-9255816;id=character:staff:1:01;active=True || retained:name=Arin;go=-9255884;id=character:staff:1:02;active=True
LIVE_SCOPE	PASS	DungeonRuntimeSystems
LIVE_WORKER	PASS	Roma
ALERT_AUTHORITIES	PASS	resolved
LIVE_GRID	PASS	resolved
INLINE_PREVIOUS_WORK_STOPPED	PASS	working=False; routine=False
INLINE_WORK_FIXTURE	PASS	target=building:4abd9b1ef4e443d2bf33adea2c56aaef; position=(21, 0); cleanliness=40
INLINE_WORK_PRIORITY_ASSIGNED	PASS	exterior:DropZone:21:0
INLINE_WORK_ACTION_SELECTED	PASS	selected=True; action=일하기; destination=QA inline timed clean target; failure=; schedulerStarted=True; priority=Priority1; priorityTarget=QA_InlineTimedExteriorWork; assigned=work:clean/QA_InlineTimedExteriorWork
INLINE_WORK_EXECUTION_STARTED	PASS	working=True; routine=True; action=일하기; phase=이동
INLINE_WORK_PARTIAL_PROGRESS	PASS	completed=2.838; required=30; working=True; action=일하기; phase=청소 9%; failure=None:; priority=QA_InlineTimedExteriorWork; assigned=QA_InlineTimedExteriorWork; trace=#1@t=0 epoch=0 kind=RetryScheduled branch=None action=0 destination=0 phase=None/0 progress=1 retry=1@50ms | #2@t=0.02 epoch=0 kind=RetryAttempted branch=None action=0 destination=0 phase=None/0 progress=2 retry=1@0ms | #3@t=0.02 epoch=0 kind=RetryScheduled branch=None action=0 destination=0 phase=None/0 progress=3 retry=2@50ms | #4@t=2.114 epoch=0 kind=RetryAttempted branch=None action=0 destination=0 phase=None/0 progress=4 retry=2@0ms | #5@t=2.114 epoch=0 kind=PathRequested branch=None action=0 destination=0 phase=None/0 progress=5 path=1/Requested[0/0] | #6@t=2.114 epoch=0 kind=PathResult branch=None action=0 destination=0 phase=None/0 progress=6 path=1/Found[0/1] | #7@t=2.114 epoch=0 kind=ReservationAcquired branch=None action=0 destination=0 phase=None/0 progress=7 reservation=-920906684/Acquired | #8@t=2.114 epoch=1 kind=ActionStarted branch=Work action=71240 destination=-9258516 phase=Starting/2061222397 progress=9 | #9@t=2.114 epoch=1 kind=PhaseChanged branch=Work action=71240 destination=-9258516 phase=Moving/1626625469 progress=10 | #10@t=2.114 epoch=1 kind=MovementStarted branch=Work action=71240 destination=-9258516 phase=Moving/1626625469 progress=11 | #11@t=4.781 epoch=1 kind=MovementProgress branch=Work action=71240 destination=-9258516 phase=Moving/1626625469 progress=15 | #12@t=4.781 epoch=1 kind=MovementTerminal branch=Work action=71240 destination=-9258516 phase=Moving/1626625469 progress=16 path=0/Found[0/0] | #13@t=4.781 epoch=1 kind=PhaseChanged branch=Work action=71240 destination=-9258516 phase=Moving/1128093009 progress=17 | #14@t=8.745 epoch=1 kind=PhaseChanged branch=Work action=71240 destination=-9258516 phase=Working/-892567588 progress=18 | #15@t=8.745 epoch=1 kind=ReservationReleased branch=Work action=71240 destination=-9258516 phase=Working/-892567588 progress=19 reservation=-920906684/Released | #16@t=8.745 epoch=1 kind=PhaseChanged branch=Work action=71240 destination=-9258516 phase=Unknown/-1872291779 progress=20
INLINE_WORK_RED_ESCALATION	PASS	incident-signal-published
INLINE_PROGRESS_CAPTURED	PASS	external=False; completed=2.838/30; target=building:4abd9b1ef4e443d2bf33adea2c56aaef
INLINE_PROGRESS_SAVE_ROUNDTRIP	PASS	available=True; completed=2.838/30; epoch=1->1
INLINE_WORK_INCIDENT_RESOLVED	PASS	incident-resolved
INLINE_WORK_RETURNED_GREEN	PASS	level=Green
INLINE_PROGRESS_RESUMED_NOT_RESTARTED	PASS	saved=2.838; resumed=4.122/30; pending=False
INLINE_WORK_COMPLETED_ONCE_AFTER_RESUME	PASS	cleanliness=100; working=False; priority=; suspendedJournalCleared=True
LONG_WORK_FIXTURE	PASS	order=work:000001; position=(21, 0); required=700
WORK_PRIORITY_ASSIGNED	PASS	work:000001
LIVE_WORK_STARTED	PASS	working=True; type=work:construct; target=ConstructionSite_QA alert persistent construction_21_0; progress=16->17
RED_ESCALATION_IMMEDIATE	PASS	incident-signal-published; level=Red
WORK_SUSPENDED_AT_CHECKPOINT	PASS	journal=work:construct/building:ba1280218d0c414fa76b82cb095662ef; working=False; routine=False; phase=
PERSISTENT_PROGRESS_PRESERVED	PASS	before=1.387; suspended=1.387/700
INCIDENT_RESOLVED	PASS	incident-resolved
RED_HYSTERESIS_ONE_HOUR	PASS	level=Red
RED_TO_AMBER_AFTER_TWO_HOURS	PASS	level=Amber
NO_PREMATURE_RETURN_AT_AMBER	PASS	working=False; epoch=2; gate=2/work:threat-mitigation
REESCALATION_CARRIES_RESPONDER_JOURNAL_AND_GATE	PASS	publish=incident-signal-published; level=Red; epoch=2->3; journal=True:3; gate=3/work:guard; revision=3->4; assigned=1; pending=0; returning=0
SAME_EPOCH_RESPONSE_TYPE_RETARGET	PASS	medical=incident-signal-published; invasion=incident-resolved; epoch=3; gate=3/work:rescue; revision=4->5
REESCALATED_INCIDENT_RESOLVED	PASS	incident-resolved
REESCALATED_RED_HYSTERESIS_ONE_HOUR	PASS	level=Red
REESCALATED_RED_TO_AMBER_AFTER_TWO_HOURS	PASS	level=Amber
AMBER_HYSTERESIS_ONE_HOUR	PASS	level=Amber
AMBER_TO_GREEN_AFTER_TWO_HOURS	PASS	level=Green
GREEN_RETURN_QUEUE_REESCALATION_CARRIED_ONCE	PASS	publish=incident-signal-published; queued=1->0; assigned=1; epoch=3->4; journal=True:4; gate=4/work:guard; revision=5->6
RETURN_QUEUE_REESCALATION_RESOLVED	PASS	incident-resolved
RETURN_QUEUE_REESCALATION_RETURNED_GREEN	PASS	level=Green; epoch=4
