schemaVersion,transformId,physicalInputGrams,infrastructureInputGrams,physicalOutputGrams,byproductGrams,declaredLossGrams,lossKind,inputEqualsDisposition,evidence,reviewStatus
v27.mass.transform.1,recipe:alcohol,1000,0,1000,0,0,None,true,Two fermented-liquor measures are separated into two bulk alcohol measures without untracked physical mass loss.,reviewed-audit-only
v27.mass.transform.1,recipe:anesthetic,690,0,120,0,570,ExtractionResidue,true,"Two 80 g dreamleaf bundles, one 500 g alcohol unit and one reusable 30 g vial produce one packaged 120 g anesthetic dose and 570 g declared spent-solvent and herb extraction residue.",reviewed-audit-only
v27.mass.transform.1,recipe:brined-vegetable,1400,700,1000,1000,100,MoistureEvaporation,true,"Two washed portions, one saltstone chunk and 1.4 clean-water units produce two drained brined portions, 2.0 brine-wastewater units and 100 g preparation loss.",reviewed-audit-only
v27.mass.transform.1,recipe:cheese,900,0,800,0,100,MoistureEvaporation,true,Two drained-curd batches age into two cheese portions with 100 g explicit aging moisture loss.,reviewed-audit-only
v27.mass.transform.1,recipe:cheese-mushroom,900,0,900,0,0,None,true,One cheese portion and two mushroom baskets produce two cheese-mushroom meal portions without untracked loss.,reviewed-audit-only
v27.mass.transform.1,recipe:curd,2900,200,900,2100,100,ExtractionResidue,true,"Three 0.8-liter milk measures, one saltstone chunk and 0.4 clean-water units produce two drained-curd batches, discharge 4.2 whey units and leave 100 g typed separation residue.",reviewed-audit-only
v27.mass.transform.1,recipe:dog-food,1050,0,1050,0,0,None,true,One 700 g animal-rot bundle and one 350 g grain measure are divided into two exact 525 g dog-food rations.,reviewed-audit-only
v27.mass.transform.1,recipe:dog-food-fresh,1050,0,1050,0,0,None,true,One 700 g meat portion and one 350 g grain measure are divided into two exact 525 g fresh dog-food rations.,reviewed-audit-only
v27.mass.transform.1,recipe:dough,850,300,1000,100,50,MoistureEvaporation,true,"Two 300 g flour measures, one egg collection and 0.6 clean-water units produce two 500 g dough portions, 0.2 wastewater units and 50 g explicit preparation loss.",reviewed-audit-only
v27.mass.transform.1,recipe:egg-pancake,1600,100,1300,75,325,MoistureEvaporation,true,"Two egg collections, one 300 g flour measure, one milk measure and 0.2 clean-water units produce two 650 g portions, 0.15 wastewater units and 325 g cooking loss.",reviewed-audit-only
