COMBAT_AUTHORED_SMOKE_V2
samples=128; enemyDecisionAuthority=EnemyTacticalDecisionService
encounter|objective|party|win|severe|lowHealth|failureCasualty|meanHealth|enemyBasic|enemyAbility|enemyGuard|enemyAdvance|enemyRetreat|enemyRejected|stalled|bandFailures
encounter:01|DefeatAll|2|0.9140625|0.1923077|0.2008547|1|0.6025982|319|694|619|112|64|0|0|0
encounter:02|SurviveRounds|2|1|0|0|0|0.964694|128|768|896|256|0|0|0|0
encounter:03|ProtectTarget|2|0|0|0|0|1|128|247|0|46|0|0|0|1
encounter:04|SabotageTarget|2|0.125|0|0|0.3080357|0.707772553|230|901|214|223|0|0|0|1
encounter:05|Escape|2|1|0.11328125|0.05859375|0|0.7210111|604|1572|0|384|0|0|0|0
encounter:06|CaptureLeader|2|0.515625|0|0|0.9919355|0.5435661|208|392|0|188|0|0|0|1
encounter:07|DefeatAll|2|0.8671875|0.0135135138|0|1|0.8376616|283|959|377|113|23|0|0|0
encounter:08|SurviveRounds|2|1|0.36328125|0.4921875|0|0.497255445|128|1408|128|384|0|0|0|0
encounter:09|ProtectTarget|2|0.6875|0|0|0|1|449|428|0|311|0|0|0|0
encounter:10|SabotageTarget|2|0.1015625|0|0|0.143478259|0.79372555|178|2042|57|574|0|0|0|1
encounter:11|Escape|2|0.78125|0.42|0.23|1|0.506423235|973|484|0|233|0|0|0|2
encounter:12|CaptureLeader|2|0.1171875|0|0|0.7123894|0.404672772|359|1014|216|169|0|0|0|1
encounter:13|DefeatAll|3|1|0.028645834|0.026041666|0|0.9358574|121|963|403|274|7|0|0|0
encounter:14|SurviveRounds|3|0.7890625|0.5247525|0.303630352|1|0.5260453|1130|629|0|256|0|0|0|2
encounter:15|ProtectTarget|3|0.5625|0.3611111|0.2824074|0.273809522|0.6914566|647|1655|117|494|0|0|0|0
encounter:16|SabotageTarget|3|0.4453125|0.245614037|0.2631579|0.384976536|0.5913723|395|749|68|99|7|0|0|1
encounter:17|Escape|3|1|0|0|0|0.97915256|128|1024|512|256|0|0|0|0
encounter:18|CaptureLeader|3|0.4375|0|0|0.3287037|0.723571539|292|549|87|267|0|0|0|0
encounter:19|DefeatAll|5|1|0.0015625|0|0|0.9682529|10|581|63|165|0|0|0|0
encounter:20|SurviveRounds|5|1|0.0265625|0.0015625|0|0.89800334|501|1739|832|512|0|0|0|0
encounter:21|ProtectTarget|5|0.9453125|0.00165289256|0.00165289256|0|0.9916909|233|360|39|202|2|0|0|1
encounter:22|SabotageTarget|5|0.953125|0.006557377|0|0.0333333351|0.9919198|85|430|268|141|0|0|0|1
encounter:23|Escape|5|1|0.0015625|0|0|0.960116446|512|768|128|384|0|0|0|0
encounter:24|CaptureLeader|5|0.265625|0|0|0|0.9537632|0|702|280|278|0|0|0|0
encounter:25|DefeatAll|5|0.9921875|0.17007874|0.1496063|1|0.774664342|529|1081|105|161|5|0|0|1
encounter:26|SurviveRounds|5|1|0.19375|0.1078125|0|0.7878656|710|1210|0|128|0|0|0|0
encounter:27|ProtectTarget|5|0.9296875|0|0|0|1|31|544|0|256|0|0|0|1
encounter:28|SabotageTarget|5|0.9921875|0.09291339|0.09291339|0.6|0.8552464|139|277|213|95|0|0|0|1
encounter:29|Escape|5|1|0.0328125|0|0|0.916703761|377|1159|0|256|0|0|0|0
encounter:30|CaptureLeader|5|0.53125|0.00294117653|0.00294117653|0.13666667|0.9051711|90|640|97|173|1|0|0|1
encounter:31|DefeatAll|5|1|0|0|0|0.986992657|79|382|28|199|0|0|0|0
encounter:32|SurviveRounds|5|1|0.2609375|0.2328125|0|0.7284777|712|764|444|128|0|0|0|0
encounter:33|ProtectTarget|5|1|0.1703125|0.178125|0|0.8144793|283|1351|33|171|0|0|0|1
encounter:34|SabotageTarget|5|1|0.140625|0.184375|0|0.7741023|272|385|50|101|0|0|0|1
encounter:35|Escape|5|1|0|0|0|0.962909758|0|896|896|256|0|0|0|0
encounter:36|CaptureLeader|5|0.1640625|0|0|0.2317757|0.754444242|125|1036|4|256|0|0|0|1
