CHARACTER_AI_SELF_CARE_PLAYMODE
checks=31; failures=0; consoleIssues=0
case	result	detail
SETUP	INFO	committed=True; message=준비한 사장과 직원으로 새 런을 시작했습니다.; liveStaff=2; inactiveStaffObjects=0; customerPoolInactive=0; actors=Roma:-3830516:character:staff:1:01:active=True,Arin:-3830584:character:staff:1:02:active=True; diagnostics=prepared-1:name=Roma;go=-3830488;id=character:staff:1:01;active=False || prepared-2:name=Arin;go=-3830556;id=character:staff:1:02;active=False || scan:name=Roma;go=-3830488;id=character:staff:1:01;active=True;retained=True || scan:name=Arin;go=-3830556;id=character:staff:1:02;active=True;retained=True || retained:name=Roma;go=-3830488;id=character:staff:1:01;active=True || retained:name=Arin;go=-3830556;id=character:staff:1:02;active=True
LIVE_SCOPE	PASS	DungeonRuntimeSystems
LIVE_SELF_CARE_ACTOR	PASS	Roma
ITEM_RUNTIME	PASS	resolved
DRINK_RUNTIME	PASS	resolved
NEED_BALANCE_RUNTIME	PASS	resolved
SUBSTANCE_RUNTIME	PASS	resolved
AUTHORED_DRINK_ACTION	PASS	Drink
DRINK_PHYSICAL_SUPPLY	PASS	water=30
DRINK_ROUTINE_FIXTURE_BAND	PASS	emergency=35; routine=60; forecast90s=30; nonEmergencyFloor=51
DRINK_ROUTINE_FIXTURE_SETTLED	PASS	reset=True; settled=True; best=; external=False; routineRunner=False
DRINK_ROUTINE_NOT_EMERGENCY	PASS	thirst=60; routineNeeded=True; emergencyOrImminent=False; reason=갈증 60: 마실 물이 필요함
DRINK_SELECTED_ACTION_EPOCH_OWNED	PASS	selectedFrameObserved=True; overlap=False; externalEver=False; phase=; firstOverlap=
DRINK_NO_EXTERNAL_OWNER_OVERLAP	PASS	overlap=False; externalEver=False; firstExternal=; firstOverlap=
DRINK_ROUTINE_EXTERNAL_TRANSITION_ZERO	PASS	transitions=0->0; firstExternal=
DRINK_RESTORED_THIRST	PASS	thirst=60->100
DRINK_PHYSICAL_EXACTLY_ONCE	PASS	water=30->29
DRINK_LIFECYCLE_CONSERVED	PASS	starts=0->1; terminals=0->1
DRINK_NO_INVARIANT_ANOMALY	PASS	invariants=0->0
AUTHORED_SUBSTANCE_ACTION	PASS	SubstanceUse
SUBSTANCE_PHYSICAL_SUPPLY	PASS	spawned=1; before=0
SUBSTANCE_AUTOMATIC_REQUEST	PASS	item=drug:vitality-tonic; urgency=0.48; reason=scheduled-dose
SUBSTANCE_BT_SELECTED	PASS	selected=True; phase=; observedPhase=; detail=; failure=
SUBSTANCE_ABILITY_RAN	PASS	runningObserved=True
SUBSTANCE_EFFECT_ACTIVE	PASS	activeSeconds=150; tolerance=0
SUBSTANCE_PHYSICAL_EXACTLY_ONCE	PASS	total=1->0
SUBSTANCE_ACTION_STARTED	PASS	starts=1->2
SUBSTANCE_TYPED_COMPLETION	PASS	terminals=1->2; completed=1->2
SUBSTANCE_NO_OWNERSHIP_LEAK	PASS	paths=0; reservations=0
SUBSTANCE_NO_INVARIANT_ANOMALY	PASS	invariants=0->0
CONSOLE_WARNING_ERROR_ZERO	PASS	0/0
RESULT=PASS; failures=0
