COMBAT_BALANCE_FOCUSED_GRID_V1
encounter=encounter:13; objective=DefeatAll; samples=64; candidates=108
rank | health | damage | round | win | severe | low-health | failure casualty | median rounds | mean health | score | stalled
1 | 1.6 | 0.8 | 0 | 73.4 % | 19.1 % | 8.5 % | 100.0 % | 9.0 | 60.8 % | 0.000693 | 0
2 | 6.4 | 0.2 | 0 | 84.4 % | 18.5 % | 11.7 % | 100.0 % | 36.0 | 62.3 % | 0.854159 | 0
3 | 0.8 | 4 | 0 | 67.2 % | 29.5 % | 34.9 % | 100.0 % | 5.0 | 43.0 % | 2.237652 | 0
4 | 0.8 | 3.2 | 0 | 70.3 % | 30.4 % | 33.3 % | 100.0 % | 5.5 | 45.4 % | 2.690000 | 0
5 | 3.2 | 0.4 | 0 | 92.2 % | 22.0 % | 14.1 % | 100.0 % | 18.0 | 65.8 % | 6.707056 | 0
6 | 0.05 | 3.2 | 0 | 93.8 % | 22.2 % | 22.8 % | 100.0 % | 3.0 | 66.9 % | 8.529695 | 0
7 | 0.05 | 4 | 0 | 93.8 % | 22.8 % | 28.9 % | 100.0 % | 3.0 | 64.8 % | 8.599362 | 0
8 | 0.4 | 3.2 | 0 | 93.8 % | 25.6 % | 30.0 % | 100.0 % | 4.0 | 59.7 % | 9.176457 | 0
9 | 0.4 | 4 | 0 | 93.8 % | 28.3 % | 34.4 % | 100.0 % | 4.0 | 57.6 % | 10.141186 | 0
10 | 0.8 | 1.6 | 0 | 95.3 % | 22.4 % | 16.4 % | 100.0 % | 5.0 | 68.9 % | 10.566218 | 0
11 | 0.2 | 3.2 | 0 | 95.3 % | 24.0 % | 30.6 % | 100.0 % | 3.0 | 61.8 % | 10.832564 | 0
12 | 0.1 | 3.2 | 0 | 95.3 % | 24.6 % | 29.5 % | 100.0 % | 3.0 | 64.7 % | 10.951206 | 0
13 | 0.1 | 4 | 0 | 95.3 % | 25.1 % | 32.2 % | 100.0 % | 3.0 | 63.5 % | 11.084308 | 0
14 | 0.2 | 4 | 0 | 95.3 % | 25.7 % | 35.5 % | 100.0 % | 3.0 | 59.9 % | 11.231425 | 0
15 | 12.8 | 0.02 | 0 | 96.9 % | 27.4 % | 21.0 % | 100.0 % | 74.5 | 62.0 % | 14.037265 | 0
16 | 12.8 | 0.05 | 0 | 96.9 % | 27.4 % | 21.0 % | 100.0 % | 74.5 | 62.0 % | 14.037265 | 0
17 | 12.8 | 0.1 | 0 | 96.9 % | 27.4 % | 21.0 % | 100.0 % | 74.5 | 62.0 % | 14.037265 | 0
18 | 0.4 | 1.6 | 0 | 98.4 % | 17.5 % | 13.8 % | 100.0 % | 4.0 | 74.9 % | 15.109884 | 0
19 | 0.2 | 1.6 | 0 | 98.4 % | 18.0 % | 12.7 % | 100.0 % | 3.0 | 76.3 % | 15.110577 | 0
20 | 0.05 | 1.6 | 0 | 98.4 % | 10.1 % | 8.5 % | 100.0 % | 3.0 | 79.5 % | 15.111270 | 0
21 | 0.1 | 1.6 | 0 | 98.4 % | 15.9 % | 10.6 % | 100.0 % | 3.0 | 78.7 % | 15.111270 | 0
