schemaVersion,recordKind,stableId,ownerId,authoredReferenceId,canonicalTargetId,buildingId,featureTag,reachable,detail,sourceAuthority,authorityDigest,sourceDigest
v27.production-reachability-audit.2,item,ammo:armor-piercing-cartridge,,research:equipment:pressure-barrels,,,,,,Assets/Resources/SO/Economy/Items/ResearchOverhaul/V3I129_철갑_탄약.asset,989d35f592d67a725fd78e968b15d80cf95bf7b09b4a835ae6f5eb164363636b,c7afd8ca6f66fa4f6e12151ba76b60a78c8e49ed36c78cf8868f654545c8f217
v27.production-reachability-audit.2,item,ammo:arrow-bone,,research:defense:ranged-positions,,,,,,Assets/Resources/SO/Economy/Items/ammo_arrow_bone.asset,d39f456e4dd65f8983ca531fd9518f4c30ee76ddd6d90986c84659489687c985,c7afd8ca6f66fa4f6e12151ba76b60a78c8e49ed36c78cf8868f654545c8f217
v27.production-reachability-audit.2,item,ammo:arrow-iron,,research:metallurgy:iron,,,,,,Assets/Resources/SO/Economy/Items/ammo_arrow_iron.asset,598d6b631e9e4e4f52d29e3bb9a297dcf1ef574c13ba9093d2b8562f13f845df,c7afd8ca6f66fa4f6e12151ba76b60a78c8e49ed36c78cf8868f654545c8f217
v27.production-reachability-audit.2,item,ammo:arrow-rune,,research:arcane:advanced,,,,,,Assets/Resources/SO/Economy/Items/ammo_arrow_rune.asset,2d0759b0860a7966bc837e35cda91f681cacf5a167e58cccedc48e7f4cfdaec2,c7afd8ca6f66fa4f6e12151ba76b60a78c8e49ed36c78cf8868f654545c8f217
v27.production-reachability-audit.2,item,ammo:arrow-steel,,research:metallurgy:steel,,,,,,Assets/Resources/SO/Economy/Items/ammo_arrow_steel.asset,5e780461847c1c9cd2de691ce850bb036c0aff8b9c9592a975dfe1ab8ac90df7,c7afd8ca6f66fa4f6e12151ba76b60a78c8e49ed36c78cf8868f654545c8f217
v27.production-reachability-audit.2,item,ammo:blacksteel-bolt,,research:industry:dark-foundry,,,,,,Assets/Resources/SO/Economy/Items/ResearchOverhaul/V3I132_흑강_볼트.asset,9c83663c891ba07cda67cca483f8c11fc00ae8e8518eae61e662333831422159,c7afd8ca6f66fa4f6e12151ba76b60a78c8e49ed36c78cf8868f654545c8f217
v27.production-reachability-audit.2,item,ammo:blasting-charge,,research:mining:deep,,,,,,Assets/Resources/SO/Economy/Items/ResearchOverhaul/V3I20_발파_장약.asset,2fcfc1601a2b78120561b1db1ca161ec0e827097d1052ab94ae2e29ec3058865,c7afd8ca6f66fa4f6e12151ba76b60a78c8e49ed36c78cf8868f654545c8f217
v27.production-reachability-audit.2,item,ammo:bolt-bone,,research:defense:ranged-positions,,,,,,Assets/Resources/SO/Economy/Items/ammo_bolt_bone.asset,74258d0ff91b32229afb77e1be9181e19fb7959027a61b40aea8a54bf29a8d4a,c7afd8ca6f66fa4f6e12151ba76b60a78c8e49ed36c78cf8868f654545c8f217
v27.production-reachability-audit.2,item,ammo:bolt-iron,,research:metallurgy:iron,,,,,,Assets/Resources/SO/Economy/Items/ammo_bolt_iron.asset,ab95924f6475c9b20853e6764e97c220efaa98d00f9b97aa03c4ad5744095ed3,c7afd8ca6f66fa4f6e12151ba76b60a78c8e49ed36c78cf8868f654545c8f217
v27.production-reachability-audit.2,item,ammo:bolt-rune,,research:arcane:advanced,,,,,,Assets/Resources/SO/Economy/Items/ammo_bolt_rune.asset,0ae9a0346e0678acd6b46d5e6156c759c8487ecfcab3f09e95ce2bce0c9032ce,c7afd8ca6f66fa4f6e12151ba76b60a78c8e49ed36c78cf8868f654545c8f217
v27.production-reachability-audit.2,item,ammo:bolt-steel,,research:metallurgy:steel,,,,,,Assets/Resources/SO/Economy/Items/ammo_bolt_steel.asset,231bd3e7d085f94497a9471ca9025e70e3ad8b957517a3ff180e8304966fb542,c7afd8ca6f66fa4f6e12151ba76b60a78c8e49ed36c78cf8868f654545c8f217
v27.production-reachability-audit.2,item,ammo:incendiary-arrow,,research:equipment:black-powder,,,,,,Assets/Resources/SO/Economy/Items/ResearchOverhaul/V3I126_소이_화살.asset,f5064ee0ef7a6e4716bdd88756658f0474c926123fa4b4acfc15cbf8f9b8f2b1,c7afd8ca6f66fa4f6e12151ba76b60a78c8e49ed36c78cf8868f654545c8f217
v27.production-reachability-audit.2,item,ammo:incendiary-bolt,,research:equipment:black-powder,,,,,,Assets/Resources/SO/Economy/Items/ResearchOverhaul/V3I127_소이_볼트.asset,21fbdaacb5197c4d3453c0bb8a9b23ca025be1b5de134e8958c89dcb47f5f227,c7afd8ca6f66fa4f6e12151ba76b60a78c8e49ed36c78cf8868f654545c8f217
v27.production-reachability-audit.2,item,ammo:mana-disruptor-bolt,,research:defense:rune-identification,,,,,,Assets/Resources/SO/Economy/Items/ResearchOverhaul/V3I135_마나_차단_볼트.asset,ca68ffe254c9aab6a25710b6af3a0dd3707eb8e06911db3420cafbf534a4b62a,c7afd8ca6f66fa4f6e12151ba76b60a78c8e49ed36c78cf8868f654545c8f217
v27.production-reachability-audit.2,item,ammo:paper-cartridge,,research:equipment:standard-ammunition,,,,,,Assets/Resources/SO/Economy/Items/ResearchOverhaul/V3I23_종이_탄약통.asset,5a2b16a7ba3e85a9a196eb69fd144a9bfb86f9ffed1728a4d2f5e832a7eb6173,c7afd8ca6f66fa4f6e12151ba76b60a78c8e49ed36c78cf8868f654545c8f217
v27.production-reachability-audit.2,item,ammo:rune-cartridge,,research:equipment:rune-module-tuning,,,,,,Assets/Resources/SO/Economy/Items/ResearchOverhaul/V3I133_룬_탄약통.asset,8696368254299275c9300751a2be20b0ec732a5114a368771c93f6d775eb5636,c7afd8ca6f66fa4f6e12151ba76b60a78c8e49ed36c78cf8868f654545c8f217
v27.production-reachability-audit.2,item,ammo:scatter-cartridge,,research:equipment:standard-ammunition,,,,,,Assets/Resources/SO/Economy/Items/ResearchOverhaul/V3I130_산탄_탄약.asset,2288aaa884b2ef1b316a8816084c2dfb75881e3192d196a17422d78d8d331443,c7afd8ca6f66fa4f6e12151ba76b60a78c8e49ed36c78cf8868f654545c8f217
v27.production-reachability-audit.2,item,ammo:signal-flare,,research:defense:alliance-signals,,,,,,Assets/Resources/SO/Economy/Items/ResearchOverhaul/V3I131_신호탄.asset,63f61bb538cea05501b3840f04d18ff835a26fa2dc415b412ebee664854804df,c7afd8ca6f66fa4f6e12151ba76b60a78c8e49ed36c78cf8868f654545c8f217
v27.production-reachability-audit.2,item,ammo:smoke-cartridge,,research:equipment:pressure-barrels,,,,,,Assets/Resources/SO/Economy/Items/ResearchOverhaul/V3I128_연막_탄약.asset,0350798273324df14f9dd868436e7e2f3429609291ab222a2d27ad2efbaae51c,c7afd8ca6f66fa4f6e12151ba76b60a78c8e49ed36c78cf8868f654545c8f217
v27.production-reachability-audit.2,item,ammo:tranquilizer-dart,,research:pharmacology:anesthesia,,,,,,Assets/Resources/SO/Economy/Items/ResearchOverhaul/V3I134_진정_다트.asset,7a4e74c1ddc6c5e7b2dc1e2c6f760f7b766948f56dee828e4aa809c7ecf673c0,c7afd8ca6f66fa4f6e12151ba76b60a78c8e49ed36c78cf8868f654545c8f217
v27.production-reachability-audit.2,item,ammo:trap-canister,,research:equipment:standard-ammunition,,,,,,Assets/Resources/SO/Economy/Items/ResearchOverhaul/V3I21_함정_산탄통.asset,b671b2267d51c1d62e70d1bbb607448fdae1ec541cd0294a04a3c7d48651962a,c7afd8ca6f66fa4f6e12151ba76b60a78c8e49ed36c78cf8868f654545c8f217
v27.production-reachability-audit.2,item,apparel:apron,,research:textile:tailoring,,,,,,Assets/Resources/SO/Economy/Items/V22Apparel/apparel_apron.asset,82621570332442e3d1da8b48d39cf82d6507505ffed25424f428ae04f543df10,c7afd8ca6f66fa4f6e12151ba76b60a78c8e49ed36c78cf8868f654545c8f217
v27.production-reachability-audit.2,item,apparel:belt,,research:textile:tailoring,,,,,,Assets/Resources/SO/Economy/Items/V22Apparel/apparel_belt.asset,a70e8ffb96c3853ae3a11aefa7cc2eff4bdfcee0e50e95893dde5e042c3d6144,c7afd8ca6f66fa4f6e12151ba76b60a78c8e49ed36c78cf8868f654545c8f217
v27.production-reachability-audit.2,item,apparel:blouse,,research:textile:tailoring,,,,,,Assets/Resources/SO/Economy/Items/V22Apparel/apparel_blouse.asset,b38269363f1cc32a47bc2752e12ab3a07967d0846d1068aaf23a1528fdb82a45,c7afd8ca6f66fa4f6e12151ba76b60a78c8e49ed36c78cf8868f654545c8f217
v27.production-reachability-audit.2,item,apparel:boots,,research:textile:tailoring,,,,,,Assets/Resources/SO/Economy/Items/V22Apparel/apparel_boots.asset,933020c94a20c36f65ebb801abad28c1a14b80b5866561cba933594de010fa7f,c7afd8ca6f66fa4f6e12151ba76b60a78c8e49ed36c78cf8868f654545c8f217
