schemaVersion,definitionId,workstationTag,seedIndex,deterministicSeed,observationId,measurementCapabilityId,winnerSourceKind,winnerSourceCapabilityId,winnerProducerId,winnerBranchId,maximumSingleCompletionMassGrams,outputCapabilityIds,planSourceDigest,fixtureSourceDigest,portfolioSourceDigest
v27-production-output-clearance-measurement-portfolio@1,building:1019,workstation:forge-basic,0,157181,output-clearance-observation:building:1019:workstation:forge-basic:157181,production-output-clearance-measurement:combat-craft,2,production-facility-output-capacity:combat-craft,production-facility-output-capacity:combat-craft,combat-craft-primary:armor:powered-harness,18000,production-output:combat-equipment-craft,5d04c5146195faff1af80560864b0008b770a73bc7d96580ae118a4f7a9679f8,9ee5415b1c1f38c26889d0d5d53e36dab95fd67c13bd4f90fc4844abb32a6eec,5e075bfbaa776898692ae98da64fce4d4a1ff852b891ba18c58894a400264441
v27-production-output-clearance-measurement-portfolio@1,building:1019,workstation:forge-basic,1,157182,output-clearance-observation:building:1019:workstation:forge-basic:157182,production-output-clearance-measurement:combat-craft,2,production-facility-output-capacity:combat-craft,production-facility-output-capacity:combat-craft,combat-craft-primary:armor:powered-harness,18000,production-output:combat-equipment-craft,5d04c5146195faff1af80560864b0008b770a73bc7d96580ae118a4f7a9679f8,0e160570d880d62b163b33bfc1e46f5b39a197d26f4e0e01de45b93848ce2e72,5e075bfbaa776898692ae98da64fce4d4a1ff852b891ba18c58894a400264441
v27-production-output-clearance-measurement-portfolio@1,building:1019,workstation:forge-basic,2,157183,output-clearance-observation:building:1019:workstation:forge-basic:157183,production-output-clearance-measurement:combat-craft,2,production-facility-output-capacity:combat-craft,production-facility-output-capacity:combat-craft,combat-craft-primary:armor:powered-harness,18000,production-output:combat-equipment-craft,5d04c5146195faff1af80560864b0008b770a73bc7d96580ae118a4f7a9679f8,4fd77dc1e9a1a7d73efbdc35aa034c3a2f1f259d47e0230765bdb434476e65eb,5e075bfbaa776898692ae98da64fce4d4a1ff852b891ba18c58894a400264441
v27-production-output-clearance-measurement-portfolio@1,building:1019,workstation:forge-basic,3,157184,output-clearance-observation:building:1019:workstation:forge-basic:157184,production-output-clearance-measurement:combat-craft,2,production-facility-output-capacity:combat-craft,production-facility-output-capacity:combat-craft,combat-craft-primary:armor:powered-harness,18000,production-output:combat-equipment-craft,5d04c5146195faff1af80560864b0008b770a73bc7d96580ae118a4f7a9679f8,938b7caa9a97c53f8f50c23bba5e93d578a4c144ab9ed7b244440b84f5e9084c,5e075bfbaa776898692ae98da64fce4d4a1ff852b891ba18c58894a400264441
v27-production-output-clearance-measurement-portfolio@1,building:1019,workstation:forge-basic,4,157185,output-clearance-observation:building:1019:workstation:forge-basic:157185,production-output-clearance-measurement:combat-craft,2,production-facility-output-capacity:combat-craft,production-facility-output-capacity:combat-craft,combat-craft-primary:armor:powered-harness,18000,production-output:combat-equipment-craft,5d04c5146195faff1af80560864b0008b770a73bc7d96580ae118a4f7a9679f8,da13d30ef445e085d36efe04adf4842a0e42ee2395bc8064aea8a83f71e62a08,5e075bfbaa776898692ae98da64fce4d4a1ff852b891ba18c58894a400264441
v27-production-output-clearance-measurement-portfolio@1,building:1019,workstation:forge-basic,5,157186,output-clearance-observation:building:1019:workstation:forge-basic:157186,production-output-clearance-measurement:combat-craft,2,production-facility-output-capacity:combat-craft,production-facility-output-capacity:combat-craft,combat-craft-primary:armor:powered-harness,18000,production-output:combat-equipment-craft,5d04c5146195faff1af80560864b0008b770a73bc7d96580ae118a4f7a9679f8,7278c88cf47e25a152e460869f12df76aa1531e48bbb6472d4ed11a497a2992a,5e075bfbaa776898692ae98da64fce4d4a1ff852b891ba18c58894a400264441
v27-production-output-clearance-measurement-portfolio@1,building:1019,workstation:forge-basic,6,157187,output-clearance-observation:building:1019:workstation:forge-basic:157187,production-output-clearance-measurement:combat-craft,2,production-facility-output-capacity:combat-craft,production-facility-output-capacity:combat-craft,combat-craft-primary:armor:powered-harness,18000,production-output:combat-equipment-craft,5d04c5146195faff1af80560864b0008b770a73bc7d96580ae118a4f7a9679f8,1a5fce4077a9fdf1f03527783b2a44a78d41ae7a18e8c1ec79fbe6ca169df791,5e075bfbaa776898692ae98da64fce4d4a1ff852b891ba18c58894a400264441
v27-production-output-clearance-measurement-portfolio@1,building:1019,workstation:forge-basic,7,157188,output-clearance-observation:building:1019:workstation:forge-basic:157188,production-output-clearance-measurement:combat-craft,2,production-facility-output-capacity:combat-craft,production-facility-output-capacity:combat-craft,combat-craft-primary:armor:powered-harness,18000,production-output:combat-equipment-craft,5d04c5146195faff1af80560864b0008b770a73bc7d96580ae118a4f7a9679f8,15ca39ebc8d6a5291fdc0b6de9a8163bd9cfdea9d33b49db7fe11b52f55fe6a6,5e075bfbaa776898692ae98da64fce4d4a1ff852b891ba18c58894a400264441
v27-production-output-clearance-measurement-portfolio@1,building:1019,workstation:forge-basic,8,157189,output-clearance-observation:building:1019:workstation:forge-basic:157189,production-output-clearance-measurement:combat-craft,2,production-facility-output-capacity:combat-craft,production-facility-output-capacity:combat-craft,combat-craft-primary:armor:powered-harness,18000,production-output:combat-equipment-craft,5d04c5146195faff1af80560864b0008b770a73bc7d96580ae118a4f7a9679f8,62efce2eaa76ade0d4129c96088e2faaaeef400c93e9a27b183c050b411f8308,5e075bfbaa776898692ae98da64fce4d4a1ff852b891ba18c58894a400264441
v27-production-output-clearance-measurement-portfolio@1,building:1019,workstation:forge-basic,9,157190,output-clearance-observation:building:1019:workstation:forge-basic:157190,production-output-clearance-measurement:combat-craft,2,production-facility-output-capacity:combat-craft,production-facility-output-capacity:combat-craft,combat-craft-primary:armor:powered-harness,18000,production-output:combat-equipment-craft,5d04c5146195faff1af80560864b0008b770a73bc7d96580ae118a4f7a9679f8,0fbc47b8545c664621d134f5cfa18facd9e63f134367f2761cad56a776664801,5e075bfbaa776898692ae98da64fce4d4a1ff852b891ba18c58894a400264441
