schemaVersion,facilityDefinitionId,workstationTag,indoor,cropId,baseYield,witnessId,witnessSourceDigest,workerYieldMultiplier,returnedSeedMultiplier,grandProjectNumerator,grandProjectDenominator,ecologyNumerator,ecologyDenominator,soilNumerator,soilDenominator,harvestQuantityMaximum,harvestItemId,harvestUnitMassGrams,returnedSeedQuantityMaximum,seedItemId,seedUnitMassGrams,maximumBatchMassGrams,cycleCapacity,portfolioCapacityGrams,contributorSourceDigest,sourceDigest
v27-crop-harvest-reachable-envelope@2,building:1095,workstation:crop-plot,false,crop:bloodleaf,4,natural:beastkin:golden-master,069d2d7639c334bf01a1f3c01e487f51f402d7146ce25e750c30da0fd91f1d4f,4.79525852,1.5,1,1,11,10,21,20,22,resource:bloodleaf,100,7,seed-lot:bloodleaf,50,2550,4,10200,f53d5ee18e9b3ed9b7ee52228e0f854f535d62429b2b460f2a37126726a8e720,83906bb3147645bd8c6136cdd5f857586c378a2bf835b893202f2968c5c6850d
v27-crop-harvest-reachable-envelope@2,building:1095,workstation:crop-plot,false,crop:cave-mushroom,5,natural:beastkin:golden-master,069d2d7639c334bf01a1f3c01e487f51f402d7146ce25e750c30da0fd91f1d4f,4.79525852,1.5,1,1,11,10,21,20,28,resource:cave-mushroom,250,7,seed-lot:cave-mushroom,50,7350,4,29400,f53d5ee18e9b3ed9b7ee52228e0f854f535d62429b2b460f2a37126726a8e720,c2d784533760af3882527747307e469d6ebcb1fed10eaa12ed3949f455b921b0
v27-crop-harvest-reachable-envelope@2,building:1095,workstation:crop-plot,false,crop:dreamleaf,4,natural:beastkin:golden-master,069d2d7639c334bf01a1f3c01e487f51f402d7146ce25e750c30da0fd91f1d4f,4.79525852,1.5,1,1,11,10,21,20,22,resource:dreamleaf,80,7,seed-lot:dreamleaf,50,2110,4,8440,f53d5ee18e9b3ed9b7ee52228e0f854f535d62429b2b460f2a37126726a8e720,fcfaee252ed3700a9a3b6941d1a6ff5ae7092b2dc0027d00f327f3459c017662
v27-crop-harvest-reachable-envelope@2,building:1095,workstation:crop-plot,false,crop:ember-cotton,6,natural:beastkin:golden-master,069d2d7639c334bf01a1f3c01e487f51f402d7146ce25e750c30da0fd91f1d4f,4.79525852,1.5,1,1,11,10,21,20,33,fiber:ember-cotton,80,7,seed-lot:ember-cotton,20,2780,4,11120,f53d5ee18e9b3ed9b7ee52228e0f854f535d62429b2b460f2a37126726a8e720,429506e9c12ed99873dd2db78bdf8fa2fd3a24c6d22adc2cb2316e61de42d80b
v27-crop-harvest-reachable-envelope@2,building:1095,workstation:crop-plot,false,crop:ember-root,5,natural:beastkin:golden-master,069d2d7639c334bf01a1f3c01e487f51f402d7146ce25e750c30da0fd91f1d4f,4.79525852,1.5,1,1,11,10,21,20,28,resource:ember-root,450,7,seed-lot:ember-root,50,12950,4,51800,f53d5ee18e9b3ed9b7ee52228e0f854f535d62429b2b460f2a37126726a8e720,8fbbc2253606df977eb2f90c81ffa0e89ed9d90ff626143c4e5fbab225a02262
v27-crop-harvest-reachable-envelope@2,building:1095,workstation:crop-plot,false,crop:frost-flax,6,natural:beastkin:golden-master,069d2d7639c334bf01a1f3c01e487f51f402d7146ce25e750c30da0fd91f1d4f,4.79525852,1.5,1,1,11,10,21,20,33,fiber:frost-flax,80,7,seed-lot:frost-flax,20,2780,4,11120,f53d5ee18e9b3ed9b7ee52228e0f854f535d62429b2b460f2a37126726a8e720,330d322285865d8a31c9bbcd471abc3d1092a6db9abba52caba21feb3176808f
v27-crop-harvest-reachable-envelope@2,building:1095,workstation:crop-plot,false,crop:mire-reed,6,natural:beastkin:golden-master,069d2d7639c334bf01a1f3c01e487f51f402d7146ce25e750c30da0fd91f1d4f,4.79525852,1.5,1,1,11,10,21,20,33,fiber:mire-reed,80,7,seed-lot:mire-reed,20,2780,4,11120,f53d5ee18e9b3ed9b7ee52228e0f854f535d62429b2b460f2a37126726a8e720,26bf395f56ee5d18cf909b414566829b662fed12f89879a6cbad83483ded9646
v27-crop-harvest-reachable-envelope@2,building:1095,workstation:crop-plot,false,crop:moonflower,3,natural:beastkin:golden-master,069d2d7639c334bf01a1f3c01e487f51f402d7146ce25e750c30da0fd91f1d4f,4.79525852,1.5,1,1,11,10,21,20,17,resource:moonflower,80,7,seed-lot:moonflower,50,1710,4,6840,f53d5ee18e9b3ed9b7ee52228e0f854f535d62429b2b460f2a37126726a8e720,6070ba427a286f9f510eec276e363e4ba0262068e8af587fab7b988d7340a398
v27-crop-harvest-reachable-envelope@2,building:1095,workstation:crop-plot,false,crop:night-grape,5,natural:beastkin:golden-master,069d2d7639c334bf01a1f3c01e487f51f402d7146ce25e750c30da0fd91f1d4f,4.79525852,1.5,1,1,11,10,21,20,28,resource:night-grape,250,7,seed-lot:night-grape,50,7350,4,29400,f53d5ee18e9b3ed9b7ee52228e0f854f535d62429b2b460f2a37126726a8e720,f2fe35448af67404941da15e800eaf2bd4bfe76f60000c35853195afe71047e8
v27-crop-harvest-reachable-envelope@2,building:1095,workstation:crop-plot,false,crop:shade-fiber,6,natural:beastkin:golden-master,069d2d7639c334bf01a1f3c01e487f51f402d7146ce25e750c30da0fd91f1d4f,4.79525852,1.5,1,1,11,10,21,20,33,resource:shade-fiber,120,7,seed-lot:shade-fiber,50,4310,4,17240,f53d5ee18e9b3ed9b7ee52228e0f854f535d62429b2b460f2a37126726a8e720,6471e6f9d31d9a815876492c73a2eadb3cdd4d927a3a1fa33bcd43763e16ec22
v27-crop-harvest-reachable-envelope@2,building:1095,workstation:crop-plot,false,crop:spore-hemp,6,natural:beastkin:golden-master,069d2d7639c334bf01a1f3c01e487f51f402d7146ce25e750c30da0fd91f1d4f,4.79525852,1.5,1,1,11,10,21,20,33,fiber:spore-hemp,80,7,seed-lot:spore-hemp,20,2780,4,11120,f53d5ee18e9b3ed9b7ee52228e0f854f535d62429b2b460f2a37126726a8e720,534dc5d76814885d28d8d63240535222fabbecfe3259be76bff761ab941f1bbb
v27-crop-harvest-reachable-envelope@2,building:1095,workstation:crop-plot,false,crop:twilight-grain,6,natural:beastkin:golden-master,069d2d7639c334bf01a1f3c01e487f51f402d7146ce25e750c30da0fd91f1d4f,4.79525852,1.5,1,1,11,10,21,20,33,resource:twilight-grain,350,7,seed-lot:twilight-grain,50,11900,4,47600,f53d5ee18e9b3ed9b7ee52228e0f854f535d62429b2b460f2a37126726a8e720,20f61c8d0680ca6fa77a0e7bbc82f1009c898421491eda79329f687d527b3de0
v27-crop-harvest-reachable-envelope@2,building:1096,workstation:hydroponics,true,crop:bloodleaf,4,natural:beastkin:golden-master,069d2d7639c334bf01a1f3c01e487f51f402d7146ce25e750c30da0fd91f1d4f,4.79525852,1.5,6,5,11,10,21,20,27,resource:bloodleaf,100,7,seed-lot:bloodleaf,50,3050,4,12200,f1cf06f8ad584f33352701504f6bc83690c60db7616ffdaafc098e24d6a82781,243922fe200a0d6c63a21836c6fee3a998e50e75847bc677840ede40c5705da6
v27-crop-harvest-reachable-envelope@2,building:1096,workstation:hydroponics,true,crop:cave-mushroom,5,natural:beastkin:golden-master,069d2d7639c334bf01a1f3c01e487f51f402d7146ce25e750c30da0fd91f1d4f,4.79525852,1.5,6,5,11,10,21,20,33,resource:cave-mushroom,250,7,seed-lot:cave-mushroom,50,8600,4,34400,f1cf06f8ad584f33352701504f6bc83690c60db7616ffdaafc098e24d6a82781,e848a1850f123f1cbb2faa5ec524bc090337c7d162f748cba873786b488ebcca
v27-crop-harvest-reachable-envelope@2,building:1096,workstation:hydroponics,true,crop:dreamleaf,4,natural:beastkin:golden-master,069d2d7639c334bf01a1f3c01e487f51f402d7146ce25e750c30da0fd91f1d4f,4.79525852,1.5,6,5,11,10,21,20,27,resource:dreamleaf,80,7,seed-lot:dreamleaf,50,2510,4,10040,f1cf06f8ad584f33352701504f6bc83690c60db7616ffdaafc098e24d6a82781,be4ffcb7480be2da30c03a80548daeaa237b310698fd1d4aae852eca56b8f99f
