RESULT=PASS; cells=360; populations=5; technologyStages=6; survivalProfiles=3; emergencies=4; surviving=226; recoveredByDay7=293; zeroGrowth=108
PASS V27_LABOR_MATRIX_360_CELLS count=360
PASS V27_LABOR_MATRIX_ACTUAL_EFFECTIVE_RATIO actual=50; effective=45
PASS V27_LABOR_MATRIX_TECH_MONOTONIC stages=6
PASS V27_LABOR_MATRIX_SURVIVAL_MONOTONIC profiles=shortage,normal,surplus
PASS V27_LABOR_MATRIX_GROWTH_CUT_FIRST deficitGrowthCells=0
PASS V27_LABOR_MATRIX_SHORTAGE_CRISIS_EXPOSED emergencyShortageSurvivors=0
population|stage|survival|emergency|actualPerAdult|effectivePerAdult|unavailable|responders|available|essentialWu|coverage|growthWu|deficitWu|foodAfter|waterAfter|survives|recoversDay7
1|NoResearch|shortage|none|50|45|0|0|1|40.5|1.111111|4.5|0|2|2|true|true
1|NoResearch|shortage|medical|50|45|1|0|0|40.5|0|0|40.5|0|0|false|true
1|NoResearch|shortage|invasion|50|45|0|1|0|40.5|0|0|40.5|0|0|false|false
1|NoResearch|shortage|guard|50|45|0|1|0|40.5|0|0|40.5|0|0|false|false
1|NoResearch|normal|none|50|45|0|0|1|22.5|2|22.5|0|7|7|true|true
1|NoResearch|normal|medical|50|45|1|0|0|22.5|0|0|22.5|4|4|false|true
1|NoResearch|normal|invasion|50|45|0|1|0|22.5|0|0|22.5|4|4|false|false
1|NoResearch|normal|guard|50|45|0|1|0|22.5|0|0|22.5|4|4|false|false
1|NoResearch|surplus|none|50|45|0|0|1|13.5|3.333333|31.5|0|14|14|true|true
1|NoResearch|surplus|medical|50|45|1|0|0|13.5|0|0|13.5|11|11|false|true
1|NoResearch|surplus|invasion|50|45|0|1|0|13.5|0|0|13.5|11|11|false|false
1|NoResearch|surplus|guard|50|45|0|1|0|13.5|0|0|13.5|11|11|false|false
1|Early|shortage|none|54.5|49.05|0|0|1|40.5|1.211111|8.549999|0|2|2|true|true
1|Early|shortage|medical|54.5|49.05|1|0|0|40.5|0|0|40.5|0|0|false|true
1|Early|shortage|invasion|54.5|49.05|0|1|0|40.5|0|0|40.5|0|0|false|false
1|Early|shortage|guard|54.5|49.05|0|1|0|40.5|0|0|40.5|0|0|false|false
1|Early|normal|none|54.5|49.05|0|0|1|22.5|2.18|26.55|0|7|7|true|true
1|Early|normal|medical|54.5|49.05|1|0|0|22.5|0|0|22.5|4|4|false|true
1|Early|normal|invasion|54.5|49.05|0|1|0|22.5|0|0|22.5|4|4|false|false
1|Early|normal|guard|54.5|49.05|0|1|0|22.5|0|0|22.5|4|4|false|false
1|Early|surplus|none|54.5|49.05|0|0|1|13.5|3.633333|35.55|0|14|14|true|true
1|Early|surplus|medical|54.5|49.05|1|0|0|13.5|0|0|13.5|11|11|false|true
1|Early|surplus|invasion|54.5|49.05|0|1|0|13.5|0|0|13.5|11|11|false|false
1|Early|surplus|guard|54.5|49.05|0|1|0|13.5|0|0|13.5|11|11|false|false
1|Middle|shortage|none|62.5|56.25|0|0|1|40.5|1.388889|15.75|0|2|2|true|true
1|Middle|shortage|medical|62.5|56.25|1|0|0|40.5|0|0|40.5|0|0|false|true
1|Middle|shortage|invasion|62.5|56.25|0|1|0|40.5|0|0|40.5|0|0|false|false
1|Middle|shortage|guard|62.5|56.25|0|1|0|40.5|0|0|40.5|0|0|false|false
1|Middle|normal|none|62.5|56.25|0|0|1|22.5|2.5|33.75|0|7|7|true|true
1|Middle|normal|medical|62.5|56.25|1|0|0|22.5|0|0|22.5|4|4|false|true
1|Middle|normal|invasion|62.5|56.25|0|1|0|22.5|0|0|22.5|4|4|false|false
