V27_MIXED_PARTY_AUTHORED_BASELINE_128
encounter:01 | h=1 | d=1 | a=1 | o=1 | c=1 | r=0 | win=91.4 % | severe=19.2 % | low=20.1 % | failure=100.0 % | median=8.0 | meanHealth=60.3 % | enemyActions=319/694/619/112/64 | enemyRetries=0 | enemyRejected=0 | score=578.233110 | stalled=0
encounter:02 | h=1 | d=1 | a=1 | o=1 | c=1 | r=8 | win=100.0 % | severe=0.0 % | low=0.0 % | failure=0.0 % | median=9.0 | meanHealth=96.5 % | enemyActions=128/768/896/256/0 | enemyRetries=0 | enemyRejected=0 | score=0.000000 | stalled=0
encounter:03 | h=1 | d=1 | a=1 | o=1 | c=1 | r=6 | win=14.1 % | severe=50.0 % | low=52.8 % | failure=31.8 % | median=5.0 | meanHealth=65.2 % | enemyActions=189/435/0/151/0 | enemyRetries=0 | enemyRejected=0 | score=11532.302449 | stalled=0
encounter:04 | h=1 | d=1 | a=1 | o=1 | c=1 | r=7 | win=12.5 % | severe=0.0 % | low=0.0 % | failure=30.8 % | median=8.0 | meanHealth=70.8 % | enemyActions=230/901/214/223/0 | enemyRetries=0 | enemyRejected=0 | score=12249.993046 | stalled=0
encounter:05 | h=1 | d=1 | a=1 | o=1 | c=1 | r=8 | win=100.0 % | severe=11.3 % | low=5.9 % | failure=0.0 % | median=8.0 | meanHealth=72.1 % | enemyActions=604/1572/0/384/0 | enemyRetries=0 | enemyRejected=0 | score=0.000000 | stalled=0
encounter:06 | h=1 | d=1 | a=1 | o=1 | c=1 | r=6 | win=51.6 % | severe=0.0 % | low=0.0 % | failure=99.2 % | median=1.0 | meanHealth=54.4 % | enemyActions=208/392/0/188/0 | enemyRetries=0 | enemyRejected=0 | score=107.666068 | stalled=0
encounter:07 | h=1 | d=1 | a=1 | o=1 | c=1 | r=0 | win=86.7 % | severe=1.4 % | low=0.0 % | failure=100.0 % | median=9.0 | meanHealth=83.8 % | enemyActions=283/959/377/113/23 | enemyRetries=0 | enemyRejected=0 | score=200.629173 | stalled=0
encounter:08 | h=1 | d=1 | a=1 | o=1 | c=1 | r=8 | win=100.0 % | severe=36.3 % | low=49.2 % | failure=0.0 % | median=9.0 | meanHealth=49.7 % | enemyActions=128/1408/128/384/0 | enemyRetries=0 | enemyRejected=0 | score=0.000000 | stalled=0
encounter:09 | h=1 | d=1 | a=1 | o=1 | c=1 | r=7 | win=98.4 % | severe=9.5 % | low=7.1 % | failure=50.0 % | median=8.0 | meanHealth=84.8 % | enemyActions=264/702/233/330/6 | enemyRetries=0 | enemyRejected=0 | score=1510.849779 | stalled=0
encounter:10 | h=1 | d=1 | a=1 | o=1 | c=1 | r=7 | win=10.2 % | severe=0.0 % | low=0.0 % | failure=13.5 % | median=8.0 | meanHealth=79.7 % | enemyActions=177/2050/57/576/0 | enemyRetries=0 | enemyRejected=0 | score=3035.217439 | stalled=0
encounter:11 | h=1 | d=1 | a=1 | o=1 | c=1 | r=7 | win=78.1 % | severe=42.0 % | low=23.0 % | failure=100.0 % | median=7.0 | meanHealth=50.6 % | enemyActions=973/484/0/233/0 | enemyRetries=0 | enemyRejected=0 | score=8.814075 | stalled=0
encounter:12 | h=1 | d=1 | a=1 | o=1 | c=1 | r=7 | win=11.7 % | severe=0.0 % | low=0.0 % | failure=65.9 % | median=8.0 | meanHealth=44.0 % | enemyActions=384/1065/236/169/0 | enemyRetries=0 | enemyRejected=0 | score=440.979056 | stalled=0
encounter:13 | h=1 | d=1 | a=1 | o=1 | c=1 | r=0 | win=100.0 % | severe=2.9 % | low=2.6 % | failure=0.0 % | median=8.0 | meanHealth=93.6 % | enemyActions=121/957/401/274/9 | enemyRetries=0 | enemyRejected=0 | score=1777.776718 | stalled=0
encounter:14 | h=1 | d=1 | a=1 | o=1 | c=1 | r=8 | win=81.3 % | severe=53.2 % | low=31.4 % | failure=100.0 % | median=9.0 | meanHealth=51.6 % | enemyActions=1142/628/0/256/0 | enemyRetries=0 | enemyRejected=0 | score=63.589945 | stalled=0
encounter:15 | h=1 | d=1 | a=1 | o=1 | c=1 | r=8 | win=67.2 % | severe=50.0 % | low=41.1 % | failure=100.0 % | median=9.0 | meanHealth=35.3 % | enemyActions=779/2013/184/637/0 | enemyRetries=0 | enemyRejected=0 | score=11.962918 | stalled=0
encounter:16 | h=1 | d=1 | a=1 | o=1 | c=1 | r=7 | win=50.0 % | severe=23.4 % | low=26.0 % | failure=38.5 % | median=7.0 | meanHealth=58.8 % | enemyActions=388/755/77/96/10 | enemyRetries=0 | enemyRejected=0 | score=999.999205 | stalled=0
encounter:17 | h=1 | d=1 | a=1 | o=1 | c=1 | r=8 | win=100.0 % | severe=0.0 % | low=0.0 % | failure=0.0 % | median=8.0 | meanHealth=97.9 % | enemyActions=128/1024/512/256/0 | enemyRetries=0 | enemyRejected=0 | score=0.000000 | stalled=0
encounter:18 | h=1 | d=1 | a=1 | o=1 | c=1 | r=6 | win=43.8 % | severe=0.0 % | low=0.0 % | failure=27.8 % | median=7.0 | meanHealth=73.5 % | enemyActions=293/549/86/268/0 | enemyRetries=0 | enemyRejected=0 | score=0.000000 | stalled=0
encounter:19 | h=1 | d=1 | a=1 | o=1 | c=1 | r=0 | win=100.0 % | severe=0.2 % | low=0.0 % | failure=0.0 % | median=5.0 | meanHealth=96.8 % | enemyActions=10/581/63/165/0 | enemyRetries=0 | enemyRejected=0 | score=1777.776718 | stalled=0
encounter:20 | h=1 | d=1 | a=1 | o=1 | c=1 | r=8 | win=100.0 % | severe=2.8 % | low=0.2 % | failure=0.0 % | median=9.0 | meanHealth=89.8 % | enemyActions=502/1738/832/512/0 | enemyRetries=0 | enemyRejected=0 | score=0.000000 | stalled=0
encounter:21 | h=1 | d=1 | a=1 | o=1 | c=1 | r=7 | win=95.3 % | severe=2.1 % | low=2.1 % | failure=0.0 % | median=4.0 | meanHealth=96.5 % | enemyActions=234/360/39/208/2 | enemyRetries=0 | enemyRejected=0 | score=1042.100035 | stalled=0
encounter:22 | h=1 | d=1 | a=1 | o=1 | c=1 | r=7 | win=96.1 % | severe=0.7 % | low=0.0 % | failure=4.0 % | median=5.0 | meanHealth=99.2 % | enemyActions=85/421/275/137/0 | enemyRetries=0 | enemyRejected=0 | score=1151.149454 | stalled=0
encounter:23 | h=1 | d=1 | a=1 | o=1 | c=1 | r=7 | win=100.0 % | severe=0.2 % | low=0.0 % | failure=0.0 % | median=7.0 | meanHealth=96.0 % | enemyActions=512/768/128/384/0 | enemyRetries=0 | enemyRejected=0 | score=0.000000 | stalled=0
encounter:24 | h=1 | d=1 | a=1 | o=1 | c=1 | r=6 | win=26.6 % | severe=0.0 % | low=0.0 % | failure=0.0 % | median=7.0 | meanHealth=95.4 % | enemyActions=0/702/280/278/0 | enemyRetries=0 | enemyRejected=0 | score=0.000000 | stalled=0
encounter:25 | h=1 | d=1 | a=1 | o=1 | c=1 | r=0 | win=99.2 % | severe=17.6 % | low=15.6 % | failure=100.0 % | median=5.0 | meanHealth=76.9 % | enemyActions=522/1092/91/176/4 | enemyRetries=0 | enemyRejected=0 | score=2927.307886 | stalled=0
encounter:26 | h=1 | d=1 | a=1 | o=1 | c=1 | r=8 | win=100.0 % | severe=21.3 % | low=11.6 % | failure=0.0 % | median=9.0 | meanHealth=77.7 % | enemyActions=743/1177/0/128/0 | enemyRetries=0 | enemyRejected=0 | score=0.000000 | stalled=0
encounter:27 | h=1 | d=1 | a=1 | o=1 | c=1 | r=7 | win=100.0 % | severe=4.4 % | low=3.3 % | failure=0.0 % | median=4.0 | meanHealth=94.7 % | enemyActions=61/533/0/256/0 | enemyRetries=0 | enemyRejected=0 | score=1777.776718 | stalled=0
encounter:28 | h=1 | d=1 | a=1 | o=1 | c=1 | r=8 | win=99.2 % | severe=9.3 % | low=9.3 % | failure=60.0 % | median=3.5 | meanHealth=85.6 % | enemyActions=138/277/213/95/0 | enemyRetries=0 | enemyRejected=0 | score=1641.600576 | stalled=0
encounter:29 | h=1 | d=1 | a=1 | o=1 | c=1 | r=7 | win=100.0 % | severe=3.4 % | low=0.0 % | failure=0.0 % | median=7.0 | meanHealth=91.6 % | enemyActions=378/1158/0/256/0 | enemyRetries=0 | enemyRejected=0 | score=0.000000 | stalled=0
encounter:30 | h=1 | d=1 | a=1 | o=1 | c=1 | r=7 | win=53.1 % | severe=0.3 % | low=0.3 % | failure=14.0 % | median=1.0 | meanHealth=90.2 % | enemyActions=92/641/97/173/1 | enemyRetries=0 | enemyRejected=0 | score=165.039131 | stalled=0
encounter:31 | h=1 | d=1 | a=1 | o=1 | c=1 | r=0 | win=100.0 % | severe=1.3 % | low=1.4 % | failure=0.0 % | median=4.0 | meanHealth=96.3 % | enemyActions=80/383/28/199/0 | enemyRetries=0 | enemyRejected=0 | score=1777.776718 | stalled=0
encounter:32 | h=1 | d=1 | a=1 | o=1 | c=1 | r=8 | win=100.0 % | severe=26.7 % | low=23.0 % | failure=0.0 % | median=9.0 | meanHealth=72.2 % | enemyActions=713/764/443/128/0 | enemyRetries=0 | enemyRejected=0 | score=0.000000 | stalled=0
