"stable_id","display_name","source_path","authored_category","grid_layer","asset_classification","design_boundary","composition_contract","source_declared_function","classification_evidence","status"
"building:-1949999295","외부 사건 지점","Assets/Resources/SO/Buildings/RuntimeArchetypes/Exterior_IncidentPoint_FloorOverlay.asset","Special (특수)","Floor Overlay","runtime-anchor","사건·순찰·접수 등 런타임 배치용 앵커이며 플레이어 시설 포트폴리오에서 제외","해당 없음: 런타임 아키타입","시설의 고유 역할은 순찰 준비와 사건 탐지, 방문객 접수와 첫인상이다. 건설에는 작업량 18, 재료 material:stone-block×1이 필요하다.","category=Special (특수); layer=Floor Overlay; path=Assets/Resources/SO/Buildings/RuntimeArchetypes/Exterior_IncidentPoint_FloorOverlay.asset","분류 확정; 개별 기능·전환 계약은 player-composable-part와 player-landmark에 한해 별도 전수 기록 OPEN"
"building:-1949999296","외부 사건 지점","Assets/Resources/SO/Buildings/RuntimeArchetypes/Exterior_IncidentPoint_CeilingFixture.asset","Special (특수)","Ceiling Fixture","runtime-anchor","사건·순찰·접수 등 런타임 배치용 앵커이며 플레이어 시설 포트폴리오에서 제외","해당 없음: 런타임 아키타입","시설의 고유 역할은 순찰 준비와 사건 탐지, 방문객 접수와 첫인상이다. 건설에는 작업량 18, 재료 material:lumber×1이 필요하다.","category=Special (특수); layer=Ceiling Fixture; path=Assets/Resources/SO/Buildings/RuntimeArchetypes/Exterior_IncidentPoint_CeilingFixture.asset","분류 확정; 개별 기능·전환 계약은 player-composable-part와 player-landmark에 한해 별도 전수 기록 OPEN"
"building:-1949999297","외부 사건 지점","Assets/Resources/SO/Buildings/RuntimeArchetypes/Exterior_IncidentPoint_WallFixture.asset","Special (특수)","Wall Fixture","runtime-anchor","사건·순찰·접수 등 런타임 배치용 앵커이며 플레이어 시설 포트폴리오에서 제외","해당 없음: 런타임 아키타입","시설의 고유 역할은 순찰 준비와 사건 탐지, 방문객 접수와 첫인상이다. 건설에는 작업량 18, 재료 material:lumber×1이 필요하다.","category=Special (특수); layer=Wall Fixture; path=Assets/Resources/SO/Buildings/RuntimeArchetypes/Exterior_IncidentPoint_WallFixture.asset","분류 확정; 개별 기능·전환 계약은 player-composable-part와 player-landmark에 한해 별도 전수 기록 OPEN"
"building:-1949999299","외부 사건 지점","Assets/Resources/SO/Buildings/RuntimeArchetypes/Exterior_IncidentPoint_Building.asset","Special (특수)","Building","runtime-anchor","사건·순찰·접수 등 런타임 배치용 앵커이며 플레이어 시설 포트폴리오에서 제외","해당 없음: 런타임 아키타입","시설의 고유 역할은 순찰 준비와 사건 탐지, 방문객 접수와 첫인상이다. 건설에는 작업량 18, 재료 material:stone-block×1이 필요하다.","category=Special (특수); layer=Building; path=Assets/Resources/SO/Buildings/RuntimeArchetypes/Exterior_IncidentPoint_Building.asset","분류 확정; 개별 기능·전환 계약은 player-composable-part와 player-landmark에 한해 별도 전수 기록 OPEN"
"building:-1949999300","외부 사건 지점","Assets/Resources/SO/Buildings/RuntimeArchetypes/Exterior_IncidentPoint_Hallway.asset","Special (특수)","Hallway","runtime-anchor","사건·순찰·접수 등 런타임 배치용 앵커이며 플레이어 시설 포트폴리오에서 제외","해당 없음: 런타임 아키타입","시설의 고유 역할은 순찰 준비와 사건 탐지, 방문객 접수와 첫인상이다. 건설에는 작업량 18, 재료 material:stone-block×1이 필요하다.","category=Special (특수); layer=Hallway; path=Assets/Resources/SO/Buildings/RuntimeArchetypes/Exterior_IncidentPoint_Hallway.asset","분류 확정; 개별 기능·전환 계약은 player-composable-part와 player-landmark에 한해 별도 전수 기록 OPEN"
"building:-1949999395","출정 집결지","Assets/Resources/SO/Buildings/RuntimeArchetypes/Exterior_ExpeditionStaging_FloorOverlay.asset","Special (특수)","Floor Overlay","runtime-anchor","사건·순찰·접수 등 런타임 배치용 앵커이며 플레이어 시설 포트폴리오에서 제외","해당 없음: 런타임 아키타입","시설 동작은 BuildingFacilityAbility, BuildingWorkAmountAbility 모듈로 구성된다. 건설에는 작업량 18, 재료 material:stone-block×1이 필요하다.","category=Special (특수); layer=Floor Overlay; path=Assets/Resources/SO/Buildings/RuntimeArchetypes/Exterior_ExpeditionStaging_FloorOverlay.asset","분류 확정; 개별 기능·전환 계약은 player-composable-part와 player-landmark에 한해 별도 전수 기록 OPEN"
"building:-1949999396","출정 집결지","Assets/Resources/SO/Buildings/RuntimeArchetypes/Exterior_ExpeditionStaging_CeilingFixture.asset","Special (특수)","Ceiling Fixture","runtime-anchor","사건·순찰·접수 등 런타임 배치용 앵커이며 플레이어 시설 포트폴리오에서 제외","해당 없음: 런타임 아키타입","시설 동작은 BuildingFacilityAbility, BuildingWorkAmountAbility 모듈로 구성된다. 건설에는 작업량 18, 재료 material:lumber×1이 필요하다.","category=Special (특수); layer=Ceiling Fixture; path=Assets/Resources/SO/Buildings/RuntimeArchetypes/Exterior_ExpeditionStaging_CeilingFixture.asset","분류 확정; 개별 기능·전환 계약은 player-composable-part와 player-landmark에 한해 별도 전수 기록 OPEN"
"building:-1949999397","출정 집결지","Assets/Resources/SO/Buildings/RuntimeArchetypes/Exterior_ExpeditionStaging_WallFixture.asset","Special (특수)","Wall Fixture","runtime-anchor","사건·순찰·접수 등 런타임 배치용 앵커이며 플레이어 시설 포트폴리오에서 제외","해당 없음: 런타임 아키타입","시설 동작은 BuildingFacilityAbility, BuildingWorkAmountAbility 모듈로 구성된다. 건설에는 작업량 18, 재료 material:lumber×1이 필요하다.","category=Special (특수); layer=Wall Fixture; path=Assets/Resources/SO/Buildings/RuntimeArchetypes/Exterior_ExpeditionStaging_WallFixture.asset","분류 확정; 개별 기능·전환 계약은 player-composable-part와 player-landmark에 한해 별도 전수 기록 OPEN"
"building:-1949999399","출정 집결지","Assets/Resources/SO/Buildings/RuntimeArchetypes/Exterior_ExpeditionStaging_Building.asset","Special (특수)","Building","runtime-anchor","사건·순찰·접수 등 런타임 배치용 앵커이며 플레이어 시설 포트폴리오에서 제외","해당 없음: 런타임 아키타입","시설 동작은 BuildingFacilityAbility, BuildingWorkAmountAbility 모듈로 구성된다. 건설에는 작업량 18, 재료 material:stone-block×1이 필요하다.","category=Special (특수); layer=Building; path=Assets/Resources/SO/Buildings/RuntimeArchetypes/Exterior_ExpeditionStaging_Building.asset","분류 확정; 개별 기능·전환 계약은 player-composable-part와 player-landmark에 한해 별도 전수 기록 OPEN"
"building:-1949999400","출정 집결지","Assets/Resources/SO/Buildings/RuntimeArchetypes/Exterior_ExpeditionStaging_Hallway.asset","Special (특수)","Hallway","runtime-anchor","사건·순찰·접수 등 런타임 배치용 앵커이며 플레이어 시설 포트폴리오에서 제외","해당 없음: 런타임 아키타입","시설 동작은 BuildingFacilityAbility, BuildingWorkAmountAbility 모듈로 구성된다. 건설에는 작업량 18, 재료 material:stone-block×1이 필요하다.","category=Special (특수); layer=Hallway; path=Assets/Resources/SO/Buildings/RuntimeArchetypes/Exterior_ExpeditionStaging_Hallway.asset","분류 확정; 개별 기능·전환 계약은 player-composable-part와 player-landmark에 한해 별도 전수 기록 OPEN"
"building:-1949999495","외부 휴식처","Assets/Resources/SO/Buildings/RuntimeArchetypes/Exterior_OutdoorRestSpot_FloorOverlay.asset","Special (특수)","Floor Overlay","runtime-anchor","사건·순찰·접수 등 런타임 배치용 앵커이며 플레이어 시설 포트폴리오에서 제외","해당 없음: 런타임 아키타입","시설의 고유 역할은 야외 휴식이다. 건설에는 작업량 18, 재료 material:stone-block×1이 필요하다.","category=Special (특수); layer=Floor Overlay; path=Assets/Resources/SO/Buildings/RuntimeArchetypes/Exterior_OutdoorRestSpot_FloorOverlay.asset","분류 확정; 개별 기능·전환 계약은 player-composable-part와 player-landmark에 한해 별도 전수 기록 OPEN"
