"stable_id","display_name","asset_classification","source_category","source_declared_function","portfolio_commitment","same_era_alternative_candidates","functional_recognition_contract","activation_receipt","repurpose_or_recovery","status"
"building:10","저가 음식점","player-composable-part","Shop (상점)","시설의 고유 역할은 내부 공정 재고이다. 건설에는 작업량 30, 재료 material:steel-ingot×1이 필요하다.","이 환대·교역 파츠에 객실·재고·서비스 인력을 배정해 주민 생활 공간과 다른 서비스 투자를 늦춘다","비교 후보(대체 가능성 미검증): BuildingSO:building:6, BuildingSO:building:9502, BuildingSO:building:9504, BuildingSO:building:12, BuildingSO:building:11, BuildingSO:building:18, BuildingSO:building:13, BuildingSO:building:5","접수·보관·동선·서비스 인력과 실제 손님 또는 거래 기록이 연결될 때 기능을 인정한다","이 파츠가 포함된 방 또는 운영 구역에서 실제 주문·서비스·생산·보안·연구·거래 중 하나가 완료된 기록","예약·물품·손님 동선을 정리하고 파츠를 해체·운반·청소해 다른 방 기능으로 전환한다","설계 확정; source comparison candidates는 정적 후보이므로 실제 대체성·BOM·처리량·저장 검증 OPEN"
"building:1000","간이화덕","player-composable-part","Shop (상점)","시설의 고유 역할은 공정 자동화, 물류 입출력, 조리, 연료 소비, 욕구 회복이다. 건설에는 작업량 261, 재료 material:stone-block×9, material:iron-ingot×3이 필요하다.","이 환대·교역 파츠에 객실·재고·서비스 인력을 배정해 주민 생활 공간과 다른 서비스 투자를 늦춘다","비교 후보(대체 가능성 미검증): BuildingSO:building:1001","접수·보관·동선·서비스 인력과 실제 손님 또는 거래 기록이 연결될 때 기능을 인정한다","이 파츠가 포함된 방 또는 운영 구역에서 실제 주문·서비스·생산·보안·연구·거래 중 하나가 완료된 기록","예약·물품·손님 동선을 정리하고 파츠를 해체·운반·청소해 다른 방 기능으로 전환한다","설계 확정; source comparison candidates는 정적 후보이므로 실제 대체성·BOM·처리량·저장 검증 OPEN"
"building:1001","고기그릴","player-composable-part","Shop (상점)","시설의 고유 역할은 공정 자동화, 물류 입출력, 조리, 연료 소비, 욕구 회복이다. 건설에는 작업량 364, 재료 material:stone-block×4, material:iron-ingot×5이 필요하다.","이 환대·교역 파츠에 객실·재고·서비스 인력을 배정해 주민 생활 공간과 다른 서비스 투자를 늦춘다","비교 후보(대체 가능성 미검증): BuildingSO:building:1000","접수·보관·동선·서비스 인력과 실제 손님 또는 거래 기록이 연결될 때 기능을 인정한다","이 파츠가 포함된 방 또는 운영 구역에서 실제 주문·서비스·생산·보안·연구·거래 중 하나가 완료된 기록","예약·물품·손님 동선을 정리하고 파츠를 해체·운반·청소해 다른 방 기능으로 전환한다","설계 확정; source comparison candidates는 정적 후보이므로 실제 대체성·BOM·처리량·저장 검증 OPEN"
"building:1002","조리손질대","player-composable-part","Shop (상점)","시설의 고유 역할은 공정 자동화, 물류 입출력, 조리, 전력 소비, 생산 작업대이다. 건설에는 작업량 312, 재료 material:treated-lumber×9, material:iron-ingot×3, material:stone-block×2이 필요하다.","이 환대·교역 파츠에 객실·재고·서비스 인력을 배정해 주민 생활 공간과 다른 서비스 투자를 늦춘다","동일 비교군 없음","접수·보관·동선·서비스 인력과 실제 손님 또는 거래 기록이 연결될 때 기능을 인정한다","이 파츠가 포함된 방 또는 운영 구역에서 실제 주문·서비스·생산·보안·연구·거래 중 하나가 완료된 기록","예약·물품·손님 동선을 정리하고 파츠를 해체·운반·청소해 다른 방 기능으로 전환한다","설계 확정; source comparison candidates는 정적 후보이므로 실제 대체성·BOM·처리량·저장 검증 OPEN"
"building:1003","배식카운터","player-composable-part","Shop (상점)","시설의 고유 역할은 욕구 회복, 손님 서비스이다. 건설에는 작업량 451, 재료 material:lumber×8, material:iron-ingot×2이 필요하다.","이 환대·교역 파츠에 객실·재고·서비스 인력을 배정해 주민 생활 공간과 다른 서비스 투자를 늦춘다","동일 비교군 없음","접수·보관·동선·서비스 인력과 실제 손님 또는 거래 기록이 연결될 때 기능을 인정한다","이 파츠가 포함된 방 또는 운영 구역에서 실제 주문·서비스·생산·보안·연구·거래 중 하나가 완료된 기록","예약·물품·손님 동선을 정리하고 파츠를 해체·운반·청소해 다른 방 기능으로 전환한다","설계 확정; source comparison candidates는 정적 후보이므로 실제 대체성·BOM·처리량·저장 검증 OPEN"
"building:1004","소형식탁","player-composable-part","Shop (상점)","시설 동작은 BuildingEconomyAbility, BuildingEvolutionAbility, BuildingFacilityPartAbility, BuildingTableAbility, BuildingWorkAmountAbility 모듈로 구성된다. 건설에는 작업량 463, 재료 material:lumber×9이 필요하다.","이 환대·교역 파츠에 객실·재고·서비스 인력을 배정해 주민 생활 공간과 다른 서비스 투자를 늦춘다","비교 후보(대체 가능성 미검증): BuildingSO:building:1202, BuildingSO:building:1204, BuildingSO:building:1005, BuildingSO:building:1010","접수·보관·동선·서비스 인력과 실제 손님 또는 거래 기록이 연결될 때 기능을 인정한다","이 파츠가 포함된 방 또는 운영 구역에서 실제 주문·서비스·생산·보안·연구·거래 중 하나가 완료된 기록","예약·물품·손님 동선을 정리하고 파츠를 해체·운반·청소해 다른 방 기능으로 전환한다","설계 확정; source comparison candidates는 정적 후보이므로 실제 대체성·BOM·처리량·저장 검증 OPEN"
"building:1005","대형연회식탁","player-composable-part","Shop (상점)","시설 동작은 BuildingEconomyAbility, BuildingEvolutionAbility, BuildingFacilityPartAbility, BuildingTableAbility, BuildingWorkAmountAbility 모듈로 구성된다. 건설에는 작업량 566, 재료 material:lumber×12이 필요하다.","이 환대·교역 파츠에 객실·재고·서비스 인력을 배정해 주민 생활 공간과 다른 서비스 투자를 늦춘다","비교 후보(대체 가능성 미검증): BuildingSO:building:1202, BuildingSO:building:1204, BuildingSO:building:1004, BuildingSO:building:1010","접수·보관·동선·서비스 인력과 실제 손님 또는 거래 기록이 연결될 때 기능을 인정한다","이 파츠가 포함된 방 또는 운영 구역에서 실제 주문·서비스·생산·보안·연구·거래 중 하나가 완료된 기록","예약·물품·손님 동선을 정리하고 파츠를 해체·운반·청소해 다른 방 기능으로 전환한다","설계 확정; source comparison candidates는 정적 후보이므로 실제 대체성·BOM·처리량·저장 검증 OPEN"
"building:1006","목제의자","player-composable-part","Shop (상점)","시설의 고유 역할은 서비스 보조이다. 건설에는 작업량 386, 재료 material:lumber×5이 필요하다.","이 환대·교역 파츠에 객실·재고·서비스 인력을 배정해 주민 생활 공간과 다른 서비스 투자를 늦춘다","비교 후보(대체 가능성 미검증): BuildingSO:building:1007, BuildingSO:building:1008, BuildingSO:building:1700, BuildingSO:building:1701, BuildingSO:building:1702, BuildingSO:building:1703, BuildingSO:building:1706, BuildingSO:building:1707, BuildingSO:building:1708, BuildingSO:building:1709, BuildingSO:building:1710, BuildingSO:building:1711 외 2개","접수·보관·동선·서비스 인력과 실제 손님 또는 거래 기록이 연결될 때 기능을 인정한다","이 파츠가 포함된 방 또는 운영 구역에서 실제 주문·서비스·생산·보안·연구·거래 중 하나가 완료된 기록","예약·물품·손님 동선을 정리하고 파츠를 해체·운반·청소해 다른 방 기능으로 전환한다","설계 확정; source comparison candidates는 정적 후보이므로 실제 대체성·BOM·처리량·저장 검증 OPEN"
"building:1007","푹신한의자","player-composable-part","Shop (상점)","시설의 고유 역할은 서비스 보조이다. 건설에는 작업량 368, 재료 material:lumber×5, material:cloth×3이 필요하다.","이 환대·교역 파츠에 객실·재고·서비스 인력을 배정해 주민 생활 공간과 다른 서비스 투자를 늦춘다","비교 후보(대체 가능성 미검증): BuildingSO:building:1006, BuildingSO:building:1008, BuildingSO:building:1700, BuildingSO:building:1701, BuildingSO:building:1702, BuildingSO:building:1703, BuildingSO:building:1706, BuildingSO:building:1707, BuildingSO:building:1708, BuildingSO:building:1709, BuildingSO:building:1710, BuildingSO:building:1711 외 2개","접수·보관·동선·서비스 인력과 실제 손님 또는 거래 기록이 연결될 때 기능을 인정한다","이 파츠가 포함된 방 또는 운영 구역에서 실제 주문·서비스·생산·보안·연구·거래 중 하나가 완료된 기록","예약·물품·손님 동선을 정리하고 파츠를 해체·운반·청소해 다른 방 기능으로 전환한다","설계 확정; source comparison candidates는 정적 후보이므로 실제 대체성·BOM·처리량·저장 검증 OPEN"
"building:1008","긴벤치","player-composable-part","Shop (상점)","시설의 고유 역할은 서비스 보조이다. 건설에는 작업량 499, 재료 material:lumber×8이 필요하다.","이 환대·교역 파츠에 객실·재고·서비스 인력을 배정해 주민 생활 공간과 다른 서비스 투자를 늦춘다","비교 후보(대체 가능성 미검증): BuildingSO:building:1006, BuildingSO:building:1007, BuildingSO:building:1700, BuildingSO:building:1701, BuildingSO:building:1702, BuildingSO:building:1703, BuildingSO:building:1706, BuildingSO:building:1707, BuildingSO:building:1708, BuildingSO:building:1709, BuildingSO:building:1710, BuildingSO:building:1711 외 2개","접수·보관·동선·서비스 인력과 실제 손님 또는 거래 기록이 연결될 때 기능을 인정한다","이 파츠가 포함된 방 또는 운영 구역에서 실제 주문·서비스·생산·보안·연구·거래 중 하나가 완료된 기록","예약·물품·손님 동선을 정리하고 파츠를 해체·운반·청소해 다른 방 기능으로 전환한다","설계 확정; source comparison candidates는 정적 후보이므로 실제 대체성·BOM·처리량·저장 검증 OPEN"
