"stable_id","display_name","source_declared_function","protection_and_production_evidence","portfolio_commitment","same_era_alternative_candidates","activation_and_equipment_receipt","condition_mobility_and_logistics_pressure","counter_or_reconfiguration","status"
"equipment-item:armor:articulated-plate","관절식 판금갑","방어 부위와 피해 저항을 장비 선택에 연결한다. 작성 목적은 '관절식 판금갑 전투 장비'이다. 게임 규칙은 tier 1로 구성된다.","종류 Melee Weapon; 계보 1; 시대 1; tier 1; 레이어 Plate; 신체 방호 [{""bluntDefense"":23,""bodyPart"":1,""pierceDefense"":31,""slashDefense"":34},{""bluntDefense"":16,""bodyPart"":2,""pierceDefense"":20,""slashDefense"":22},{""bluntDefense"":16,""bodyPart"":3,""pierceDefense"":20,""slashDefense"":22}]; 충돌 태그 torso-articulated-plate; 손 0; 연구 research:equipment:articulated-plate; 제작 재료 []; 부품 [{""amount"":1,""itemId"":""component:growth-frame""},{""amount"":1,""itemId"":""component:textile-hardener""},{""amount"":2,""itemId"":""material:plate-blank""}]; 작업 256; 질량 13; effects []","Plate 레이어와 신체 방호 [{""bluntDefense"":23,""bodyPart"":1,""pierceDefense"":31,""slashDefense"":34},{""bluntDefense"":16,""bodyPart"":2,""pierceDefense"":20,""slashDefense"":22},{""bluntDefense"":16,""bodyPart"":3,""pierceDefense"":20,""slashDefense"":22}]에 맞춘 방호를 선택한다. 그 재료·제작 노동·운반 질량·손 점유를 다른 방어구·방패·원정 보급보다 우선한다.","비교 후보(대체 가능성 미검증): CombatArmorSO:equipment-item:armor:gambeson, CombatArmorSO:equipment-item:armor:leather, CombatArmorSO:equipment-item:armor:mail-coif, CombatArmorSO:equipment-item:armor:mail-shirt, CombatArmorSO:equipment-item:armor:iron-helmet, CombatArmorSO:equipment-item:armor:breastplate, CombatArmorSO:equipment-item:armor:brigandine, CombatArmorSO:equipment-item:armor:scale-coat, CombatArmorSO:equipment-item:armor:closed-plate-helm, CombatArmorSO:equipment-item:armor:jack-of-plates, CombatArmorSO:equipment-item:armor:padded-hood, CombatArmorSO:equipment-item:armor:hardened-leather-coat","연구 research:equipment:articulated-plate와 제작 재료·부품·작업을 충족해 equipment armor:articulated-plate / item equipment-item:armor:articulated-plate를 확보하고, 레이어 Plate와 슬롯 3에 장착한 뒤 해당 신체 방호가 적용되는 조우에 투입한다.","최대 내구 120; 질량 13; 손 점유 0; 레이어 Plate가 수리·운반·방패·무기와의 운영 압력이 된다.","위협의 피해 유형·표적 신체·환경·기동 요구가 바뀌면 장착을 해제해 회수하고, 실제 비교 후보 방어구·방패와 레이어·손 점유를 다시 편성한다. 파손·수리·저장 복제는 구현 전 자동 감사로 고정한다.","전수 설계; effects·피해 판정·레이어 충돌·수리·저장·수치 검증 OPEN"
"equipment-item:armor:blacksteel-carapace","흑강 갑각","방어 부위와 피해 저항을 장비 선택에 연결한다. 작성 목적은 '흑강 갑각 전투 장비'이다. 게임 규칙은 tier 4로 구성된다.","종류 Melee Weapon; 계보 1; 시대 4; tier 4; 레이어 Plate; 신체 방호 [{""bluntDefense"":38,""bodyPart"":1,""pierceDefense"":46,""slashDefense"":48}]; 충돌 태그 torso-blacksteel; 손 0; 연구 research:industry:dark-foundry; 제작 재료 []; 부품 [{""amount"":1,""itemId"":""component:growth-frame""},{""amount"":2,""itemId"":""component:blacksteel-defense-plate""}]; 작업 328; 질량 15; effects []","Plate 레이어와 신체 방호 [{""bluntDefense"":38,""bodyPart"":1,""pierceDefense"":46,""slashDefense"":48}]에 맞춘 방호를 선택한다. 그 재료·제작 노동·운반 질량·손 점유를 다른 방어구·방패·원정 보급보다 우선한다.","비교 후보(대체 가능성 미검증): CombatArmorSO:equipment-item:armor:powered-harness, CombatArmorSO:equipment-item:armor:rune-ward-mail","연구 research:industry:dark-foundry와 제작 재료·부품·작업을 충족해 equipment armor:blacksteel-carapace / item equipment-item:armor:blacksteel-carapace를 확보하고, 레이어 Plate와 슬롯 4에 장착한 뒤 해당 신체 방호가 적용되는 조우에 투입한다.","최대 내구 120; 질량 15; 손 점유 0; 레이어 Plate가 수리·운반·방패·무기와의 운영 압력이 된다.","위협의 피해 유형·표적 신체·환경·기동 요구가 바뀌면 장착을 해제해 회수하고, 실제 비교 후보 방어구·방패와 레이어·손 점유를 다시 편성한다. 파손·수리·저장 복제는 구현 전 자동 감사로 고정한다.","전수 설계; effects·피해 판정·레이어 충돌·수리·저장·수치 검증 OPEN"
"equipment-item:armor:blast-coat","방폭 외투","방어 부위와 피해 저항을 장비 선택에 연결한다. 작성 목적은 '방폭 외투 전투 장비'이다. 게임 규칙은 tier 3로 구성된다.","종류 Melee Weapon; 계보 1; 시대 3; tier 3; 레이어 Outer; 신체 방호 [{""bluntDefense"":26,""bodyPart"":1,""pierceDefense"":18,""slashDefense"":16}]; 충돌 태그 torso-blast; 손 0; 연구 research:equipment:pressure-barrels; 제작 재료 []; 부품 [{""amount"":1,""itemId"":""textile:quilted-liner""},{""amount"":1,""itemId"":""component:blast-coat-shell""},{""amount"":1,""itemId"":""textile:insulating-cloth""}]; 작업 224; 질량 7; effects []","Outer 레이어와 신체 방호 [{""bluntDefense"":26,""bodyPart"":1,""pierceDefense"":18,""slashDefense"":16}]에 맞춘 방호를 선택한다. 그 재료·제작 노동·운반 질량·손 점유를 다른 방어구·방패·원정 보급보다 우선한다.","비교 후보(대체 가능성 미검증): CombatArmorSO:equipment-item:armor:smoke-hood, CombatArmorSO:equipment-item:armor:powder-cuirass","연구 research:equipment:pressure-barrels와 제작 재료·부품·작업을 충족해 equipment armor:blast-coat / item equipment-item:armor:blast-coat를 확보하고, 레이어 Outer와 슬롯 1에 장착한 뒤 해당 신체 방호가 적용되는 조우에 투입한다.","최대 내구 120; 질량 7; 손 점유 0; 레이어 Outer가 수리·운반·방패·무기와의 운영 압력이 된다.","위협의 피해 유형·표적 신체·환경·기동 요구가 바뀌면 장착을 해제해 회수하고, 실제 비교 후보 방어구·방패와 레이어·손 점유를 다시 편성한다. 파손·수리·저장 복제는 구현 전 자동 감사로 고정한다.","전수 설계; effects·피해 판정·레이어 충돌·수리·저장·수치 검증 OPEN"
"equipment-item:armor:breastplate","철 흉갑","방어 부위와 피해 저항을 장비 선택에 연결한다. 작성 목적은 '철 흉갑 전투 장비'이다. 게임 규칙은 tier 1로 구성된다.","종류 Melee Weapon; 계보 1; 시대 1; tier 1; 레이어 Plate; 신체 방호 [{""bluntDefense"":16,""bodyPart"":1,""pierceDefense"":22,""slashDefense"":25}]; 충돌 태그 torso-plate; 손 0; 연구 research:equipment:articulated-plate; 제작 재료 []; 부품 []; 작업 184; 질량 9; effects []","Plate 레이어와 신체 방호 [{""bluntDefense"":16,""bodyPart"":1,""pierceDefense"":22,""slashDefense"":25}]에 맞춘 방호를 선택한다. 그 재료·제작 노동·운반 질량·손 점유를 다른 방어구·방패·원정 보급보다 우선한다.","비교 후보(대체 가능성 미검증): CombatArmorSO:equipment-item:armor:gambeson, CombatArmorSO:equipment-item:armor:leather, CombatArmorSO:equipment-item:armor:mail-coif, CombatArmorSO:equipment-item:armor:mail-shirt, CombatArmorSO:equipment-item:armor:iron-helmet, CombatArmorSO:equipment-item:armor:brigandine, CombatArmorSO:equipment-item:armor:scale-coat, CombatArmorSO:equipment-item:armor:closed-plate-helm, CombatArmorSO:equipment-item:armor:articulated-plate, CombatArmorSO:equipment-item:armor:jack-of-plates, CombatArmorSO:equipment-item:armor:padded-hood, CombatArmorSO:equipment-item:armor:hardened-leather-coat","연구 research:equipment:articulated-plate와 제작 재료·부품·작업을 충족해 equipment armor:breastplate / item equipment-item:armor:breastplate를 확보하고, 레이어 Plate와 슬롯 1에 장착한 뒤 해당 신체 방호가 적용되는 조우에 투입한다.","최대 내구 120; 질량 9; 손 점유 0; 레이어 Plate가 수리·운반·방패·무기와의 운영 압력이 된다.","위협의 피해 유형·표적 신체·환경·기동 요구가 바뀌면 장착을 해제해 회수하고, 실제 비교 후보 방어구·방패와 레이어·손 점유를 다시 편성한다. 파손·수리·저장 복제는 구현 전 자동 감사로 고정한다.","전수 설계; effects·피해 판정·레이어 충돌·수리·저장·수치 검증 OPEN"
"equipment-item:armor:brigandine","브리간딘","방어 부위와 피해 저항을 장비 선택에 연결한다. 작성 목적은 '브리간딘 전투 장비'이다. 게임 규칙은 tier 1로 구성된다.","종류 Melee Weapon; 계보 1; 시대 1; tier 1; 레이어 Outer; 신체 방호 [{""bluntDefense"":11,""bodyPart"":1,""pierceDefense"":15,""slashDefense"":18}]; 충돌 태그 torso-brigandine; 손 0; 연구 research:equipment:armor-tailoring; 제작 재료 []; 부품 [{""amount"":1,""itemId"":""textile:quilted-liner""},{""amount"":1,""itemId"":""component:brigandine-padding""},{""amount"":1,""itemId"":""component:textile-hardener""}]; 작업 168; 질량 6.2; effects []","Outer 레이어와 신체 방호 [{""bluntDefense"":11,""bodyPart"":1,""pierceDefense"":15,""slashDefense"":18}]에 맞춘 방호를 선택한다. 그 재료·제작 노동·운반 질량·손 점유를 다른 방어구·방패·원정 보급보다 우선한다.","비교 후보(대체 가능성 미검증): CombatArmorSO:equipment-item:armor:gambeson, CombatArmorSO:equipment-item:armor:leather, CombatArmorSO:equipment-item:armor:mail-coif, CombatArmorSO:equipment-item:armor:mail-shirt, CombatArmorSO:equipment-item:armor:iron-helmet, CombatArmorSO:equipment-item:armor:breastplate, CombatArmorSO:equipment-item:armor:scale-coat, CombatArmorSO:equipment-item:armor:closed-plate-helm, CombatArmorSO:equipment-item:armor:articulated-plate, CombatArmorSO:equipment-item:armor:jack-of-plates, CombatArmorSO:equipment-item:armor:padded-hood, CombatArmorSO:equipment-item:armor:hardened-leather-coat","연구 research:equipment:armor-tailoring와 제작 재료·부품·작업을 충족해 equipment armor:brigandine / item equipment-item:armor:brigandine를 확보하고, 레이어 Outer와 슬롯 1에 장착한 뒤 해당 신체 방호가 적용되는 조우에 투입한다.","최대 내구 120; 질량 6.2; 손 점유 0; 레이어 Outer가 수리·운반·방패·무기와의 운영 압력이 된다.","위협의 피해 유형·표적 신체·환경·기동 요구가 바뀌면 장착을 해제해 회수하고, 실제 비교 후보 방어구·방패와 레이어·손 점유를 다시 편성한다. 파손·수리·저장 복제는 구현 전 자동 감사로 고정한다.","전수 설계; effects·피해 판정·레이어 충돌·수리·저장·수치 검증 OPEN"
"equipment-item:armor:closed-plate-helm","폐쇄형 판금 투구","방어 부위와 피해 저항을 장비 선택에 연결한다. 작성 목적은 '폐쇄형 판금 투구 전투 장비'이다. 게임 규칙은 tier 1로 구성된다.","종류 Melee Weapon; 계보 1; 시대 1; tier 1; 레이어 Plate; 신체 방호 [{""bluntDefense"":19,""bodyPart"":0,""pierceDefense"":25,""slashDefense"":28}]; 충돌 태그 headwear-closed-plate; 손 0; 연구 research:equipment:articulated-plate; 제작 재료 []; 부품 []; 작업 84; 질량 3.8; effects []","Plate 레이어와 신체 방호 [{""bluntDefense"":19,""bodyPart"":0,""pierceDefense"":25,""slashDefense"":28}]에 맞춘 방호를 선택한다. 그 재료·제작 노동·운반 질량·손 점유를 다른 방어구·방패·원정 보급보다 우선한다.","비교 후보(대체 가능성 미검증): CombatArmorSO:equipment-item:armor:gambeson, CombatArmorSO:equipment-item:armor:leather, CombatArmorSO:equipment-item:armor:mail-coif, CombatArmorSO:equipment-item:armor:mail-shirt, CombatArmorSO:equipment-item:armor:iron-helmet, CombatArmorSO:equipment-item:armor:breastplate, CombatArmorSO:equipment-item:armor:brigandine, CombatArmorSO:equipment-item:armor:scale-coat, CombatArmorSO:equipment-item:armor:articulated-plate, CombatArmorSO:equipment-item:armor:jack-of-plates, CombatArmorSO:equipment-item:armor:padded-hood, CombatArmorSO:equipment-item:armor:hardened-leather-coat","연구 research:equipment:articulated-plate와 제작 재료·부품·작업을 충족해 equipment armor:closed-plate-helm / item equipment-item:armor:closed-plate-helm를 확보하고, 레이어 Plate와 슬롯 1에 장착한 뒤 해당 신체 방호가 적용되는 조우에 투입한다.","최대 내구 120; 질량 3.8; 손 점유 0; 레이어 Plate가 수리·운반·방패·무기와의 운영 압력이 된다.","위협의 피해 유형·표적 신체·환경·기동 요구가 바뀌면 장착을 해제해 회수하고, 실제 비교 후보 방어구·방패와 레이어·손 점유를 다시 편성한다. 파손·수리·저장 복제는 구현 전 자동 감사로 고정한다.","전수 설계; effects·피해 판정·레이어 충돌·수리·저장·수치 검증 OPEN"
"equipment-item:armor:cloth-hood","천 후드","방어 부위와 피해 저항을 장비 선택에 연결한다. 작성 목적은 '천 후드 전투 장비'이다. 게임 규칙은 tier 0로 구성된다.","종류 Melee Weapon; 계보 1; 시대 0; tier 0; 레이어 Clothing; 신체 방호 [{""bluntDefense"":1,""bodyPart"":0,""pierceDefense"":1,""slashDefense"":2}]; 충돌 태그 headwear; 손 0; 연구 ; 제작 재료 []; 부품 []; 작업 52; 질량 0.4; effects []","Clothing 레이어와 신체 방호 [{""bluntDefense"":1,""bodyPart"":0,""pierceDefense"":1,""slashDefense"":2}]에 맞춘 방호를 선택한다. 그 재료·제작 노동·운반 질량·손 점유를 다른 방어구·방패·원정 보급보다 우선한다.","비교 후보(대체 가능성 미검증): CombatArmorSO:equipment-item:armor:leather-cap","연구 와 제작 재료·부품·작업을 충족해 equipment armor:cloth-hood / item equipment-item:armor:cloth-hood를 확보하고, 레이어 Clothing와 슬롯 0에 장착한 뒤 해당 신체 방호가 적용되는 조우에 투입한다.","최대 내구 120; 질량 0.4; 손 점유 0; 레이어 Clothing가 수리·운반·방패·무기와의 운영 압력이 된다.","위협의 피해 유형·표적 신체·환경·기동 요구가 바뀌면 장착을 해제해 회수하고, 실제 비교 후보 방어구·방패와 레이어·손 점유를 다시 편성한다. 파손·수리·저장 복제는 구현 전 자동 감사로 고정한다.","전수 설계; effects·피해 판정·레이어 충돌·수리·저장·수치 검증 OPEN"
"equipment-item:armor:gambeson","누비옷","방어 부위와 피해 저항을 장비 선택에 연결한다. 작성 목적은 '누비옷 전투 장비'이다. 게임 규칙은 tier 1로 구성된다.","종류 Melee Weapon; 계보 1; 시대 1; tier 1; 레이어 Clothing; 신체 방호 [{""bluntDefense"":8,""bodyPart"":1,""pierceDefense"":5,""slashDefense"":7},{""bluntDefense"":5,""bodyPart"":2,""pierceDefense"":3,""slashDefense"":5},{""bluntDefense"":5,""bodyPart"":3,""pierceDefense"":3,""slashDefense"":5}]; 충돌 태그 torso-clothing; 손 0; 연구 research:textile:tailoring; 제작 재료 []; 부품 [{""amount"":1,""itemId"":""component:growth-frame""},{""amount"":1,""itemId"":""textile:quilted-liner""}]; 작업 108; 질량 3.5; effects []","Clothing 레이어와 신체 방호 [{""bluntDefense"":8,""bodyPart"":1,""pierceDefense"":5,""slashDefense"":7},{""bluntDefense"":5,""bodyPart"":2,""pierceDefense"":3,""slashDefense"":5},{""bluntDefense"":5,""bodyPart"":3,""pierceDefense"":3,""slashDefense"":5}]에 맞춘 방호를 선택한다. 그 재료·제작 노동·운반 질량·손 점유를 다른 방어구·방패·원정 보급보다 우선한다.","비교 후보(대체 가능성 미검증): CombatArmorSO:equipment-item:armor:leather, CombatArmorSO:equipment-item:armor:mail-coif, CombatArmorSO:equipment-item:armor:mail-shirt, CombatArmorSO:equipment-item:armor:iron-helmet, CombatArmorSO:equipment-item:armor:breastplate, CombatArmorSO:equipment-item:armor:brigandine, CombatArmorSO:equipment-item:armor:scale-coat, CombatArmorSO:equipment-item:armor:closed-plate-helm, CombatArmorSO:equipment-item:armor:articulated-plate, CombatArmorSO:equipment-item:armor:jack-of-plates, CombatArmorSO:equipment-item:armor:padded-hood, CombatArmorSO:equipment-item:armor:hardened-leather-coat","연구 research:textile:tailoring와 제작 재료·부품·작업을 충족해 equipment armor:gambeson / item equipment-item:armor:gambeson를 확보하고, 레이어 Clothing와 슬롯 3에 장착한 뒤 해당 신체 방호가 적용되는 조우에 투입한다.","최대 내구 120; 질량 3.5; 손 점유 0; 레이어 Clothing가 수리·운반·방패·무기와의 운영 압력이 된다.","위협의 피해 유형·표적 신체·환경·기동 요구가 바뀌면 장착을 해제해 회수하고, 실제 비교 후보 방어구·방패와 레이어·손 점유를 다시 편성한다. 파손·수리·저장 복제는 구현 전 자동 감사로 고정한다.","전수 설계; effects·피해 판정·레이어 충돌·수리·저장·수치 검증 OPEN"
"equipment-item:armor:hardened-leather-coat","경화 가죽 외투","방어 부위와 피해 저항을 장비 선택에 연결한다. 작성 목적은 '경화 가죽 외투 전투 장비'이다. 게임 규칙은 tier 1로 구성된다.","종류 Melee Weapon; 계보 1; 시대 1; tier 1; 레이어 Outer; 신체 방호 [{""bluntDefense"":8,""bodyPart"":1,""pierceDefense"":11,""slashDefense"":14}]; 충돌 태그 torso-hardened-leather; 손 0; 연구 research:textile:tanning; 제작 재료 []; 부품 [{""amount"":2,""itemId"":""material:hardened-leather""}]; 작업 148; 질량 4.8; effects []","Outer 레이어와 신체 방호 [{""bluntDefense"":8,""bodyPart"":1,""pierceDefense"":11,""slashDefense"":14}]에 맞춘 방호를 선택한다. 그 재료·제작 노동·운반 질량·손 점유를 다른 방어구·방패·원정 보급보다 우선한다.","비교 후보(대체 가능성 미검증): CombatArmorSO:equipment-item:armor:gambeson, CombatArmorSO:equipment-item:armor:leather, CombatArmorSO:equipment-item:armor:mail-coif, CombatArmorSO:equipment-item:armor:mail-shirt, CombatArmorSO:equipment-item:armor:iron-helmet, CombatArmorSO:equipment-item:armor:breastplate, CombatArmorSO:equipment-item:armor:brigandine, CombatArmorSO:equipment-item:armor:scale-coat, CombatArmorSO:equipment-item:armor:closed-plate-helm, CombatArmorSO:equipment-item:armor:articulated-plate, CombatArmorSO:equipment-item:armor:jack-of-plates, CombatArmorSO:equipment-item:armor:padded-hood","연구 research:textile:tanning와 제작 재료·부품·작업을 충족해 equipment armor:hardened-leather-coat / item equipment-item:armor:hardened-leather-coat를 확보하고, 레이어 Outer와 슬롯 1에 장착한 뒤 해당 신체 방호가 적용되는 조우에 투입한다.","최대 내구 120; 질량 4.8; 손 점유 0; 레이어 Outer가 수리·운반·방패·무기와의 운영 압력이 된다.","위협의 피해 유형·표적 신체·환경·기동 요구가 바뀌면 장착을 해제해 회수하고, 실제 비교 후보 방어구·방패와 레이어·손 점유를 다시 편성한다. 파손·수리·저장 복제는 구현 전 자동 감사로 고정한다.","전수 설계; effects·피해 판정·레이어 충돌·수리·저장·수치 검증 OPEN"
"equipment-item:armor:iron-helmet","철 투구","방어 부위와 피해 저항을 장비 선택에 연결한다. 작성 목적은 '철 투구 전투 장비'이다. 게임 규칙은 tier 1로 구성된다.","종류 Melee Weapon; 계보 1; 시대 1; tier 1; 레이어 Plate; 신체 방호 [{""bluntDefense"":13,""bodyPart"":0,""pierceDefense"":18,""slashDefense"":20}]; 충돌 태그 headwear-plate; 손 0; 연구 research:equipment:articulated-plate; 제작 재료 []; 부품 []; 작업 84; 질량 2.8; effects []","Plate 레이어와 신체 방호 [{""bluntDefense"":13,""bodyPart"":0,""pierceDefense"":18,""slashDefense"":20}]에 맞춘 방호를 선택한다. 그 재료·제작 노동·운반 질량·손 점유를 다른 방어구·방패·원정 보급보다 우선한다.","비교 후보(대체 가능성 미검증): CombatArmorSO:equipment-item:armor:gambeson, CombatArmorSO:equipment-item:armor:leather, CombatArmorSO:equipment-item:armor:mail-coif, CombatArmorSO:equipment-item:armor:mail-shirt, CombatArmorSO:equipment-item:armor:breastplate, CombatArmorSO:equipment-item:armor:brigandine, CombatArmorSO:equipment-item:armor:scale-coat, CombatArmorSO:equipment-item:armor:closed-plate-helm, CombatArmorSO:equipment-item:armor:articulated-plate, CombatArmorSO:equipment-item:armor:jack-of-plates, CombatArmorSO:equipment-item:armor:padded-hood, CombatArmorSO:equipment-item:armor:hardened-leather-coat","연구 research:equipment:articulated-plate와 제작 재료·부품·작업을 충족해 equipment armor:iron-helmet / item equipment-item:armor:iron-helmet를 확보하고, 레이어 Plate와 슬롯 1에 장착한 뒤 해당 신체 방호가 적용되는 조우에 투입한다.","최대 내구 120; 질량 2.8; 손 점유 0; 레이어 Plate가 수리·운반·방패·무기와의 운영 압력이 된다.","위협의 피해 유형·표적 신체·환경·기동 요구가 바뀌면 장착을 해제해 회수하고, 실제 비교 후보 방어구·방패와 레이어·손 점유를 다시 편성한다. 파손·수리·저장 복제는 구현 전 자동 감사로 고정한다.","전수 설계; effects·피해 판정·레이어 충돌·수리·저장·수치 검증 OPEN"
