apparel_id,physical_item_id,physical_unit_weight_g,physical_unit_price,base_weight_kg,body_form,layer,fit_mode,required_points,occupied_points,sealed_optional_points,supported_modifications,use_tags,allowed_material_tags,tailoring_coefficient,required_research_id,source_path
apparel:apron,apparel:apron,420,19,0.42,0,2,1,8,24,0,0,12,3,0.9,research:textile:tailoring,Assets/Resources/SO/Apparel/Definitions/apparel_apron.asset
apparel:belt,apparel:belt,200,19,0.2,2,4,2,16,16,0,0,1024,3,0.62,research:textile:tailoring,Assets/Resources/SO/Apparel/Definitions/apparel_belt.asset
apparel:blouse,apparel:blouse,380,19,0.38,0,1,0,8,104,98304,2,4,1,0.88,research:textile:tailoring,Assets/Resources/SO/Apparel/Definitions/apparel_blouse.asset
apparel:boots,apparel:boots,650,19,0.65,2,4,0,6144,6144,0,0,3072,3,0.9,research:textile:tailoring,Assets/Resources/SO/Apparel/Definitions/apparel_boots.asset
apparel:ceremonial-dress,apparel:ceremonial-dress,1050,25,1.05,0,2,0,8,9848,245760,7,768,1,1.12,research:textile:tailoring,Assets/Resources/SO/Apparel/Definitions/apparel_ceremonial_dress.asset
apparel:chest-wrap,apparel:chest-wrap,150,19,0.15,0,0,1,8,8,0,0,1,1,0.65,research:textile:fiber,Assets/Resources/SO/Apparel/Definitions/apparel_chest_wrap.asset
apparel:cloak,apparel:cloak,720,19,0.72,0,2,1,8,8200,98304,2,20,3,1,research:textile:tailoring,Assets/Resources/SO/Apparel/Definitions/apparel_cloak.asset
apparel:cold-work-suit,equipment:cold-work-suit,900,25,1.4,0,2,1,8,9848,245760,7,2072,3,1.18,research:environment:cold-work,Assets/Resources/SO/Apparel/Definitions/apparel_cold_work_suit.asset
apparel:contract-sash,apparel:contract-sash,150,19,0.15,0,4,2,8,8,0,0,1792,1,0.65,research:textile:tailoring,Assets/Resources/SO/Apparel/Definitions/apparel_contract_sash.asset
apparel:daily-robe,apparel:daily-robe,850,19,0.85,0,2,1,8,9848,245760,7,4,1,1,research:textile:tailoring,Assets/Resources/SO/Apparel/Definitions/apparel_daily_robe.asset
apparel:envoy-coat,apparel:envoy-coat,900,25,0.9,0,2,0,8,8296,98304,2,256,1,1.08,research:textile:tailoring,Assets/Resources/SO/Apparel/Definitions/apparel_envoy_coat.asset
apparel:farmer-workwear,apparel:farmer-workwear,1000,19,1,0,2,1,8,9848,245760,7,72,1,1,research:textile:tailoring,Assets/Resources/SO/Apparel/Definitions/apparel_farmer_workwear.asset
apparel:festival-vest,apparel:festival-vest,480,19,0.48,0,2,1,8,8,98304,2,768,1,1,research:textile:tailoring,Assets/Resources/SO/Apparel/Definitions/apparel_festival_vest.asset
apparel:footwraps,apparel:footwraps,100,19,0.1,0,0,1,6144,6144,0,0,1,1,0.62,research:textile:fiber,Assets/Resources/SO/Apparel/Definitions/apparel_footwraps.asset
apparel:formal-coat,apparel:formal-coat,820,25,0.82,0,2,0,8,8296,98304,2,256,1,1.08,research:textile:tailoring,Assets/Resources/SO/Apparel/Definitions/apparel_formal_coat.asset
apparel:gloves,apparel:gloves,250,19,0.25,2,4,0,384,384,0,0,3072,3,0.82,research:textile:tailoring,Assets/Resources/SO/Apparel/Definitions/apparel_gloves.asset
apparel:golem-functional-lining,apparel:golem-functional-lining,700,19,0.7,1,1,0,8,9848,0,0,2048,3,1,research:textile:layered,Assets/Resources/SO/Apparel/Definitions/apparel_golem_functional_lining.asset
apparel:hat,apparel:hat,200,19,0.2,2,4,1,1,1,131072,4,1024,1,0.78,research:textile:tailoring,Assets/Resources/SO/Apparel/Definitions/apparel_hat.asset
apparel:hauling-harness,tool:hauling-harness,1150,19,0.9,0,4,1,8,8200,0,0,1032,3,0.9,research:commerce:logistics,Assets/Resources/SO/Apparel/Definitions/apparel_hauling_harness.asset
apparel:heat-work-suit,apparel:heat-work-suit,1350,25,1.35,0,2,1,8,9848,245760,7,2088,3,1.15,research:textile:layered,Assets/Resources/SO/Apparel/Definitions/apparel_heat_work_suit.asset
apparel:hooded-robe,apparel:hooded-robe,1000,25,1,0,2,1,8,9849,245760,7,20,1,1.05,research:textile:tailoring,Assets/Resources/SO/Apparel/Definitions/apparel_hooded_robe.asset
apparel:horn-ring,apparel:horn-ring,100,13,0.1,0,4,2,131072,131072,0,0,1536,3,0.5,research:textile:tailoring,Assets/Resources/SO/Apparel/Definitions/apparel_horn_ring.asset
apparel:keeper-coat,apparel:keeper-coat,1150,25,1.15,0,2,1,8,9848,245760,7,2056,3,1.05,research:textile:tailoring,Assets/Resources/SO/Apparel/Definitions/apparel_keeper_coat.asset
apparel:loincloth-underwear,apparel:loincloth-underwear,160,19,0.16,0,0,1,16,16,0,0,1,1,0.65,research:textile:fiber,Assets/Resources/SO/Apparel/Definitions/apparel_loincloth_underwear.asset
apparel:long-underpants,apparel:long-underpants,350,19,0.35,0,1,0,1552,1552,16384,1,17,1,0.9,research:textile:fiber,Assets/Resources/SO/Apparel/Definitions/apparel_long_underpants.asset
apparel:lower-underwear,apparel:lower-underwear,180,19,0.18,0,0,0,16,16,16384,1,1,1,0.75,research:textile:fiber,Assets/Resources/SO/Apparel/Definitions/apparel_lower_underwear.asset
apparel:miner-workwear,apparel:miner-workwear,1250,25,1.25,0,2,0,8,9848,245760,7,2056,3,1.08,research:textile:layered,Assets/Resources/SO/Apparel/Definitions/apparel_miner_workwear.asset
apparel:mourning-clothes,apparel:mourning-clothes,850,19,0.85,0,2,1,8,9848,245760,7,768,1,1,research:textile:tailoring,Assets/Resources/SO/Apparel/Definitions/apparel_mourning_clothes.asset
apparel:raincoat,apparel:raincoat,1100,25,1.1,0,2,1,8,9848,245760,7,2116,3,1.08,research:textile:layered,Assets/Resources/SO/Apparel/Definitions/apparel_raincoat.asset
apparel:ritual-robe,apparel:ritual-robe,950,25,0.95,0,2,1,8,9848,245760,7,768,1,1.1,research:textile:tailoring,Assets/Resources/SO/Apparel/Definitions/apparel_ritual_robe.asset
apparel:rune-cold-suit,equipment:rune-cold-suit,800,25,1.55,0,2,1,8,9848,245760,7,2072,3,1.3,research:environment:rune-insulation,Assets/Resources/SO/Apparel/Definitions/apparel_rune_cold_suit.asset
