"stable_id","display_name","source_declared_function","combat_and_production_evidence","portfolio_commitment","same_era_alternative_candidates","activation_and_loadout_receipt","ammunition_condition_and_logistics_pressure","counter_or_reconfiguration","status"
"equipment-item:weapon:arquebus","아쿼버스","무기의 공격 방식·사거리·피해 특성을 전투 행동에 연결한다. 작성 목적은 '아쿼버스 전투 장비'이다. 게임 규칙은 tier 2; module ProjectileVerb로 구성된다.","종류 Melee Weapon; 시대 2; tier 2; 손 2; 사거리 24; 범위 프로필 [{""accuracyMultiplier"":0.82,""band"":1,""damageMultiplier"":1.15},{""accuracyMultiplier"":1,""band"":2,""damageMultiplier"":1.2},{""accuracyMultiplier"":0.7,""band"":3,""damageMultiplier"":1}]; 모드 원본 모드 플래그 없음; 탄약 [""ammo:paper-cartridge"",""ammo:smoke-cartridge"",""ammo:armor-piercing-cartridge"",""ammo:scatter-cartridge"",""ammo:rune-cartridge"",""ammo:signal-flare""]; 연구 research:equipment:ballistics; 제작 재료 []; 부품 [{""amount"":1,""itemId"":""component:machine-parts""},{""amount"":1,""itemId"":""component:precision-parts""},{""amount"":1,""itemId"":""component:engineering-drawing""}]; 작업 176; 질량 5.6; effects []","Melee Weapon의 사거리·손 점유·사용 모드·탄약 계통을 이 무기에 배정한다. 원본 모드 플래그 없음 운용을 위해 같은 재료·제작 노동·운반 적재·숙련·보급을 다른 무기 계열보다 우선한다.","비교 후보(대체 가능성 미검증): CombatWeaponSO:equipment-item:weapon:handgonne, CombatWeaponSO:equipment-item:weapon:matchlock-pistol, CombatWeaponSO:equipment-item:weapon:matchlock-long-gun, CombatWeaponSO:equipment-item:weapon:sniper-arquebus","연구 research:equipment:ballistics와 제작 재료·부품·작업을 충족해 equipment weapon:arquebus / item equipment-item:weapon:arquebus를 확보하고, 손 2와 슬롯 1에 장착한 뒤 원본 모드 플래그 없음 중 필요한 전투 명령으로 실제 사용한다.","탄약 [""ammo:paper-cartridge"",""ammo:smoke-cartridge"",""ammo:armor-piercing-cartridge"",""ammo:scatter-cartridge"",""ammo:rune-cartridge"",""ammo:signal-flare""]; 탄창 1; 재장전 8.5; 내구 100; 오발 상한 0.2; 연기 10이 원정 적재·보급·수리·환기와 연결된다.","대상·지형·보급 환경이 바뀌면 장착을 해제해 병기고로 회수하고, 실제 비교 후보 무기와 탄약·손 점유를 재조합한다. 탄약 소모·수리·오발·연기·저장 중복은 구현 전 자동 감사로 고정한다.","전수 설계; effects·명중·피해·탄약 소모·수리·저장·수치 검증 OPEN"
"equipment-item:weapon:blacksteel-poleaxe","흑강 폴액스","무기의 공격 방식·사거리·피해 특성을 전투 행동에 연결한다. 작성 목적은 '흑강 폴액스 전투 장비'이다. 게임 규칙은 tier 4; module MeleeStrikeVerb로 구성된다.","종류 Melee Weapon; 시대 4; tier 4; 손 2; 사거리 2; 범위 프로필 [{""accuracyMultiplier"":0.94,""band"":0,""damageMultiplier"":1.38}]; 모드 원본 모드 플래그 없음; 탄약 탄약 없음; 연구 research:industry:dark-foundry; 제작 재료 []; 부품 [{""amount"":1,""itemId"":""component:growth-frame""},{""amount"":2,""itemId"":""material:blacksteel-ingot""},{""amount"":1,""itemId"":""material:spring-steel""}]; 작업 312; 질량 6.8; effects []","Melee Weapon의 사거리·손 점유·사용 모드·탄약 계통을 이 무기에 배정한다. 원본 모드 플래그 없음 운용을 위해 같은 재료·제작 노동·운반 적재·숙련·보급을 다른 무기 계열보다 우선한다.","비교 후보(대체 가능성 미검증): CombatWeaponSO:equipment-item:weapon:rune-blade, CombatWeaponSO:equipment-item:weapon:mana-lance, CombatWeaponSO:equipment-item:weapon:powered-striking-gauntlet, CombatWeaponSO:equipment-item:weapon:rune-bow","연구 research:industry:dark-foundry와 제작 재료·부품·작업을 충족해 equipment weapon:blacksteel-poleaxe / item equipment-item:weapon:blacksteel-poleaxe를 확보하고, 손 2와 슬롯 4에 장착한 뒤 원본 모드 플래그 없음 중 필요한 전투 명령으로 실제 사용한다.","탄약 탄약 없음; 탄창 0; 재장전 0; 내구 100; 오발 상한 0; 연기 0이 원정 적재·보급·수리·환기와 연결된다.","대상·지형·보급 환경이 바뀌면 장착을 해제해 병기고로 회수하고, 실제 비교 후보 무기와 탄약·손 점유를 재조합한다. 탄약 소모·수리·오발·연기·저장 중복은 구현 전 자동 감사로 고정한다.","전수 설계; effects·명중·피해·탄약 소모·수리·저장·수치 검증 OPEN"
"equipment-item:weapon:composite-bow","복합궁","무기의 공격 방식·사거리·피해 특성을 전투 행동에 연결한다. 작성 목적은 '복합궁 전투 장비'이다. 게임 규칙은 tier 1; module ProjectileVerb로 구성된다.","종류 Melee Weapon; 시대 1; tier 1; 손 2; 사거리 20; 범위 프로필 [{""accuracyMultiplier"":1,""band"":1,""damageMultiplier"":0.95},{""accuracyMultiplier"":1.08,""band"":2,""damageMultiplier"":1},{""accuracyMultiplier"":0.82,""band"":3,""damageMultiplier"":0.9}]; 모드 원본 모드 플래그 없음; 탄약 [""ammo:arrow"",""ammo:arrow-bone"",""ammo:arrow-iron"",""ammo:arrow-steel"",""ammo:arrow-rune"",""ammo:incendiary-arrow""]; 연구 research:equipment:bowyery; 제작 재료 []; 부품 [{""amount"":1,""itemId"":""material:bowstring""},{""amount"":1,""itemId"":""material:rope""},{""amount"":1,""itemId"":""material:laminated-lumber""}]; 작업 124; 질량 1.8; effects []","Melee Weapon의 사거리·손 점유·사용 모드·탄약 계통을 이 무기에 배정한다. 원본 모드 플래그 없음 운용을 위해 같은 재료·제작 노동·운반 적재·숙련·보급을 다른 무기 계열보다 우선한다.","비교 후보(대체 가능성 미검증): CombatWeaponSO:equipment-item:weapon:longsword, CombatWeaponSO:equipment-item:weapon:mace, CombatWeaponSO:equipment-item:weapon:shortbow, CombatWeaponSO:equipment-item:weapon:longbow, CombatWeaponSO:equipment-item:weapon:crossbow, CombatWeaponSO:equipment-item:weapon:throwing-axe, CombatWeaponSO:equipment-item:weapon:falchion, CombatWeaponSO:equipment-item:weapon:warhammer, CombatWeaponSO:equipment-item:weapon:halberd, CombatWeaponSO:equipment-item:weapon:greatsword, CombatWeaponSO:equipment-item:weapon:windlass-crossbow, CombatWeaponSO:equipment-item:weapon:repeating-crossbow 외 2개","연구 research:equipment:bowyery와 제작 재료·부품·작업을 충족해 equipment weapon:composite-bow / item equipment-item:weapon:composite-bow를 확보하고, 손 2와 슬롯 1에 장착한 뒤 원본 모드 플래그 없음 중 필요한 전투 명령으로 실제 사용한다.","탄약 [""ammo:arrow"",""ammo:arrow-bone"",""ammo:arrow-iron"",""ammo:arrow-steel"",""ammo:arrow-rune"",""ammo:incendiary-arrow""]; 탄창 1; 재장전 0.85; 내구 100; 오발 상한 0; 연기 0이 원정 적재·보급·수리·환기와 연결된다.","대상·지형·보급 환경이 바뀌면 장착을 해제해 병기고로 회수하고, 실제 비교 후보 무기와 탄약·손 점유를 재조합한다. 탄약 소모·수리·오발·연기·저장 중복은 구현 전 자동 감사로 고정한다.","전수 설계; effects·명중·피해·탄약 소모·수리·저장·수치 검증 OPEN"
"equipment-item:weapon:crossbow","석궁","무기의 공격 방식·사거리·피해 특성을 전투 행동에 연결한다. 작성 목적은 '석궁 전투 장비'이다. 게임 규칙은 tier 1; module ProjectileVerb로 구성된다.","종류 Melee Weapon; 시대 1; tier 1; 손 2; 사거리 18; 범위 프로필 [{""accuracyMultiplier"":0.25,""band"":0,""damageMultiplier"":0.65},{""accuracyMultiplier"":1,""band"":1,""damageMultiplier"":1.05},{""accuracyMultiplier"":1.05,""band"":2,""damageMultiplier"":1.05},{""accuracyMultiplier"":0.85,""band"":3,""damageMultiplier"":0.95}]; 모드 원본 모드 플래그 없음; 탄약 [""ammo:bolt"",""ammo:bolt-bone"",""ammo:bolt-iron"",""ammo:bolt-steel"",""ammo:bolt-rune"",""ammo:incendiary-bolt"",""ammo:blacksteel-bolt"",""ammo:mana-disruptor-bolt"",""ammo:tranquilizer-dart""]; 연구 research:equipment:mechanical-projectiles; 제작 재료 []; 부품 [{""amount"":1,""itemId"":""material:bowstring""},{""amount"":1,""itemId"":""component:machine-parts""},{""amount"":1,""itemId"":""material:laminated-lumber""}]; 작업 132; 질량 3.8; effects []","Melee Weapon의 사거리·손 점유·사용 모드·탄약 계통을 이 무기에 배정한다. 원본 모드 플래그 없음 운용을 위해 같은 재료·제작 노동·운반 적재·숙련·보급을 다른 무기 계열보다 우선한다.","비교 후보(대체 가능성 미검증): CombatWeaponSO:equipment-item:weapon:longsword, CombatWeaponSO:equipment-item:weapon:mace, CombatWeaponSO:equipment-item:weapon:shortbow, CombatWeaponSO:equipment-item:weapon:longbow, CombatWeaponSO:equipment-item:weapon:throwing-axe, CombatWeaponSO:equipment-item:weapon:falchion, CombatWeaponSO:equipment-item:weapon:warhammer, CombatWeaponSO:equipment-item:weapon:halberd, CombatWeaponSO:equipment-item:weapon:greatsword, CombatWeaponSO:equipment-item:weapon:composite-bow, CombatWeaponSO:equipment-item:weapon:windlass-crossbow, CombatWeaponSO:equipment-item:weapon:repeating-crossbow 외 2개","연구 research:equipment:mechanical-projectiles와 제작 재료·부품·작업을 충족해 equipment weapon:crossbow / item equipment-item:weapon:crossbow를 확보하고, 손 2와 슬롯 1에 장착한 뒤 원본 모드 플래그 없음 중 필요한 전투 명령으로 실제 사용한다.","탄약 [""ammo:bolt"",""ammo:bolt-bone"",""ammo:bolt-iron"",""ammo:bolt-steel"",""ammo:bolt-rune"",""ammo:incendiary-bolt"",""ammo:blacksteel-bolt"",""ammo:mana-disruptor-bolt"",""ammo:tranquilizer-dart""]; 탄창 1; 재장전 2.2; 내구 100; 오발 상한 0; 연기 0이 원정 적재·보급·수리·환기와 연결된다.","대상·지형·보급 환경이 바뀌면 장착을 해제해 병기고로 회수하고, 실제 비교 후보 무기와 탄약·손 점유를 재조합한다. 탄약 소모·수리·오발·연기·저장 중복은 구현 전 자동 감사로 고정한다.","전수 설계; effects·명중·피해·탄약 소모·수리·저장·수치 검증 OPEN"
"equipment-item:weapon:dagger","단검","무기의 공격 방식·사거리·피해 특성을 전투 행동에 연결한다. 작성 목적은 '단검 전투 장비'이다. 게임 규칙은 tier 0; module MeleeStrikeVerb로 구성된다.","종류 Melee Weapon; 시대 0; tier 0; 손 1; 사거리 1; 범위 프로필 [{""accuracyMultiplier"":1.1,""band"":0,""damageMultiplier"":0.9}]; 모드 원본 모드 플래그 없음; 탄약 탄약 없음; 연구 ; 제작 재료 []; 부품 []; 작업 28; 질량 0.7; effects []","Melee Weapon의 사거리·손 점유·사용 모드·탄약 계통을 이 무기에 배정한다. 원본 모드 플래그 없음 운용을 위해 같은 재료·제작 노동·운반 적재·숙련·보급을 다른 무기 계열보다 우선한다.","비교 후보(대체 가능성 미검증): CombatWeaponSO:equipment-item:weapon:spear, CombatWeaponSO:equipment-item:weapon:javelin","연구 와 제작 재료·부품·작업을 충족해 equipment weapon:dagger / item equipment-item:weapon:dagger를 확보하고, 손 1와 슬롯 0에 장착한 뒤 원본 모드 플래그 없음 중 필요한 전투 명령으로 실제 사용한다.","탄약 탄약 없음; 탄창 0; 재장전 0; 내구 100; 오발 상한 0; 연기 0이 원정 적재·보급·수리·환기와 연결된다.","대상·지형·보급 환경이 바뀌면 장착을 해제해 병기고로 회수하고, 실제 비교 후보 무기와 탄약·손 점유를 재조합한다. 탄약 소모·수리·오발·연기·저장 중복은 구현 전 자동 감사로 고정한다.","전수 설계; effects·명중·피해·탄약 소모·수리·저장·수치 검증 OPEN"
"equipment-item:weapon:estoc","에스터크","무기의 공격 방식·사거리·피해 특성을 전투 행동에 연결한다. 작성 목적은 '에스터크 전투 장비'이다. 게임 규칙은 tier 1; module MeleeStrikeVerb로 구성된다.","종류 Melee Weapon; 시대 1; tier 1; 손 1; 사거리 1; 범위 프로필 [{""accuracyMultiplier"":1.12,""band"":0,""damageMultiplier"":1.05}]; 모드 원본 모드 플래그 없음; 탄약 탄약 없음; 연구 research:metallurgy:steel; 제작 재료 []; 부품 []; 작업 64; 질량 2.2; effects []","Melee Weapon의 사거리·손 점유·사용 모드·탄약 계통을 이 무기에 배정한다. 원본 모드 플래그 없음 운용을 위해 같은 재료·제작 노동·운반 적재·숙련·보급을 다른 무기 계열보다 우선한다.","비교 후보(대체 가능성 미검증): CombatWeaponSO:equipment-item:weapon:longsword, CombatWeaponSO:equipment-item:weapon:mace, CombatWeaponSO:equipment-item:weapon:shortbow, CombatWeaponSO:equipment-item:weapon:longbow, CombatWeaponSO:equipment-item:weapon:crossbow, CombatWeaponSO:equipment-item:weapon:throwing-axe, CombatWeaponSO:equipment-item:weapon:falchion, CombatWeaponSO:equipment-item:weapon:warhammer, CombatWeaponSO:equipment-item:weapon:halberd, CombatWeaponSO:equipment-item:weapon:greatsword, CombatWeaponSO:equipment-item:weapon:composite-bow, CombatWeaponSO:equipment-item:weapon:windlass-crossbow 외 2개","연구 research:metallurgy:steel와 제작 재료·부품·작업을 충족해 equipment weapon:estoc / item equipment-item:weapon:estoc를 확보하고, 손 1와 슬롯 1에 장착한 뒤 원본 모드 플래그 없음 중 필요한 전투 명령으로 실제 사용한다.","탄약 탄약 없음; 탄창 0; 재장전 0; 내구 100; 오발 상한 0; 연기 0이 원정 적재·보급·수리·환기와 연결된다.","대상·지형·보급 환경이 바뀌면 장착을 해제해 병기고로 회수하고, 실제 비교 후보 무기와 탄약·손 점유를 재조합한다. 탄약 소모·수리·오발·연기·저장 중복은 구현 전 자동 감사로 고정한다.","전수 설계; effects·명중·피해·탄약 소모·수리·저장·수치 검증 OPEN"
"equipment-item:weapon:falchion","팔시온","무기의 공격 방식·사거리·피해 특성을 전투 행동에 연결한다. 작성 목적은 '팔시온 전투 장비'이다. 게임 규칙은 tier 1; module MeleeStrikeVerb로 구성된다.","종류 Melee Weapon; 시대 1; tier 1; 손 1; 사거리 1; 범위 프로필 [{""accuracyMultiplier"":1.05,""band"":0,""damageMultiplier"":1.05}]; 모드 원본 모드 플래그 없음; 탄약 탄약 없음; 연구 research:equipment:weapon-patterns; 제작 재료 []; 부품 []; 작업 64; 질량 1.7; effects []","Melee Weapon의 사거리·손 점유·사용 모드·탄약 계통을 이 무기에 배정한다. 원본 모드 플래그 없음 운용을 위해 같은 재료·제작 노동·운반 적재·숙련·보급을 다른 무기 계열보다 우선한다.","비교 후보(대체 가능성 미검증): CombatWeaponSO:equipment-item:weapon:longsword, CombatWeaponSO:equipment-item:weapon:mace, CombatWeaponSO:equipment-item:weapon:shortbow, CombatWeaponSO:equipment-item:weapon:longbow, CombatWeaponSO:equipment-item:weapon:crossbow, CombatWeaponSO:equipment-item:weapon:throwing-axe, CombatWeaponSO:equipment-item:weapon:warhammer, CombatWeaponSO:equipment-item:weapon:halberd, CombatWeaponSO:equipment-item:weapon:greatsword, CombatWeaponSO:equipment-item:weapon:composite-bow, CombatWeaponSO:equipment-item:weapon:windlass-crossbow, CombatWeaponSO:equipment-item:weapon:repeating-crossbow 외 2개","연구 research:equipment:weapon-patterns와 제작 재료·부품·작업을 충족해 equipment weapon:falchion / item equipment-item:weapon:falchion를 확보하고, 손 1와 슬롯 1에 장착한 뒤 원본 모드 플래그 없음 중 필요한 전투 명령으로 실제 사용한다.","탄약 탄약 없음; 탄창 0; 재장전 0; 내구 100; 오발 상한 0; 연기 0이 원정 적재·보급·수리·환기와 연결된다.","대상·지형·보급 환경이 바뀌면 장착을 해제해 병기고로 회수하고, 실제 비교 후보 무기와 탄약·손 점유를 재조합한다. 탄약 소모·수리·오발·연기·저장 중복은 구현 전 자동 감사로 고정한다.","전수 설계; effects·명중·피해·탄약 소모·수리·저장·수치 검증 OPEN"
"equipment-item:weapon:greatsword","대검","무기의 공격 방식·사거리·피해 특성을 전투 행동에 연결한다. 작성 목적은 '대검 전투 장비'이다. 게임 규칙은 tier 1; module MeleeStrikeVerb로 구성된다.","종류 Melee Weapon; 시대 1; tier 1; 손 2; 사거리 1; 범위 프로필 [{""accuracyMultiplier"":0.88,""band"":0,""damageMultiplier"":1.25}]; 모드 원본 모드 플래그 없음; 탄약 탄약 없음; 연구 research:metallurgy:steel; 제작 재료 []; 부품 [{""amount"":1,""itemId"":""component:growth-frame""}]; 작업 116; 질량 4.6; effects []","Melee Weapon의 사거리·손 점유·사용 모드·탄약 계통을 이 무기에 배정한다. 원본 모드 플래그 없음 운용을 위해 같은 재료·제작 노동·운반 적재·숙련·보급을 다른 무기 계열보다 우선한다.","비교 후보(대체 가능성 미검증): CombatWeaponSO:equipment-item:weapon:longsword, CombatWeaponSO:equipment-item:weapon:mace, CombatWeaponSO:equipment-item:weapon:shortbow, CombatWeaponSO:equipment-item:weapon:longbow, CombatWeaponSO:equipment-item:weapon:crossbow, CombatWeaponSO:equipment-item:weapon:throwing-axe, CombatWeaponSO:equipment-item:weapon:falchion, CombatWeaponSO:equipment-item:weapon:warhammer, CombatWeaponSO:equipment-item:weapon:halberd, CombatWeaponSO:equipment-item:weapon:composite-bow, CombatWeaponSO:equipment-item:weapon:windlass-crossbow, CombatWeaponSO:equipment-item:weapon:repeating-crossbow 외 2개","연구 research:metallurgy:steel와 제작 재료·부품·작업을 충족해 equipment weapon:greatsword / item equipment-item:weapon:greatsword를 확보하고, 손 2와 슬롯 3에 장착한 뒤 원본 모드 플래그 없음 중 필요한 전투 명령으로 실제 사용한다.","탄약 탄약 없음; 탄창 0; 재장전 0; 내구 100; 오발 상한 0; 연기 0이 원정 적재·보급·수리·환기와 연결된다.","대상·지형·보급 환경이 바뀌면 장착을 해제해 병기고로 회수하고, 실제 비교 후보 무기와 탄약·손 점유를 재조합한다. 탄약 소모·수리·오발·연기·저장 중복은 구현 전 자동 감사로 고정한다.","전수 설계; effects·명중·피해·탄약 소모·수리·저장·수치 검증 OPEN"
"equipment-item:weapon:halberd","할버드","무기의 공격 방식·사거리·피해 특성을 전투 행동에 연결한다. 작성 목적은 '할버드 전투 장비'이다. 게임 규칙은 tier 1; module MeleeStrikeVerb로 구성된다.","종류 Melee Weapon; 시대 1; tier 1; 손 2; 사거리 2; 범위 프로필 [{""accuracyMultiplier"":0.95,""band"":0,""damageMultiplier"":1.15}]; 모드 원본 모드 플래그 없음; 탄약 탄약 없음; 연구 research:equipment:weapon-patterns; 제작 재료 []; 부품 [{""amount"":1,""itemId"":""component:growth-frame""}]; 작업 116; 질량 4.2; effects []","Melee Weapon의 사거리·손 점유·사용 모드·탄약 계통을 이 무기에 배정한다. 원본 모드 플래그 없음 운용을 위해 같은 재료·제작 노동·운반 적재·숙련·보급을 다른 무기 계열보다 우선한다.","비교 후보(대체 가능성 미검증): CombatWeaponSO:equipment-item:weapon:longsword, CombatWeaponSO:equipment-item:weapon:mace, CombatWeaponSO:equipment-item:weapon:shortbow, CombatWeaponSO:equipment-item:weapon:longbow, CombatWeaponSO:equipment-item:weapon:crossbow, CombatWeaponSO:equipment-item:weapon:throwing-axe, CombatWeaponSO:equipment-item:weapon:falchion, CombatWeaponSO:equipment-item:weapon:warhammer, CombatWeaponSO:equipment-item:weapon:greatsword, CombatWeaponSO:equipment-item:weapon:composite-bow, CombatWeaponSO:equipment-item:weapon:windlass-crossbow, CombatWeaponSO:equipment-item:weapon:repeating-crossbow 외 2개","연구 research:equipment:weapon-patterns와 제작 재료·부품·작업을 충족해 equipment weapon:halberd / item equipment-item:weapon:halberd를 확보하고, 손 2와 슬롯 3에 장착한 뒤 원본 모드 플래그 없음 중 필요한 전투 명령으로 실제 사용한다.","탄약 탄약 없음; 탄창 0; 재장전 0; 내구 100; 오발 상한 0; 연기 0이 원정 적재·보급·수리·환기와 연결된다.","대상·지형·보급 환경이 바뀌면 장착을 해제해 병기고로 회수하고, 실제 비교 후보 무기와 탄약·손 점유를 재조합한다. 탄약 소모·수리·오발·연기·저장 중복은 구현 전 자동 감사로 고정한다.","전수 설계; effects·명중·피해·탄약 소모·수리·저장·수치 검증 OPEN"
"equipment-item:weapon:handgonne","수총","무기의 공격 방식·사거리·피해 특성을 전투 행동에 연결한다. 작성 목적은 '수총 전투 장비'이다. 게임 규칙은 tier 2; module ProjectileVerb로 구성된다.","종류 Melee Weapon; 시대 2; tier 2; 손 2; 사거리 16; 범위 프로필 [{""accuracyMultiplier"":0.72,""band"":1,""damageMultiplier"":1.25},{""accuracyMultiplier"":0.5,""band"":2,""damageMultiplier"":1}]; 모드 원본 모드 플래그 없음; 탄약 [""ammo:paper-cartridge"",""ammo:smoke-cartridge"",""ammo:armor-piercing-cartridge"",""ammo:scatter-cartridge"",""ammo:rune-cartridge"",""ammo:signal-flare""]; 연구 research:equipment:ignition-mechanisms; 제작 재료 []; 부품 [{""amount"":1,""itemId"":""component:machine-parts""},{""amount"":1,""itemId"":""component:precision-parts""},{""amount"":1,""itemId"":""component:engineering-drawing""}]; 작업 168; 질량 4.8; effects []","Melee Weapon의 사거리·손 점유·사용 모드·탄약 계통을 이 무기에 배정한다. 원본 모드 플래그 없음 운용을 위해 같은 재료·제작 노동·운반 적재·숙련·보급을 다른 무기 계열보다 우선한다.","비교 후보(대체 가능성 미검증): CombatWeaponSO:equipment-item:weapon:matchlock-pistol, CombatWeaponSO:equipment-item:weapon:arquebus, CombatWeaponSO:equipment-item:weapon:matchlock-long-gun, CombatWeaponSO:equipment-item:weapon:sniper-arquebus","연구 research:equipment:ignition-mechanisms와 제작 재료·부품·작업을 충족해 equipment weapon:handgonne / item equipment-item:weapon:handgonne를 확보하고, 손 2와 슬롯 1에 장착한 뒤 원본 모드 플래그 없음 중 필요한 전투 명령으로 실제 사용한다.","탄약 [""ammo:paper-cartridge"",""ammo:smoke-cartridge"",""ammo:armor-piercing-cartridge"",""ammo:scatter-cartridge"",""ammo:rune-cartridge"",""ammo:signal-flare""]; 탄창 1; 재장전 7.5; 내구 100; 오발 상한 0.2; 연기 10이 원정 적재·보급·수리·환기와 연결된다.","대상·지형·보급 환경이 바뀌면 장착을 해제해 병기고로 회수하고, 실제 비교 후보 무기와 탄약·손 점유를 재조합한다. 탄약 소모·수리·오발·연기·저장 중복은 구현 전 자동 감사로 고정한다.","전수 설계; effects·명중·피해·탄약 소모·수리·저장·수치 검증 OPEN"
