module_id,lineage_kind,minimum_era,power_per_grade,utility_per_grade,effects_serialized,source_path
module:weapon:balanced-core,0,1,0.035,0.025,[],Assets/Resources/SO/Combat/EquipmentModules/EM01.asset
module:weapon:penetrator,0,1,0.04,0.030000001,[],Assets/Resources/SO/Combat/EquipmentModules/EM02.asset
module:weapon:precision-sight,0,1,0.045,0.035,[],Assets/Resources/SO/Combat/EquipmentModules/EM03.asset
module:weapon:quick-action,0,1,0.05,0.025,[],Assets/Resources/SO/Combat/EquipmentModules/EM04.asset
module:weapon:suppression-coil,0,1,0.035,0.030000001,[],Assets/Resources/SO/Combat/EquipmentModules/EM05.asset
module:weapon:execution-edge,0,1,0.04,0.035,[],Assets/Resources/SO/Combat/EquipmentModules/EM06.asset
module:weapon:endurance-binding,0,1,0.045,0.025,[],Assets/Resources/SO/Combat/EquipmentModules/EM07.asset
module:weapon:mana-conduit,0,1,0.05,0.030000001,[],Assets/Resources/SO/Combat/EquipmentModules/EM08.asset
module:armor:impact-liner,1,2,0.035,0.035,[],Assets/Resources/SO/Combat/EquipmentModules/EM09.asset
module:armor:plate-web,1,2,0.04,0.025,[],Assets/Resources/SO/Combat/EquipmentModules/EM10.asset
module:armor:smoke-filter,1,2,0.045,0.030000001,[],Assets/Resources/SO/Combat/EquipmentModules/EM11.asset
module:armor:thermal-layer,1,2,0.05,0.035,[],Assets/Resources/SO/Combat/EquipmentModules/EM12.asset
module:armor:mobility-joint,1,2,0.035,0.025,[],Assets/Resources/SO/Combat/EquipmentModules/EM13.asset
module:armor:self-seal,1,2,0.04,0.030000001,[],Assets/Resources/SO/Combat/EquipmentModules/EM14.asset
module:armor:rune-ward,1,2,0.045,0.035,[],Assets/Resources/SO/Combat/EquipmentModules/EM15.asset
module:armor:blacksteel-rib,1,2,0.05,0.025,[],Assets/Resources/SO/Combat/EquipmentModules/EM16.asset
module:shield:reinforced-rim,2,3,0.035,0.030000001,[],Assets/Resources/SO/Combat/EquipmentModules/EM17.asset
module:shield:shock-grip,2,3,0.04,0.035,[],Assets/Resources/SO/Combat/EquipmentModules/EM18.asset
module:shield:ward-emitter,2,3,0.045,0.025,[],Assets/Resources/SO/Combat/EquipmentModules/EM19.asset
module:shield:anchor-core,2,3,0.05,0.030000001,[],Assets/Resources/SO/Combat/EquipmentModules/EM20.asset
