"stable_id","display_name","source_declared_function","defense_and_production_evidence","portfolio_commitment","same_era_alternative_candidates","activation_and_formation_receipt","condition_hand_and_logistics_pressure","counter_or_reconfiguration","status"
"equipment-item:shield:blacksteel","흑강 방패","방패의 방어 범위와 운용 부담을 전투 선택에 연결한다. 작성 목적은 '흑강 방패 전투 장비'이다. 게임 규칙은 tier 4로 구성된다.","종류 Melee Weapon; 계보 2; 시대 4; tier 4; 전방 차단 0.56; 베기 42; 찌르기 40; 둔기 25; 손 1; 연구 research:industry:dark-foundry; 제작 재료 []; 부품 [{""amount"":2,""itemId"":""material:blacksteel-ingot""}]; 작업 312; 질량 11; effects []","전방 차단과 베기·찌르기·둔기 방호를 이 방패에 배정한다. 손 1와 질량 11를 방패 전열에 쓰는 대신, 양손 무기·기동·다른 방어구·원정 적재를 늦춘다.","비교 후보(대체 가능성 미검증): CombatShieldSO:equipment-item:shield:rune, CombatShieldSO:equipment-item:shield:powered, CombatShieldSO:equipment-item:shield:mana-buckler","연구 research:industry:dark-foundry와 제작 재료·부품·작업을 충족해 equipment shield:blacksteel / item equipment-item:shield:blacksteel를 확보하고, 손 1와 슬롯 1에 장착한 뒤 전방 차단이 필요한 전열·호위·길목 방어에 실제 배치한다.","최대 내구 160; 질량 11; 손 점유 1; 전방 차단 0.56가 수리·운반·무기 조합·전열 배치의 압력이 된다.","적의 피해 유형·거리·기동 요구·전열 역할이 바뀌면 장착을 해제해 병기고로 회수하고, 실제 비교 후보 방패·무기·방어구의 손 점유를 다시 편성한다. 차단 판정·파손·수리·저장 복제는 구현 전 자동 감사로 고정한다.","전수 설계; effects·차단 판정·피해·손 충돌·수리·저장·수치 검증 OPEN"
"equipment-item:shield:buckler","버클러","방패의 방어 범위와 운용 부담을 전투 선택에 연결한다. 작성 목적은 '버클러 전투 장비'이다. 게임 규칙은 tier 1로 구성된다.","종류 Melee Weapon; 계보 2; 시대 1; tier 1; 전방 차단 0.32; 베기 12; 찌르기 10; 둔기 9; 손 1; 연구 research:equipment:weapon-patterns; 제작 재료 []; 부품 [{""amount"":1,""itemId"":""component:growth-frame""}]; 작업 100; 질량 1.8; effects []","전방 차단과 베기·찌르기·둔기 방호를 이 방패에 배정한다. 손 1와 질량 1.8를 방패 전열에 쓰는 대신, 양손 무기·기동·다른 방어구·원정 적재를 늦춘다.","비교 후보(대체 가능성 미검증): CombatShieldSO:equipment-item:shield:iron, CombatShieldSO:equipment-item:shield:tower, CombatShieldSO:equipment-item:shield:pavise","연구 research:equipment:weapon-patterns와 제작 재료·부품·작업을 충족해 equipment shield:buckler / item equipment-item:shield:buckler를 확보하고, 손 1와 슬롯 3에 장착한 뒤 전방 차단이 필요한 전열·호위·길목 방어에 실제 배치한다.","최대 내구 160; 질량 1.8; 손 점유 1; 전방 차단 0.32가 수리·운반·무기 조합·전열 배치의 압력이 된다.","적의 피해 유형·거리·기동 요구·전열 역할이 바뀌면 장착을 해제해 병기고로 회수하고, 실제 비교 후보 방패·무기·방어구의 손 점유를 다시 편성한다. 차단 판정·파손·수리·저장 복제는 구현 전 자동 감사로 고정한다.","전수 설계; effects·차단 판정·피해·손 충돌·수리·저장·수치 검증 OPEN"
"equipment-item:shield:iron","철 방패","방패의 방어 범위와 운용 부담을 전투 선택에 연결한다. 작성 목적은 '철 방패 전투 장비'이다. 게임 규칙은 tier 1로 구성된다.","종류 Melee Weapon; 계보 2; 시대 1; tier 1; 전방 차단 0.38; 베기 18; 찌르기 15; 둔기 13; 손 1; 연구 research:metallurgy:iron; 제작 재료 []; 부품 [{""amount"":1,""itemId"":""component:growth-frame""}]; 작업 176; 질량 6; effects []","전방 차단과 베기·찌르기·둔기 방호를 이 방패에 배정한다. 손 1와 질량 6를 방패 전열에 쓰는 대신, 양손 무기·기동·다른 방어구·원정 적재를 늦춘다.","비교 후보(대체 가능성 미검증): CombatShieldSO:equipment-item:shield:buckler, CombatShieldSO:equipment-item:shield:tower, CombatShieldSO:equipment-item:shield:pavise","연구 research:metallurgy:iron와 제작 재료·부품·작업을 충족해 equipment shield:iron / item equipment-item:shield:iron를 확보하고, 손 1와 슬롯 3에 장착한 뒤 전방 차단이 필요한 전열·호위·길목 방어에 실제 배치한다.","최대 내구 160; 질량 6; 손 점유 1; 전방 차단 0.38가 수리·운반·무기 조합·전열 배치의 압력이 된다.","적의 피해 유형·거리·기동 요구·전열 역할이 바뀌면 장착을 해제해 병기고로 회수하고, 실제 비교 후보 방패·무기·방어구의 손 점유를 다시 편성한다. 차단 판정·파손·수리·저장 복제는 구현 전 자동 감사로 고정한다.","전수 설계; effects·차단 판정·피해·손 충돌·수리·저장·수치 검증 OPEN"
"equipment-item:shield:mana-buckler","마나 버클러","방패의 방어 범위와 운용 부담을 전투 선택에 연결한다. 작성 목적은 '마나 버클러 전투 장비'이다. 게임 규칙은 tier 4로 구성된다.","종류 Melee Weapon; 계보 2; 시대 4; tier 4; 전방 차단 0.34; 베기 14; 찌르기 24; 둔기 18; 손 1; 연구 research:equipment:rune-module-tuning; 제작 재료 []; 부품 [{""amount"":1,""itemId"":""material:mana-alloy""},{""amount"":1,""itemId"":""component:rune-conductor""}]; 작업 256; 질량 2.2; effects []","전방 차단과 베기·찌르기·둔기 방호를 이 방패에 배정한다. 손 1와 질량 2.2를 방패 전열에 쓰는 대신, 양손 무기·기동·다른 방어구·원정 적재를 늦춘다.","비교 후보(대체 가능성 미검증): CombatShieldSO:equipment-item:shield:rune, CombatShieldSO:equipment-item:shield:powered, CombatShieldSO:equipment-item:shield:blacksteel","연구 research:equipment:rune-module-tuning와 제작 재료·부품·작업을 충족해 equipment shield:mana-buckler / item equipment-item:shield:mana-buckler를 확보하고, 손 1와 슬롯 1에 장착한 뒤 전방 차단이 필요한 전열·호위·길목 방어에 실제 배치한다.","최대 내구 160; 질량 2.2; 손 점유 1; 전방 차단 0.34가 수리·운반·무기 조합·전열 배치의 압력이 된다.","적의 피해 유형·거리·기동 요구·전열 역할이 바뀌면 장착을 해제해 병기고로 회수하고, 실제 비교 후보 방패·무기·방어구의 손 점유를 다시 편성한다. 차단 판정·파손·수리·저장 복제는 구현 전 자동 감사로 고정한다.","전수 설계; effects·차단 판정·피해·손 충돌·수리·저장·수치 검증 OPEN"
"equipment-item:shield:pavise","파비스","방패의 방어 범위와 운용 부담을 전투 선택에 연결한다. 작성 목적은 '파비스 전투 장비'이다. 게임 규칙은 tier 1로 구성된다.","종류 Melee Weapon; 계보 2; 시대 1; tier 1; 전방 차단 0.68; 베기 34; 찌르기 31; 둔기 26; 손 1; 연구 research:defense:siege-fortification; 제작 재료 []; 부품 [{""amount"":2,""itemId"":""material:laminated-lumber""},{""amount"":1,""itemId"":""material:plate-blank""}]; 작업 232; 질량 12; effects []","전방 차단과 베기·찌르기·둔기 방호를 이 방패에 배정한다. 손 1와 질량 12를 방패 전열에 쓰는 대신, 양손 무기·기동·다른 방어구·원정 적재를 늦춘다.","비교 후보(대체 가능성 미검증): CombatShieldSO:equipment-item:shield:iron, CombatShieldSO:equipment-item:shield:buckler, CombatShieldSO:equipment-item:shield:tower","연구 research:defense:siege-fortification와 제작 재료·부품·작업을 충족해 equipment shield:pavise / item equipment-item:shield:pavise를 확보하고, 손 1와 슬롯 1에 장착한 뒤 전방 차단이 필요한 전열·호위·길목 방어에 실제 배치한다.","최대 내구 160; 질량 12; 손 점유 1; 전방 차단 0.68가 수리·운반·무기 조합·전열 배치의 압력이 된다.","적의 피해 유형·거리·기동 요구·전열 역할이 바뀌면 장착을 해제해 병기고로 회수하고, 실제 비교 후보 방패·무기·방어구의 손 점유를 다시 편성한다. 차단 판정·파손·수리·저장 복제는 구현 전 자동 감사로 고정한다.","전수 설계; effects·차단 판정·피해·손 충돌·수리·저장·수치 검증 OPEN"
"equipment-item:shield:powered","동력 방패","방패의 방어 범위와 운용 부담을 전투 선택에 연결한다. 작성 목적은 '동력 방패 전투 장비'이다. 게임 규칙은 tier 4로 구성된다.","종류 Melee Weapon; 계보 2; 시대 4; tier 4; 전방 차단 0.62; 베기 39; 찌르기 38; 둔기 33; 손 1; 연구 research:equipment:powered-armor; 제작 재료 []; 부품 [{""amount"":1,""itemId"":""component:growth-frame""},{""amount"":2,""itemId"":""material:plate-blank""},{""amount"":2,""itemId"":""component:machine-parts""}]; 작업 352; 질량 13; effects []","전방 차단과 베기·찌르기·둔기 방호를 이 방패에 배정한다. 손 1와 질량 13를 방패 전열에 쓰는 대신, 양손 무기·기동·다른 방어구·원정 적재를 늦춘다.","비교 후보(대체 가능성 미검증): CombatShieldSO:equipment-item:shield:rune, CombatShieldSO:equipment-item:shield:blacksteel, CombatShieldSO:equipment-item:shield:mana-buckler","연구 research:equipment:powered-armor와 제작 재료·부품·작업을 충족해 equipment shield:powered / item equipment-item:shield:powered를 확보하고, 손 1와 슬롯 4에 장착한 뒤 전방 차단이 필요한 전열·호위·길목 방어에 실제 배치한다.","최대 내구 160; 질량 13; 손 점유 1; 전방 차단 0.62가 수리·운반·무기 조합·전열 배치의 압력이 된다.","적의 피해 유형·거리·기동 요구·전열 역할이 바뀌면 장착을 해제해 병기고로 회수하고, 실제 비교 후보 방패·무기·방어구의 손 점유를 다시 편성한다. 차단 판정·파손·수리·저장 복제는 구현 전 자동 감사로 고정한다.","전수 설계; effects·차단 판정·피해·손 충돌·수리·저장·수치 검증 OPEN"
"equipment-item:shield:rune","룬 방패","방패의 방어 범위와 운용 부담을 전투 선택에 연결한다. 작성 목적은 '룬 방패 전투 장비'이다. 게임 규칙은 tier 4로 구성된다.","종류 Melee Weapon; 계보 2; 시대 4; tier 4; 전방 차단 0.48; 베기 30; 찌르기 31; 둔기 25; 손 1; 연구 research:equipment:rune-module-tuning; 제작 재료 []; 부품 [{""amount"":1,""itemId"":""component:growth-frame""},{""amount"":1,""itemId"":""component:rune-conductor""},{""amount"":1,""itemId"":""component:rune-tuning-shield""},{""amount"":1,""itemId"":""component:rune-leather-strap""},{""amount"":1,""itemId"":""component:rune-control-panel""}]; 작업 312; 질량 6.5; effects []","전방 차단과 베기·찌르기·둔기 방호를 이 방패에 배정한다. 손 1와 질량 6.5를 방패 전열에 쓰는 대신, 양손 무기·기동·다른 방어구·원정 적재를 늦춘다.","비교 후보(대체 가능성 미검증): CombatShieldSO:equipment-item:shield:powered, CombatShieldSO:equipment-item:shield:blacksteel, CombatShieldSO:equipment-item:shield:mana-buckler","연구 research:equipment:rune-module-tuning와 제작 재료·부품·작업을 충족해 equipment shield:rune / item equipment-item:shield:rune를 확보하고, 손 1와 슬롯 4에 장착한 뒤 전방 차단이 필요한 전열·호위·길목 방어에 실제 배치한다.","최대 내구 160; 질량 6.5; 손 점유 1; 전방 차단 0.48가 수리·운반·무기 조합·전열 배치의 압력이 된다.","적의 피해 유형·거리·기동 요구·전열 역할이 바뀌면 장착을 해제해 병기고로 회수하고, 실제 비교 후보 방패·무기·방어구의 손 점유를 다시 편성한다. 차단 판정·파손·수리·저장 복제는 구현 전 자동 감사로 고정한다.","전수 설계; effects·차단 판정·피해·손 충돌·수리·저장·수치 검증 OPEN"
"equipment-item:shield:tower","대형 방패","방패의 방어 범위와 운용 부담을 전투 선택에 연결한다. 작성 목적은 '대형 방패 전투 장비'이다. 다른 콘텐츠 5개가 이 정의를 참조한다. 게임 규칙은 tier 1로 구성된다.","종류 Melee Weapon; 계보 2; 시대 1; tier 1; 전방 차단 0.52; 베기 28; 찌르기 25; 둔기 22; 손 1; 연구 research:defense:fortification; 제작 재료 []; 부품 []; 작업 192; 질량 10; effects []","전방 차단과 베기·찌르기·둔기 방호를 이 방패에 배정한다. 손 1와 질량 10를 방패 전열에 쓰는 대신, 양손 무기·기동·다른 방어구·원정 적재를 늦춘다.","비교 후보(대체 가능성 미검증): CombatShieldSO:equipment-item:shield:iron, CombatShieldSO:equipment-item:shield:buckler, CombatShieldSO:equipment-item:shield:pavise","연구 research:defense:fortification와 제작 재료·부품·작업을 충족해 equipment shield:tower / item equipment-item:shield:tower를 확보하고, 손 1와 슬롯 1에 장착한 뒤 전방 차단이 필요한 전열·호위·길목 방어에 실제 배치한다.","최대 내구 160; 질량 10; 손 점유 1; 전방 차단 0.52가 수리·운반·무기 조합·전열 배치의 압력이 된다.","적의 피해 유형·거리·기동 요구·전열 역할이 바뀌면 장착을 해제해 병기고로 회수하고, 실제 비교 후보 방패·무기·방어구의 손 점유를 다시 편성한다. 차단 판정·파손·수리·저장 복제는 구현 전 자동 감사로 고정한다.","전수 설계; effects·차단 판정·피해·손 충돌·수리·저장·수치 검증 OPEN"
"equipment-item:shield:wood","나무 방패","방패의 방어 범위와 운용 부담을 전투 선택에 연결한다. 작성 목적은 '나무 방패 전투 장비'이다. 다른 콘텐츠 1개가 이 정의를 참조한다. 게임 규칙은 tier 0로 구성된다.","종류 Melee Weapon; 계보 2; 시대 0; tier 0; 전방 차단 0.28; 베기 10; 찌르기 7; 둔기 7; 손 1; 연구 ; 제작 재료 []; 부품 []; 작업 80; 질량 3.5; effects []","전방 차단과 베기·찌르기·둔기 방호를 이 방패에 배정한다. 손 1와 질량 3.5를 방패 전열에 쓰는 대신, 양손 무기·기동·다른 방어구·원정 적재를 늦춘다.","동일 비교군 없음","연구 와 제작 재료·부품·작업을 충족해 equipment shield:wood / item equipment-item:shield:wood를 확보하고, 손 1와 슬롯 0에 장착한 뒤 전방 차단이 필요한 전열·호위·길목 방어에 실제 배치한다.","최대 내구 160; 질량 3.5; 손 점유 1; 전방 차단 0.28가 수리·운반·무기 조합·전열 배치의 압력이 된다.","적의 피해 유형·거리·기동 요구·전열 역할이 바뀌면 장착을 해제해 병기고로 회수하고, 실제 비교 후보 방패·무기·방어구의 손 점유를 다시 편성한다. 차단 판정·파손·수리·저장 복제는 구현 전 자동 감사로 고정한다.","전수 설계; effects·차단 판정·피해·손 충돌·수리·저장·수치 검증 OPEN"

