controlledEnvironment=22C/air100/light100 every5 game seconds through existing field persistence; original restored during cleanup; character exposure/needs simulation remains active
[PASS] actual preparation estimate=adult1/45WU/day/0.4day; actual enqueue; cap1/17WU unchanged
postCycleMetaMultiplier=1; pipeline=raw work rate -> completed cycle -> current participant contribution -> supplied durable research equipment -> meta research multiplier -> remaining project clamp
phase game=1.489087; kind=no-work-increment/no-movement; run=0; generic=0/0; action=Haul (AIHaul); cell=(18, 0)
phase game=1.61845; kind=movement-observed; run=0; generic=0/0; action=Haul (AIHaul); cell=(17, 0)
phase game=1.673582; kind=no-work-increment/no-movement; run=0; generic=0/0; action=Haul (AIHaul); cell=(17, 0)
phase game=2.413819; kind=movement-observed; run=0; generic=0/0; action=Haul (AIHaul); cell=(18, 0)
phase game=2.438962; kind=no-work-increment/no-movement; run=0; generic=0/0; action=Haul (AIHaul); cell=(18, 0)
phase game=3.251246; kind=movement-observed; run=0; generic=0/0; action=Haul (AIHaul); cell=(19, 0)
phase game=3.271049; kind=no-work-increment/no-movement; run=0; generic=0/0; action=Haul (AIHaul); cell=(19, 0)
phase game=4.086771; kind=movement-observed; run=0; generic=0/0; action=Haul (AIHaul); cell=(20, 0)
phase game=4.104238; kind=no-work-increment/no-movement; run=0; generic=0/0; action=Haul (AIHaul); cell=(20, 0)
phase game=4.879382; kind=movement-observed; run=0; generic=0/0; action=Haul (AIHaul); cell=(21, 0)
phase game=4.905984; kind=no-work-increment/no-movement; run=0; generic=0/0; action=Haul (AIHaul); cell=(21, 0)
phase game=5.703504; kind=movement-observed; run=0; generic=0/0; action=Haul (AIHaul); cell=(22, 0)
phase game=5.725074; kind=no-work-increment/no-movement; run=0; generic=0/0; action=Haul (AIHaul); cell=(22, 0)
phase game=6.535747; kind=movement-observed; run=0; generic=0/0; action=Haul (AIHaul); cell=(23, 0)
phase game=6.551438; kind=no-work-increment/no-movement; run=0; generic=0/0; action=Haul (AIHaul); cell=(23, 0)
phase game=7.365918; kind=movement-observed; run=0; generic=0/0; action=Haul (AIHaul); cell=(24, 0)
phase game=7.383674; kind=no-work-increment/no-movement; run=0; generic=0/0; action=Haul (AIHaul); cell=(24, 0)
phase game=8.255263; kind=movement-observed; run=0; generic=0/0; action=Haul (AIHaul); cell=(25, 0)
phase game=8.278457; kind=no-work-increment/no-movement; run=0; generic=0/0; action=Haul (AIHaul); cell=(25, 0)
phase game=9.012391; kind=movement-observed; run=0; generic=0/0; action=Haul (AIHaul); cell=(26, 0)
phase game=9.072312; kind=no-work-increment/no-movement; run=0; generic=0/0; action=Haul (AIHaul); cell=(26, 0)
phase game=9.844347; kind=movement-observed; run=0; generic=0/0; action=Haul (AIHaul); cell=(27, 0)
phase game=9.858179; kind=no-work-increment/no-movement; run=0; generic=0/0; action=Haul (AIHaul); cell=(27, 0)
phase game=10.69155; kind=movement-observed; run=0; generic=0/0; action=Haul (AIHaul); cell=(28, 0)
phase game=10.70854; kind=no-work-increment/no-movement; run=0; generic=0/0; action=Haul (AIHaul); cell=(28, 0)
phase game=11.6368; kind=movement-observed; run=0; generic=0/0; action=Haul (AIHaul); cell=(29, 0)
phase game=11.65543; kind=no-work-increment/no-movement; run=0; generic=0/0; action=Haul (AIHaul); cell=(29, 0)
phase game=12.53895; kind=movement-observed; run=0; generic=0/0; action=Haul (AIHaul); cell=(30, 0)
phase game=12.55796; kind=no-work-increment/no-movement; run=0; generic=0/0; action=Haul (AIHaul); cell=(30, 0)
phase game=13.48317; kind=movement-observed; run=0; generic=0/0; action=Wait (AIWait); cell=(29, 0)
phase game=13.50753; kind=no-work-increment/no-movement; run=0; generic=0/0; action=Wait (AIWait); cell=(29, 0)
phase game=15.37222; kind=movement-observed; run=0; generic=0/0; action=Wait (AIWait); cell=(28, 0)
phase game=15.39104; kind=no-work-increment/no-movement; run=0; generic=0/0; action=Wait (AIWait); cell=(28, 0)
phase game=16.19393; kind=movement-observed; run=0; generic=0/0; action=Wait (AIWait); cell=(27, 0)
phase game=16.21322; kind=no-work-increment/no-movement; run=0; generic=0/0; action=Wait (AIWait); cell=(27, 0)
phase game=17.01638; kind=movement-observed; run=0; generic=0/0; action=Wait (AIWait); cell=(26, 0)
phase game=17.09021; kind=no-work-increment/no-movement; run=0; generic=0/0; action=Wait (AIWait); cell=(26, 0)
phase game=18.90146; kind=movement-observed; run=0; generic=0/0; action=Wait (AIWait); cell=(27, 0)
phase game=18.92397; kind=no-work-increment/no-movement; run=0; generic=0/0; action=Wait (AIWait); cell=(27, 0)
phase game=19.67818; kind=movement-observed; run=0; generic=0/0; action=Wait (AIWait); cell=(28, 0)
phase game=19.70505; kind=no-work-increment/no-movement; run=0; generic=0/0; action=Wait (AIWait); cell=(28, 0)
phase game=21.69822; kind=movement-observed; run=0; generic=0/0; action=Wait (AIWait); cell=(27, 0)
phase game=21.71826; kind=no-work-increment/no-movement; run=0; generic=0/0; action=Wait (AIWait); cell=(27, 0)
phase game=22.67474; kind=movement-observed; run=0; generic=0/0; action=Wait (AIWait); cell=(26, 0)
phase game=22.69565; kind=no-work-increment/no-movement; run=0; generic=0/0; action=Wait (AIWait); cell=(26, 0)
phase game=24.45097; kind=movement-observed; run=0; generic=0/0; action=Wait (AIWait); cell=(27, 0)
phase game=24.4901; kind=no-work-increment/no-movement; run=0; generic=0/0; action=Wait (AIWait); cell=(27, 0)
phase game=25.26906; kind=movement-observed; run=0; generic=0/0; action=Wait (AIWait); cell=(28, 0)
phase game=25.28577; kind=no-work-increment/no-movement; run=0; generic=0/0; action=Wait (AIWait); cell=(28, 0)
phase game=27.39524; kind=movement-observed; run=0; generic=0/0; action=Wait (AIWait); cell=(29, 0)
phase game=27.41778; kind=no-work-increment/no-movement; run=0; generic=0/0; action=Wait (AIWait); cell=(29, 0)
phase game=29.32717; kind=movement-observed; run=0; generic=0/0; action=Wait (AIWait); cell=(28, 0)
phase game=29.34601; kind=no-work-increment/no-movement; run=0; generic=0/0; action=Wait (AIWait); cell=(28, 0)
phase game=30.31692; kind=movement-observed; run=0; generic=0/0; action=Wait (AIWait); cell=(27, 0)
phase game=30.36631; kind=no-work-increment/no-movement; run=0; generic=0/0; action=Wait (AIWait); cell=(27, 0)
phase game=32.26828; kind=movement-observed; run=0; generic=0/0; action=Wait (AIWait); cell=(28, 0)
phase game=32.28856; kind=no-work-increment/no-movement; run=0; generic=0/0; action=Wait (AIWait); cell=(28, 0)
phase game=33.11323; kind=movement-observed; run=0; generic=0/0; action=Wait (AIWait); cell=(29, 0)
phase game=33.13217; kind=no-work-increment/no-movement; run=0; generic=0/0; action=Wait (AIWait); cell=(29, 0)
phase game=33.95437; kind=movement-observed; run=0; generic=0/0; action=Wait (AIWait); cell=(30, 0)
phase game=33.97412; kind=no-work-increment/no-movement; run=0; generic=0/0; action=Wait (AIWait); cell=(30, 0)
phase game=36.11639; kind=movement-observed; run=0; generic=0/0; action=Wait (AIWait); cell=(31, 0)
phase game=36.13687; kind=no-work-increment/no-movement; run=0; generic=0/0; action=Wait (AIWait); cell=(31, 0)
phase game=37.99187; kind=movement-observed; run=0; generic=0/0; action=Wait (AIWait); cell=(30, 0)
phase game=38.00727; kind=no-work-increment/no-movement; run=0; generic=0/0; action=Wait (AIWait); cell=(30, 0)
phase game=38.86299; kind=movement-observed; run=0; generic=0/0; action=Wait (AIWait); cell=(29, 0)
phase game=38.88029; kind=no-work-increment/no-movement; run=0; generic=0/0; action=Wait (AIWait); cell=(29, 0)
phase game=40.86118; kind=movement-observed; run=0; generic=0/0; action=Wait (AIWait); cell=(30, 0)
phase game=40.88016; kind=no-work-increment/no-movement; run=0; generic=0/0; action=Wait (AIWait); cell=(30, 0)
phase game=41.71134; kind=movement-observed; run=0; generic=0/0; action=Wait (AIWait); cell=(31, 0)
phase game=41.72787; kind=no-work-increment/no-movement; run=0; generic=0/0; action=Wait (AIWait); cell=(31, 0)
phase game=43.83959; kind=movement-observed; run=0; generic=0/0; action=Wait (AIWait); cell=(32, 0)
phase game=43.86911; kind=no-work-increment/no-movement; run=0; generic=0/0; action=Wait (AIWait); cell=(32, 0)
phase game=46.39251; kind=movement-observed; run=0; generic=0/0; action=Wait (AIWait); cell=(31, 0)
