"trait_numeric_id","source_path","selection_rarity","polarity","earned_work_experience_multiplier","comfort_minimum_offset","comfort_maximum_offset","safe_minimum_offset","safe_maximum_offset","cold_exposure_multiplier","heat_exposure_multiplier","effect_values","unresolved_effect_definitions","identity_rule_values","final_value_source","static_status"
"101","Assets/Resources/SO/Character/Traits/Trait_BigEater.asset","0","1","1","0","0","0","0","1","1","effect:character:consumption:multiply=1.25|effect:character:work-speed:multiply=1.08","0","utilityDelta=0.8|deprivationDays=1|deprivedMoodDelta=-5|satisfiedMoodDelta=3|moodDurationDays=1","serialized CharacterTraitSO + GameplayEffectDefinitionSO reference","locked"
"102","Assets/Resources/SO/Character/Traits/Trait_Frugal.asset","2","1","1","0","0","0","0","1","1","effect:character:consumption:multiply=0.88|effect:character:work-speed:multiply=0.97|effect:character:accident-chance:multiply=0.95","0","utilityDelta=-0.7","serialized CharacterTraitSO + GameplayEffectDefinitionSO reference","locked"
"103","Assets/Resources/SO/Character/Traits/Trait_Rich.asset","1","1","1","0","0","0","0","1","1","effect:proficiency:social:starting-xp:addflat=15|effect:character:spending:multiply=1.4","0","utilityDelta=0.65|deprivationDays=3|deprivedMoodDelta=-3|satisfiedMoodDelta=2|moodDurationDays=2","serialized CharacterTraitSO + GameplayEffectDefinitionSO reference","locked"
"104","Assets/Resources/SO/Character/Traits/Trait_Impatient.asset","0","1","1","0","0","0","0","1","1","effect:character:move-speed:multiply=1.1|effect:character:work-speed:multiply=1.04|effect:character:accident-chance:multiply=1.15","0","utilityDelta=0.65","serialized CharacterTraitSO + GameplayEffectDefinitionSO reference","locked"
"105","Assets/Resources/SO/Character/Traits/Trait_Timid.asset","0","1","1","0","0","0","0","1","1","effect:character:combat-power:multiply=0.82|effect:character:accident-chance:multiply=0.8|effect:character:crowd-sensitivity:multiply=1.2","0","utilityDelta=-0.8","serialized CharacterTraitSO + GameplayEffectDefinitionSO reference","locked"
"106","Assets/Resources/SO/Character/Traits/Trait_Fighter.asset","1","1","1","0","0","0","0","1","1","effect:character:combat-power:multiply=1.18|effect:character:accident-chance:multiply=1.12","0","utilityDelta=0.65|deprivationDays=5|deprivedMoodDelta=-2|satisfiedMoodDelta=3|moodDurationDays=2","serialized CharacterTraitSO + GameplayEffectDefinitionSO reference","locked"
"107","Assets/Resources/SO/Character/Traits/Trait_Clean.asset","2","0","1","0","0","0","0","1","1","effect:character:work-speed:multiply=1.15|effect:character:accident-chance:multiply=0.85","0","utilityDelta=0.65","serialized CharacterTraitSO + GameplayEffectDefinitionSO reference","locked"
"108","Assets/Resources/SO/Character/Traits/Trait_Researcher.asset","2","1","1","0","0","0","0","1","1","effect:character:research-speed:multiply=1.18|effect:character:work-speed:multiply=0.97|effect:character:accident-chance:multiply=0.95","0","utilityDelta=0.75|deprivationDays=3|deprivedMoodDelta=-2|satisfiedMoodDelta=3|moodDurationDays=2","serialized CharacterTraitSO + GameplayEffectDefinitionSO reference","locked"
"109","Assets/Resources/SO/Character/Traits/Trait_ColdResistantSlime.asset","2","0","1","-4","0","-2","0","0.6","1","effect:environment:comfort-minimum-offset:addflat=-4|effect:environment:safe-minimum-offset:addflat=-2|effect:character:cold-exposure:multiply=0.6","0","utilityDelta=0.55","serialized CharacterTraitSO + GameplayEffectDefinitionSO reference","locked"
"200","Assets/Resources/SO/V20/Traits/General/Trait_200_tireless.asset","1","0","1","0","0","0","0","1","1","effect:character:fatigue-rate:multiply=0.85|effect:character:work-speed:multiply=1.05","0","utilityDelta=0.45","serialized CharacterTraitSO + GameplayEffectDefinitionSO reference","locked"
