"stable_id","display_name","source_declared_function","accommodation_evidence","portfolio_commitment","same_era_alternative_candidates","activation_and_assimilation_receipt","conflict_and_recovery","status"
"culture:adventurer-frontier","개척자 연맹 문화","작성 목적은 '서로 다른 고향의 규칙을 원정대식 실용주의로 엮는다'이다.","기본 종족 Adventurer; 동화 120; 의례 [""practice:adventurer-return-table"",""practice:adventurer-name-token""]; 환경 [""lit communal rooms""]; 예절 [""전리품은 귀환자 전원이 확인한 뒤 나눈다.""]; 금기 물품 [""food:raw-monster-meat""]; 타 문화 태도 [{""id"":""culture:beastkin-pack"",""weight"":0.88},{""id"":""culture:demon-contract"",""weight"":0.91},{""id"":""culture:golem-core"",""weight"":0.94},{""id"":""culture:harpy-aerie"",""weight"":0.97},{""id"":""culture:kobold-toolclan"",""weight"":1},{""id"":""culture:myconid-grove"",""weight"":1.03},{""id"":""culture:orc-vigil"",""weight"":1.0600001},{""id"":""culture:slime-confluence"",""weight"":1.09},{""id"":""culture:vampire-nightcourt"",""weight"":1.12}]; 선호 시설 []; 선호 물품 [""food:preserved-ration""]; 선호 역할 None; 방 {""idealTemperatureC"":20,""maximumLighting"":100,""minimumCleanliness"":40,""minimumLighting"":55,""minimumVentilation"":45,""preferredRoles"":5,""prefersPrivateSpace"":0,""prefersSharedSpace"":1,""temperatureToleranceC"":10}","선호 역할·방·시설·물품·의례를 함께 충족하는 생활 패키지를 선택한다. 이 패키지는 다른 문화의 금기·방 요구·식품·의례 시간·공간과 경쟁하므로, 모든 집단에 하나의 동질적 해법을 강요하지 않는다.","비교 후보(대체 가능성 미검증): SpeciesCultureDefinitionSO:culture:beastkin-pack, SpeciesCultureDefinitionSO:culture:demon-contract, SpeciesCultureDefinitionSO:culture:golem-core, SpeciesCultureDefinitionSO:culture:harpy-aerie, SpeciesCultureDefinitionSO:culture:kobold-toolclan, SpeciesCultureDefinitionSO:culture:myconid-grove, SpeciesCultureDefinitionSO:culture:orc-vigil, SpeciesCultureDefinitionSO:culture:slime-confluence, SpeciesCultureDefinitionSO:culture:vampire-nightcourt","문화가 있는 인구가 합류 → 방·시설·물품·역할·의례 요구를 배정 → 120 동화 경로 또는 문화 보존 경로를 선택 → 관계·생활·사건 기록으로 결과를 남긴다.","금기·예절·환경·방 요구가 어긋나면 관계와 서비스 운영이 흔들린다. 분리 공간·공용 규칙·물품 조달·의례 일정·동화 또는 보존을 다시 조합해 회복한다.","전수 설계; 동화·의례·금기·방 선호·관계·저장·수치 실행 검증 OPEN"
"culture:beastkin-pack","무리의 화로 문화","작성 목적은 '식사와 휴식을 무리 단위로 공유하고 홀로 남는 이를 먼저 챙긴다'이다.","기본 종족 Beastkin; 동화 120; 의례 [""practice:beastkin-pack-meal"",""practice:beastkin-scent-vigil""]; 환경 [""warm shared quarters""]; 예절 [""상대의 냄새표식을 허락 없이 지우지 않는다.""]; 금기 물품 [""medicine:strong-perfume""]; 타 문화 태도 [{""id"":""culture:adventurer-frontier"",""weight"":0.92},{""id"":""culture:demon-contract"",""weight"":0.98},{""id"":""culture:golem-core"",""weight"":1.01},{""id"":""culture:harpy-aerie"",""weight"":1.0400001},{""id"":""culture:kobold-toolclan"",""weight"":1.07},{""id"":""culture:myconid-grove"",""weight"":1.1},{""id"":""culture:orc-vigil"",""weight"":1.13},{""id"":""culture:slime-confluence"",""weight"":0.85},{""id"":""culture:vampire-nightcourt"",""weight"":0.88}]; 선호 시설 []; 선호 물품 [""resource:meat""]; 선호 역할 None; 방 {""idealTemperatureC"":24,""maximumLighting"":80,""minimumCleanliness"":30,""minimumLighting"":20,""minimumVentilation"":35,""preferredRoles"":5,""prefersPrivateSpace"":0,""prefersSharedSpace"":1,""temperatureToleranceC"":8}","선호 역할·방·시설·물품·의례를 함께 충족하는 생활 패키지를 선택한다. 이 패키지는 다른 문화의 금기·방 요구·식품·의례 시간·공간과 경쟁하므로, 모든 집단에 하나의 동질적 해법을 강요하지 않는다.","비교 후보(대체 가능성 미검증): SpeciesCultureDefinitionSO:culture:adventurer-frontier, SpeciesCultureDefinitionSO:culture:demon-contract, SpeciesCultureDefinitionSO:culture:golem-core, SpeciesCultureDefinitionSO:culture:harpy-aerie, SpeciesCultureDefinitionSO:culture:kobold-toolclan, SpeciesCultureDefinitionSO:culture:myconid-grove, SpeciesCultureDefinitionSO:culture:orc-vigil, SpeciesCultureDefinitionSO:culture:slime-confluence, SpeciesCultureDefinitionSO:culture:vampire-nightcourt","문화가 있는 인구가 합류 → 방·시설·물품·역할·의례 요구를 배정 → 120 동화 경로 또는 문화 보존 경로를 선택 → 관계·생활·사건 기록으로 결과를 남긴다.","금기·예절·환경·방 요구가 어긋나면 관계와 서비스 운영이 흔들린다. 분리 공간·공용 규칙·물품 조달·의례 일정·동화 또는 보존을 다시 조합해 회복한다.","전수 설계; 동화·의례·금기·방 선호·관계·저장·수치 실행 검증 OPEN"
"culture:demon-contract","재의 계약 문화","작성 목적은 '말보다 기록된 약속을 중시하고 결연과 장례에 계약 소각을 쓴다'이다.","기본 종족 Demon; 동화 120; 의례 [""practice:demon-oath-embers"",""practice:demon-third-bell""]; 환경 [""warm dry rooms""]; 예절 [""세 번 확인한 약속은 공개적으로 번복하지 않는다.""]; 금기 물품 [""item:unsealed-oath""]; 타 문화 태도 [{""id"":""culture:adventurer-frontier"",""weight"":0.99},{""id"":""culture:beastkin-pack"",""weight"":1.02},{""id"":""culture:golem-core"",""weight"":1.08},{""id"":""culture:harpy-aerie"",""weight"":1.11},{""id"":""culture:kobold-toolclan"",""weight"":1.14},{""id"":""culture:myconid-grove"",""weight"":0.86},{""id"":""culture:orc-vigil"",""weight"":0.89000005},{""id"":""culture:slime-confluence"",""weight"":0.92},{""id"":""culture:vampire-nightcourt"",""weight"":0.95000005}]; 선호 시설 []; 선호 물품 [""food:spiced-stew""]; 선호 역할 None; 방 {""idealTemperatureC"":27,""maximumLighting"":70,""minimumCleanliness"":40,""minimumLighting"":20,""minimumVentilation"":35,""preferredRoles"":544,""prefersPrivateSpace"":1,""prefersSharedSpace"":0,""temperatureToleranceC"":8}","선호 역할·방·시설·물품·의례를 함께 충족하는 생활 패키지를 선택한다. 이 패키지는 다른 문화의 금기·방 요구·식품·의례 시간·공간과 경쟁하므로, 모든 집단에 하나의 동질적 해법을 강요하지 않는다.","비교 후보(대체 가능성 미검증): SpeciesCultureDefinitionSO:culture:adventurer-frontier, SpeciesCultureDefinitionSO:culture:beastkin-pack, SpeciesCultureDefinitionSO:culture:golem-core, SpeciesCultureDefinitionSO:culture:harpy-aerie, SpeciesCultureDefinitionSO:culture:kobold-toolclan, SpeciesCultureDefinitionSO:culture:myconid-grove, SpeciesCultureDefinitionSO:culture:orc-vigil, SpeciesCultureDefinitionSO:culture:slime-confluence, SpeciesCultureDefinitionSO:culture:vampire-nightcourt","문화가 있는 인구가 합류 → 방·시설·물품·역할·의례 요구를 배정 → 120 동화 경로 또는 문화 보존 경로를 선택 → 관계·생활·사건 기록으로 결과를 남긴다.","금기·예절·환경·방 요구가 어긋나면 관계와 서비스 운영이 흔들린다. 분리 공간·공용 규칙·물품 조달·의례 일정·동화 또는 보존을 다시 조합해 회복한다.","전수 설계; 동화·의례·금기·방 선호·관계·저장·수치 실행 검증 OPEN"
"culture:golem-core","핵 공명 문화","작성 목적은 '침묵의 정비와 기억 기록을 휴식으로 여기며 핵의 이력을 존중한다'이다.","기본 종족 Golem; 동화 120; 의례 [""practice:golem-core-polish"",""practice:golem-memory-plaque""]; 환경 [""dry rune-powered alcoves""]; 예절 [""다른 골렘의 핵각인을 허락 없이 읽지 않는다.""]; 금기 물품 [""resource:corrosive-slurry""]; 타 문화 태도 [{""id"":""culture:adventurer-frontier"",""weight"":1.0600001},{""id"":""culture:beastkin-pack"",""weight"":1.09},{""id"":""culture:demon-contract"",""weight"":1.12},{""id"":""culture:harpy-aerie"",""weight"":0.87},{""id"":""culture:kobold-toolclan"",""weight"":0.90000004},{""id"":""culture:myconid-grove"",""weight"":0.93},{""id"":""culture:orc-vigil"",""weight"":0.96000004},{""id"":""culture:slime-confluence"",""weight"":0.99},{""id"":""culture:vampire-nightcourt"",""weight"":1.02}]; 선호 시설 []; 선호 물품 [""tool:maintenance-kit""]; 선호 역할 None; 방 {""idealTemperatureC"":18,""maximumLighting"":90,""minimumCleanliness"":60,""minimumLighting"":30,""minimumVentilation"":50,""preferredRoles"":96,""prefersPrivateSpace"":1,""prefersSharedSpace"":0,""temperatureToleranceC"":15}","선호 역할·방·시설·물품·의례를 함께 충족하는 생활 패키지를 선택한다. 이 패키지는 다른 문화의 금기·방 요구·식품·의례 시간·공간과 경쟁하므로, 모든 집단에 하나의 동질적 해법을 강요하지 않는다.","비교 후보(대체 가능성 미검증): SpeciesCultureDefinitionSO:culture:adventurer-frontier, SpeciesCultureDefinitionSO:culture:beastkin-pack, SpeciesCultureDefinitionSO:culture:demon-contract, SpeciesCultureDefinitionSO:culture:harpy-aerie, SpeciesCultureDefinitionSO:culture:kobold-toolclan, SpeciesCultureDefinitionSO:culture:myconid-grove, SpeciesCultureDefinitionSO:culture:orc-vigil, SpeciesCultureDefinitionSO:culture:slime-confluence, SpeciesCultureDefinitionSO:culture:vampire-nightcourt","문화가 있는 인구가 합류 → 방·시설·물품·역할·의례 요구를 배정 → 120 동화 경로 또는 문화 보존 경로를 선택 → 관계·생활·사건 기록으로 결과를 남긴다.","금기·예절·환경·방 요구가 어긋나면 관계와 서비스 운영이 흔들린다. 분리 공간·공용 규칙·물품 조달·의례 일정·동화 또는 보존을 다시 조합해 회복한다.","전수 설계; 동화·의례·금기·방 선호·관계·저장·수치 실행 검증 OPEN"
"culture:harpy-aerie","높은 둥지 문화","작성 목적은 '높은 공간과 바람길을 선호하며 소식과 노래를 공동 자산으로 여긴다'이다.","기본 종족 Harpy; 동화 120; 의례 [""practice:harpy-dawn-chorus"",""practice:harpy-first-flight""]; 환경 [""high airy rooms""]; 예절 [""노래 중간에 말을 끊는 것은 공개적인 도전이다.""]; 금기 물품 [""food:heavy-oil-stew""]; 타 문화 태도 [{""id"":""culture:adventurer-frontier"",""weight"":1.13},{""id"":""culture:beastkin-pack"",""weight"":0.85},{""id"":""culture:demon-contract"",""weight"":0.88},{""id"":""culture:golem-core"",""weight"":0.91},{""id"":""culture:kobold-toolclan"",""weight"":0.97},{""id"":""culture:myconid-grove"",""weight"":1},{""id"":""culture:orc-vigil"",""weight"":1.03},{""id"":""culture:slime-confluence"",""weight"":1.0600001},{""id"":""culture:vampire-nightcourt"",""weight"":1.09}]; 선호 시설 []; 선호 물품 [""food:dried-fruit""]; 선호 역할 None; 방 {""idealTemperatureC"":18,""maximumLighting"":100,""minimumCleanliness"":35,""minimumLighting"":50,""minimumVentilation"":70,""preferredRoles"":4,""prefersPrivateSpace"":0,""prefersSharedSpace"":1,""temperatureToleranceC"":10}","선호 역할·방·시설·물품·의례를 함께 충족하는 생활 패키지를 선택한다. 이 패키지는 다른 문화의 금기·방 요구·식품·의례 시간·공간과 경쟁하므로, 모든 집단에 하나의 동질적 해법을 강요하지 않는다.","비교 후보(대체 가능성 미검증): SpeciesCultureDefinitionSO:culture:adventurer-frontier, SpeciesCultureDefinitionSO:culture:beastkin-pack, SpeciesCultureDefinitionSO:culture:demon-contract, SpeciesCultureDefinitionSO:culture:golem-core, SpeciesCultureDefinitionSO:culture:kobold-toolclan, SpeciesCultureDefinitionSO:culture:myconid-grove, SpeciesCultureDefinitionSO:culture:orc-vigil, SpeciesCultureDefinitionSO:culture:slime-confluence, SpeciesCultureDefinitionSO:culture:vampire-nightcourt","문화가 있는 인구가 합류 → 방·시설·물품·역할·의례 요구를 배정 → 120 동화 경로 또는 문화 보존 경로를 선택 → 관계·생활·사건 기록으로 결과를 남긴다.","금기·예절·환경·방 요구가 어긋나면 관계와 서비스 운영이 흔들린다. 분리 공간·공용 규칙·물품 조달·의례 일정·동화 또는 보존을 다시 조합해 회복한다.","전수 설계; 동화·의례·금기·방 선호·관계·저장·수치 실행 검증 OPEN"
"culture:kobold-toolclan","도구씨족 문화","작성 목적은 '잘 관리된 도구를 가계의 증거로 여기며 작은 성취도 씨족 앞에서 기록한다'이다.","기본 종족 Kobold; 동화 120; 의례 [""practice:kobold-tool-naming"",""practice:kobold-bench-feast""]; 환경 [""compact warm workshops""]; 예절 [""도구를 빌릴 때는 돌려줄 상태를 먼저 약속한다.""]; 금기 물품 [""item:broken-tool""]; 타 문화 태도 [{""id"":""culture:adventurer-frontier"",""weight"":0.89000005},{""id"":""culture:beastkin-pack"",""weight"":0.92},{""id"":""culture:demon-contract"",""weight"":0.95000005},{""id"":""culture:golem-core"",""weight"":0.98},{""id"":""culture:harpy-aerie"",""weight"":1.01},{""id"":""culture:myconid-grove"",""weight"":1.07},{""id"":""culture:orc-vigil"",""weight"":1.1},{""id"":""culture:slime-confluence"",""weight"":1.13},{""id"":""culture:vampire-nightcourt"",""weight"":0.85}]; 선호 시설 []; 선호 물품 [""food:mushroom-stew""]; 선호 역할 None; 방 {""idealTemperatureC"":24,""maximumLighting"":100,""minimumCleanliness"":40,""minimumLighting"":45,""minimumVentilation"":50,""preferredRoles"":72,""prefersPrivateSpace"":0,""prefersSharedSpace"":1,""temperatureToleranceC"":7}","선호 역할·방·시설·물품·의례를 함께 충족하는 생활 패키지를 선택한다. 이 패키지는 다른 문화의 금기·방 요구·식품·의례 시간·공간과 경쟁하므로, 모든 집단에 하나의 동질적 해법을 강요하지 않는다.","비교 후보(대체 가능성 미검증): SpeciesCultureDefinitionSO:culture:adventurer-frontier, SpeciesCultureDefinitionSO:culture:beastkin-pack, SpeciesCultureDefinitionSO:culture:demon-contract, SpeciesCultureDefinitionSO:culture:golem-core, SpeciesCultureDefinitionSO:culture:harpy-aerie, SpeciesCultureDefinitionSO:culture:myconid-grove, SpeciesCultureDefinitionSO:culture:orc-vigil, SpeciesCultureDefinitionSO:culture:slime-confluence, SpeciesCultureDefinitionSO:culture:vampire-nightcourt","문화가 있는 인구가 합류 → 방·시설·물품·역할·의례 요구를 배정 → 120 동화 경로 또는 문화 보존 경로를 선택 → 관계·생활·사건 기록으로 결과를 남긴다.","금기·예절·환경·방 요구가 어긋나면 관계와 서비스 운영이 흔들린다. 분리 공간·공용 규칙·물품 조달·의례 일정·동화 또는 보존을 다시 조합해 회복한다.","전수 설계; 동화·의례·금기·방 선호·관계·저장·수치 실행 검증 OPEN"
"culture:myconid-grove","포자정원 문화","작성 목적은 '대화와 기억을 향과 포자 리듬으로 나누며 습한 공동 정원을 지킨다'이다.","기본 종족 Myconid; 동화 120; 의례 [""practice:myconid-shared-mist"",""practice:myconid-spore-return""]; 환경 [""humid dim gardens""]; 예절 [""타인의 포자권에 불꽃을 들이지 않는다.""]; 금기 물품 [""supply:fungicide""]; 타 문화 태도 [{""id"":""culture:adventurer-frontier"",""weight"":0.96000004},{""id"":""culture:beastkin-pack"",""weight"":0.99},{""id"":""culture:demon-contract"",""weight"":1.02},{""id"":""culture:golem-core"",""weight"":1.0500001},{""id"":""culture:harpy-aerie"",""weight"":1.08},{""id"":""culture:kobold-toolclan"",""weight"":1.11},{""id"":""culture:orc-vigil"",""weight"":0.86},{""id"":""culture:slime-confluence"",""weight"":0.89000005},{""id"":""culture:vampire-nightcourt"",""weight"":0.92}]; 선호 시설 []; 선호 물품 [""resource:cave-mushroom""]; 선호 역할 None; 방 {""idealTemperatureC"":20,""maximumLighting"":35,""minimumCleanliness"":40,""minimumLighting"":5,""minimumVentilation"":45,""preferredRoles"":5,""prefersPrivateSpace"":0,""prefersSharedSpace"":1,""temperatureToleranceC"":5}","선호 역할·방·시설·물품·의례를 함께 충족하는 생활 패키지를 선택한다. 이 패키지는 다른 문화의 금기·방 요구·식품·의례 시간·공간과 경쟁하므로, 모든 집단에 하나의 동질적 해법을 강요하지 않는다.","비교 후보(대체 가능성 미검증): SpeciesCultureDefinitionSO:culture:adventurer-frontier, SpeciesCultureDefinitionSO:culture:beastkin-pack, SpeciesCultureDefinitionSO:culture:demon-contract, SpeciesCultureDefinitionSO:culture:golem-core, SpeciesCultureDefinitionSO:culture:harpy-aerie, SpeciesCultureDefinitionSO:culture:kobold-toolclan, SpeciesCultureDefinitionSO:culture:orc-vigil, SpeciesCultureDefinitionSO:culture:slime-confluence, SpeciesCultureDefinitionSO:culture:vampire-nightcourt","문화가 있는 인구가 합류 → 방·시설·물품·역할·의례 요구를 배정 → 120 동화 경로 또는 문화 보존 경로를 선택 → 관계·생활·사건 기록으로 결과를 남긴다.","금기·예절·환경·방 요구가 어긋나면 관계와 서비스 운영이 흔들린다. 분리 공간·공용 규칙·물품 조달·의례 일정·동화 또는 보존을 다시 조합해 회복한다.","전수 설계; 동화·의례·금기·방 선호·관계·저장·수치 실행 검증 OPEN"
"culture:orc-vigil","무기 철야 문화","작성 목적은 '행동으로 신뢰를 증명하며 잔치와 철야에서 공동체의 빚을 기억한다'이다.","기본 종족 Orc; 동화 120; 의례 [""practice:orc-weapon-vigil"",""practice:orc-shared-cauldron""]; 환경 [""robust communal halls""]; 예절 [""무기를 내려놓고 한 약속은 결투로 뒤집지 않는다.""]; 금기 물품 [""food:tiny-portion""]; 타 문화 태도 [{""id"":""culture:adventurer-frontier"",""weight"":1.03},{""id"":""culture:beastkin-pack"",""weight"":1.0600001},{""id"":""culture:demon-contract"",""weight"":1.09},{""id"":""culture:golem-core"",""weight"":1.12},{""id"":""culture:harpy-aerie"",""weight"":1.15},{""id"":""culture:kobold-toolclan"",""weight"":0.87},{""id"":""culture:myconid-grove"",""weight"":0.90000004},{""id"":""culture:slime-confluence"",""weight"":0.96000004},{""id"":""culture:vampire-nightcourt"",""weight"":0.99}]; 선호 시설 []; 선호 물품 [""food:salted-meat-stew""]; 선호 역할 None; 방 {""idealTemperatureC"":20,""maximumLighting"":85,""minimumCleanliness"":30,""minimumLighting"":25,""minimumVentilation"":40,""preferredRoles"":9,""prefersPrivateSpace"":0,""prefersSharedSpace"":1,""temperatureToleranceC"":10}","선호 역할·방·시설·물품·의례를 함께 충족하는 생활 패키지를 선택한다. 이 패키지는 다른 문화의 금기·방 요구·식품·의례 시간·공간과 경쟁하므로, 모든 집단에 하나의 동질적 해법을 강요하지 않는다.","비교 후보(대체 가능성 미검증): SpeciesCultureDefinitionSO:culture:adventurer-frontier, SpeciesCultureDefinitionSO:culture:beastkin-pack, SpeciesCultureDefinitionSO:culture:demon-contract, SpeciesCultureDefinitionSO:culture:golem-core, SpeciesCultureDefinitionSO:culture:harpy-aerie, SpeciesCultureDefinitionSO:culture:kobold-toolclan, SpeciesCultureDefinitionSO:culture:myconid-grove, SpeciesCultureDefinitionSO:culture:slime-confluence, SpeciesCultureDefinitionSO:culture:vampire-nightcourt","문화가 있는 인구가 합류 → 방·시설·물품·역할·의례 요구를 배정 → 120 동화 경로 또는 문화 보존 경로를 선택 → 관계·생활·사건 기록으로 결과를 남긴다.","금기·예절·환경·방 요구가 어긋나면 관계와 서비스 운영이 흔들린다. 분리 공간·공용 규칙·물품 조달·의례 일정·동화 또는 보존을 다시 조합해 회복한다.","전수 설계; 동화·의례·금기·방 선호·관계·저장·수치 실행 검증 OPEN"
"culture:slime-confluence","합류수 문화","작성 목적은 '몸의 일부와 기억을 나누는 것을 친밀함으로 여기되 핵의 경계는 엄격히 지킨다'이다.","기본 종족 Slime; 동화 120; 의례 [""practice:slime-clear-water"",""practice:slime-core-ring""]; 환경 [""clean humid pools""]; 예절 [""상대 핵에 닿기 전 반드시 색 변화로 동의를 구한다.""]; 금기 물품 [""resource:salt""]; 타 문화 태도 [{""id"":""culture:adventurer-frontier"",""weight"":1.1},{""id"":""culture:beastkin-pack"",""weight"":1.13},{""id"":""culture:demon-contract"",""weight"":0.85},{""id"":""culture:golem-core"",""weight"":0.88},{""id"":""culture:harpy-aerie"",""weight"":0.91},{""id"":""culture:kobold-toolclan"",""weight"":0.94},{""id"":""culture:myconid-grove"",""weight"":0.97},{""id"":""culture:orc-vigil"",""weight"":1},{""id"":""culture:vampire-nightcourt"",""weight"":1.0600001}]; 선호 시설 []; 선호 물품 [""resource:clean-water""]; 선호 역할 None; 방 {""idealTemperatureC"":22,""maximumLighting"":70,""minimumCleanliness"":70,""minimumLighting"":20,""minimumVentilation"":40,""preferredRoles"":260,""prefersPrivateSpace"":0,""prefersSharedSpace"":1,""temperatureToleranceC"":5}","선호 역할·방·시설·물품·의례를 함께 충족하는 생활 패키지를 선택한다. 이 패키지는 다른 문화의 금기·방 요구·식품·의례 시간·공간과 경쟁하므로, 모든 집단에 하나의 동질적 해법을 강요하지 않는다.","비교 후보(대체 가능성 미검증): SpeciesCultureDefinitionSO:culture:adventurer-frontier, SpeciesCultureDefinitionSO:culture:beastkin-pack, SpeciesCultureDefinitionSO:culture:demon-contract, SpeciesCultureDefinitionSO:culture:golem-core, SpeciesCultureDefinitionSO:culture:harpy-aerie, SpeciesCultureDefinitionSO:culture:kobold-toolclan, SpeciesCultureDefinitionSO:culture:myconid-grove, SpeciesCultureDefinitionSO:culture:orc-vigil, SpeciesCultureDefinitionSO:culture:vampire-nightcourt","문화가 있는 인구가 합류 → 방·시설·물품·역할·의례 요구를 배정 → 120 동화 경로 또는 문화 보존 경로를 선택 → 관계·생활·사건 기록으로 결과를 남긴다.","금기·예절·환경·방 요구가 어긋나면 관계와 서비스 운영이 흔들린다. 분리 공간·공용 규칙·물품 조달·의례 일정·동화 또는 보존을 다시 조합해 회복한다.","전수 설계; 동화·의례·금기·방 선호·관계·저장·수치 실행 검증 OPEN"
"culture:vampire-nightcourt","밤궁정 문화","작성 목적은 '절제된 환대와 혈액 제공의 동의를 체면보다 중요한 규칙으로 삼는다'이다.","기본 종족 Vampire; 동화 120; 의례 [""practice:vampire-consent-cup"",""practice:vampire-incense-memory""]; 환경 [""dark private chambers""]; 예절 [""혈액과 개인 서사는 명시적 허락 없이 거래하지 않는다.""]; 금기 물품 [""food:garlic-tonic""]; 타 문화 태도 [{""id"":""culture:adventurer-frontier"",""weight"":0.86},{""id"":""culture:beastkin-pack"",""weight"":0.89000005},{""id"":""culture:demon-contract"",""weight"":0.92},{""id"":""culture:golem-core"",""weight"":0.95000005},{""id"":""culture:harpy-aerie"",""weight"":0.98},{""id"":""culture:kobold-toolclan"",""weight"":1.01},{""id"":""culture:myconid-grove"",""weight"":1.0400001},{""id"":""culture:orc-vigil"",""weight"":1.07},{""id"":""culture:slime-confluence"",""weight"":1.1}]; 선호 시설 []; 선호 물품 [""food:blood-reserve""]; 선호 역할 None; 방 {""idealTemperatureC"":18,""maximumLighting"":30,""minimumCleanliness"":55,""minimumLighting"":0,""minimumVentilation"":40,""preferredRoles"":516,""prefersPrivateSpace"":1,""prefersSharedSpace"":0,""temperatureToleranceC"":7}","선호 역할·방·시설·물품·의례를 함께 충족하는 생활 패키지를 선택한다. 이 패키지는 다른 문화의 금기·방 요구·식품·의례 시간·공간과 경쟁하므로, 모든 집단에 하나의 동질적 해법을 강요하지 않는다.","비교 후보(대체 가능성 미검증): SpeciesCultureDefinitionSO:culture:adventurer-frontier, SpeciesCultureDefinitionSO:culture:beastkin-pack, SpeciesCultureDefinitionSO:culture:demon-contract, SpeciesCultureDefinitionSO:culture:golem-core, SpeciesCultureDefinitionSO:culture:harpy-aerie, SpeciesCultureDefinitionSO:culture:kobold-toolclan, SpeciesCultureDefinitionSO:culture:myconid-grove, SpeciesCultureDefinitionSO:culture:orc-vigil, SpeciesCultureDefinitionSO:culture:slime-confluence","문화가 있는 인구가 합류 → 방·시설·물품·역할·의례 요구를 배정 → 120 동화 경로 또는 문화 보존 경로를 선택 → 관계·생활·사건 기록으로 결과를 남긴다.","금기·예절·환경·방 요구가 어긋나면 관계와 서비스 운영이 흔들린다. 분리 공간·공용 규칙·물품 조달·의례 일정·동화 또는 보존을 다시 조합해 회복한다.","전수 설계; 동화·의례·금기·방 선호·관계·저장·수치 실행 검증 OPEN"
