"culture_id","culture_name","default_species_tag","species_and_accommodation_evidence","faction_route_evidence","contextual_build_package","climate_adaptation_choice","activation_receipt","failure_and_recovery","status"
"culture:adventurer-frontier","개척자 연맹 문화","Adventurer","종족 characterspecies:10 (원정자, tag Adventurer); 필요 {""chargeRateMultiplier"":1,""diet"":2,""hungerRateMultiplier"":1,""hygieneRateMultiplier"":1,""integrityWearMultiplier"":1,""metabolism"":0,""sleepRateMultiplier"":1,""socialNeedMultiplier"":1,""thirstRateMultiplier"":1,""treatment"":0}; 환경 {""airborneExposureMultiplier"":1,""comfortMaximum"":27,""comfortMinimum"":15,""comfortableAirMinimum"":70,""comfortableLightMaximum"":100,""comfortableLightMinimum"":40,""drynessSensitivity"":1,""lethalMaximum"":48,""lethalMinimum"":-10,""preferredHumidity"":0.5,""safeMaximum"":40,""safeMinimum"":0,""visualStrainMultiplier"":1}; 선호 시설 []; 강점 작업 []; 약점 작업 []; 문화 역할 None; 문화 시설 []; 문화 물품 [""food:preserved-ration""]; 문화 환경 [""lit communal rooms""]; 방 {""idealTemperatureC"":20,""maximumLighting"":100,""minimumCleanliness"":40,""minimumLighting"":55,""minimumVentilation"":45,""preferredRoles"":5,""prefersPrivateSpace"":0,""prefersSharedSpace"":1,""temperatureToleranceC"":10}; 동화 120","고향 세력 faction:adventurer; 종족 정렬 세력 직접 종족 태그 일치 세력 없음; 외부 경로 직접 종족 태그 일치 세력 없음","강점 작업과 선호 시설을 생산·서비스의 주력으로 삼고, 문화의 방·물품·의례 수용을 함께 지킨다. 약점 작업은 다른 인구·자동화·시설로 넘기며, 세력 교역·보급·증원은 이 패키지의 부족한 재료·안보를 보완하는 외부 경로로 선택한다.","기후 운영 계약의 평균·변동 온도를 종족·문화 환경 요구와 대조해 방한·환기·냉장·연료·작물·근무 시간 중 어느 보호 경로를 먼저 세울지 정한다. 온도 수치가 없는 생활 요구를 임의의 최적 기후로 환산하지 않는다.","문화·종족 인구가 합류 → 방·시설·물품·역할과 환경 요구를 충족 → 해당 작업의 실제 수행·세력 거래 또는 보급·문화 동화/보존 결과를 기록한다.","작업·환경·방·금기·교역이 맞지 않으면 이 패키지의 강점이 사라지고 관계·사건 압력이 누적된다. 작업을 다른 인구로 넘기고, 방·시설·물품·기후 설비·세력 경로를 다시 조합해 회복한다.","전수 교차 설계; 종족·문화·세력 결속 확정, 기후 수치 적합성·runtime·저장·수치 검증 OPEN"
"culture:beastkin-pack","무리의 화로 문화","Beastkin","종족 characterspecies:4 (수인, tag Beastkin); 필요 {""chargeRateMultiplier"":1,""diet"":3,""hungerRateMultiplier"":1.35,""hygieneRateMultiplier"":1,""integrityWearMultiplier"":1,""metabolism"":0,""sleepRateMultiplier"":1,""socialNeedMultiplier"":1.4,""thirstRateMultiplier"":1.15,""treatment"":0}; 환경 {""airborneExposureMultiplier"":1,""comfortMaximum"":29,""comfortMinimum"":10,""comfortableAirMinimum"":70,""comfortableLightMaximum"":100,""comfortableLightMinimum"":40,""drynessSensitivity"":1,""lethalMaximum"":48,""lethalMinimum"":-12,""preferredHumidity"":0.5,""safeMaximum"":40,""safeMinimum"":-4,""visualStrainMultiplier"":1}; 선호 시설 [""고기 식당"",""상점"",""야외 휴식처""]; 강점 작업 [""work:restock"",""work:haul"",""work:reception"",""work:hunt""]; 약점 작업 [""work:research"",""work:surgery""]; 문화 역할 None; 문화 시설 []; 문화 물품 [""resource:meat""]; 문화 환경 [""warm shared quarters""]; 방 {""idealTemperatureC"":24,""maximumLighting"":80,""minimumCleanliness"":30,""minimumLighting"":20,""minimumVentilation"":35,""preferredRoles"":5,""prefersPrivateSpace"":0,""prefersSharedSpace"":1,""temperatureToleranceC"":8}; 동화 120","고향 세력 faction:dungeon:beastkin; 종족 정렬 세력 faction:dungeon:beastkin; 외부 경로 faction:dungeon:beastkin:trade=[{""amount"":8,""itemId"":""resource:meat""},{""amount"":5,""itemId"":""resource:hide""},{""amount"":6,""itemId"":""feed:dog-food""}];supply=[{""amount"":12,""itemId"":""food:preserved-ration""},{""amount"":8,""itemId"":""material:leather""},{""amount"":10,""itemId"":""feed:hay""}];reinforcement=정찰병과 긴급 운반대","강점 작업과 선호 시설을 생산·서비스의 주력으로 삼고, 문화의 방·물품·의례 수용을 함께 지킨다. 약점 작업은 다른 인구·자동화·시설로 넘기며, 세력 교역·보급·증원은 이 패키지의 부족한 재료·안보를 보완하는 외부 경로로 선택한다.","기후 운영 계약의 평균·변동 온도를 종족·문화 환경 요구와 대조해 방한·환기·냉장·연료·작물·근무 시간 중 어느 보호 경로를 먼저 세울지 정한다. 온도 수치가 없는 생활 요구를 임의의 최적 기후로 환산하지 않는다.","문화·종족 인구가 합류 → 방·시설·물품·역할과 환경 요구를 충족 → 해당 작업의 실제 수행·세력 거래 또는 보급·문화 동화/보존 결과를 기록한다.","작업·환경·방·금기·교역이 맞지 않으면 이 패키지의 강점이 사라지고 관계·사건 압력이 누적된다. 작업을 다른 인구로 넘기고, 방·시설·물품·기후 설비·세력 경로를 다시 조합해 회복한다.","전수 교차 설계; 종족·문화·세력 결속 확정, 기후 수치 적합성·runtime·저장·수치 검증 OPEN"
"culture:demon-contract","재의 계약 문화","Demon","종족 characterspecies:5 (데몬, tag Demon); 필요 {""chargeRateMultiplier"":1,""diet"":2,""hungerRateMultiplier"":1,""hygieneRateMultiplier"":1,""integrityWearMultiplier"":1,""metabolism"":0,""sleepRateMultiplier"":1,""socialNeedMultiplier"":0.8,""thirstRateMultiplier"":0.9,""treatment"":0}; 환경 {""airborneExposureMultiplier"":1,""comfortMaximum"":34,""comfortMinimum"":20,""comfortableAirMinimum"":60,""comfortableLightMaximum"":100,""comfortableLightMinimum"":40,""drynessSensitivity"":1,""lethalMaximum"":56,""lethalMinimum"":-2,""preferredHumidity"":0.5,""safeMaximum"":46,""safeMinimum"":10,""visualStrainMultiplier"":1}; 선호 시설 [""마나실"",""고급 객실"",""연구실""]; 강점 작업 [""work:research"",""work:guard""]; 약점 작업 [""work:clean"",""work:animal-care""]; 문화 역할 None; 문화 시설 []; 문화 물품 [""food:spiced-stew""]; 문화 환경 [""warm dry rooms""]; 방 {""idealTemperatureC"":27,""maximumLighting"":70,""minimumCleanliness"":40,""minimumLighting"":20,""minimumVentilation"":35,""preferredRoles"":544,""prefersPrivateSpace"":1,""prefersSharedSpace"":0,""temperatureToleranceC"":8}; 동화 120","고향 세력 faction:dungeon:demon; 종족 정렬 세력 faction:dungeon:demon; 외부 경로 faction:dungeon:demon:trade=[{""amount"":6,""itemId"":""resource:mana-crystal""},{""amount"":3,""itemId"":""craft:gold-ornament""},{""amount"":4,""itemId"":""craft:ritual-reagent""}];supply=[{""amount"":6,""itemId"":""drug:mana-awakener""},{""amount"":5,""itemId"":""material:blacksteel-ingot""},{""amount"":8,""itemId"":""craft:ritual-reagent""}];reinforcement=화염술사와 계약 저주단","강점 작업과 선호 시설을 생산·서비스의 주력으로 삼고, 문화의 방·물품·의례 수용을 함께 지킨다. 약점 작업은 다른 인구·자동화·시설로 넘기며, 세력 교역·보급·증원은 이 패키지의 부족한 재료·안보를 보완하는 외부 경로로 선택한다.","기후 운영 계약의 평균·변동 온도를 종족·문화 환경 요구와 대조해 방한·환기·냉장·연료·작물·근무 시간 중 어느 보호 경로를 먼저 세울지 정한다. 온도 수치가 없는 생활 요구를 임의의 최적 기후로 환산하지 않는다.","문화·종족 인구가 합류 → 방·시설·물품·역할과 환경 요구를 충족 → 해당 작업의 실제 수행·세력 거래 또는 보급·문화 동화/보존 결과를 기록한다.","작업·환경·방·금기·교역이 맞지 않으면 이 패키지의 강점이 사라지고 관계·사건 압력이 누적된다. 작업을 다른 인구로 넘기고, 방·시설·물품·기후 설비·세력 경로를 다시 조합해 회복한다.","전수 교차 설계; 종족·문화·세력 결속 확정, 기후 수치 적합성·runtime·저장·수치 검증 OPEN"
"culture:golem-core","핵 공명 문화","Golem","종족 characterspecies:9 (골렘, tag Golem); 필요 {""chargeRateMultiplier"":1,""diet"":0,""hungerRateMultiplier"":0,""hygieneRateMultiplier"":0.6,""integrityWearMultiplier"":1,""metabolism"":1,""sleepRateMultiplier"":0.35,""socialNeedMultiplier"":0.3,""thirstRateMultiplier"":0,""treatment"":1}; 환경 {""airborneExposureMultiplier"":1,""comfortMaximum"":35,""comfortMinimum"":-5,""comfortableAirMinimum"":20,""comfortableLightMaximum"":100,""comfortableLightMinimum"":40,""drynessSensitivity"":1,""lethalMaximum"":65,""lethalMinimum"":-35,""preferredHumidity"":0.5,""safeMaximum"":50,""safeMinimum"":-20,""visualStrainMultiplier"":1}; 선호 시설 [""충전소"",""정비실"",""중량 하역장""]; 강점 작업 [""work:repair"",""work:haul"",""work:construct"",""work:plumbing""]; 약점 작업 [""work:research"",""work:reception""]; 문화 역할 None; 문화 시설 []; 문화 물품 [""tool:maintenance-kit""]; 문화 환경 [""dry rune-powered alcoves""]; 방 {""idealTemperatureC"":18,""maximumLighting"":90,""minimumCleanliness"":60,""minimumLighting"":30,""minimumVentilation"":50,""preferredRoles"":96,""prefersPrivateSpace"":1,""prefersSharedSpace"":0,""temperatureToleranceC"":15}; 동화 120","고향 세력 faction:dungeon:golem; 종족 정렬 세력 faction:dungeon:golem; 외부 경로 faction:dungeon:golem:trade=[{""amount"":8,""itemId"":""material:iron-ingot""},{""amount"":10,""itemId"":""material:stone-block""},{""amount"":4,""itemId"":""resource:mana-crystal""}];supply=[{""amount"":10,""itemId"":""material:steel-ingot""},{""amount"":5,""itemId"":""material:blacksteel-ingot""},{""amount"":8,""itemId"":""resource:mana-crystal""}];reinforcement=방패벽과 시설 긴급 복구반","강점 작업과 선호 시설을 생산·서비스의 주력으로 삼고, 문화의 방·물품·의례 수용을 함께 지킨다. 약점 작업은 다른 인구·자동화·시설로 넘기며, 세력 교역·보급·증원은 이 패키지의 부족한 재료·안보를 보완하는 외부 경로로 선택한다.","기후 운영 계약의 평균·변동 온도를 종족·문화 환경 요구와 대조해 방한·환기·냉장·연료·작물·근무 시간 중 어느 보호 경로를 먼저 세울지 정한다. 온도 수치가 없는 생활 요구를 임의의 최적 기후로 환산하지 않는다.","문화·종족 인구가 합류 → 방·시설·물품·역할과 환경 요구를 충족 → 해당 작업의 실제 수행·세력 거래 또는 보급·문화 동화/보존 결과를 기록한다.","작업·환경·방·금기·교역이 맞지 않으면 이 패키지의 강점이 사라지고 관계·사건 압력이 누적된다. 작업을 다른 인구로 넘기고, 방·시설·물품·기후 설비·세력 경로를 다시 조합해 회복한다.","전수 교차 설계; 종족·문화·세력 결속 확정, 기후 수치 적합성·runtime·저장·수치 검증 OPEN"
"culture:harpy-aerie","높은 둥지 문화","Harpy","종족 characterspecies:8 (하피, tag Harpy); 필요 {""chargeRateMultiplier"":1,""diet"":2,""hungerRateMultiplier"":1.1,""hygieneRateMultiplier"":1,""integrityWearMultiplier"":1,""metabolism"":0,""sleepRateMultiplier"":1,""socialNeedMultiplier"":1.15,""thirstRateMultiplier"":1,""treatment"":0}; 환경 {""airborneExposureMultiplier"":1,""comfortMaximum"":25,""comfortMinimum"":7,""comfortableAirMinimum"":80,""comfortableLightMaximum"":100,""comfortableLightMinimum"":40,""drynessSensitivity"":1,""lethalMaximum"":44,""lethalMinimum"":-15,""preferredHumidity"":0.5,""safeMaximum"":36,""safeMinimum"":-5,""visualStrainMultiplier"":1}; 선호 시설 [""전망대"",""접수실"",""야외 휴식처""]; 강점 작업 [""work:guard"",""work:reception"",""work:hunt""]; 약점 작업 [""work:construct"",""work:quarry""]; 문화 역할 None; 문화 시설 []; 문화 물품 [""food:dried-fruit""]; 문화 환경 [""high airy rooms""]; 방 {""idealTemperatureC"":18,""maximumLighting"":100,""minimumCleanliness"":35,""minimumLighting"":50,""minimumVentilation"":70,""preferredRoles"":4,""prefersPrivateSpace"":0,""prefersSharedSpace"":1,""temperatureToleranceC"":10}; 동화 120","고향 세력 faction:dungeon:harpy; 종족 정렬 세력 faction:dungeon:harpy; 외부 경로 faction:dungeon:harpy:trade=[{""amount"":10,""itemId"":""resource:feather""},{""amount"":12,""itemId"":""ammo:arrow-iron""},{""amount"":8,""itemId"":""ammo:bolt-bone""}];supply=[{""amount"":16,""itemId"":""ammo:arrow-steel""},{""amount"":12,""itemId"":""ammo:bolt-steel""},{""amount"":14,""itemId"":""resource:feather""}];reinforcement=외부 고지 정찰과 원거리 엄호대","강점 작업과 선호 시설을 생산·서비스의 주력으로 삼고, 문화의 방·물품·의례 수용을 함께 지킨다. 약점 작업은 다른 인구·자동화·시설로 넘기며, 세력 교역·보급·증원은 이 패키지의 부족한 재료·안보를 보완하는 외부 경로로 선택한다.","기후 운영 계약의 평균·변동 온도를 종족·문화 환경 요구와 대조해 방한·환기·냉장·연료·작물·근무 시간 중 어느 보호 경로를 먼저 세울지 정한다. 온도 수치가 없는 생활 요구를 임의의 최적 기후로 환산하지 않는다.","문화·종족 인구가 합류 → 방·시설·물품·역할과 환경 요구를 충족 → 해당 작업의 실제 수행·세력 거래 또는 보급·문화 동화/보존 결과를 기록한다.","작업·환경·방·금기·교역이 맞지 않으면 이 패키지의 강점이 사라지고 관계·사건 압력이 누적된다. 작업을 다른 인구로 넘기고, 방·시설·물품·기후 설비·세력 경로를 다시 조합해 회복한다.","전수 교차 설계; 종족·문화·세력 결속 확정, 기후 수치 적합성·runtime·저장·수치 검증 OPEN"
"culture:kobold-toolclan","도구씨족 문화","Kobold","종족 characterspecies:6 (코볼트, tag Kobold); 필요 {""chargeRateMultiplier"":1,""diet"":2,""hungerRateMultiplier"":0.85,""hygieneRateMultiplier"":1,""integrityWearMultiplier"":1,""metabolism"":0,""sleepRateMultiplier"":1,""socialNeedMultiplier"":0.9,""thirstRateMultiplier"":0.9,""treatment"":0}; 환경 {""airborneExposureMultiplier"":1,""comfortMaximum"":28,""comfortMinimum"":11,""comfortableAirMinimum"":60,""comfortableLightMaximum"":100,""comfortableLightMinimum"":40,""drynessSensitivity"":1,""lethalMaximum"":48,""lethalMinimum"":-10,""preferredHumidity"":0.5,""safeMaximum"":40,""safeMinimum"":-2,""visualStrainMultiplier"":1}; 선호 시설 [""정비실"",""채굴 작업장"",""좁은 숙소""]; 강점 작업 [""work:repair"",""work:refuel"",""work:quarry""]; 약점 작업 [""work:reception"",""work:perform""]; 문화 역할 None; 문화 시설 []; 문화 물품 [""food:mushroom-stew""]; 문화 환경 [""compact warm workshops""]; 방 {""idealTemperatureC"":24,""maximumLighting"":100,""minimumCleanliness"":40,""minimumLighting"":45,""minimumVentilation"":50,""preferredRoles"":72,""prefersPrivateSpace"":0,""prefersSharedSpace"":1,""temperatureToleranceC"":7}; 동화 120","고향 세력 faction:dungeon:kobold; 종족 정렬 세력 faction:dungeon:kobold; 외부 경로 faction:dungeon:kobold:trade=[{""amount"":10,""itemId"":""resource:iron-ore""},{""amount"":12,""itemId"":""ammo:bolt-iron""},{""amount"":5,""itemId"":""material:iron-ingot""}];supply=[{""amount"":16,""itemId"":""ammo:bolt-steel""},{""amount"":8,""itemId"":""material:steel-ingot""},{""amount"":10,""itemId"":""material:lumber""}];reinforcement=함정 재장전과 현장 수리반","강점 작업과 선호 시설을 생산·서비스의 주력으로 삼고, 문화의 방·물품·의례 수용을 함께 지킨다. 약점 작업은 다른 인구·자동화·시설로 넘기며, 세력 교역·보급·증원은 이 패키지의 부족한 재료·안보를 보완하는 외부 경로로 선택한다.","기후 운영 계약의 평균·변동 온도를 종족·문화 환경 요구와 대조해 방한·환기·냉장·연료·작물·근무 시간 중 어느 보호 경로를 먼저 세울지 정한다. 온도 수치가 없는 생활 요구를 임의의 최적 기후로 환산하지 않는다.","문화·종족 인구가 합류 → 방·시설·물품·역할과 환경 요구를 충족 → 해당 작업의 실제 수행·세력 거래 또는 보급·문화 동화/보존 결과를 기록한다.","작업·환경·방·금기·교역이 맞지 않으면 이 패키지의 강점이 사라지고 관계·사건 압력이 누적된다. 작업을 다른 인구로 넘기고, 방·시설·물품·기후 설비·세력 경로를 다시 조합해 회복한다.","전수 교차 설계; 종족·문화·세력 결속 확정, 기후 수치 적합성·runtime·저장·수치 검증 OPEN"
"culture:myconid-grove","포자정원 문화","Myconid","종족 characterspecies:7 (균사인, tag Myconid); 필요 {""chargeRateMultiplier"":1,""diet"":0,""hungerRateMultiplier"":0.75,""hygieneRateMultiplier"":1,""integrityWearMultiplier"":1,""metabolism"":0,""sleepRateMultiplier"":1,""socialNeedMultiplier"":0.7,""thirstRateMultiplier"":1.2,""treatment"":0}; 환경 {""airborneExposureMultiplier"":1,""comfortMaximum"":22,""comfortMinimum"":8,""comfortableAirMinimum"":35,""comfortableLightMaximum"":100,""comfortableLightMinimum"":40,""drynessSensitivity"":1,""lethalMaximum"":40,""lethalMinimum"":-8,""preferredHumidity"":0.5,""safeMaximum"":32,""safeMinimum"":0,""visualStrainMultiplier"":1}; 선호 시설 [""재배실"",""퇴비실"",""약제실""]; 강점 작업 [""work:clean"",""work:treat"",""work:sow"",""work:harvest""]; 약점 작업 [""work:guard"",""work:perform""]; 문화 역할 None; 문화 시설 []; 문화 물품 [""resource:cave-mushroom""]; 문화 환경 [""humid dim gardens""]; 방 {""idealTemperatureC"":20,""maximumLighting"":35,""minimumCleanliness"":40,""minimumLighting"":5,""minimumVentilation"":45,""preferredRoles"":5,""prefersPrivateSpace"":0,""prefersSharedSpace"":1,""temperatureToleranceC"":5}; 동화 120","고향 세력 faction:dungeon:myconid; 종족 정렬 세력 faction:dungeon:myconid; 외부 경로 faction:dungeon:myconid:trade=[{""amount"":10,""itemId"":""resource:cave-mushroom""},{""amount"":8,""itemId"":""material:compost""},{""amount"":5,""itemId"":""medicine:herbal-poultice""}];supply=[{""amount"":8,""itemId"":""medicine:antidote""},{""amount"":8,""itemId"":""medicine:standard""},{""amount"":10,""itemId"":""food:mushroom-soup""}];reinforcement=치료사와 포자 제독반","강점 작업과 선호 시설을 생산·서비스의 주력으로 삼고, 문화의 방·물품·의례 수용을 함께 지킨다. 약점 작업은 다른 인구·자동화·시설로 넘기며, 세력 교역·보급·증원은 이 패키지의 부족한 재료·안보를 보완하는 외부 경로로 선택한다.","기후 운영 계약의 평균·변동 온도를 종족·문화 환경 요구와 대조해 방한·환기·냉장·연료·작물·근무 시간 중 어느 보호 경로를 먼저 세울지 정한다. 온도 수치가 없는 생활 요구를 임의의 최적 기후로 환산하지 않는다.","문화·종족 인구가 합류 → 방·시설·물품·역할과 환경 요구를 충족 → 해당 작업의 실제 수행·세력 거래 또는 보급·문화 동화/보존 결과를 기록한다.","작업·환경·방·금기·교역이 맞지 않으면 이 패키지의 강점이 사라지고 관계·사건 압력이 누적된다. 작업을 다른 인구로 넘기고, 방·시설·물품·기후 설비·세력 경로를 다시 조합해 회복한다.","전수 교차 설계; 종족·문화·세력 결속 확정, 기후 수치 적합성·runtime·저장·수치 검증 OPEN"
"culture:orc-vigil","무기 철야 문화","Orc","종족 characterspecies:2 (오크, tag Orc); 필요 {""chargeRateMultiplier"":1,""diet"":2,""hungerRateMultiplier"":1.2,""hygieneRateMultiplier"":1,""integrityWearMultiplier"":1,""metabolism"":0,""sleepRateMultiplier"":1,""socialNeedMultiplier"":1,""thirstRateMultiplier"":1.05,""treatment"":0}; 환경 {""airborneExposureMultiplier"":1,""comfortMaximum"":30,""comfortMinimum"":12,""comfortableAirMinimum"":65,""comfortableLightMaximum"":100,""comfortableLightMinimum"":40,""drynessSensitivity"":1,""lethalMaximum"":50,""lethalMinimum"":-15,""preferredHumidity"":0.5,""safeMaximum"":42,""safeMinimum"":-5,""visualStrainMultiplier"":1}; 선호 시설 [""고기 식당"",""무기점"",""훈련장""]; 강점 작업 [""work:repair"",""work:guard"",""work:haul""]; 약점 작업 [""work:research""]; 문화 역할 None; 문화 시설 []; 문화 물품 [""food:salted-meat-stew""]; 문화 환경 [""robust communal halls""]; 방 {""idealTemperatureC"":20,""maximumLighting"":85,""minimumCleanliness"":30,""minimumLighting"":25,""minimumVentilation"":40,""preferredRoles"":9,""prefersPrivateSpace"":0,""prefersSharedSpace"":1,""temperatureToleranceC"":10}; 동화 120","고향 세력 ; 종족 정렬 세력 직접 종족 태그 일치 세력 없음; 외부 경로 직접 종족 태그 일치 세력 없음","강점 작업과 선호 시설을 생산·서비스의 주력으로 삼고, 문화의 방·물품·의례 수용을 함께 지킨다. 약점 작업은 다른 인구·자동화·시설로 넘기며, 세력 교역·보급·증원은 이 패키지의 부족한 재료·안보를 보완하는 외부 경로로 선택한다.","기후 운영 계약의 평균·변동 온도를 종족·문화 환경 요구와 대조해 방한·환기·냉장·연료·작물·근무 시간 중 어느 보호 경로를 먼저 세울지 정한다. 온도 수치가 없는 생활 요구를 임의의 최적 기후로 환산하지 않는다.","문화·종족 인구가 합류 → 방·시설·물품·역할과 환경 요구를 충족 → 해당 작업의 실제 수행·세력 거래 또는 보급·문화 동화/보존 결과를 기록한다.","작업·환경·방·금기·교역이 맞지 않으면 이 패키지의 강점이 사라지고 관계·사건 압력이 누적된다. 작업을 다른 인구로 넘기고, 방·시설·물품·기후 설비·세력 경로를 다시 조합해 회복한다.","전수 교차 설계; 종족·문화·세력 결속 확정, 기후 수치 적합성·runtime·저장·수치 검증 OPEN"
"culture:slime-confluence","합류수 문화","Slime","종족 characterspecies:1 (슬라임, tag Slime); 필요 {""chargeRateMultiplier"":1,""diet"":2,""hungerRateMultiplier"":1,""hygieneRateMultiplier"":1,""integrityWearMultiplier"":1,""metabolism"":0,""sleepRateMultiplier"":1,""socialNeedMultiplier"":1,""thirstRateMultiplier"":1,""treatment"":0}; 환경 {""airborneExposureMultiplier"":1,""comfortMaximum"":24,""comfortMinimum"":16,""comfortableAirMinimum"":55,""comfortableLightMaximum"":100,""comfortableLightMinimum"":40,""drynessSensitivity"":1,""lethalMaximum"":40,""lethalMinimum"":0,""preferredHumidity"":0.5,""safeMaximum"":34,""safeMinimum"":5,""visualStrainMultiplier"":1}; 선호 시설 [""저가 음식점"",""휴식방"",""청소 시설""]; 강점 작업 [""work:clean"",""work:gather""]; 약점 작업 [""work:guard"",""work:logging"",""work:quarry""]; 문화 역할 None; 문화 시설 []; 문화 물품 [""resource:clean-water""]; 문화 환경 [""clean humid pools""]; 방 {""idealTemperatureC"":22,""maximumLighting"":70,""minimumCleanliness"":70,""minimumLighting"":20,""minimumVentilation"":40,""preferredRoles"":260,""prefersPrivateSpace"":0,""prefersSharedSpace"":1,""temperatureToleranceC"":5}; 동화 120","고향 세력 ; 종족 정렬 세력 직접 종족 태그 일치 세력 없음; 외부 경로 직접 종족 태그 일치 세력 없음","강점 작업과 선호 시설을 생산·서비스의 주력으로 삼고, 문화의 방·물품·의례 수용을 함께 지킨다. 약점 작업은 다른 인구·자동화·시설로 넘기며, 세력 교역·보급·증원은 이 패키지의 부족한 재료·안보를 보완하는 외부 경로로 선택한다.","기후 운영 계약의 평균·변동 온도를 종족·문화 환경 요구와 대조해 방한·환기·냉장·연료·작물·근무 시간 중 어느 보호 경로를 먼저 세울지 정한다. 온도 수치가 없는 생활 요구를 임의의 최적 기후로 환산하지 않는다.","문화·종족 인구가 합류 → 방·시설·물품·역할과 환경 요구를 충족 → 해당 작업의 실제 수행·세력 거래 또는 보급·문화 동화/보존 결과를 기록한다.","작업·환경·방·금기·교역이 맞지 않으면 이 패키지의 강점이 사라지고 관계·사건 압력이 누적된다. 작업을 다른 인구로 넘기고, 방·시설·물품·기후 설비·세력 경로를 다시 조합해 회복한다.","전수 교차 설계; 종족·문화·세력 결속 확정, 기후 수치 적합성·runtime·저장·수치 검증 OPEN"
"culture:vampire-nightcourt","밤궁정 문화","Vampire","종족 characterspecies:3 (뱀파이어, tag Vampire); 필요 {""chargeRateMultiplier"":1,""diet"":2,""hungerRateMultiplier"":1,""hygieneRateMultiplier"":1,""integrityWearMultiplier"":1,""metabolism"":0,""sleepRateMultiplier"":1,""socialNeedMultiplier"":1,""thirstRateMultiplier"":1,""treatment"":0}; 환경 {""airborneExposureMultiplier"":1,""comfortMaximum"":22,""comfortMinimum"":8,""comfortableAirMinimum"":70,""comfortableLightMaximum"":100,""comfortableLightMinimum"":40,""drynessSensitivity"":1,""lethalMaximum"":42,""lethalMinimum"":-10,""preferredHumidity"":0.5,""safeMaximum"":34,""safeMinimum"":0,""visualStrainMultiplier"":1}; 선호 시설 [""연구실"",""마력 저장소"",""어둠 휴식 환경""]; 강점 작업 [""work:research"",""work:threat-mitigation""]; 약점 작업 [""work:clean"",""work:haul""]; 문화 역할 None; 문화 시설 []; 문화 물품 [""food:blood-reserve""]; 문화 환경 [""dark private chambers""]; 방 {""idealTemperatureC"":18,""maximumLighting"":30,""minimumCleanliness"":55,""minimumLighting"":0,""minimumVentilation"":40,""preferredRoles"":516,""prefersPrivateSpace"":1,""prefersSharedSpace"":0,""temperatureToleranceC"":7}; 동화 120","고향 세력 ; 종족 정렬 세력 직접 종족 태그 일치 세력 없음; 외부 경로 직접 종족 태그 일치 세력 없음","강점 작업과 선호 시설을 생산·서비스의 주력으로 삼고, 문화의 방·물품·의례 수용을 함께 지킨다. 약점 작업은 다른 인구·자동화·시설로 넘기며, 세력 교역·보급·증원은 이 패키지의 부족한 재료·안보를 보완하는 외부 경로로 선택한다.","기후 운영 계약의 평균·변동 온도를 종족·문화 환경 요구와 대조해 방한·환기·냉장·연료·작물·근무 시간 중 어느 보호 경로를 먼저 세울지 정한다. 온도 수치가 없는 생활 요구를 임의의 최적 기후로 환산하지 않는다.","문화·종족 인구가 합류 → 방·시설·물품·역할과 환경 요구를 충족 → 해당 작업의 실제 수행·세력 거래 또는 보급·문화 동화/보존 결과를 기록한다.","작업·환경·방·금기·교역이 맞지 않으면 이 패키지의 강점이 사라지고 관계·사건 압력이 누적된다. 작업을 다른 인구로 넘기고, 방·시설·물품·기후 설비·세력 경로를 다시 조합해 회복한다.","전수 교차 설계; 종족·문화·세력 결속 확정, 기후 수치 적합성·runtime·저장·수치 검증 OPEN"
