type,kind,definition_path,definition_line,inventory_scope,domain_group,domain_group_name,classification,classification_reason,coverage_disposition,coverage_reason,reviewed_disposition,replacement_authority,review_evidence,intended_ledger_status,integration_status,integration_reason,producer_count,producer_sites,publish_count,subscriber_count,participant_member_candidates,metric_member_candidates,current_transaction_boundary,joint_commit_feasibility,outcome_save_owner,domain_state_save_owner_candidates,ui_paths,query_paths,narrative_paths
AcquiredTraitInferenceOutcomeReceipt,struct,Assets/Scripts/Services/Narrative/GameplayOutcomeBridges/Evolution/EvolutionOutcomeReceipts.cs,287,phase80-implementation-infrastructure,-1,Phase80 구현 인프라(기존 생산자 아님),NonResult,Phase80 implementation infrastructure notification/contract; not a pre-existing domain result producer,N/A,Phase80 implementation infrastructure notification/contract; not a pre-existing domain result producer,False,,,infrastructure,new-phase80-infrastructure,Phase80 implementation infrastructure notification/contract; not a pre-existing domain result producer,1,Assets/Scripts/Services/Character/Core/CharacterAcquiredTraitInferenceService.cs:3139:CharacterAcquiredTraitInferenceService.NarrativeFormulaModuleSelectionChoice,0,0,characterDisplayName,absoluteDay,N/A: excluded non-result signal/detail,N/A,none-found: receipt/event is not persisted as a GameplayOutcome,,,Assets/Scripts/Services/Narrative/GameplayOutcomeBridges/Evolution/EvolutionGameplayOutcomeBridge.cs,Assets/Scripts/Services/Narrative/GameplayOutcomeBridges/Evolution/EvolutionGameplayOutcomeBridge.cs | Assets/Scripts/Services/Narrative/GameplayOutcomeBridges/Evolution/EvolutionOutcomeAdapters.cs | Assets/Scripts/Services/Narrative/GameplayOutcomeBridges/Evolution/EvolutionOutcomeReceipts.cs
AcquiredTraitReactionOutcomeReceipt,struct,Assets/Scripts/Services/Narrative/GameplayOutcomeBridges/Evolution/EvolutionOutcomeReceipts.cs,410,phase80-implementation-infrastructure,-1,Phase80 구현 인프라(기존 생산자 아님),NonResult,Phase80 implementation infrastructure notification/contract; not a pre-existing domain result producer,N/A,Phase80 implementation infrastructure notification/contract; not a pre-existing domain result producer,False,,,infrastructure,new-phase80-infrastructure,Phase80 implementation infrastructure notification/contract; not a pre-existing domain result producer,1,Assets/Scripts/Services/Character/Core/CharacterAcquiredTraitSpecialReaction.cs:466:CharacterAcquiredTraitSpecialReactionRuntime.CharacterAcquiredTraitSpecialReactionRuntime,0,0,characterId | ownerRevision,absoluteDay | appliedValue,N/A: excluded non-result signal/detail,N/A,none-found: receipt/event is not persisted as a GameplayOutcome,,,Assets/Scripts/Services/Character/Core/CharacterAcquiredTraitSpecialReaction.cs | Assets/Scripts/Services/Narrative/GameplayOutcomeBridges/Evolution/EvolutionGameplayOutcomeBridge.cs,Assets/Scripts/Services/Narrative/GameplayOutcomeBridges/Evolution/EvolutionGameplayOutcomeBridge.cs | Assets/Scripts/Services/Narrative/GameplayOutcomeBridges/Evolution/EvolutionOutcomeAdapters.cs | Assets/Scripts/Services/Narrative/GameplayOutcomeBridges/Evolution/EvolutionOutcomeReceipts.cs
AnimalPenCompatibilityResult,class,Assets/Scripts/Models/Economy/Content/AnimalHusbandryModels.cs,375,pre-existing-runtime-candidate,5,거래·재고·재정·서비스·손님,NonResult,Pure compatibility/query calculation used to explain whether animals fit a pen; it commits no gameplay mutation.,NonResult,Pure compatibility/query calculation used to explain whether animals fit a pen; it commits no gameplay mutation.,True,AnimalHusbandryRuntime placement/transfer result,Assets/Scripts/Services/Economy/Husbandry/AnimalHusbandryRuntime.cs:485-637,N/A,excluded,The later husbandry placement or transfer command owns any completed mutation.,2,Assets/Scripts/Services/Economy/Husbandry/AnimalHusbandryRuntime.cs:485:AnimalHusbandryRuntime.EvaluatePen | Assets/Scripts/Services/Economy/Husbandry/AnimalHusbandryRuntime.cs:622:AnimalHusbandryRuntime.List,0,0,,,N/A: excluded non-result signal/detail,N/A,none-found: receipt/event is not persisted as a GameplayOutcome,FacilityShopSaveSection | OperatingDaySettlementSaveSection | PhysicalItemsSaveSection | RegularCustomerSaveSection | TreasuryEconomySaveSection | WorldResourceSaveSection,Assets/Scripts/Views/Buildings/UI/AnimalHusbandryBuildingPanelPresenter.cs | Assets/Scripts/Views/Wildlife/WildlifeInfoPanel.cs,Assets/Scripts/Services/Economy/Husbandry/AnimalHusbandryRuntime.cs | Assets/Scripts/Services/Economy/Husbandry/AnimalHusbandryRuntimePorts.cs | Assets/Scripts/Views/Buildings/UI/AnimalHusbandryBuildingPanelPresenter.cs | Assets/Scripts/Views/Wildlife/WildlifeInfoPanel.cs,
ApologyEvent,struct,Assets/Scripts/Services/Character/Identity/Runtime/CharacterIdentityRuntime.cs,374,pre-existing-runtime-candidate,4,관계·욕구·기분·생애·가족,Record,"Authoritative apology operation with stable operation identity, offender, recipient, offense and restitution facts.",Record,"Authoritative apology operation with stable operation identity, offender, recipient, offense and restitution facts.",True,,Assets/Scripts/Services/Character/Identity/Runtime/CharacterApologyCommandRuntime.cs:68-92 | Assets/Scripts/Services/Character/Identity/Runtime/CharacterIdentityDomainAdapters.cs:1141-1211,recorded,connected,"The identity adapter reserves the typed outcome before forgiveness, relationship and recipient-mood mutation, then commits or restores the complete snapshot.",1,Assets/Scripts/Services/Character/Identity/Runtime/CharacterApologyCommandRuntime.cs:85:CharacterApologyCommandRuntime.CharacterApologyCommandRuntime,1,2,,day,post-state observer publish; no durable result/outcome joint commit found,requires detached transaction or rollback-capable owner integration before publish,none-found: receipt/event is not persisted as a GameplayOutcome,CharacterLifeSaveSection | CharacterNarrativeSaveSection | CharacterPsychosocialSaveSection | CharacterWorldSaveSection | DarkSurvivalSaveSection | SurvivalResourcesSaveSection,,Assets/Scripts/Services/Character/Core/CharacterAcquiredTraitSpecialReaction.cs | Assets/Scripts/Services/Character/Identity/Runtime/CharacterIdentityDomainAdapters.cs | Assets/Scripts/Services/Character/Identity/Runtime/CharacterIdentityRuntime.cs,Assets/Scripts/Services/Character/Identity/Runtime/CharacterIdentityDomainAdapters.cs
ApologyOutcomeReceipt,struct,Assets/Scripts/Services/Narrative/GameplayOutcomeBridges/SocialLife/SocialLifeOutcomeReceipts.cs,137,phase80-implementation-infrastructure,-1,Phase80 구현 인프라(기존 생산자 아님),NonResult,Phase80 implementation infrastructure notification/contract; not a pre-existing domain result producer,N/A,Phase80 implementation infrastructure notification/contract; not a pre-existing domain result producer,False,,,infrastructure,new-phase80-infrastructure,Phase80 implementation infrastructure notification/contract; not a pre-existing domain result producer,1,Assets/Scripts/Services/Character/Identity/Runtime/CharacterIdentityDomainAdapters.cs:1316:SocialIdentityEventAdapter.CoreGridCell,0,0,,absoluteDay,N/A: excluded non-result signal/detail,N/A,none-found: receipt/event is not persisted as a GameplayOutcome,,,Assets/Scripts/Services/Character/Identity/Runtime/CharacterIdentityDomainAdapters.cs | Assets/Scripts/Services/Narrative/GameplayOutcomeBridges/SocialLife/SocialLifeGameplayOutcomeBridge.cs,Assets/Scripts/Services/Character/Identity/Runtime/CharacterIdentityDomainAdapters.cs | Assets/Scripts/Services/Narrative/GameplayOutcomeBridges/SocialLife/SocialLifeGameplayOutcomeBridge.cs | Assets/Scripts/Services/Narrative/GameplayOutcomeBridges/SocialLife/SocialLifeOutcomeAdapters.cs | Assets/Scripts/Services/Narrative/GameplayOutcomeBridges/SocialLife/SocialLifeOutcomeReceipts.cs
ApparelChangedEvent,struct,Assets/Scripts/Services/Character/Identity/Runtime/CharacterIdentityRuntime.cs,75,pre-existing-runtime-candidate,6,장비·특성·기술·시설 진화,Record,Authoritative post-mutation apparel-change event.,Record,Authoritative post-mutation apparel-change event.,True,,"Assets/Scripts/Services/Infrastructure/Environment/CharacterApparelRuntime.cs:972-978,1064-1079,1949-2000 | Assets/Scripts/Services/Narrative/GameplayOutcomeBridges/Evolution/EvolutionGameplayOutcomeBridge.cs:86-98,246,283,306",recorded,connected,"The owner prepares the apparel outcome before state replacement, commits after replacement, then publishes; the exact receipt is bridged and persisted.",1,Assets/Scripts/Services/Infrastructure/Environment/CharacterApparelRuntime.cs:2023:ApparelOutcomeChange.<unknown>,1,1,character,day,existing domain commit/outbox terms nearby; no gameplay-outcome joint outbox,possible via existing transaction/outbox adapter; requires owner-specific proof,none-found: receipt/event is not persisted as a GameplayOutcome,CharacterNarrativeSaveSection | CharacterWorldSaveSection | CombatEquipmentSaveSection | EquipmentEvolutionSaveSection | ModularFacilityWorldSaveSection,,Assets/Scripts/Services/Character/Identity/Runtime/CharacterIdentityDomainAdapters.cs | Assets/Scripts/Services/Character/Identity/Runtime/CharacterIdentityRuntime.cs | Assets/Scripts/Services/Infrastructure/Environment/CharacterApparelRuntime.cs,Assets/Scripts/Services/Character/Identity/Runtime/CharacterIdentityDomainAdapters.cs
ApparelChangeOutcomeReceipt,struct,Assets/Scripts/Services/Narrative/GameplayOutcomeBridges/Evolution/EvolutionOutcomeReceipts.cs,365,phase80-implementation-infrastructure,-1,Phase80 구현 인프라(기존 생산자 아님),NonResult,Phase80 implementation infrastructure notification/contract; not a pre-existing domain result producer,N/A,Phase80 implementation infrastructure notification/contract; not a pre-existing domain result producer,False,,,infrastructure,new-phase80-infrastructure,Phase80 implementation infrastructure notification/contract; not a pre-existing domain result producer,1,Assets/Scripts/Services/Infrastructure/Environment/CharacterApparelRuntime.cs:1949:ApparelOutcomeChange.ApparelOutcomeChange,0,0,characterId | ownerRevision,absoluteDay,N/A: excluded non-result signal/detail,N/A,none-found: receipt/event is not persisted as a GameplayOutcome,,,Assets/Scripts/Services/Infrastructure/Environment/CharacterApparelRuntime.cs | Assets/Scripts/Services/Narrative/GameplayOutcomeBridges/Evolution/EvolutionGameplayOutcomeBridge.cs,Assets/Scripts/Services/Narrative/GameplayOutcomeBridges/Evolution/EvolutionGameplayOutcomeBridge.cs | Assets/Scripts/Services/Narrative/GameplayOutcomeBridges/Evolution/EvolutionOutcomeAdapters.cs | Assets/Scripts/Services/Narrative/GameplayOutcomeBridges/Evolution/EvolutionOutcomeReceipts.cs
ApparelConditionStepResult,struct,Assets/Scripts/Services/Infrastructure/Environment/ApparelConditionRules.cs,65,pre-existing-runtime-candidate,6,장비·특성·기술·시설 진화,NonResult,"Per-step wear projection, not a terminal gameplay outcome.",NonResult,"Per-step wear projection, not a terminal gameplay outcome.",True,ApparelInstanceState committed by ApparelConditionRuntime through item component authority,"Assets/Scripts/Services/Infrastructure/Environment/ApparelConditionRuntime.cs:283-315,341-364",N/A,excluded,The committed item component state or a terminal owner-domain completion is authoritative.,2,Assets/Scripts/Services/Infrastructure/Environment/ApparelConditionRules.cs:101:ApparelConditionRules.Step | Assets/Scripts/Services/Infrastructure/Environment/ApparelConditionRules.cs:148:ApparelConditionRules.ApparelConditionStepResult,0,0,,,N/A: excluded non-result signal/detail,N/A,none-found: receipt/event is not persisted as a GameplayOutcome,CharacterNarrativeSaveSection | CharacterWorldSaveSection | CombatEquipmentSaveSection | EquipmentEvolutionSaveSection | ModularFacilityWorldSaveSection,,Assets/Scripts/Services/Infrastructure/Environment/ApparelConditionRuntime.cs,
ApparelLeaseAuthorityReleaseResult,struct,Assets/Scripts/Services/Items/ApparelLeaseAuthorityPort.cs,57,pre-existing-runtime-candidate,6,장비·특성·기술·시설 진화,NonResult,"Lease cleanup/replay status, not the destructive operation result.",NonResult,"Lease cleanup/replay status, not the destructive operation result.",True,ProductionFacilityDestructiveDrainDriveResult and its durable participant journal,Assets/Scripts/Services/Items/ApparelLeaseAuthorityPort.cs:168-179 | Assets/Scripts/Models/Production/Core/ProductionFacilityDestructiveDrainContracts.cs:618-663,N/A,excluded,The parent production-facility destructive-drain transaction owns terminal completion.,4,Assets/Scripts/Services/Items/ApparelLeaseAuthorityPort.cs:154:ApparelLeaseAuthorityPort.TryReleaseExact | Assets/Scripts/Services/Items/ApparelLeaseAuthorityPort.cs:175:ApparelLeaseAuthorityPort.ApparelLeaseAuthorityPort | Assets/Scripts/Services/Items/ApparelLeaseAuthorityPort.cs:219:ApparelLeaseAuthorityPort.ApparelLeaseAuthorityPort | Assets/Scripts/Services/Items/ApparelLeaseAuthorityPort.cs:225:ApparelLeaseAuthorityPort.Conflict,0,0,,releasedLeaseCount,N/A: excluded non-result signal/detail,N/A,none-found: receipt/event is not persisted as a GameplayOutcome,CharacterNarrativeSaveSection | CharacterWorldSaveSection | CombatEquipmentSaveSection | EquipmentEvolutionSaveSection | ModularFacilityWorldSaveSection,,Assets/Scripts/Services/Economy/ProductionApparelOrderTerminalDrainOutbox.cs | Assets/Scripts/Services/Items/ApparelLeaseAuthorityPort.cs,
ApparelPhysicalOutcomeReceipt,struct,Assets/Scripts/Services/Narrative/GameplayOutcomeBridges/Evolution/EvolutionOutcomeReceipts.cs,147,phase80-implementation-infrastructure,-1,Phase80 구현 인프라(기존 생산자 아님),NonResult,Phase80 implementation infrastructure notification/contract; not a pre-existing domain result producer,N/A,Phase80 implementation infrastructure notification/contract; not a pre-existing domain result producer,False,,,infrastructure,new-phase80-infrastructure,Phase80 implementation infrastructure notification/contract; not a pre-existing domain result producer,1,Assets/Scripts/Services/Infrastructure/Environment/ApparelPhysicalTransaction.cs:2072:ApparelPhysicalTransaction.PhysicalMassGrams,0,0,facilityDisplayName | facilityPersistentId | makerCharacterId | outputItemId | ownerRevision,absoluteDay | quality | qualitySchemaVersion,N/A: excluded non-result signal/detail,N/A,none-found: receipt/event is not persisted as a GameplayOutcome,,,Assets/Scripts/Services/Infrastructure/Environment/ApparelPhysicalTransaction.cs | Assets/Scripts/Services/Narrative/GameplayOutcomeBridges/Evolution/EvolutionGameplayOutcomeBridge.cs,Assets/Scripts/Services/Narrative/GameplayOutcomeBridges/Evolution/EvolutionGameplayOutcomeBridge.cs | Assets/Scripts/Services/Narrative/GameplayOutcomeBridges/Evolution/EvolutionOutcomeAdapters.cs | Assets/Scripts/Services/Narrative/GameplayOutcomeBridges/Evolution/EvolutionOutcomeReceipts.cs
