type,kind,definition_path,definition_line,inventory_scope,domain_group,domain_group_name,classification,classification_reason,coverage_disposition,coverage_reason,intended_ledger_status,integration_status,integration_reason,producer_count,producer_sites,publish_count,subscriber_count,participant_member_candidates,metric_member_candidates,current_transaction_boundary,joint_commit_feasibility,outcome_save_owner,domain_state_save_owner_candidates,ui_paths,query_paths,narrative_paths
AcquiredTraitReactionOutcomeReceipt,struct,Assets/Scripts/Services/Narrative/GameplayOutcomeBridges/Evolution/EvolutionOutcomeReceipts.cs,117,phase80-implementation-infrastructure,-1,Phase80 구현 인프라(기존 생산자 아님),NonResult,Phase80 implementation infrastructure notification/contract; not a pre-existing domain result producer,N/A,Phase80 implementation infrastructure notification/contract; not a pre-existing domain result producer,infrastructure,new-phase80-infrastructure,Phase80 implementation infrastructure notification/contract; not a pre-existing domain result producer,1,Assets/Scripts/Services/Character/Core/CharacterAcquiredTraitSpecialReaction.cs:466:CharacterAcquiredTraitSpecialReactionRuntime.CharacterAcquiredTraitSpecialReactionRuntime,0,0,characterId | ownerRevision,absoluteDay | appliedValue,N/A: excluded non-result signal/detail,N/A,none-found: receipt/event is not persisted as a GameplayOutcome,,,Assets/Scripts/Services/Character/Core/CharacterAcquiredTraitSpecialReaction.cs | Assets/Scripts/Services/Narrative/GameplayOutcomeBridges/Evolution/EvolutionGameplayOutcomeBridge.cs,Assets/Scripts/Services/Narrative/GameplayOutcomeBridges/Evolution/EvolutionGameplayOutcomeBridge.cs | Assets/Scripts/Services/Narrative/GameplayOutcomeBridges/Evolution/EvolutionOutcomeAdapters.cs | Assets/Scripts/Services/Narrative/GameplayOutcomeBridges/Evolution/EvolutionOutcomeReceipts.cs
AnimalPenCompatibilityResult,class,Assets/Scripts/Models/Economy/Content/AnimalHusbandryModels.cs,375,pre-existing-runtime-candidate,5,거래·재고·재정·서비스·손님,needs-authority-fix,result-like producer exists but no GameplayOutcome adapter/descriptor/joint outbox is implemented,Record,"AnimalPenCompatibilityResult is a result-bearing class for a completed/resolved gameplay state transition; retain it as a Record candidate rather than a request, preview, start, progress, or UI notification.",planned,transaction-integration-pending,"A semantic Record candidate exists, but owner-specific TryPrepare/joint outbox/save/replay proof is absent.",2,Assets/Scripts/Services/Economy/Husbandry/AnimalHusbandryRuntime.cs:485:AnimalHusbandryRuntime.EvaluatePen | Assets/Scripts/Services/Economy/Husbandry/AnimalHusbandryRuntime.cs:622:AnimalHusbandryRuntime.List,0,0,,,receipt construction/capture only; exact commit boundary not proven,needs owner-specific transaction audit,none-found: receipt/event is not persisted as a GameplayOutcome,FacilityShopSaveSection | OperatingDaySettlementSaveSection | PhysicalItemsSaveSection | RegularCustomerSaveSection | TreasuryEconomySaveSection | WorldResourceSaveSection,Assets/Scripts/Views/Buildings/UI/AnimalHusbandryBuildingPanelPresenter.cs | Assets/Scripts/Views/Wildlife/WildlifeInfoPanel.cs,Assets/Scripts/Services/Economy/Husbandry/AnimalHusbandryRuntime.cs | Assets/Scripts/Services/Economy/Husbandry/AnimalHusbandryRuntimePorts.cs | Assets/Scripts/Views/Buildings/UI/AnimalHusbandryBuildingPanelPresenter.cs | Assets/Scripts/Views/Wildlife/WildlifeInfoPanel.cs,
ApologyEvent,struct,Assets/Scripts/Services/Character/Identity/Runtime/CharacterIdentityRuntime.cs,360,pre-existing-runtime-candidate,4,관계·욕구·기분·생애·가족,needs-authority-fix,result-like producer exists but no GameplayOutcome adapter/descriptor/joint outbox is implemented,Record,"ApologyEvent is a result-bearing struct for a completed/resolved gameplay state transition; retain it as a Record candidate rather than a request, preview, start, progress, or UI notification.",planned,transaction-integration-pending,"A semantic Record candidate exists, but owner-specific TryPrepare/joint outbox/save/replay proof is absent.",1,Assets/Scripts/Services/Character/Identity/Runtime/CharacterApologyCommandRuntime.cs:85:CharacterApologyCommandRuntime.CharacterApologyCommandRuntime,1,2,,day,post-state observer publish; no durable result/outcome joint commit found,requires detached transaction or rollback-capable owner integration before publish,none-found: receipt/event is not persisted as a GameplayOutcome,CharacterLifeSaveSection | CharacterNarrativeSaveSection | CharacterPsychosocialSaveSection | CharacterWorldSaveSection | DarkSurvivalSaveSection | SurvivalResourcesSaveSection,,Assets/Scripts/Services/Character/Core/CharacterAcquiredTraitSpecialReaction.cs | Assets/Scripts/Services/Character/Identity/Runtime/CharacterIdentityDomainAdapters.cs | Assets/Scripts/Services/Character/Identity/Runtime/CharacterIdentityRuntime.cs,Assets/Scripts/Services/Character/Identity/Runtime/CharacterIdentityDomainAdapters.cs
ApologyOutcomeReceipt,struct,Assets/Scripts/Services/Narrative/GameplayOutcomeBridges/SocialLife/SocialLifeOutcomeReceipts.cs,137,phase80-implementation-infrastructure,-1,Phase80 구현 인프라(기존 생산자 아님),NonResult,Phase80 implementation infrastructure notification/contract; not a pre-existing domain result producer,N/A,Phase80 implementation infrastructure notification/contract; not a pre-existing domain result producer,infrastructure,new-phase80-infrastructure,Phase80 implementation infrastructure notification/contract; not a pre-existing domain result producer,1,Assets/Scripts/Services/Character/Identity/Runtime/CharacterIdentityDomainAdapters.cs:1178:SocialIdentityEventAdapter.CoreGridCell,0,0,,absoluteDay,N/A: excluded non-result signal/detail,N/A,none-found: receipt/event is not persisted as a GameplayOutcome,,,Assets/Scripts/Services/Character/Identity/Runtime/CharacterIdentityDomainAdapters.cs | Assets/Scripts/Services/Narrative/GameplayOutcomeBridges/SocialLife/SocialLifeGameplayOutcomeBridge.cs,Assets/Scripts/Services/Character/Identity/Runtime/CharacterIdentityDomainAdapters.cs | Assets/Scripts/Services/Narrative/GameplayOutcomeBridges/SocialLife/SocialLifeGameplayOutcomeBridge.cs | Assets/Scripts/Services/Narrative/GameplayOutcomeBridges/SocialLife/SocialLifeOutcomeAdapters.cs | Assets/Scripts/Services/Narrative/GameplayOutcomeBridges/SocialLife/SocialLifeOutcomeReceipts.cs
ApparelChangedEvent,struct,Assets/Scripts/Services/Character/Identity/Runtime/CharacterIdentityRuntime.cs,75,pre-existing-runtime-candidate,6,장비·특성·기술·시설 진화,needs-authority-fix,result-like producer exists but no GameplayOutcome adapter/descriptor/joint outbox is implemented,Record,"ApparelChangedEvent is a result-bearing struct for a completed/resolved gameplay state transition; retain it as a Record candidate rather than a request, preview, start, progress, or UI notification.",planned,transaction-integration-pending,"A semantic Record candidate exists, but owner-specific TryPrepare/joint outbox/save/replay proof is absent.",1,Assets/Scripts/Services/Infrastructure/Environment/CharacterApparelRuntime.cs:2023:ApparelOutcomeChange.<unknown>,1,1,character,day,existing domain commit/outbox terms nearby; no gameplay-outcome joint outbox,possible via existing transaction/outbox adapter; requires owner-specific proof,none-found: receipt/event is not persisted as a GameplayOutcome,CharacterNarrativeSaveSection | CharacterWorldSaveSection | CombatEquipmentSaveSection | EquipmentEvolutionSaveSection | ModularFacilityWorldSaveSection,,Assets/Scripts/Services/Character/Identity/Runtime/CharacterIdentityDomainAdapters.cs | Assets/Scripts/Services/Character/Identity/Runtime/CharacterIdentityRuntime.cs | Assets/Scripts/Services/Infrastructure/Environment/CharacterApparelRuntime.cs,Assets/Scripts/Services/Character/Identity/Runtime/CharacterIdentityDomainAdapters.cs
ApparelChangeOutcomeReceipt,struct,Assets/Scripts/Services/Narrative/GameplayOutcomeBridges/Evolution/EvolutionOutcomeReceipts.cs,72,phase80-implementation-infrastructure,-1,Phase80 구현 인프라(기존 생산자 아님),NonResult,Phase80 implementation infrastructure notification/contract; not a pre-existing domain result producer,N/A,Phase80 implementation infrastructure notification/contract; not a pre-existing domain result producer,infrastructure,new-phase80-infrastructure,Phase80 implementation infrastructure notification/contract; not a pre-existing domain result producer,1,Assets/Scripts/Services/Infrastructure/Environment/CharacterApparelRuntime.cs:1949:ApparelOutcomeChange.ApparelOutcomeChange,0,0,characterId | ownerRevision,absoluteDay,N/A: excluded non-result signal/detail,N/A,none-found: receipt/event is not persisted as a GameplayOutcome,,,Assets/Scripts/Services/Infrastructure/Environment/CharacterApparelRuntime.cs | Assets/Scripts/Services/Narrative/GameplayOutcomeBridges/Evolution/EvolutionGameplayOutcomeBridge.cs,Assets/Scripts/Services/Narrative/GameplayOutcomeBridges/Evolution/EvolutionGameplayOutcomeBridge.cs | Assets/Scripts/Services/Narrative/GameplayOutcomeBridges/Evolution/EvolutionOutcomeAdapters.cs | Assets/Scripts/Services/Narrative/GameplayOutcomeBridges/Evolution/EvolutionOutcomeReceipts.cs
ApparelConditionStepResult,struct,Assets/Scripts/Services/Infrastructure/Environment/ApparelConditionRules.cs,65,pre-existing-runtime-candidate,6,장비·특성·기술·시설 진화,needs-authority-fix,result-like producer exists but no GameplayOutcome adapter/descriptor/joint outbox is implemented,Record,"ApparelConditionStepResult is a result-bearing struct for a completed/resolved gameplay state transition; retain it as a Record candidate rather than a request, preview, start, progress, or UI notification.",planned,transaction-integration-pending,"A semantic Record candidate exists, but owner-specific TryPrepare/joint outbox/save/replay proof is absent.",2,Assets/Scripts/Services/Infrastructure/Environment/ApparelConditionRules.cs:101:ApparelConditionRules.Step | Assets/Scripts/Services/Infrastructure/Environment/ApparelConditionRules.cs:148:ApparelConditionRules.ApparelConditionStepResult,0,0,,,receipt construction/capture only; exact commit boundary not proven,needs owner-specific transaction audit,none-found: receipt/event is not persisted as a GameplayOutcome,CharacterNarrativeSaveSection | CharacterWorldSaveSection | CombatEquipmentSaveSection | EquipmentEvolutionSaveSection | ModularFacilityWorldSaveSection,,Assets/Scripts/Services/Infrastructure/Environment/ApparelConditionRuntime.cs,
ApparelLeaseAuthorityReleaseResult,struct,Assets/Scripts/Services/Items/ApparelLeaseAuthorityPort.cs,57,pre-existing-runtime-candidate,6,장비·특성·기술·시설 진화,needs-authority-fix,result-like producer exists but no GameplayOutcome adapter/descriptor/joint outbox is implemented,Record,"ApparelLeaseAuthorityReleaseResult is a result-bearing struct for a completed/resolved gameplay state transition; retain it as a Record candidate rather than a request, preview, start, progress, or UI notification.",planned,transaction-integration-pending,"A semantic Record candidate exists, but owner-specific TryPrepare/joint outbox/save/replay proof is absent.",4,Assets/Scripts/Services/Items/ApparelLeaseAuthorityPort.cs:154:ApparelLeaseAuthorityPort.TryReleaseExact | Assets/Scripts/Services/Items/ApparelLeaseAuthorityPort.cs:175:ApparelLeaseAuthorityPort.ApparelLeaseAuthorityPort | Assets/Scripts/Services/Items/ApparelLeaseAuthorityPort.cs:219:ApparelLeaseAuthorityPort.ApparelLeaseAuthorityPort | Assets/Scripts/Services/Items/ApparelLeaseAuthorityPort.cs:225:ApparelLeaseAuthorityPort.Conflict,0,0,,releasedLeaseCount,receipt construction/capture only; exact commit boundary not proven,needs owner-specific transaction audit,none-found: receipt/event is not persisted as a GameplayOutcome,CharacterNarrativeSaveSection | CharacterWorldSaveSection | CombatEquipmentSaveSection | EquipmentEvolutionSaveSection | ModularFacilityWorldSaveSection,,Assets/Scripts/Services/Economy/ProductionApparelOrderTerminalDrainOutbox.cs | Assets/Scripts/Services/Items/ApparelLeaseAuthorityPort.cs,
ApparelPhysicalTransactionResult,struct,Assets/Scripts/Services/Infrastructure/Environment/ApparelPhysicalTransaction.cs,15,pre-existing-runtime-candidate,6,장비·특성·기술·시설 진화,needs-authority-fix,result-like producer exists but no GameplayOutcome adapter/descriptor/joint outbox is implemented,Record,"ApparelPhysicalTransactionResult is a result-bearing struct for a completed/resolved gameplay state transition; retain it as a Record candidate rather than a request, preview, start, progress, or UI notification.",planned,transaction-integration-pending,"A semantic Record candidate exists, but owner-specific TryPrepare/joint outbox/save/replay proof is absent.",11,Assets/Scripts/Services/Infrastructure/Environment/ApparelPhysicalTransaction.cs:177:ApparelPhysicalTransaction.ExecuteCraftOrResume | Assets/Scripts/Services/Infrastructure/Environment/ApparelPhysicalTransaction.cs:453:ApparelPhysicalTransaction.ApparelPhysicalTransaction | Assets/Scripts/Services/Infrastructure/Environment/ApparelPhysicalTransaction.cs:472:ApparelPhysicalTransaction.ExecuteRejectedDismantleOrResume | Assets/Scripts/Services/Infrastructure/Environment/ApparelPhysicalTransaction.cs:811:ApparelPhysicalTransaction.<unknown> | Assets/Scripts/Services/Infrastructure/Environment/ApparelPhysicalTransaction.cs:1199:ApparelPhysicalTransaction.TryReturnRejectedTerminalReplay | Assets/Scripts/Services/Infrastructure/Environment/ApparelPhysicalTransaction.cs:1248:ApparelPhysicalTransaction.ItemQuantityReservationRequest | Assets/Scripts/Services/Infrastructure/Environment/ApparelPhysicalTransaction.cs:1791:ApparelPhysicalTransaction.TryReturnTerminalReplay | Assets/Scripts/Services/Infrastructure/Environment/ApparelPhysicalTransaction.cs:1842:ApparelPhysicalTransaction.PhysicalMassGrams | Assets/Scripts/Services/Infrastructure/Environment/ApparelPhysicalTransaction.cs:1906:ApparelPhysicalTransaction.Waiting | Assets/Scripts/Services/Infrastructure/Environment/ApparelPhysicalTransaction.cs:1914:ApparelPhysicalTransaction.Pending | Assets/Scripts/Services/Infrastructure/Environment/ApparelPhysicalTransaction.cs:1922:ApparelPhysicalTransaction.Conflict,0,0,,inputMassGrams | outputMassGrams,existing domain commit/outbox terms nearby; no gameplay-outcome joint outbox,possible via existing transaction/outbox adapter; requires owner-specific proof,none-found: receipt/event is not persisted as a GameplayOutcome,CharacterNarrativeSaveSection | CharacterWorldSaveSection | CombatEquipmentSaveSection | EquipmentEvolutionSaveSection | ModularFacilityWorldSaveSection,,Assets/Scripts/Services/Infrastructure/Environment/ApparelPhysicalTransaction.cs | Assets/Scripts/Services/Infrastructure/Environment/ApparelWorkOrderRuntime.cs,
AutomationCaptureResult,class,Assets/Scripts/Services/Infrastructure/DungeonPlayerAutomationBridge.cs,1178,pre-existing-runtime-candidate,3,원정·외부 활동·세력·사건·축제,NonResult,dungeon-player automation screenshot transport DTO; not a gameplay state transition,NonResult,dungeon-player automation screenshot transport DTO; not a gameplay state transition,N/A,excluded,dungeon-player automation screenshot transport DTO; not a gameplay state transition,1,Assets/Scripts/Services/Infrastructure/DungeonPlayerAutomationBridge.cs:826:DungeonPlayerAutomationHost.ConcurrentQueue,0,0,,,N/A: excluded non-result signal/detail,N/A,none-found: receipt/event is not persisted as a GameplayOutcome,ExteriorActivitySaveSection | FactionSaveSection | OffenseAggregateSaveSection | RunFlowSaveSection | RunVariableSaveSection | SeasonalWorldEventsSaveSection,,,
