record_key,stable_id,field_path,raw_value,enum_type,enum_label,value_origin
ServiceProcessSO|service:bathing:wash,service:bathing:wash,m_Name,service_bathing_wash,,,explicit-serialized
ServiceProcessSO|service:bathing:wash,service:bathing:wash,processId,service:bathing:wash,,,explicit-serialized
ServiceProcessSO|service:bathing:wash,service:bathing:wash,serviceCategory,3,ServiceCategory,Bathing,explicit-serialized
ServiceProcessSO|service:bathing:wash,service:bathing:wash,ownerHubTag,service:bathing,,,explicit-serialized
ServiceProcessSO|service:bathing:wash,service:bathing:wash,modeContracts.0.mode,0,ServiceOperationMode,Direct,explicit-serialized
ServiceProcessSO|service:bathing:wash,service:bathing:wash,modeContracts.0.activeStages,12,ServiceProcessStageMask,Service | Payment,explicit-serialized
ServiceProcessSO|service:bathing:wash,service:bathing:wash,modeContracts.0.receptionSeconds,0,,,explicit-serialized
ServiceProcessSO|service:bathing:wash,service:bathing:wash,modeContracts.0.waitingSeconds,0,,,explicit-serialized
ServiceProcessSO|service:bathing:wash,service:bathing:wash,modeContracts.0.serviceSeconds,0,,,explicit-serialized
ServiceProcessSO|service:bathing:wash,service:bathing:wash,modeContracts.0.paymentSeconds,0,,,explicit-serialized
ServiceProcessSO|service:bathing:wash,service:bathing:wash,modeContracts.0.cleanupSeconds,0,,,explicit-serialized
ServiceProcessSO|service:bathing:wash,service:bathing:wash,modeContracts.0.basePrice,5,,,explicit-serialized
ServiceProcessSO|service:bathing:wash,service:bathing:wash,modeContracts.0.satisfaction,44,,,explicit-serialized
ServiceProcessSO|service:bathing:wash,service:bathing:wash,modeContracts.0.requiredFeatureTags,[],,,explicit-serialized
ServiceProcessSO|service:bathing:wash,service:bathing:wash,modeContracts.1.mode,1,ServiceOperationMode,Managed,explicit-serialized
ServiceProcessSO|service:bathing:wash,service:bathing:wash,modeContracts.1.activeStages,31,ServiceProcessStageMask,Reception | Waiting | Service | Payment | Cleanup,explicit-serialized
